evidence_id,route,classification,observed_result,why_failed_or_unstable,transparent_stop_and_rollback,real_home,confidence,source
AC-001,User 0 MAIN+HOME resolver,TRUE_HOME_FIRE,"com.amazon.firelauncher/.Launcher priority 50 before/after redirect runs","Third-party activity start does not participate in resolver selection; Fire remains installed/enabled/default winner","Not applicable to redirect; existing rollback restored Fire foreground and resolver",yes,confirmed,"findings/phase-6cy-accessibility-reboot-unlock-result.md; output/tables/phase6cy-reboot-unlock-result.csv"
AC-002,Original Phase 4 Accessibility direct redirect,FAILED_FOREGROUND_REDIRECT,"0/30; Fire remained mResumedActivity","ActivityManager logged start as stopped during HOME transition; alias stayed task history/last-paused","Visible toggle, manual service disable, APK removal, resolver verification documented",no,confirmed,"findings/phase-4b-assisted-workarounds.md; adb/phase4/PHASE4-ACCESSIBILITY-T01/measure/summary.tsv"
AC-003,PendingIntent GUI consent boundary,UNKNOWN_NOT_MEASURED,"Confirmation dialog completed but services:{} and secure enabled service empty","Service never bound, so no redirect measurement can distinguish launch timing from consent failure","Runner refused measurement; toggle off and research packages removed",no,confirmed-boundary,"findings/phase-6cv-accessibility-pendingintent-gui-boundary.md; output/tables/phase6cv-accessibility-pendingintent-gui-boundary.csv"
AC-004,Microsoft retry Accessibility 350/1000/1800 ms,FOREGROUND_REDIRECT,"Explicit 1/1 and HOME 3/3 in one authoritative run","Fire first wins HOME; later callback/retry races ActivityManager transition and background-start gate; result is delayed and sampling-dependent","Hard-coded target, cooldown/loop guard, visible toggle, manual service disable and rollback",no,confirmed-but-nondeterministic,"findings/phase-6cy-ms-targeted-accessibility-retry.md; output/tables/phase6cy-ms-targeted-accessibility-retry.csv"
AC-005,Reboot plus owner unlock Accessibility retry,UNLOCK_AFTER_REDIRECT,"Service setting persisted/rebound; explicit 1/1; HOME Microsoft 2/3 or 3/3 across recorded runs","Unlock is a precondition for valid foreground observation; first post-boot Fire and callback timing differ; resolver remains Fire","Owner unlock was physical/authorized; no credential stored; rollback passed",no,confirmed-foreground-only,"findings/phase-6cy-accessibility-reboot-unlock-result.md; findings/phase-6hb-ms-accessibility-reboot-persistence.md"
AC-006,Accessibility timeout 50 ms A/B,FOREGROUND_REDIRECT_NOT_ADOPTED,"Original 250 ms 5/5; 50 ms 4/5 with one HOME miss at five-second boundary","Lower event timeout improved some explicit latency but reduced HOME reliability","Original variant restored; settings and package state verified",no,confirmed-negative-optimization,"findings/phase-6cy-accessibility-timeout-ab-boundary.md; output/tables/phase6cy-accessibility-reboot-persistence.csv"
AC-007,Accessibility consume/key-event path,FAILED_OR_PARTIAL_FOREGROUND,"HOME consume run had Fire early and target count 0/3; callback/event runs can still redirect","Consuming HOME does not replace resolver; timing and callback delivery remain independent; do not infer input interception success","Not a recommended route; existing harness rollback preserved live service/package",no,confirmed-boundary,"adb/phase6cy/PHASE6CY-CONSUME-HOME-20260807-02/result.json; findings/phase-6cy-accessibility-adb-pause-boundary.md"
AC-008,UsageStats public third-party route,UNKNOWN_NOT_VALIDATED,"System UsageStats service/package inventory exists; no successful third-party redirect evidence","PACKAGE_USAGE_STATS is app-op/restricted and Amazon REPORT_EVENT is signature; no proven real-time signal or HOME writer for ordinary APK","No change made; keep as static/read-only boundary only",no,unknown,"adb/phase6ac/PHASE6AC-RO-20260805-01/pm_dump.stdout.txt; adb/phase6ao/PHASE6AO-RO-20260805-01/package_dump_full.stdout.txt"
AC-009,ADB-connected host foreground monitor,FOREGROUND_REDIRECT_CLOSED,"Microsoft foreground 5/5 while monitor and ADB remained available","Host process must observe Fire then issue explicit start; disconnect/stop returns next HOME to Fire","Foreground-only rollback explicitly resumed Fire; user closed this route",no,confirmed-but-not-approved,"findings/phase-6iq-adb-foreground-fallback.md; adb/phase6iq/PHASE6IQ-ADB-MONITOR-20260807-05/"
AC-010,Unlock workaround / keyguard bypass,UNKNOWN_NOT_A_WORKAROUND,"Recorded runs require owner-authorized physical unlock before measuring post-boot HOME","No evidence of bypassing keyguard, automating PIN, or making redirect reliable while locked","Do not automate unlock; treat locked-state behavior as unmeasured",no,unknown,"findings/phase-6hb-ms-accessibility-reboot-persistence.md; findings/phase-6cy-accessibility-reboot-unlock-result.md"
AC-011,Transparent resident assist candidate,SAFE_FOREGROUND_ASSIST_ONLY,"Potentially visible redirect using manual consent, explicit target, content retrieval disabled, toggle/cooldown","Cannot guarantee resolver replacement, immediate start, reboot first-foreground, or no missed callback","Provide visible status/stop, cancel retry on stop, preserve exact settings, verify rollback",no,conditional,"tools/phase4-accessibility/README.md; tools/phase4-accessibility/src/org/fireosresearch/phase4/redirect/LauncherRedirectService.java"
