id,surface,caller_or_input,gate_or_policy,binder_identity,user_scope_or_target,sink_or_effect,observed_effect,evidence,confidence,missing_edge,next_safe_step
P14-IPC-001,KFT / IAmazonUserManager tx3,AmazonUserManagerImpl.createChildUser(String); exact APK/native caller not recovered,"child creation flag 0x8000; tx3 Stub shows interface-token/parcel dispatch, local UID/MANAGE_USERS edge unresolved",incoming Binder identity remains relevant before KFT package setters; no tx3 clearCallingIdentity shown,supplied UserInfo.id; child/profile semantics; no hard-coded User 0,AmazonPackageManager setters: enable Tahoe FreeTime component; disable com.amazon.firelauncher and com.android.launcher3,Writer semantics and child User 10 separation are preserved; no User-0 HOME effect observed,work/luna_worker_phase9b_kft_client_identity_20260810.md; work/luna_worker_phase8b_kft_tx3_closure_20260810.csv; work/luna_worker_phase10b_dpm_profile_closure_20260810.csv,Strong evidence,exact external package/UID/signature; service-manager/SELinux client tuple; complete PMS cross-user/protected gate; proof of User 0 input,"Static join of APK/native callsites, AIDL/Stub, privapp grants, service contexts and saved child/User-0 snapshots; no tx3 replay"
P14-IPC-002,KFT / system-server boot lifecycle,AmazonUserManagerService.onBootPhase(500),isUpgrade() plus isChildUser(UserInfo) over UserManager.getUsers(),system-server local context; no external Binder identity,each enumerated child UserInfo.id; no User 0 selector,KFT component/application setters and later DPM/profile-owner branch,Child/profile lifecycle writer only; not evidence of external tx3 authorization or User-0 control,work/luna_worker_phase8b_kft_tx3_closure_20260810.csv; work/luna_worker_phase10b_dpm_profile_closure_20260810.csv,Confirmed,exact child predicate aliases and downstream PMS acceptance per target user,"Read-only source join of isChildUser implementation, boot phase caller, and saved user topology"
P14-IPC-003,AmazonPackageManager flags/metadata,setAmazonFlagsForUser and setAmazonMetadataForUser; production caller not found,amazon.permission.ADD_RM_PKG_METADATA (signature|amazon); publication is not authorization,caller identity retained; no identity laundering in inspected slice,caller-supplied userId; User 0 not established,AmazonApplicationFlags file-backed flags/metadata writers,Flags/metadata persistence is statically confirmed; no HOME or enabled-state consumer found,work/luna_worker_phase10a_package_manager_closure_20260810.csv; work/luna_worker_phase12_binder_package_20260810.csv,Strong evidence,production requester package/UID/signature and grant; service-manager/SELinux tuple; first consumer and any package/HOME edge,Static consumer scan of saved JADX/disassembly plus permission/privapp/config joins
P14-IPC-004,AmazonPackageManager proxy receiver tx6/tx7,ordinary APK can obtain a handle in bounded evidence; no production caller identified,PendingIntent creator must be FLAG_SYSTEM; service checks creator identity,creator/service Binder identity is checked; no demonstrated laundering,caller/creator cross-user scope unresolved,internal receiver then PendingIntent.send if allowed,ordinary APK historical probe returned false and zero callbacks; no package/HOME effect,work/luna_worker_phase6ip_proxy_receiver_gate_20260810.md; work/luna_worker_phase12_binder_package_20260810.csv,Confirmed,complete exported receiver/provider inventory; system-created PendingIntent provenance; downstream state consumer,Read-only manifest/exported-component and offline PendingIntent provenance inventory
P14-IPC-005,Amazon DPM restriction tx1/tx2,external client package/UID/signature not joined,Amazon restriction keys require MANAGE_USERS; generic branch reaches active-admin/profile-owner and caller-ownership checks,Binder.getCallingUid() is read; custom branch clears/restores identity around UserManager/DPM write,caller-supplied userId; User 0 possible as API input but not caller-proven,DevicePolicyManagerService/UserManager user-restriction state only,Policy sink confirmed; no PMS package-state or HOME sink,work/luna_worker_phase10b_dpm_profile_closure_20260810.csv; work/luna_worker_parent_profile_dpm_sink_closure_20260810.csv,Confirmed,exact client grant/domain tuple and runtime userId provenance; complete exported component inventory,Static permission/privapp/SELinux join and saved device_policy/user baseline comparison
P14-IPC-006,DPM persistent preferred activity,active Profile/Device Owner semantic caller; exact trigger package/UID unresolved,active-admin/owner gate; downstream PMS persistent-preferred path requires system UID 1000,DPM clears identity before PMS call; PMS sees system UID 1000,owner user context may be User 0; target component and resolver ranking unresolved,PMS persistent preferred activity record,Potential HOME-capable record only for valid owner; no ordinary-app route or Fire replacement observed,work/luna_worker_phase10b_dpm_profile_closure_20260810.csv; work/luna_worker_phase12_binder_package_20260810.csv,Strong evidence,owner-to-target-user mapping; target component constraints; resolver outcome versus saved Fire priority-50 baseline,"Read-only source/config join of DPM target validation, owner state, and saved HOME outputs"
P14-IPC-007,AmazonProfileService tx41 / metadata map,ordinary test caller reached Binder in prior bounded test; production caller unknown,Stub interface token only; downstream startActivityAsUser requires INTERACT_ACROSS_USERS,ordinary Binder identity remains at tx41; metadata write runs in system-server callback,current-user/explicit picker argument; no arbitrary user mapping proven,launch_info_map_key and startActivityAsUser,ordinary test stopped at cross-user gate; no PMS/HOME/package writer observed,work/luna_worker_phase10b_dpm_profile_closure_20260810.csv; findings/phase-6er-amazon-profile-metadata-tx41-boundary.md,Strong evidence,production metadata provider/caller inventory; complete map consumers; any consumer reaching HOME/PMS,"Static trace of map readers, manifest exported components, and user argument propagation"
P14-IPC-008,Settings/default-home preferred route,Settings DefaultHomePicker/framework wrapper; exact runtime caller unresolved,PMS cross-user and SET_PREFERRED_APPLICATIONS plus HOME/component validation,PMS uses Binder.getCallingUid(); no blanket identity normalization established,explicit userId/AsUser; User 0 only with authorized caller,replacePreferredActivity/addPreferredActivity/setHomeActivity PMS sinks,Saved User-0 resolver remains com.amazon.firelauncher/.Launcher priority 50; no ordinary-app replacement observed,work/luna_worker_phase10a_package_manager_closure_20260810.csv; work/luna_worker_phase12_binder_package_20260810.csv; device/baseline/BASELINE-20260803-05/packages/service_focus.txt,Confirmed,exact runtime caller UID/permission and User-0 authorization; complete Fire protected-package/resolver join,Static source/manifest/permission join against saved home_user0 and package baselines; do not replay setters
P14-IPC-009,ProductPolicy component/application writers,AmazonProductPolicyService local trusted callback; external trigger unknown,policy-file/user-list driven trusted local path; no public Binder endpoint,system-server/in-process identity; clearCallingIdentity status unresolved,explicit policy-selected user list; User 0 only if policy names it,AmazonPackageManager component/application setters,PS7331 policy evidence has no com.amazon.firelauncher target; no HOME edge observed,work/luna_worker_phase10a_package_manager_closure_20260810.csv; findings/phase-6ce-product-policy-firelauncher-boundary.md,Strong evidence,"exact policy resource/input, trigger caller, UID/domain, and runtime user list",Read-only policy resource/config audit and target/user data-flow join
P14-IPC-010,OOBE / BOOT_AFTER_SYSTEM_OTA component writer,BootAfterSystemOTAReceiver and phase-550 system-server lifecycle,upgrade/protected broadcast/phase-550 gates; ordinary APK or shell route not found,system-server or protected receiver context; sender identity and clear/restore unresolved,numeric delivery user/context unresolved,component/settings helpers for OOBE/registration; OTA controller/install/recovery remain privileged,Static lifecycle capability only; no runtime OTA effect or Fire/HOME target observed,work/luna_worker_phase10c_ota_postinstall_closure_20260810.csv; work/luna_worker_phase12_existing_evidence_20260810.csv,Strong evidence,numeric delivered user; sender authorization; natural lifecycle ordering; native/AVB handoff,"Read-only manifest, fosinit, source and saved OTA artifact/provenance join"
P14-IPC-011,Fire Launcher broadcast/watchdog surface,MigrationService.appsAvailable; receiver caller/handler not recovered,system-service broadcast path; receiver permission/manifest and handler unresolved,system-service broadcast identity; no receiver identity recovered,each running user ID; User 0 possible in broadcast loop but not mutation,Intent package com.amazon.firelauncher -> EXTERNAL_APPLICATIONS_AVAILABLE/UNAVAILABLE broadcast,"Fire-targeted notification only; no setter, preferred HOME, hidden/suspended, or observed state effect",work/luna_worker_phase7e_launcher_watchdog_surface_20260810.md; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:33627-33718,Confirmed,Fire Launcher receiver manifest/implementation; complete MigrationService caller chain; receiver-to-PMS/HOME consumer,Read-only Fire Launcher manifest/component inventory and static receiver handler search
