id,surface,artifact_or_path,caller,gate,sink,missing_edge,classification,evidence
P20B-01,exact PS7331 package identity and admission,"firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin; firmware/extracted/PS7331/ota.prop; firmware/extracted/PS7331/META-INF/com/android/metadata; firmware/extracted/PS7331/META-INF/com/android/otacert","privileged OTA validator; no ordinary app/shell caller established","SignApk ZIP/JAR; ota-type=BLOCK; trona device; PS7331.4463N; release-keys; timestamp/product metadata gates","package admission before Java verifier/install","native certificate verifier result and final recovery caller remain outside package metadata","CONFIRMED_STATIC; capability/admission metadata only","unzip/metadata evidence from P19B; firmware/extracted/PS7331/ota.prop; firmware/extracted/PS7331/META-INF/com/android/metadata; artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json"
P20B-02,Java verification to install handoff,"artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/validate/OSUpdateValidator.java; artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadVerifier.java; artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadInstaller.java; artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/framework/UpdateSystemWrapper.java","OSUpdateValidator/SideloadVerifier -> RecoverySystemWrapper -> SideloadInstaller -> UpdateSystemWrapper","assertHash; RecoverySystem.verifyPackage; update-property/PVT/device validation; sideload integrity branch","UpdateSystem.install(Context,path,flags,options) handoff","exact external caller UID, platform verifier implementation, native recovery executor/domain","CONFIRMED_STATIC handoff; reachability not established","artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json; work/luna_worker_phase6sk_ota_recovery_20260810.md"
P20B-03,PS7331 update_verifier block and caremap verification,artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/system-bin/bin/update_verifier; firmware/extracted/PS7331/META-INF/com/amazon/android/target.blocklist,"system post-update verifier; exact init caller not recovered","target.blocklist/last_blocklist paths; caremap, mount_point, length, SHA1/device-info and block-range error markers","verify blocks on named partitions before OTA status/slot outcome","strings and stripped binary do not close exact CFG call order or execution event","CONFIRMED_STATIC implementation capability; execution unknown","strings of update_verifier; file type/SHA256 c52da328823964cb79fd633c4384261c1c6f59bcbdef9a426bb381e6d877c7cd; target.blocklist"
P20B-04,slot outcome and rollback-adjacent boot-control sink,artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/system-bin/bin/update_verifier,"update_verifier -> android.hardware.boot@1.0 boot-control service; exact service/domain caller unresolved","ro.boot.slot_suffix; getService; markBootSuccessful; setSlotAsUnbootable; verified/reboot error markers","slot successful/unbootable state and OTA verification properties","no AVB key authority, rollback-index value/compare, or recovery-to-verifier caller chain","BOUNDED_UNKNOWN; no rollback bypass evidence","update_verifier strings: bootctrl_wrapper.cpp, markBootSuccessful, setSlotAsUnbootable, persist.sys.ota.verified, amzn_ota_verified"
P20B-05,recovery image repair/install sink,artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/system-bin/bin/install-recovery.sh; firmware/extracted/PS7331/META-INF/com/amazon/android/target.system.file_map,"init/system recovery lifecycle; invoking service/action not recovered","applypatch verifies/rebuilds recovery; dd writes recovery signature to fixed by-name recovery device","recovery image and signature write capability","init action, UID, SELinux domain, and caller-to-script edge absent from saved host corpus","CONFIRMED_STATIC capability; caller unknown","install-recovery.sh SHA256 d3f1f2ffbb125c7acea69e544bf2bcc4291c8397e3ab7f6c199f213303c91ea9; target.system.file_map lines 84,3086,3385-3396"
P20B-06,update_verifier/init provenance,firmware/extracted/PS7331/META-INF/com/amazon/android/target.system.file_map; device/baseline/PHASE19-BASELINE-20260810-01/device_properties.txt,"system init may publish update_verifier_nonencrypted/leakrecoveryd; exact rc stanza and transition not available","file map lists update_verifier.rc, fireossystemota_fosinit.xml and init.leakrecoveryd.rc; baseline reports services stopped","post-boot verifier/recovery lifecycle availability","rc service/action, executable domain, UID transition and actual trigger ordering","BOUNDED_UNKNOWN; stopped snapshot is not execution negative","target.system.file_map lines 3385-3396; PHASE19 device_properties lines 63,97; security_getenforce.txt"
P20B-07,AVB and rollback authority,firmware/extracted/PS7331; artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/system-bin/bin/update_verifier; findings/phase-8-evidence-index.md,"Java verifier and update_verifier markers exist; exact AVB/recovery authority not recovered","block/caremap verification and boot-control slot sink; no vbmeta.img or META-INF/com/android/avb*","anti-rollback/AVB acceptance before partition commit","AVB key verification, rollback-index storage/compare, bootloader handoff and native caller absent","BOUNDED_UNKNOWN; no AVB/rollback bypass claim","findings/phase-8-evidence-index.md entries for absent vbmeta/rollback gap; update_verifier strings; P19B residual matrix"
P20B-08,native cache path guard and canonicalization,artifacts/phase6ne-updater-cache-flow-20260810-03/focus-disassembly.txt; artifacts/phase6ne-updater-cache-flow-20260810-03/direct-call-edges.csv,"PerformBlockImageUpdate -> CacheSizeCheck -> MakeFreeSpaceOnCache; selected native caller","stat64 regular-file mode check; readlink_chk at 0x417bf0; strncmp at 0x417c08; error branches; unlink cleanup","cache candidate filtering/free-space bookkeeping before block update capability","no openat/NOFOLLOW/same-object revalidation; no complete result edge to final extraction/write authorization","PARTIAL_STATIC; no symlink/TOCTOU conclusion","focus-disassembly.txt:0x4179f4-0x417a18,0x417bf0-0x417c0c,0x417ea8; direct-call-edges.csv"
P20B-09,updater indirect dispatch and fixed partition sink,firmware/extracted/PS7331/META-INF/com/google/android/update-binary; artifacts/phase6mk-updater-dispatch-20260810-04/summary.json; artifacts/phase6md-native-updater-path-audit-20260810-02/summary.json,"recovery update-binary main -> RegisterInstallFunctions -> indirect callback; ordinary caller absent","24 callback registrations; Edify script timestamp/device gates; package_extract_file/block_image_update paths","open/write and fixed by-name partition capability; run_program/reboot handlers registered","actual update-binary exec UID/domain, indirect input provenance and caller authorization","CONFIRMED_STATIC capability; reachability not established","phase6mk summary.json; phase6md summary.json; firmware/extracted/PS7331/META-INF/com/google/android/updater-script"
P20B-10,UID and SELinux low-privilege boundary,"device/baseline/PHASE19-BASELINE-20260810-01/{security_id.txt,security_getenforce.txt,properties/ro_debuggable.txt,properties/ro_boot_verifiedbootstate.txt}","saved shell UID 2000/u:r:shell:s0; no shell-to-OTA/recovery route recovered","Enforcing; ro.debuggable=0; verifiedbootstate=green; Java OTA controller/signature boundary","recovery/updater privileged sinks remain outside shell caller path","update controller UID, recovery UID/domain, SELinux allow chain and exec transition not joined","NEGATIVE_BOUNDARY for saved corpus; not universal absence","PHASE19 baseline security_id.txt; security_getenforce.txt; ro_debuggable.txt; ro_boot_verifiedbootstate.txt; work/luna_worker_phase19_ota_audit_20260810.md"
P20B-11,post-install executor boundary,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin; firmware/extracted/PS7331; artifacts/phase6bp/ota-path-audit-20260805-02/ota-path-audit.json,"no standalone package postinstall caller; system post-update verifier is separate candidate","27 package entries; no payload.bin/A-B postinstall executable; target.blocklist/last_blocklist present","recovery metadata and post-update verification sinks; no package-owned postinstall executable observed","outer source tar EOF, init trigger ordering and authoritative post-install executor still not fully joined","BOUNDED_NEGATIVE package scope; verifier capability separately confirmed","unzip member listing; artifacts/phase6bp/ota-path-audit-20260805-02/ota-path-audit.json; update_verifier strings"
