id,surface,caller_or_branch,location,permission_or_gate,effect,classification,evidence_status
UF-001,IAmazonUserManager.Proxy tx3,AmazonUserManagerImpl.createChildUser,boot-fosframework/disassembly.log:369180-369243;370398-370443,createUser flags 0x8000 then private Binder tx3,Tahoe/Fire/Launcher3 path for returned UserInfo.id,CONFIRMED_INTERNAL_CHILD_CALLER,STATIC
UF-002,onBootPhase(500),AmazonUserManagerService internal lifecycle,fosservices/disassembly.log:55053-55105,phase==500 AND isUpgrade AND isChildUser,tx3 then tx4 for each child user,CONFIRMED_INTERNAL_BOOT_CALLER,STATIC
UF-003,IAmazonUserManager.Stub onTransact tx3,generated Binder dispatch,boot-fosframework/disassembly.log:370674-370777,enforceInterface only; no visible UID/MANAGE_USERS check,dispatches supplied optional UserInfo to enableKftLauncher,NO_TX3_LOCAL_GATE_VISIBLE,STATIC
UF-004,BinderService.enableKftLauncher,Stub and internal boot caller,fosservices/disassembly.log:54415-54478,no checkManageUsersPermission call; later clearCallingIdentity around DPM path,invokes tryEnable then DPM empowerment,STATIC_AUTHZ_REVIEW_POINT,STATIC
UF-005,enableKftLauncherComponent,enableKftLauncher/failure path,fosservices/disassembly.log:54297-54325,none visible in method,sets Tahoe component enabled and Fire/Launcher3 app state disabled for UserInfo.id,CROSS_USER_SINK,STATIC
UF-006,checkManageUsersPermission,getUserSortedListFromFile plus synthetic accessor,fosservices/disassembly.log:54809-54820;54847-54875;54904-54906,UID 0/1000 OR MANAGE_USERS via helper checkComponentPermission,throws SecurityException otherwise,CONFIRMED_SEPARATE_GATE,STATIC
UF-007,AmazonUserManagerHelper.checkComponentPermission,checkManageUsersPermission,fosservices/disassembly.log:54111-54119,delegates to ActivityManager.checkComponentPermission,returns permission result; does not itself identify tx3,CONFIRMED_HELPER_CALLER,STATIC
UF-008,ActivityManager.checkComponentPermission,AmazonDevicePolicyManagerService.checkPermission,fosservices/disassembly.log:45957,separate DPM permission path,not a tx3 caller,SEPARATE_CALLER,STATIC
UF-009,service declaration,amazonusermanagerservice publication,fosservices/disassembly.log:54894-54899;55106-55119,no recovered tx3-specific declaration,private BinderService published under service name,DECLARATION_NOT_FOUND,UNKNOWN
UF-010,external Binder caller universe,all aliases/native/reflection callers outside bounded VDEX logs,corpus boundary,UNKNOWN,not assessed beyond saved shell SELinux find denial,UNKNOWN,UNKNOWN
UF-011,alternate child predicate callers,isChildUser implementation/aliases outside bounded call site,corpus boundary,UNKNOWN,do not infer child gate for unindexed caller,UNKNOWN,UNKNOWN
UF-012,downstream PMS authorization,external supplied UserInfo or forged payload,not exercised by scope,UNKNOWN,no tx3/setter replay permitted,UNKNOWN,UNKNOWN
