component,registration/source,exported,permission,caller gate,downstream sink,evidence,status,next safe step
"PS7331 fosinit inventory","123 XML files under artifacts/phase6jd-fosinit-20260808-01; representative system/fireos/etc/init/*_fosinit.xml","N/A: system-server registration,not manifest export","N/A","Loaded by system-server/vendor callback registries; no remote caller implied","Inventory only; no sink by XML registration","phase6jd artifact inventory; output/tables/phase6jd-fosinit-registration-audit.csv","closed","Use only a newly preserved exact-build host artifact for delta comparison"
"AmazonDevicePolicyManagerService","amazondevicepolicymanager_fosinit.xml: vendor service, DPM callbacks, cached DevicePolicyManager manager","N/A: system-server service","DPM/admin/device-owner/profile-owner checks in existing DPM source; no exported component evidence","Trusted system/DPM admin context; ordinary app/shell gate not established","DevicePolicy restrictions/persistent-preferred policy family; no new HOME setter or ordinary writer edge","fosinit XML; output/tables/phase6cq-dpm-persistent-preferred-boundary.csv; output/tables/phase6q-binder-service-matrix.csv","closed","Host-only compare any new DPM manifest/source slice; do not invoke policy APIs"
"AmazonUserManagerService","amazonusermanager_fosinit.xml: service, settings callback, cached UserManager manager","N/A: private system service","Private/profile lifecycle and PMS cross-user/component-state gates","Child/KFT lifecycle and supplied UserInfo.id; saved User-10/User-0 attempts hit downstream gates","setApplicationEnabledSetting for com.amazon.firelauncher/com.android.launcher3 and Tahoe component; no setHome/preferred writer","fosinit XML; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54297-54325; output/tables/phase6pw-route-classification.csv","rejected: child/profile-only","Re-read caller/user-scope evidence if a new decompiled class is added; no transaction replay"
"AmazonPackageManagerService / protected callback family","amazonpackagemanager_fosinit.xml: service, PackageManager callbacks, protected-package callback","N/A: system-server service","ADD_RM_PKG_METADATA and protected-package callback gates; OTA sender uses receiver permission","system-server boot phase and PMS internal callback context; no ordinary public relay","Package metadata/protected-package policy and post-OTA broadcast; no HOME/preferred writer in callback inventory","fosinit XML; disassembly.log:96107-96126; phase6jd and phase6px tables","closed; OTA lifecycle-only","Compare only new host disassembly/manifest; do not send broadcast"
"AmazonProfileService / AmazonActivityManagerService","amazonprofileservice_fosinit.xml and amazonactivitymanager_fosinit.xml: published services plus system-server callbacks","N/A: private/system-server services","PROFILE_INTERACTION / APP_PREWARM and task/package restrictions from existing matrix","system-server callback dispatch; service-manager/shell route denied in saved baseline","Profile picker, prewarm, task/activity lifecycle; no User-0 HOME selector or package-state writer","fosinit XML; output/tables/phase6q-binder-service-matrix.csv; phase6jd table","closed","Static caller/source join only; no Binder or activity invocation"
"AmazonAppSettings / TabletSettings callbacks","amazonappsettings_fosinit.xml and tabletsettings_fosinit.xml: Settings and SettingsProvider callbacks","N/A: callback registration, not exported app component","SettingsProvider/provider permission and framework callback context","Provider/framework callback path; no ordinary caller-to-writer chain established","Settings metadata/callback handling; no preferred HOME or DevicePolicy sink in audited path","fosinit XML; output/tables/phase6jd-fosinit-registration-audit.csv; phase6ef/phase6cf boundaries","closed","Inspect only exact-build provider manifest/source additions"
"LauncherHijackPreventer callbacks","launcherhijackpreventer_fosinit.xml and tabletlauncherhijackpreventer_fosinit.xml","N/A: in-process AMS/PM callbacks","SELinux/signature and READ_LOGS checks in callback logic","system-server in-process dispatch; no remote exported entry","HOME-task visibility/filtering and log cleanup; no launch, preferred, or package-state write","fosinit XML; output/tables/phase6jd-fosinit-registration-audit.csv","closed","Do not reopen without a new sink callsite"
"BootAfterSystemOTAReceiver","com.amazon.kindle.otter.oobe manifest receiver; action amazon.intent.action.BOOT_AFTER_SYSTEM_OTA","Manifest/source shows enabled directBootAware receiver; component-local permission not declared","RECEIVE_BOOT_AFTER_SYSTEM_OTA signature|amazon plus protected action membership in system permission registry","System-server sender requires phase 550 and PMS.isUpgrade(); receiver also checks action/OOBE/retail-demo state","enable OobeHomeActivity; activate incremental OOBE; writes setup-state flags; not a public HOME/preferred setter","phase6j manifest.txt:435-451,532; phase6ab ota-input-validation.csv; phase6px/6r tables","rejected: privileged OTA lifecycle; authorization detail retained as static","Observe only after a natural official OTA; never manually send the action"
"com.amazon.firelauncher/.Launcher","FireLauncher manifest MAIN/HOME/DEFAULT activity","Implicitly exported by HOME filter; explicit marker not declared","No component permission in candidate inventory","Resolver/PackageManager policy still governs selection; exported activity is not a state writer","Normal HOME resolver target only; no downstream setter from manifest/activity registration","phase6w high-impact-exported-candidates.csv row 2; phase6pw read-only HOME baseline","closed: resolver entry, not bypass","Read-only exact-build resolver comparison only"
"FireLauncher exported providers/services/receivers","FireLauncher manifest candidate family (sync services, providers, tutorial/demo/account receivers)","Several explicit true or implicit-with-filter entries","Mixed: signature/system, custom permissions, BIND_JOB_SERVICE, and some no local permission","Permission, sync/account framework, or action-specific gates; no ordinary route to package/HOME writer shown","Launcher data/sync/tutorial/card state; no setHome/preferred, SettingsProvider, DPM, or application-enabled sink","artifacts/phase6w/exported-component-audit-20260805-01/high-impact-exported-candidates.csv","closed: exported exposure without qualifying sink","If new source is added, trace only components whose code reaches a listed setter"
"Protected broadcast registry","android.amazon.perm/system permission manifest protected-broadcast declarations","N/A: registry entries, not components","Protected-broadcast membership; many actions additionally use signature|amazon receiver permissions","AMS protected-action delivery and sender identity; ordinary app/shell substitution not established","Broadcast delivery only; no qualifying HOME/package/settings sink found beyond OTA lifecycle row","artifacts/phase6ac/protected-broadcast-source-audit-20260805-02/manifest-aapt.xmltree.txt; phase6ad inventory; phase6px","closed except OTA lifecycle row","Host-only union/diff of protected-broadcast manifests"
