id,branch,surface,entry_or_artifact,caller_or_trigger,gate_or_permission,identity_scope,sink_or_effect,runtime_observation,classification,evidence,missing_edge,disposition
18A-001,Amazon IPC,ServiceManager registry,ServiceManager/addService/getService inventory,unknown shipped client,unknown,unknown,unknown,none,Hypothesis,"Phase 18A worker inventory; prior service-list captures",descriptor-to-client-to-sink join,host-only only
18A-002,Amazon IPC,AIDL Binder onTransact,transaction descriptor and concrete Stub,unknown,unknown,unknown,unknown,none,Hypothesis,"Phase 18A worker inventory",descriptor/tx code/permission/user/sink,do not guess service call
18A-003,Amazon IPC,clearCallingIdentity,method callsite inventory,unknown,unknown,unknown,unknown,none,Hypothesis,"Phase 18A worker inventory",call ordering and restore discipline,host-only callsite review
18A-004,Amazon IPC,getCallingUid and checks,permission/checkCaller inventory,unknown,unknown,unknown,unknown,none,Hypothesis,"Phase 18A worker inventory",UID/domain mapping,host-only callsite review
18A-005,Package state,enabled-state mutation,PackageManagerService setter,ordinary shell/APK,protected package plus caller/user gate,Binder caller retained,package/component state,PHASE6FK rejected before mutation,Confirmed,"adb/phase6fk/PHASE6FK-USER0-TX3-20260807-01/command-output.txt",trusted accepted caller,do not repeat
18A-006,HOME,preferred HOME,set-home-activity wrapper,shell,SET_PREFERRED_APPLICATIONS and resolver rules,shell identity,preferred record,record persisted but Fire wins,Disproved,"findings/phase-4b-final-workaround-verdict.md; output/tables/home-priority-matrix.csv",full candidate/resolver override,do not repeat matrix
18A-007,Device policy,DPM/profile owner,DevicePolicyManagerService paths,admin/profile owner or unknown,DPM owner and cross-user gates,unknown,policy/package sink,none for ordinary caller,Hypothesis,"findings/phase-17-report.md; findings/phase-6da-current-user0-dpm-kft-boundary.md",accepted owner caller,host-only
18A-008,KFT,user/profile/cross-user,IAmazonUserManager tx3,ordinary APK User 0 or User 10,PMS protected package and INTERACT_ACROSS_USERS,Binder caller retained,UserInfo-scoped launcher state writer,User 0 and User 10 rejected,Confirmed,"adb/phase6fk/PHASE6FK-USER0-TX3-20260807-01/command-output.txt; adb/phase6fj/PHASE6FJ-USER10-TX3-20260807-01/command-output.txt",trusted client set,do not replay
18A-009,KFT,Fire state writer,AmazonUserManagerService.enableKftLauncher,internal lifecycle or tx3 client,method-local and downstream PMS gates,identity cleared only for later DPM work,Fire/Tahoe/Launcher3 component state,static only,Strong evidence,"decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54297-54325,54415-54492",authorized external client and user check,host-only
18A-010,Amazon IPC,AmazonPackageManager facade,setApplicationEnabledSetting/setComponentEnabledSetting,Amazon framework facade caller,standard PMS checks,caller identity preserved,standard package state,ordinary caller reached PMS and was rejected,Confirmed,"decompiled/baksmali/ota-PS7331/vdex-extractor/disassembly.log; findings/phase-17-report.md",complete facade caller inventory,host-only
18A-011,Amazon flags,package metadata,AmazonApplicationFlags writer,Amazon signature client,amazon.permission.ADD_RM_PKG_METADATA,identity retained,amazon_package_flags.xml and flags consumers,no invocation,Strong evidence,"findings/phase-6mu-amazon-application-flags-closure.md",signature holder and cross-user validation,do not invoke private Binder
18A-012,Amazon IPC,prewarm,preWarmApplicationForUser,ordinary APK in prior bounded test,private service boundary and downstream process checks,ordinary UID preserved,temporary process/resource effect,temporary process effect only,Confirmed,"adb/phase6er/PHASE6ER-UNTRUSTED-SERVICE-LOOKUP-20260806-134346/result.json",no package/HOME/UID sink,passive natural event only
18A-013,Profile/input,profile service,AmazonProfileService initiateLauncher/startProfilePicker,unknown framework client,profile interaction permission markers,unknown,profile UI/launch flow,none,Probable,"findings/phase-17-report.md; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log",caller registration and returned component,host-only
18A-014,Input,AmazonInputManager inject/injectSequence,system/Amazon client,checkInjectEventsPermission unresolved,PID/UID passed to native,caller identity not cleared,synthetic input injection capability,not invoked,Hypothesis,"findings/phase-17-report.md; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:19508-19714",native node policy and caller,do not replay
18A-015,Settings,OOBE settings sink,BootAfterSystemOTAReceiver/OOBEActivationHelper,trusted system-server post-OTA lifecycle,phase/isUpgrade/OOBE predicates,system lifecycle context,setup settings and OobeHomeActivity,not replayed,Strong evidence,"artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01; findings/phase-6z-boot-after-system-ota-follow-up.md",numeric user/provider auth,natural lifecycle only
OTA-01,OTA,recovery verification,PS7331 OTA metadata/otacert,official signed OTA,signature/device/build verification,recovery context unknown,verified package handoff,not executed,Strong evidence,"firmware/extracted/PS7331/ota.prop; firmware/extracted/PS7331/META-INF/com/android/metadata; firmware/extracted/PS7331/META-INF/com/android/otacert",runtime acceptance and bypass,host-only
OTA-02,OTA,updater script,updater-script:1-24,recovery/update-binary,build/device and block OTA checks,recovery UID/domain unknown,system/vendor and boot-chain write capability,not executed,Strong evidence,"firmware/extracted/PS7331/META-INF/com/google/android/updater-script",recovery caller/AVB/rollback,never replay
OTA-03,OTA,block-image updater,update-binary block-image handlers,recovery only,verified/staged OTA boundary,recovery context unknown,WriteToPartition and block update,not executed,Probable,"findings/phase-6mm-updater-blockimage-closure.md; artifacts/phase6aw/ota-write-contract-20260805-02",native caller/SELinux,host-only
OTA-04,OTA,boot-chain target,updater-script fixed targets,recovery/update context,verified package and fixed target list,recovery context unknown,boot/preloader/LK/TEE/SPMFW/SSPM/camera targets,not written,Probable,"artifacts/phase6aw/ota-write-contract-20260805-02/result.md",execution verifier,refused
OTA-05,OTA,post-OTA lifecycle,BOOT_AFTER_SYSTEM_OTA,system_server phase 550 and PMS.isUpgrade,protected action/phase gates,system_server lifecycle,enable OOBE and setup settings,live baseline only,Strong evidence,"findings/phase-6z-boot-after-system-ota-follow-up.md; findings/phase-17-report.md",ordinary delivery and user scope,passive only
OTA-06,OTA,postinstall members,known PS7331 ZIP members,official OTA package,package format,unknown,no independent A/B postinstall found,bounded negative,Disproved,"work/luna_worker_phase6uj_ota_postinstall_20260810.md",outer source tar EOF not complete,bounded only
OTA-07,OTA,canonicalization/cache,MakeFreeSpaceOnCache and readlink,unknown native recovery caller,unknown,unknown,cache/path handling,not executed,Hypothesis,"findings/phase-6mm-updater-blockimage-closure.md",dataflow/TOCTOU/NOFOLLOW,host-only
18C-001,Kernel driver,ION generic,ion.c:1502-1658 and 1906-1924,/system/lib64/libion.so and /dev/ion,ION/MTK config plus node policy unknown,app/domain unknown,alloc/free/map/share/import/sync,static only,Strong evidence,"artifacts/phase5/mtk-ion-static-analysis-20260804-03; platform source kernel/mediatek/mt8183/4.4/drivers/staging/android/ion/ion.c",top process/domain/heap/policy/runtime,no node access
18C-002,Kernel driver,ION MTK custom,ion_drv.c:428-492 and 703-736,/vendor/lib64/libion_mtk.so mt_ion_open,ION_IOC_CUSTOM and node policy unknown,app/domain unknown,custom heap/cache/DMA state,static only,Strong evidence,"artifacts/phase5/mtk-ion-static-analysis-20260804-03; platform source kernel/mediatek/mt8183/4.4/drivers/staging/android/ion/mtk/ion_drv.c",selected heap/DT/runtime, no ioctl
18C-003,Kernel driver,CMDQ/MDP,cmdq_driver.c and mdp_ioctl_ex.c,candidate graphics/camera/media domains,config and node/policy incomplete,unknown,async/wait/readback/display/DMA,none,Hypothesis,"platform source; findings/phase-17-report.md",exact shipped opener/DTB/TE/effect,host-only
18C-004,Kernel driver,M4U,m4u.c and m4u_debug.c,proc/device candidate,config and proc policy incomplete,unknown,DMA/IOMMU/MVA state,none,Hypothesis,"platform source; findings/phase-17-report.md",object/DTB/proc label/native caller,host-only
18C-005,Kernel driver,performance ioctl,perf_ioctl.c,candidate init/vendor domains,proc mode/owner incomplete,unknown,scheduler/resource boost,none,Hypothesis,"platform source; Phase 18C worker summary",object/proc/native caller,host-only
18C-006,Kernel driver,uinput/evdev,uinput.c and evdev.c,unknown native opener,device policy and ueventd unknown,unknown,synthetic input injection,none,Hypothesis,"platform source; findings/phase-17-report.md",node mode/TE/caller/consumer,do not access
18C-007,Kernel driver,AUXADC/gsensor,AUXADC and gsensor source,unknown calibration writer,config/DT/node policy incomplete,unknown,calibration/diagnostic state,none,Hypothesis,"platform source; Phase 18C worker summary",writer/domain/node,host-only
18C-008,Kernel driver,RPMB,rpmb-mtk.c and rpmb_svc,unknown service caller,authenticated storage and SELinux boundary,unknown,authenticated persistent storage,none,Hypothesis,"platform source; Phase 18C worker summary",native callsite/UID/domain/node,refused
18C-009,Kernel driver,USB devio,drivers/usb/core/devio.c,unknown usbfs caller,usbfs node/policy unknown,unknown,USB control/URB state,none,Hypothesis,"platform source; Phase 18C worker summary",node/policy/caller,host-only
18C-010,Kernel driver,Amazon diagnostic,amzn_drv_test.c,production config absent,CONFIG_AMZN_DRV_TEST absent and Image markers negative,unknown,conditional factory/RTC dispatcher,none,Disproved,"platform/device/amazon/kernel/driver/amzn_drv_test.c; trona_defconfig",production object/policy, bounded negative
18C-011,Kernel driver,IDME/sign-of-life/logger,Amazon diagnostic drivers,unknown reader,write bits masked or read-only paths,unknown,lifecycle/telemetry state,none,Disproved,"platform source; Phase 18C worker summary",exact reader if read reachability matters,bounded negative
18C-012,Kernel driver,Amazon liquid detection,amzn_ld.c and trona DVT DTS,unknown sysfs writer,selected DTB and sysfs policy unknown,unknown,thermal/liquid/USB behavior,none,Hypothesis,"platform/device/amazon/kernel/driver/amzn_ld.c:618-738,878-896",selected DTB/object/TE/caller,host-only
H09,Reconciliation,KFT trusted caller,IAmazonUserManager tx3 reference graph,unknown trusted Amazon client,service manager/signature/SELinux/PMS user gate,identity unknown,User 0 Fire state writer,open,Probable,"findings/phase-13-report.md; findings/phase-15-report.md; output/call-graphs/phase17-kft-pms-identity-flow.mmd",complete legal caller set,host-only
