id,service_or_class,entrypoint,caller_or_client,permission_or_gate,binder_identity,user_scope,sink_or_effect,observed_runtime,evidence,confidence,missing_edge,next_safe_step
LUNA-B-001,AmazonUserManagerService,publishBinderService(amazonusermanagerservice),system_server framework clients,service-manager SELinux plus method-local gates,server-side system_server; no caller relay established,service/user-management global endpoint,Publishes Amazon user-manager Binder endpoint; not itself a state write,saved service list shows endpoint; shell UID 2000 find denial in saved AVC,artifacts/phase6ak/launcher-user-service-20260805-02/launcher-user-service.csv; artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,Confirmed,No ordinary shell handle; per-method authorization not uniform,Reuse saved service visibility and static method review only
LUNA-B-002,IAmazonUserManager.Stub/Proxy,enableKftLauncher(UserInfo),AmazonUserManagerImpl.createChildUser; Binder caller with handle,interface token in Stub; dispatch block has no explicit permission check,Stub dispatch preserves Binder caller until server method; server later clears identity for DPM path,supplied child/profile UserInfo.id,Dispatches to KFT launcher provisioning; potential package/component state changes,No transaction sent; saved capture blocks shell before handle acquisition,artifacts/phase6ak/launcher-user-service-20260805-02/launcher-user-service.csv,Strong evidence,Stub-to-server authorization and caller provenance need full method join,Static source join of server method and trusted client only
LUNA-B-003,AmazonUserManagerService.BinderService,enableKftLauncher(UserInfo),framework child-user provisioning client,AmazonPackageManager availability; method-local gate incomplete in excerpt; separate MANAGE_USERS gate exists elsewhere,clearCallingIdentity before DPM/profile-owner work; restored identity not fully mapped,child/profile user supplied by UserInfo,Calls KFT launcher helper and DPM active-admin/profile-owner operations,Not executed; Fire Launcher was not disabled,artifacts/phase6ak/launcher-user-service-20260805-02/launcher-user-service.csv; artifacts/phase6av/ipc-method-closure-20260805-05/ipc-method-closure.csv,Confirmed,Exact caller gate for enableKftLauncher remains unresolved,Static call graph review without invocation
LUNA-B-004,AmazonUserManagerService.BinderService,enableKftLauncherComponent(UserInfo),enableKftLauncher internal path,TV/feature/package checks; service handle still required,identity context is server-side after entry; no caller relay shown,UserInfo.id supplied; child/profile scoped,Enables Tahoe FreeTimeLauncherActivity and disables Fire Launcher/Launcher3 via enabled-setting APIs,Not executed; explicitly rejected for device test,artifacts/phase6ak/launcher-user-service-20260805-02/launcher-user-service.csv; artifacts/phase6mh-package-state-writers-20260810-01/writer-calls.csv,Confirmed,No proof this changes ordinary HOME preferred record,Static-only sink classification
LUNA-B-005,AmazonUserManagerService.checkManageUsersPermission,selected user-management Binder methods,system/root or caller holding MANAGE_USERS,UID 1000/system and UID 0/root fast path; otherwise android.permission.MANAGE_USERS,calling identity checked directly; no clear identity in gate,user-management operations; not necessarily current user,"Explicit SecurityException gate observed statically; no invocation",No invocation,artifacts/phase6ak/launcher-user-service-20260805-02/launcher-user-service.csv,Confirmed,EnableKftLauncher method does not visibly call this gate,Keep as authorization boundary; do not infer coverage
LUNA-B-006,AmazonProfileService,publishBinderService(amazonprofileservice),privileged profile clients,service-manager SELinux plus profile method gates,server-side system_server; clearCallingIdentity markers exist in service inventory,current user/profile lifecycle,Publishes profile Binder APIs,service listed; saved AVC denies shell UID 2000 find,artifacts/phase6ak/launcher-user-service-20260805-02/launcher-user-service.csv; artifacts/phase6aq/service-context-audit-20260805-03/service-context-matrix.csv,Confirmed,No shell-reachable handle and no per-entry method map for all APIs,Static per-method review only
LUNA-B-007,AmazonProfileService.BinderService,initiateLauncher(),privileged profile client,com.amazon.device.permission.PROFILE_INTERACTION via enforceProfileInteractionPermissions,calling pid/user used by permission check; no identity relay observed,current profile interaction,Permission-gated acknowledgement/logging; no preferred-activity or component-state write,No Binder transaction sent,artifacts/phase6av/ipc-method-closure-20260805-05/ipc-method-closure.csv; artifacts/phase6ak/launcher-user-service-20260805-02/launcher-user-service.csv,Confirmed,Name is launcher-related but no downstream HOME sink shown,No replay; bounded source review sufficient
LUNA-B-008,AmazonProfileService.BinderService,startProfilePicker(),profile service client,service visibility plus profile-service caller contract; method-local guard absent from excerpt,starts activity as current user after identity handling not fully bounded,current user/profile,Configured package/activity launched with startActivityAsUser; not resolver preferred record,No Binder transaction sent,artifacts/phase6av/ipc-method-closure-20260805-05/ipc-method-closure.csv; artifacts/phase6ak/launcher-user-service-20260805-02/launcher-user-service.csv,Strong evidence,Caller permission and configured target source need join,Static config/caller mapping only
LUNA-B-009,AmazonActivityManagerService.BinderService,"preWarmApplicationForUser(String,int,int)",known privileged Alexa path; hypothetical Binder client,APP_PREWARM checkCallingPermission result not consumed in saved block,clearCallingIdentity then restoreCallingIdentity around process start,explicit user argument,Prewarms selected package/process; no HOME or package-state sink in bounded method,Shell service_manager find denied; no invocation,artifacts/phase6av/ipc-method-closure-20260805-05/ipc-method-closure.csv; artifacts/phase6bk/ipc-ota-closure-20260810-02/method-map.csv,Strong evidence,Permission-result anomaly and exact caller reachability unresolved,Static authorization review; do not call
LUNA-B-010,AmazonInputManagerService.BinderService,registerKeyEventInterceptor,authorized Amazon input clients,GET_KEYEVENTS; calling UID package lookup; whitelist and foreground-package checks,getCallingUid used before callback registration; no clear identity shown,current foreground package/device input policy,Registers selected-key interceptor; not HOME resolver write,Shell service find denied in saved capture,artifacts/phase6av/ipc-method-closure-20260805-05/ipc-method-closure.csv; artifacts/phase6aj/input-home-boundary-20260805-03/input-home-boundary.csv,Confirmed,No shell handle and no Home component sink,No injection or replay
LUNA-B-011,AmazonInputManagerService.BinderService,setInputFilter,authorized private input client; exact helper gate missing,helper authorization not present in bounded excerpt,identity behavior inside synthetic helper unknown,"Installs secondary input filter; high-impact input path but no bounded HOME write",No invocation,Shell service find denied; no invocation,artifacts/phase6av/ipc-method-closure-20260805-05/ipc-method-closure.csv; artifacts/phase6aj/input-home-boundary-20260805-03/input-home-boundary.csv,Strong evidence,Synthetic access$600 helper body and caller gate missing,Resolve helper statically only
LUNA-B-012,AmazonInputManagerService.KeyEventBinderService,setInputLockingMode,authorized partner/input client,com.amazon.amazoninputmanager.permission.INPUT_LOCKING,permission helper checks caller; no identity relay shown,device input-locking policy,Updates input-locking mode and notifies; no formal HOME selector,Shell service find denied; no invocation,artifacts/phase6av/ipc-method-closure-20260805-05/ipc-method-closure.csv,Confirmed,No direct HOME sink,Static-only review
LUNA-B-013,PackageManagerService, setEnabledSetting / setApplicationEnabledSetting / setComponentEnabledSetting,Amazon system services; DPM; shell command path,checkCallingOrSelfPermission/getCallingUid/getCallingPid plus PMS internal checks,calling identity reaches PMS gate; callers may pass userId/callingPackage,userId argument for app/component state,Final package/component enabled-state mutation; not preferred HOME by itself,No state mutation performed by this audit,artifacts/phase6bk/ipc-ota-closure-20260810-01/method-map.csv; artifacts/phase6mh-package-state-writers-20260810-01/writer-calls.csv,Confirmed,Caller-specific PMS policy and exact user validation need separate join,Use existing static sinks only
LUNA-B-014,EnableDisableComponentAction,"enableDisableComponent(String,boolean)",Amazon ProductPolicy in-process action,policy-file/user-list driven; trusted system service context,service/in-process identity; no external Binder caller established,policy-selected user/component,Calls AmazonPackageManager setComponentEnabledSetting and setApplicationEnabledSetting,No action replay; saved evidence only,artifacts/phase6mh-package-state-writers-20260810-01/writer-calls.csv; artifacts/phase6kv/pms-home-caller-closure-20260810-01/pms-home-callers.csv,Confirmed,Policy input and exact component mapping require source join,Static policy/source review only
LUNA-B-015,Amazon OOBE PackageHelper,enable/disable component helper,OOBE internal callers,internal app context; no Binder gate shown,helper has no explicit user argument; likely context user but scope not proven,implicit helper context; exact user scope not established,calls setComponentEnabledSetting state 1/2 flags 1,No OOBE path replayed,artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/oobe-helper-state.csv; artifacts/phase6bk/ipc-ota-closure-20260810-02/references.csv,Confirmed,User scope and caller reachability not explicit,Static caller chain and manifest review
LUNA-B-016,SettingsDBUtils,settings write helpers,OOBE internal callers,ContentResolver/provider permissions not shown in helper excerpt,provider applies Binder identity; helper identity relay not shown,Secure/Global settings under current helper context,Writes Settings.Secure/Global asynchronously or synchronously,No settings write replayed,artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/oobe-helper-state.csv,Confirmed,Provider-side permission/user enforcement not joined,Read-only provider/source mapping
LUNA-B-017,BootAfterSystemOTAReceiver,onReceive,protected OTA/system-server sender,qualifying action plus protected broadcast/OTA lifecycle conditions,receiver runs under app/system UID; sender identity validation not fully in bounded row,device/OOBE lifecycle user scope; component state and settings effects,Updates OOBE preferences; enables OobeHomeActivity; activates OOBE,Existing runtime evidence only; receiver not replayed,artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/oobe-helper-state.csv; artifacts/phase6aj/input-home-boundary-20260805-03/input-home-boundary.csv,Confirmed,Exact broadcast permission and sender proof are outside bounded row,Static manifest/receiver permission join
LUNA-B-018,IOTAControlService.Stub/Proxy,OTAControllerImpl controller methods,authorized OTA controller clients,com.amazon.dcp.ota.permission.CONTROLLER plus method BLOCK_UNBLOCK_APP check for blockApp,service bind identity; implementation identity handling incomplete in JADX,OTA/update controller state; methods include block/unblock install update scheduling,No OTA IPC invoked; runtime evidence not rerun,OTA/update service state,artifacts/phase6r/ota-ipc-static-audit-20260805-01/ota-ipc-method-matrix.csv; artifacts/phase6m/oobe-ota-control-surface-20260805-02/ota-contract-transactions.csv,Strong evidence,Implementation bodies and caller package provenance incomplete,Static contract and permission review only
