surface,result,source_config,shipped_node_or_proc,policy_init,exact_native_elf_evidence,remaining_gap
/dev/mtk_cmdq,UNKNOWN / Not established,cmdq_driver.c:660-743 864-865; kernel.config:1247-1248,phase-6rg node metadata 0644 system:system mtk_cmdq_device,vendor_file_contexts + vendor_sepolicy.cil:5228-5229 5754 6087 6199,no exact shipped ELF /dev/mtk_cmdq open plus CMDQ ioctl tuple,caller join missing
/dev/ion,POSITIVE - shipped native library caller,ion.c:1478-1617 1657-1658 1920-1924; kernel.config:3532-3534,phase5bl observations.csv:6 /dev/ion system:graphics 0666 ion_device,vendor_sepolicy.cil:3066 4170 4325 4417,libion.so strings /dev/ion; symbols ion_open ion_alloc ion_map ion_share ion_import ion_sync_fd; ioctl sites ALLOC MAP SHARE IMPORT SYNC,top-level process consumer and runtime invocation not established
/dev/ion MTK custom,POSITIVE - shipped native library caller,ion_drv.c:428-492 703-736 plus ION core/config,same shipped /dev/ion node,same extracted vendor policy,libion_mtk.so mt_ion_open + ioctl import; custom ioctl call sites 0xd74 0xe90 0x112c 0x131c 0x1418 0x151c 0x161c,top-level consumer and runtime invocation not established
/proc/perfmgr/perf_ioctl,UNKNOWN / Not established,perf_ioctl.c:69-203 231-232; source mode 0664,phase-6rg proc_perfmgr metadata,CIL:5229-5230 5286-5287 5304-5305 5902 6204-6205,no exact shipped ELF path-specific proc open/write/ioctl call site,proc owner and caller missing
/proc/m4u,UNKNOWN / Not established,m4u.c:1577-2043 2268; active proc path,shipped proc not established; /dev/m4u and /dev/M4U_device absent,final proc file-context/init/SELinux join incomplete,no exact shipped native M4U proc caller,shipped proc and caller missing
/dev/m4u and /dev/M4U_device,UNKNOWN / Not established,M4U misc branch inactive in source,shipped nodes absent,absent-node policy cannot close route,no native open/ioctl caller,source presence is not shipped reachability
RPMB,UNKNOWN / Not established,rpmb core.c + rpmb-mtk.c; kernel.config:2235-2237,rpmb_svc and RPMB threads observed; node/open proof absent,rpmb_svc.rc + CIL:2380-2381 2474-2475 3056-3057,no exact Android native RPMB node open/ioctl or service-to-driver call site,node and caller joins missing
IDME /proc/idme/*,UNKNOWN / Not established,amzn_idme.c:316-347; kernel.config:3583-3584,phase6n amazon_proc_modes metadata records shipped nodes,IDME HAL init + CIL:4471-4473 4741-4749 5135-5137,no exact native proc open/read caller; HAL ELF presence only,proc reader identity missing; writable route source-negative
IDME block/HAL path,UNKNOWN / Not established,IDME source/config,block node owner/mode not closed,HAL/init/CIL evidence incomplete for block join,no exact HAL-to-block native open/read/write call site,block policy and caller missing
Amazon diagnostics /proc/amzn_drvs/*,UNKNOWN / Not established,amzn_drv_test source + phase6nb; CONFIG_AMZN_DRV_TEST absent,proc absent in phase-6rg; package com.amazon.connectivitydiag present,diagnostic CIL/init references not node proof,no exact shipped native proc open/write caller,conditional source only; shipped node and caller missing
Amazon logger /dev/metrics and /dev/vitals,UNKNOWN / Not established,amzn_logger.c read/poll/release only,source names only; final shipped node metadata incomplete,final ueventd/file-context/SELinux join incomplete,no exact shipped native open/read/poll caller,read-only source surface and caller gap
