domain,surface,location,caller_or_scope,gate_or_permission,identity_and_user_scope,sink_or_effect,runtime_evidence,status,next_safe_step,evidence_hash,source_csv,source_sha256
prewarm-identity,"AmazonActivityManagerService.BinderService.preWarmApplicationForUser(String,int,int)","AmazonActivityManagerService.BinderService.preWarmApplicationForUser(String,int,int); FOS:40453-40534; codeOff=0x36f0c; permission=0x036f52; clear=0x036f5c; restore=0x03702a",Alexa ExplicitIntentAction.prewarmApplicationProcess -> AmazonActivityManagerImpl -> IAmazonActivityManager.Stub.Proxy; source:ExplicitIntentAction.java:274; only direct caller in saved JADX scope,checkCallingPermission(APP_PREWARM) result has no observed move-result or denial branch before clearCallingIdentity; static anomaly candidate,incoming Binder identity before clear; cleared system identity for body; restored at 0x03702a; post-clear caller UID/package UNKNOWN,IPackageManager.getApplicationInfo -> PreWarmCacheHelper -> startProcessLocked reason=prewarm,NOT_NEW_THIS_PHASE,CONFIRMED_STATIC; anomaly candidate only; not exploit/root evidence,Expand saved Amazon APK/DEX corpus and complete Stub/onTransact mapping; no Binder invocation,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;c1a8bcfc0952239a26b669f7bc227fcc01024ac5db26db7e6eed2ae5cb6a2dc2,work/luna_worker_prewarm_identity_closure_20260810.csv,7973988c4fa609de8f9f22f8e1e0654cf118a418d43cd742953239d8ee44f0ad
prewarm-identity,"AmazonActivityManagerService.BinderService.preWarmApplicationForUser(String,int,int)","AmazonActivityManagerService.BinderService.preWarmApplicationForUser(String,int,int); PS7331 OTA:3642543-3642624; codeOff=0x36fb4; permission=0x036ffa; clear=0x037004; restore=0x0370d2",Same Alexa caller mapping; OTA proxy transaction 1 at 4464666-4464700,Same APP_PREWARM result not consumed in bounded block; no local denial branch observed,clearCallingIdentity at 0x037004; restoreCallingIdentity at 0x0370d2; post-clear identity UNKNOWN,PS7331 OTA IPackageManager.getApplicationInfo -> PreWarmCacheHelper -> startProcessLocked reason=prewarm,NOT_NEW_THIS_PHASE,CONFIRMED_STATIC_MATCH; not privilege transition,Compare exact OTA Stub/onTransact and all retained Amazon APK callsites offline; retain UNKNOWN,04d68d0bb562a14e9cbff3bdce63b66eb911ee4bb7e728ca77cd435a5b03c146,work/luna_worker_prewarm_identity_closure_20260810.csv,7973988c4fa609de8f9f22f8e1e0654cf118a418d43cd742953239d8ee44f0ad
prewarm-identity,IAmazonActivityManager.Stub/Proxy.preWarmApplicationForUser,IAmazonActivityManager.Stub/Proxy.preWarmApplicationForUser; PS7331 OTA:4464666-4464700; transact=1 at 0x00648c,Alexa AmazonActivityManagerImpl wrapper; direct source call line 274; no other exact prewarm callsite in retained decompiled/JADX corpus,interface token com.amazon.android.server.am.IAmazonActivityManager; String + int + int; proxy has no caller-side gate,Proxy preserves caller identity to service; service clears/restores as above,Binder transact(1) -> service Stub -> prewarm sink,NOT_NEW_THIS_PHASE,CONFIRMED_STATIC; ordinary app/shell caller NOT ESTABLISHED,Static inventory only; do not send transaction or fuzz parcel,04d68d0bb562a14e9cbff3bdce63b66eb911ee4bb7e728ca77cd435a5b03c146,work/luna_worker_prewarm_identity_closure_20260810.csv,7973988c4fa609de8f9f22f8e1e0654cf118a418d43cd742953239d8ee44f0ad
prewarm-identity,AmazonWindowManagerService.BinderService.setPipVisibility(boolean),AmazonWindowManagerService.BinderService.setPipVisibility(boolean); FOS:56150-56154; codeOff=0x44922; OTA:3658293-3658298; codeOff=0x44a52,No direct exact caller found in retained corpus; separate service from AmazonActivityManagerService,No method-local permission/enforce marker in bounded block; service-context audit says AUTH_MARKER_NOT_OBSERVED; permission contract UNKNOWN,No clearCallingIdentity/restoreCallingIdentity in bounded method; caller identity UNKNOWN beyond entry,AmazonWindowManagerService.access$202 -> private PIP state writer; no bounded PMS/HOME/package-state sink,NOT_NEW_THIS_PHASE,CONFIRMED_STATIC_METHOD; permission/caller policy UNKNOWN; not ActivityManagerService,Locate full Stub/onTransact and exact callers offline; correlate CONTROL_PIP_WINDOW holders; do not invoke,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;04d68d0bb562a14e9cbff3bdce63b66eb911ee4bb7e728ca77cd435a5b03c146,work/luna_worker_prewarm_identity_closure_20260810.csv,7973988c4fa609de8f9f22f8e1e0654cf118a418d43cd742953239d8ee44f0ad
prewarm-identity,AmazonActivityManagerService registration,AmazonActivityManagerService registration; amazonactivitymanager_fosinit.xml:8-28,System-server fosinit vendor service; activity fetcher maps activity -> amazon.app.AmazonActivityManagerImpl; Alexa uses wrapper,Service publication confirmed; method auth marker not literal/delegated in service-context matrix; caller contract UNKNOWN,Saved enforcing AVC denies shell UID 2000 service_manager find for amazonactivitymanager; no shell Binder handle,Service publication -> Binder Stub; downstream method sinks above,NOT_NEW_THIS_PHASE,CONFIRMED_STATIC_REGISTRATION; shell direct reachability blocked in saved enforcing capture,Maintain host-only source/DEX inventory; no service call,5d212c94f047aee7abc85ef6dc99aa92ca61e3e3d9318bb69db3c10d9e0da411;d436542564947472c1b2481519312542d7d1053512b9cb47c68abbb981e0b0a4,work/luna_worker_prewarm_identity_closure_20260810.csv,7973988c4fa609de8f9f22f8e1e0654cf118a418d43cd742953239d8ee44f0ad
prewarm-identity,Alexa manifest resources/AndroidManifest.xml:78,Alexa manifest resources/AndroidManifest.xml:78; manifest.txt:147; ExplicitIntentAction.java:268-282,Amazon system app; manager assigned only with Amazon ActivityManager feature; target and manager non-null; self-package target excluded,Manifest requests APP_PREWARM; existing Phase6BB evidence classifies Alexa as /system/priv-app and privileged,Alexa package/system identity before Binder; exact UID UNKNOWN; service clears identity after entry,Alexa service-target path -> prewarm then startService; nonzero result logged,NOT_NEW_THIS_PHASE,CONFIRMED_STATIC_CALLER; scope-limited; no ordinary sideloaded caller found,Search every retained Amazon APK/DEX for descriptor and method signature; no lifecycle replay,c1a8bcfc0952239a26b669f7bc227fcc01024ac5db26db7e6eed2ae5cb6a2dc2;cc0a7b0df71c627ce09849b573e44491db3c715d365b631e3325d28623638f0d,work/luna_worker_prewarm_identity_closure_20260810.csv,7973988c4fa609de8f9f22f8e1e0654cf118a418d43cd742953239d8ee44f0ad
prewarm-identity,Exact search over retained PS7331 disassembly/JADX/smali/fosinit/manifests,Exact search over retained PS7331 disassembly/JADX/smali/fosinit/manifests,Alexa only direct preWarmApplicationForUser caller in retained JADX scope; other Amazon apps/callers outside retained corpus UNKNOWN; no ordinary app/shell caller established,Private service SELinux find denial plus APP_PREWARM evidence supports trusted path; complete all-app caller policy UNKNOWN,Shell UID 2000 cannot discover amazonactivitymanager or amazonwindowmanager; no Binder transaction sent,Only sinks found: process prewarm and PIP state writer; no bounded PMS preferred/HOME/root sink,NOT_NEW_THIS_PHASE,CLOSED_FOR_CURRENT_STATIC_SCOPE; UNKNOWN outside corpus; process prewarm is not privilege escalation,"Expand retained artifacts only; no device contact, Binder, broadcast, mutation, APK, root, OTA, reboot",65ad3f10ed3fe2186d5a69e1fe67a2ff86ac9b41d9c39ea66cee05a9c5011b1e,work/luna_worker_prewarm_identity_closure_20260810.csv,7973988c4fa609de8f9f22f8e1e0654cf118a418d43cd742953239d8ee44f0ad
asp-audio,AmazonAspService::hasCallerGotPermission,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:05ca9e-05cb5e tablet true at 05cab4-05cab8; check at 05caca,command; capture; injection; IR; input-source,com.amazon.permission.ASP_PERMISSION,no clearCallingIdentity,native/audio resources,phase6bv shell 2000 Enforcing service found -13 EACCES denial log,STATIC_CANDIDATE_CLOSED_FOR_EXPLOIT_CLAIM,Host-only VDEX/native/SELinux completeness; no Binder,ecbe62fe8eb8bd575da8b2a73a1551651c,work/luna_worker_asp_permission_sink_closure_20260810.csv,e4212271e783a7ab522d9da922a8013dcaf5dbc0129df79294ad4e51edc17778
asp-audio,AmazonAspService::onStart,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:05d3c6-05d3f0,system_server lifecycle,N/A,no clearCallingIdentity,publishBinderService audiosignalprocessor; native HAL init,saved service_check and init manifest path,CONFIRMED_STATIC_PUBLICATION,Host-only policy mapping review; no device action,ecbe62fe8eb8bd575da8b2a73a1551651c,work/luna_worker_asp_permission_sink_closure_20260810.csv,e4212271e783a7ab522d9da922a8013dcaf5dbc0129df79294ad4e51edc17778
asp-audio,AmazonAudioService::enableDualOutput,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:03ca32-03caa6,AmazonAudioManager facade,com.amazon.permission.FORCE_SIMULTANEOUS_AUDIO_OUTPUT,no,AudioSystem.setForceUse dual-output state,No method invocation; service listing only,STATIC_AUDIO_ONLY,Host-only review; no service call,ecbe62fe8eb8bd575da8b2a73a1551651c,work/luna_worker_asp_permission_sink_closure_20260810.csv,e4212271e783a7ab522d9da922a8013dcaf5dbc0129df79294ad4e51edc17778
