id,service_surface,interface_stub_transaction_or_entry,caller_and_permission,clear_calling_identity_boundary,downstream_sink,low_privileged_reachability,disposition,evidence_offsets
A1,amazonactivitymanager,IAmazonActivityManager tx1 preWarmApplicationForUser,"ordinary APK UID 10198 observed; APP_PREWARM check result not consumed",clearCallingIdentity before lookup/startProcessLocked,"startProcessLocked(...,prewarm,...)",proven ordinary caller and process effect,"confirmed bounded process/resource deputy; not package/HOME LPE",fosservices/disassembly.log:40472-40503
U3,amazonusermanagerservice,IAmazonUserManager tx3 enableKftLauncher(UserInfo),"stub token only in bounded block; trusted child/KFT client; ordinary path reaches service but PMS gates",none shown before relevant PMS calls,"enableKftLauncherComponent: enable Tahoe; disable Fire and Launcher3 for supplied user",ordinary mutation not proven; User10/User0 downstream gates reject,"strong static writer; blocked/non-adoptable child path",fosservices/disassembly.log:54297-54325; boot-fosframework/disassembly.log:369203-369243
U4,amazonusermanagerservice,IAmazonUserManager tx4 setUserSetupComplete(UserInfo),"ordinary APK UID 10223 reached UserInfo.id 0; no effective local authorization in bounded path",clearCallingIdentity before settings writes,"Settings.Secure.putIntForUser setup-state flags",proven ordinary caller and bounded settings mutation,"confirmed settings-state deputy; no package/HOME sink",fosservices/disassembly.log:3656666-3656709
P1,amazonprofileservice,IAmazonProfileService initiateLauncher,"PROFILE_INTERACTION enforced by enforceProfileInteractionPermissions",none relevant shown,"internal profile flow; no preferred/HOME/package setter",ordinary reachability unknown,"permission-gated profile operation; not escalation",fosservices/disassembly.log:76246-76256;78949-78966
P2,amazonprofileservice,IAmazonProfileService tx41 startProfilePicker,"method-local permission marker not observed; private service; shell find denied",none relevant shown,"configured picker via startActivityAsUser",ordinary reachability unknown,"profile UI launch; not HOME resolver mutation",fosservices/disassembly.log:77222-77280
P3,amazonprofileservice,generic HOME/launcher helper,"framework/profile client AmazonProfileManager; external caller unknown",none shown,"MAIN/HOME intent and startLauncherActivity",no ordinary proof of third-party selection,"static launcher-start false lead; saved runtime resolves Fire",fosservices/disassembly.log:74281-74312;80106-80114;80435-80450
M1,amazonpackagemanager,IAmazonPackageManager tx1/2/4/5 metadata mutators,"ADD_RM_PKG_METADATA consumed; ordinary caller not proven",none relevant shown,"AmazonApplicationFlags writeToFile and metadata consumers",ordinary reachability not proven; sink is metadata only,"confirmed metadata persistence; no HOME/preferred/enabled-state edge",fosservices/disassembly.log:95327-95642;95866-96037
M2,amazonpackagemanager,IAmazonPackageManager tx6/7 proxy receiver register/deregister,"effective external authorization and caller universe unknown",identity handling unknown,"proxy receiver/broadcast path; downstream sink unresolved",unknown,"unknown; do not infer escalation from missing local check",fosservices/disassembly.log:95943-95954
D1,amazondevicepolicymanager,IAmazonDevicePolicyManager tx1 restriction setter,"device-policy/system path; low-privileged caller not proven",clearCallingIdentity around UserManager.setUserRestriction,"user restriction state only",ordinary relay unknown,"trusted policy sink; no role/owner/package/HOME writer",fosservices/disassembly.log:45935-46108;46101-46107
I1,amazon_input,IAmazonInputManager tx1/2 inject/injectSequence,"caller PID/UID recorded; checkInjectEventsPermission helper exists but callsite/enforcement unresolved",none shown; PID/UID passed to native,"nativeInject/nativeInjectSequence",runtime caller unknown; no proven security mutation,"authorization unknown; indirect input only",fosservices/disassembly.log:19508-19714
I2,amazon_input,key interceptor/listener/filter family,"GET_KEYEVENTS/ACCESS_EVENT_REGISTER/FILTER_INPUT_EVENTS gates in reviewed methods; setInputFilter local check incomplete",calling UID used for interceptor checks; no relevant identity clear,"callback/input-filter state; no resolver/preferred/component writer",ordinary caller not proven,"protected or unknown; not LPE",fosservices/disassembly.log:19777-20547;19829-19999
W1,amazonwindowmanager,IAmazonWindowManager lock/overscan/PIP methods,"external caller unknown; shell find denied",identity/permission closure incomplete,"window/PIP/overscan/status-bar state",ordinary reachability unknown,"static boundary; no requested package/component/HOME sink",fosservices/disassembly.log:56070-56179;56234-56244
O1,OOBE receiver,BootAfterSystemOTAReceiver onReceive/enableIncrementalFlow,"RECEIVE_BOOT_AFTER_SYSTEM_OTA signature|amazon; sender needs boot phase 550 and upgrade state",trusted lifecycle context; no ordinary relay,"may enable OobeHomeActivity",low-privileged reachability unknown; trigger not replayed,"static lifecycle candidate; risk-rejected trigger",findings/phase-6q-binder-service-and-oobe-audit.md; findings/phase-6p-callback-and-ota-audit.md
O2,DeviceSoftwareOTA,OTA controller/update boundary,"com.amazon.dcp.ota.permission.CONTROLLER signature|privileged",recovery/update identity boundary,"partition/block-image and post-install lifecycle",no low-privileged chain proven,"static capability only; OTA execution prohibited",findings/phase-6kt-recovery-verifier-provenance.md; findings/phase-6p-callback-and-ota-audit.md
F1,fosinit local callbacks,Vendor callbacks/AppCompat/Eve/LauncherHijackPreventer registrations,"in-process system_server registrations; not exported Binder; no ordinary caller",no Binder calling identity at callback dispatch,"resolver filtering/visibility/policy callbacks; no preferred/HOME/package writer",not applicable,"false lead; trusted local surface",services/disassembly.log:222435-222489; fosservices/disassembly.log:41093-41147; findings/phase-6jd-fosinit-registration-audit-closure.md
F2,fosdebug,IFireOSDebugManager dump,"android.permission.DUMP diagnostic path",none,"diagnostic output only",shell read-only query only,"query-only; no escalation",fosservices/disassembly.log:412-576
