id,test_or_route,device_user,mutation,observed_result,persistence,rollback,status,evidence,sha256,next_minimal_test
7D-001,baseline HOME resolver,user0,none,"Fire Launcher priority 50; com.amazon.firelauncher/.Launcher isDefault=true; Fire package enabled=0",persistent baseline,not required,CONFIRMED,"output/tables/phase6di-home-priority-override.csv; findings/phase-6ij-user0-home-candidate-closure.md",249ff92ad3ae913ed6821b17787e92165f62006894af9764456b00cc25232430,"Read-only re-query after any future authorized test; no mutation."
7D-002,public set-home-activity Microsoft,user0,"cmd package set-home-activity Microsoft","Preferred/mAlways record was written successfully, but resolver and foreground remained Fire priority 50",record persisted across reboot,preferred rollback to Fire recorded,CONFIRMED,"output/tables/phase6di-home-priority-override.csv; output/tables/phase6ex-preferred-force-stop-home.csv",249ff92ad3ae913ed6821b17787e92165f62006894af9764456b00cc25232430,"No repeat; compare read-only preferred and resolver state only."
7D-003,set-home plus force-stop checkpoint,user0,"set Microsoft preferred; force-stop Microsoft; HOME; restore Fire preferred", "Fire won HOME; Microsoft stopped; Fire preferred and foreground restored",preferred state persistent; force-stop temporary,successful semantic rollback,CONFIRMED,"output/tables/phase6ex-preferred-force-stop-home.csv",21edb5fb681987ef47b8e34a1955681bb85742d4e233a465a51961205f68f11f,"No repeat; retain as negative boundary."
7D-004,protected package/component disable,user0,"pm disable-user Fire package/component", "SecurityException before state write; Fire package remained protected and HOME priority 50",unchanged,not required,CONFIRMED_NEGATIVE,"output/tables/phase6di-home-priority-override.csv; output/tables/phase6fg-pms-protected-package.csv",249ff92ad3ae913ed6821b17787e92165f62006894af9764456b00cc25232430,"No repeat; read-only package state guard only."
7D-005,Settings GUI default HOME,user0,"open HOME_SETTINGS / AdvancedAppsActivity", "Settings exposed no usable Home-app picker; no GUI HOME replacement; Fire remained HOME",unchanged,not required,CONFIRMED_NEGATIVE,"output/tables/phase6fo-gui-default-apps-home-boundary.csv; findings/phase-6fo-gui-default-apps-home-boundary.md",5d8d637d86d32d6cc880f9af04406d1acd39271eddee00552ec317cb73bb9886,"No repeat; inspect only if a future build exposes a Home selector."
7D-006,DPM persistent preferred tx100,user0,"fake admin/live owner caller attempt", "Both caller cases rejected with security error; Fire remained HOME; no persistent preferred write",none,not required,CONFIRMED_NEGATIVE,"output/tables/phase6dt-dpm-tx100-caller-gate.csv; output/tables/phase6cq-dpm-persistent-preferred-boundary.csv",,"No raw transaction; only observe an authorized owner lifecycle if naturally available."
7D-007,backup preferred restore,user0,"none; read-only dumpsys backup and static restore path", "Backup helper/tx81 exists statically; no restore running; shell writer rejected; Fire unchanged",not tested,not applicable,UNTESTED_SAFE_ROUTE,"output/tables/phase6cp-backup-preferred-observation.csv; output/tables/phase6dw-backup-preferred-observation.csv",,"Only observe a genuine official restore event; do not replay payload or tx81."
7D-008,GUI child/KFT provisioning,user10/11/12,"supported Settings child creation plus authorized user lifecycle", "Tahoe FreeTimeLauncherActivity became child HOME priority 975; Fire disabled per child; User 0 Fire priority 50 stayed independent",child state persisted until stop/switchback,stop child/switch User 0 recorded,CONFIRMED_CHILD_ONLY,"output/tables/phase6cb-gui-child-profile-kft-lifecycle.csv; output/tables/phase6cc-adb-child-home-activation.csv; output/tables/phase6gr-gui-systemui-profile-switch.csv",d3ce7a38f3d1e3df35571880b922aaa22377f5efaea8a349e5520f2ae2fc06ad,"No new child creation; if already-existing child is present, read-only resolve/foreground check only."
7D-009,shell restricted child create/remove,user10,pm create-user --profileOf 0 --restricted then remove-user, "User 10 created stopped/unstarted; User 0 HOME unchanged; removal succeeded; no direct KFT call observed",temporary and reversible,remove-user plus post-rollback guard,CONFIRMED_NEGATIVE,"output/tables/phase6ay-kft-child-user-matrix.csv; findings/phase-6ay-kft-child-user-experiment.md",,"Do not repeat; genuine Amazon provisioning remains untested and would require privileged GUI/private path."
7D-010,third-party HOME inside KFT child,user10/12,"install-existing Microsoft; set-home-activity; switch child", "Microsoft candidate priority 0 did not displace Tahoe priority 975; Tahoe remained foreground; parent User 0 Fire unchanged",per-user state during child run,uninstall/stop/switchback recorded,CONFIRMED_NEGATIVE,"output/tables/phase6ck-child-third-party-home-boundary.csv; output/tables/phase6fy-kft-user10-third-party-home.csv",8732d7a6f3f9a343c3768d0e040e569d5c2ba95971a48cc31b62d0f5ef2133b3,"No repeat; child-only route is not a User 0 workaround."
