route_id,surface,caller_or_entry,registration_or_interface,permission_or_gate,identity_handling,sink,user_scope,home_or_package_relevance,service_manager_or_runtime_boundary,low_privilege_caller_found,dynamic_test_allowed,classification,confidence,evidence
CALLER-01,H2 household service,H2ClientService.onBind() → IH2ClientService methods,exported service; action com.amazon.alta.h2shared.aidl.IH2ClientService,manifest BIND_SERVICE (signature); live query reports the same permission,AbstractAPICall logs Binder.getCallingUid(); no additional method-local caller gate observed in the recovered Stub,UserHelper → AndroidUserHelper → AmazonUserManager.createAdultUser/createChildUser,Amazon household/profile lifecycle; nonzero child/adult user creation or removal,Creates/removes child or adult users; no Fire/HOME writer in bounded APK evidence,Exported service is signature-bound; no shell route,false,false,TRUSTED_PROFILE_LIFECYCLE_NO_HOME,Strong evidence,artifacts/phase6mc-alta-static-20260810-01-manifest.txt:144-154; H2ClientService.java:105-107; AndroidUserHelper.java:78-81
CALLER-02,H2 create-child path,IH2ClientService.addUser() → AddUserAPICall → HouseholdController.createUser(),signature-bound H2 service; workflow command,BIND_SERVICE plus household/account workflow checks,No shell/app relay was exercised; workflow uses supplied UserMetadata only after service binding,CreateAndroidUserCommand → UserHelper.createAndroidUser() → AmazonUserManager.createChildUser(name),New child profile; downstream KFT state is per supplied child user,Child-user lifecycle only; no User-0 HOME selection,Signature-bound H2 workflow; no shell route,false,false,CHILD_PROFILE_ONLY_NO_USER0_HOME,Strong evidence,AddUserAPICall.java:1-35; HouseholdController.java:323-372; CreateAndroidUserCommand.java:21-32; AndroidUserHelper.java:78-81
CALLER-03,IAmazonUserManager tx3,AmazonUserManagerImpl.createChildUser() → IAmazonUserManager.Proxy transaction 3,amazon.os.IAmazonUserManager / amazonusermanagerservice,private service-manager/SELinux boundary plus child/KFT predicate; ordinary shell lookup is unavailable,Static Stub/implementation review; no raw tx3 sent in this phase,AmazonUserManagerService.enableKftLauncherComponent(UserInfo),UserInfo.id supplied by the child lifecycle; enables Tahoe and sets Fire/Launcher3 state 2 for that child,"Launcher package/component state writer, but scoped by supplied child UserInfo.id",Private service-manager/SELinux boundary; tx3 not replayed,false,false,CHILD_SCOPED_PACKAGE_STATE_NO_USER0_HOME,Strong evidence,"findings/phase-6bk-report.md; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54297-54325,54415-54478"
CALLER-04,IAmazonUserManager tx4,IAmazonUserManager.Stub transaction 4 setUserSetupComplete(UserInfo),amazon.os.IAmazonUserManager / amazonusermanagerservice,interface token; prior controlled evidence reached the method from an ordinary APK,"Implementation clears Binder identity before settings writes, then restores it","AmazonUserManagerHelper.putIntForUser(user_setup_complete, tv_user_setup_complete)",Caller-supplied setup-state user; settings only,"Writes setup-state settings; no package, resolver, or HOME sink",Private service boundary; prior controlled APK reachability only,true,false,LOW_PRIVILEGE_SETTINGS_ONLY_NO_HOME,Confirmed,findings/phase-6gv-amazon-user-manager-tx4-settings-deputy.md; findings/phase-6gi-amazon-user-manager-tx4-user10-deputy.md
CALLER-05,AmazonActivityManager prewarm,AmazonActivityManagerService.BinderService.preWarmApplicationForUser(),private amazonactivitymanager service,APP_PREWARM permission plus target/package filters; service-manager and SELinux boundary,Static path clears identity before process-start work; denial-result consumption remains an audit note,startProcessLocked / application prewarm,Requested user/process; no HOME component sink observed,Starts/prewarms a requested process; no HOME component or preferred writer,Private service-manager/SELinux boundary; APP_PREWARM gate,false,false,PREWARM_PROCESS_START_NO_HOME,Strong evidence,findings/phase-6k-report.md: IPC authorization review; findings/phase-6er-amazon-prewarm-confused-deputy.md
CALLER-06,post-system-OTA OOBE sender,AmazonPackageManagerService.onBootPhase(550),system-server boot lifecycle,PackageManagerService.isUpgrade() plus RECEIVE_BOOT_AFTER_SYSTEM_OTA protected broadcast permission,system-server sends the broadcast; no ordinary caller relay observed,BootAfterSystemOTAReceiver → OOBEActivationHelper → OobeHomeActivity/setup state,"Provisioning/OOBE lifecycle, primarily User 0 setup state",May change OOBE/setup state and OobeHomeActivity during system OTA lifecycle,system_server boot phase + protected broadcast; no ordinary caller,false,false,SYSTEM_LIFECYCLE_OOBE_NOT_SHELL_RELAY,Strong evidence,findings/phase-6q-bootafter-system-ota.md; findings/phase-6r-bootafter-system-ota-authorization.md; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:96107-96126
CALLER-07,Play Store generic state writers,com.android.vending internal verifier/enterprise-policy paths,data-app package; no HOME-specific interface identified,captured grants include package-state permissions; any framework call still reaches PMS gates,bounded JADX output; exact callers/inputs are internal and not invoked,generic setApplicationEnabledSetting/setComponentEnabledSetting writers,internally derived package/component targets,Generic package/component state writer; no Fire/HOME controller in bounded scan,Data-app or internal path; exact caller not invoked,unknown,false,GENERIC_STATE_WRITER_NO_HOME_EVIDENCE,Probable,findings/phase-6mb-vending-permission-and-state-writer-audit.md
PMS-001,PMS/HOME caller inventory,AppAdapterHandler.goToRegistration ()V,fosservices,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setComponentEnabledSetting,Context-bound; explicit user mapping not present at call site,OOBE registration component; not Fire Launcher HOME selection,Amazon OOBE lifecycle path,false,false,OOBE_COMPONENT_WRITER,Strong evidence,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:26056 (offset 0x02ab0c)
PMS-002,PMS/HOME caller inventory,GeminiHandler.disableGeminiIfRequired ()V,fosservices,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setApplicationEnabledSetting,fixed Gemini package path,Package/component or preferred-state related system writer,System-server or privileged component; caller provenance bounded,false,false,OTHER_SYSTEM_STATE_WRITER,Probable,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:30354 (offset 0x02e92e)
PMS-003,PMS/HOME caller inventory,AmazonUserManagerService.BinderService.enableKftLauncherComponent (Landroid/content/pm/UserInfo;)V,fosservices,Not established at this static invoke site,Not established at this static invoke site,AmazonPackageManager.setComponentEnabledSetting,Supplied UserInfo.id; child lifecycle scope,Fire/Launcher3/Tahoe state writer; not a formal User-0 HOME selector,AmazonUserManagerService internal/system-server path,false,false,CHILD_SCOPED_PACKAGE_STATE_NO_USER0_HOME,Strong evidence,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54310 (offset 0x04320a)
