phase,test_or_evidence_id,source_file,command_or_method,observed_result,confidence,open_gap,hash_verified
9,9B-001,work/luna_worker_phase9b_kft_client_identity_20260810.csv; work/luna_worker_phase9b_kft_client_identity_20260810.md,host-side disassembly/JADX/data-flow review,"createChildUser -> enableKftLauncher tx3; writer consumes supplied child UserInfo.id and has no fixed User 0/HOME setter; external APK caller remains unresolved",Confirmed,"exact APK/native caller, UID/signature, tx3 local authorization, fresh runtime attribution",evidence hash listed; not rehashed
9,9C-DCPMS-001,work/luna_worker_phase9c_residual_ipc_20260810.csv,host-side manifest/source/AIDL review,"DCPMS service is exported singleUser with GET_DCP decision permission; no recovered client; read-only decision sink, no PMS/HOME mutation",Unknown,"production client/UID, service-manager lookup, permission grant, external user mapping",evidence hashes listed; not rehashed
9,P9D-001,work/luna_worker_phase9d_broad_surface_triage_20260810.csv,host-side disassembly and caller-inventory review,"Amazon flags/metadata mutators and ADD_RM_PKG_METADATA gate are static; production caller and downstream HOME consumer not found",Strong evidence,"production caller, effective grant, persistence consumer and HOME/component edge",evidence hashes listed; not rehashed
10,CHILD-TEST-20260805-01,adb/child-profile-tests/CHILD-TEST-20260805-01/commands.txt; sha256sums.txt,saved historical ADB UI test plus final read-only guards,"child-profile UI path was exercised historically; final guard retained User 0, Fire HOME, and activity state; no current replay performed",Confirmed,"exact child lifecycle attribution and equivalence to ordinary User-0 route",yes (sha256sum -c passed)
10,10A-PM-001,work/luna_worker_phase10a_package_manager_closure_20260810.csv; adb/phase10/PHASE10-BASELINE-20260810-01/home_user0.stdout.txt,static PMS sink review plus saved resolve-activity baseline,"setAmazonFlagsForUser persists Amazon flags for caller-supplied user; saved User 0 HOME resolves Fire Launcher priority 50; no caller-to-HOME edge",Strong evidence,"production caller/UID/signature, service-manager/SELinux tuple, runtime userId provenance",phase10 baseline yes; static evidence not rehashed
10,10B-DPM-001,work/luna_worker_phase10b_dpm_profile_closure_20260810.csv; adb/phase10/PHASE10-BASELINE-20260810-01/device_policy.stdout.txt,static DPM gate review plus saved cmd device_policy read,"restriction path reads calling UID and uses DPM/UserManager policy sinks; baseline shows User 0 parentalcontrols and User 10 tahoe profile owners; no HOME sink",Confirmed,"exact client grant/domain tuple and runtime userId provenance",phase10 baseline yes; static evidence not rehashed
10,10B-PARENT-001,work/luna_worker_parent_profile_dpm_sink_closure_20260810.csv,manifest/decompiled source and policy-owner review,"com.amazon.parentalcontrols is a User 0 Profile Owner with fixed policy/lock-task inputs; arbitrary launcher/package/HOME relay not shown",Confirmed,"runtime UID/signature, owner provisioning provenance, complete exported-component flow",evidence hash listed; not rehashed
10,10C-001/002,work/luna_worker_phase10c_ota_postinstall_closure_20260810.csv; findings/phase-6my-ota-receiver-package-helper-closure.md,host-side decompilation and protected-broadcast review,"BOOT_AFTER_SYSTEM_OTA receiver and phase-550 system-server path statically reach component/settings helpers behind upgrade/protected gates; no runtime OTA effect observed",Strong evidence,"numeric delivery user, sender authorization and sequencing",evidence hash listed; not rehashed
10,10C-003/008,work/luna_worker_phase10c_ota_postinstall_closure_20260810.csv; artifacts/phase6r/ota-ipc-static-audit-20260805-03/report.md,host-side service/source/data-flow review,"OTA bind/install/recovery handoff capability is present behind signature|privileged CONTROLLER gate; no transaction/install/recovery execution",Confirmed,"implementation caller identity, native handoff, AVB/rollback chain",evidence hash listed; not rehashed
10,10C-012,work/luna_worker_phase10c_ota_postinstall_closure_20260810.csv,negative caller-chain review,"no complete ordinary APK or shell UID 2000 route to OTA controller/install/recovery/partition writer was found; no route/effect observed",Disproved,"exact-version native provenance and SELinux closure outside corpus",evidence hash listed; not rehashed
10,10D2-001/003/004/010,work/luna_worker_phase10d_driver_caller_closure_20260810.csv; work/luna_worker_phase7c_kernel_driver_closure_20260810.csv,host-side source/config/policy/native-caller inventory,"CMDQ/M4U/uinput/RPMB surfaces are source/config capabilities with no exact shipped opener, UID/domain, node policy and end-to-end package/HOME sink; retained status UNKNOWN",Unknown,"final object/DT/node labels, TE allow, native caller and effect chain",evidence hashes listed; not rehashed
11,PHASE11-ACCESSIBILITY-LIVE-T01,adb/phase11/PHASE11-ACCESSIBILITY-LIVE-T01/result.json; metadata.json; sha256sums.txt,saved historical bounded accessibility test with before/after/final read-only observations,"foreground and formal HOME remained com.amazon.firelauncher/.Launcher at priority 50; redirect package absent; service not present after HOME; classification says foreground redirect only",Confirmed,"repeatability across build/state and persistence outside bounded run",yes (sha256sum -c passed)
11,PHASE11-ACCESSIBILITY-LIVE-T02,adb/phase11/PHASE11-ACCESSIBILITY-LIVE-T02/result.json; metadata.json; sha256sums.txt,saved historical bounded accessibility test with rebind poll and read-only observations,"foreground and formal HOME remained Fire Launcher priority 50; redirect package absent; service was present before HOME and in poll 1; classification remains foreground redirect only",Confirmed,"longer persistence/reboot behavior and formal HOME writer provenance",yes (sha256sum -c passed)
10,PHASE10-BASELINE-20260810-01,adb/phase10/PHASE10-BASELINE-20260810-01/metadata.json; sha256sums.txt; users.stdout.txt; current_user.stdout.txt; home_user0.stdout.txt; home_user10.stdout.txt, saved read-only ADB baseline; no command executed in this audit,"current user 0; users 0 running and 10 present; User 0 Fire HOME priority 50; User 10 FallbackHome priority -1000; metadata binder_transaction=false",Confirmed,"build drift and whether saved state remains current",yes (sha256sum -c passed)
