row_id,baseline,permission,artifact_role,requester,uses_permission,holder_grant,exported_component_service,method_local_check,binder_identity,user_scope,downstream_sensitive_sink,status,evidence_path,evidence_sha256,line,notes
6AK-001,6AE-007/6X2-ROUTES-005,com.amazon.tv.developer.sdk.personalization.USE_SDK,declaration,android.amazon.perm (declaration owner only),UNKNOWN; no bounded requester manifest,android.amazon.perm package owner; effective grant UNKNOWN,UNKNOWN; no component/service tied to permission,NOT_FOUND in bounded JADX/VDEX; no checkCallingPermission/checkCallingUid joined,UNKNOWN; no Binder consumer joined,UNKNOWN,NOT_FOUND; no downstream sensitive sink,UNKNOWN_NOT_CLOSED,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,59,Declaration has raw protectionLevel=0x0 (normal); declaration alone is not requester or reachability proof
6AK-002,6AE-007/6X2-ROUTES-005,com.amazon.tv.developer.sdk.content.USE_SDK,declaration,android.amazon.perm (declaration owner only),UNKNOWN; no bounded requester manifest,android.amazon.perm package owner; effective grant UNKNOWN,UNKNOWN; no component/service tied to permission,NOT_FOUND in bounded JADX/VDEX; no checkCallingPermission/checkCallingUid joined,UNKNOWN; no Binder consumer joined,UNKNOWN,NOT_FOUND; no downstream sensitive sink,UNKNOWN_NOT_CLOSED,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,65,Declaration has raw protectionLevel=0x0 (normal); declaration alone is not requester or reachability proof
6AK-003,6AE-007/6X2-ROUTES-005,com.amazon.mw.permission.PLUGIN,declaration,android.amazon.perm (declaration owner only),UNKNOWN; no bounded requester manifest,android.amazon.perm package owner; effective grant UNKNOWN,UNKNOWN; no component/service tied to permission,NOT_FOUND in bounded JADX/VDEX; no checkCallingPermission/checkCallingUid joined,UNKNOWN; no Binder consumer joined,UNKNOWN,NOT_FOUND; no downstream sensitive sink,UNKNOWN_NOT_CLOSED,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,183,Declaration has raw protectionLevel=0x1 (dangerous); low/non-signature protection does not prove an accepted caller
6AK-004,6AE-007/6X2-ROUTES-005,com.amazon.mw.permission.PLUGIN_CONSUMER,declaration,android.amazon.perm (declaration owner only),UNKNOWN; no bounded requester manifest,android.amazon.perm package owner; effective grant UNKNOWN,UNKNOWN; no component/service tied to permission,NOT_FOUND in bounded JADX/VDEX; no checkCallingPermission/checkCallingUid joined,UNKNOWN; no Binder consumer joined,UNKNOWN,NOT_FOUND; no downstream sensitive sink,UNKNOWN_NOT_CLOSED,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,1047,No protectionLevel attribute is present in bounded declaration; protection remains UNKNOWN
6AK-005,6AE-007/6X2-ROUTES-005,com.amazon.tv.developer.sdk.personalization.USE_SDK,bounded-consumer-scan,UNKNOWN,NOT_FOUND in exact-build manifest corpus outside owner declaration,UNKNOWN; no saved grant/holder row joined,UNKNOWN; no exported component/service uses this permission,negative bounded scan; no method-local check found,UNKNOWN; no Binder identity use joined,UNKNOWN,negative bounded scan; no sensitive sink edge,BOUNDED_NEGATIVE_NOT_GLOBAL,artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2clientservice/H2ClientService.java,f30c3b42ce45c1e7ef717b2deb5b0402dbc01fc70cb5a86480d8b4a54e7fa9e5,165-274,Bounded source corpus contains H2 AIDL implementation but no USE_SDK requester/consumer; negative is corpus-scoped
6AK-006,6AE-007/6X2-ROUTES-005,com.amazon.tv.developer.sdk.content.USE_SDK,bounded-consumer-scan,UNKNOWN,NOT_FOUND in exact-build manifest corpus outside owner declaration,UNKNOWN; no saved grant/holder row joined,UNKNOWN; no exported component/service uses this permission,negative bounded scan; no method-local check found,UNKNOWN; no Binder identity use joined,UNKNOWN,negative bounded scan; no sensitive sink edge,BOUNDED_NEGATIVE_NOT_GLOBAL,artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2clientservice/H2ClientService.java,f30c3b42ce45c1e7ef717b2deb5b0402dbc01fc70cb5a86480d8b4a54e7fa9e5,165-274,Bounded source corpus contains H2 AIDL implementation but no USE_SDK requester/consumer; negative is corpus-scoped
6AK-007,6AE-007/6X2-ROUTES-005,com.amazon.mw.permission.PLUGIN,bounded-consumer-scan,UNKNOWN,NOT_FOUND in exact-build manifest corpus outside owner declaration,UNKNOWN; no saved grant/holder row joined,UNKNOWN; no exported component/service uses this permission,negative bounded scan; no method-local check found,UNKNOWN; no Binder identity use joined,UNKNOWN,negative bounded scan; no sensitive sink edge,BOUNDED_NEGATIVE_NOT_GLOBAL,artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2clientservice/H2ClientService.java,f30c3b42ce45c1e7ef717b2deb5b0402dbc01fc70cb5a86480d8b4a54e7fa9e5,165-274,Bounded source corpus contains H2 AIDL implementation but no PLUGIN requester/consumer; negative is corpus-scoped
6AK-008,6AE-007/6X2-ROUTES-005,com.amazon.mw.permission.PLUGIN_CONSUMER,bounded-consumer-scan,UNKNOWN,NOT_FOUND in exact-build manifest corpus outside owner declaration,UNKNOWN; no saved grant/holder row joined,UNKNOWN; no exported component/service uses this permission,negative bounded scan; no method-local check found,UNKNOWN; no Binder identity use joined,UNKNOWN,negative bounded scan; no sensitive sink edge,BOUNDED_NEGATIVE_NOT_GLOBAL,artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2clientservice/H2ClientService.java,f30c3b42ce45c1e7ef717b2deb5b0402dbc01fc70cb5a86480d8b4a54e7fa9e5,165-274,Bounded source corpus contains H2 AIDL implementation but no PLUGIN_CONSUMER requester/consumer; negative is corpus-scoped
6AK-009,6X2-H2,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,permission-owner,android.amazon.perm,UNKNOWN; owner manifest is not a requester,sourcePackage=android.amazon.perm UID=1000; explicit custom grants to ten candidate packages in saved package record,exported H2ClientService=true; singleUser/directBootAware; android:permission exact,signature gate positive,No method-local checkCallingPermission in Stub path; AbstractAPICall logs Binder.getCallingUid only,caller UID is logged but not authorizing identity,household/profile workflow,AmazonUserManager create/remove user path,POSITIVE_STATIC_SINK_CALLER_UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,3329-3334; 7538; 8780; 11251; 11568; 13410; 15146; 15880; 17940; 18450; 19476; 21051,Owner/protection and ten grants are positive candidates; actual bind client remains UNKNOWN
6AK-010,6X2-H2,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,requester-manifest,com.amazon.parentalcontrols; com.amazon.h2settingsfortablet; com.amazon.avod.updated; com.amazon.tahoe; com.amazon.kindle.otter.oobe; com.android.systemui,POSITIVE uses-permission entries at exact lines;grant/source positive for ten candidates; requester-to-grant join not proven,UNKNOWN; H2 service is exported;signature permission,No method-local permission gate recovered in H2 Stub;AbstractAPICall Binder.getCallingUid logging only; no clearCallingIdentity in H2 route,UNKNOWN per actual client,household/profile workflow; no HOME/package-state edge,artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/001_com.amazon.parentalcontrols__0_com.amazon.parentalcontrols.xmltree.txt; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/006_com.amazon.h2settingsfortablet.xmltree.txt; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/007_com.amazon.avod.updated.xmltree.txt; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/017_com.android.systemui__0_TabletSystemUI.xmltree.txt; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/022_com_amazon_tahoe.xmltree.txt; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/029_com.amazon.kindle.otter.oobe.xmltree.txt,5ef89e517f53d6d3696df3a43df40502f651d57f0a27d62a445ddc518930c9db; 6e1edce5feb0eb638e04d569f4df9752234ac3c5fd6f33b8169a56c30781ee0c; eeaa9811533647191563203fc020d7662f3b0efe9ac1c5ac888cbb1ccf7bcbee; 43fcaea0046afe885670a711c21d0bfff7d86cd568488f797fb8ea2b1d351c9a; 12055fed1f6cf5f012725aa044e215dcc8c8cdaa233ffac6f044c59198c36ae1; 98ffb904ff2fab10d5ac2ee6572d5c286999f9e5c7532123def0f02a2ac31a72,49; 49; 141; 286; 70; 85,Exact requester evidence; no bindService callsite inferred from uses-permission
