route_id,category,route_family,scope_or_identity,phase6x2_rows_or_canonical,evidence_success_rate,persistence,true_permission_change,rollback,disposition,risk_boundary,evidence
R01,User0 HOME,MAIN+HOME resolver,User 0; Fire Launcher,AC-001;WJ-01;6X-01,"Fire selected before/after; no third-party success rate claimed",persistent baseline,No,not applicable,"已整合/已排除 as replacement",Resolver selection is not a writer; do not infer bypass,"work/luna_worker_phase6ac_accessibility_review_20260810.csv; findings/phase-6cy-accessibility-reboot-unlock-result.md"
R02,User0 HOME,preferred/set-home/priority,User 0; ordinary caller,6X-02;WJ-01;P6-HOME-REGRESSION,"historical mutation reached API, but no durable third-party HOME; exact rate not reported",not sustainable,No target permission change,rollback/final guard restored Fire,"已排除",No setter, priority replay, component mutation, or reboot,"work/luna_worker_phase6vd_test_reconciliation_20260810.csv; findings/phase-3c-report.md"
R03,package-state,Fire protected package and force-stop,User 0; shell/ordinary caller,6QE-02;6QE-10;WJ-02,"component enable and force-stop rejected before mutation; no success",unchanged,No,pre-state preserved,"已排除",Protected-package rejection is not a privilege transition,"work/luna_worker_phase6qe_existing_tests_20260810.csv; adb/phase6fa/; adb/phase6bl/"
R04,package-state,Tahoe enable/component state,User 0 versus child profile,6QE-01;WJ-02;6TY-CHILD-01..03,"Tahoe package enable alone did not expose child HOME; shell component enable rejected; child-scoped writer exists",child-only,Yes only child/profile state; not User0 permission,child lifecycle/switch-back restored baseline,"已整合/已排除 as User0 route",No component-state replay or grant/revoke,"work/luna_worker_phase6qe_existing_tests_20260810.csv; work/luna_worker_phase6ty_user0_fire_restoration_20260810.csv"
R05,User10 child/KFT,KFT launcher writer,User 10/11 child/profile; UserInfo.id,6QE-04;WJ-03;P6-CHILD-KFT,"child HOME observed in existing lifecycle; no User0 success rate",persistent only target profile,Yes per-user package/component state; no User0 permission change,switch-back/final guard preserved User0 Fire,"已整合/已排除 as User0",Private tx3 and user lifecycle are out of scope,"work/luna_worker_phase6ri_existing_results_20260810.csv; findings/phase-6er-kft-child-switch-attribution.md"
R06,DPM/Profile Owner,DPM tx100 -> PMS tx73,owner/admin/profile scope; not ordinary app,6QE-09;P6-DPM,"owner/admin gate observed; no active writer result",not established for ordinary caller,No ordinary permission change,passive observation only,"已排除 as ordinary route/待驗證 caller provenance",No provisioning/removal or Binder transaction,"work/luna_worker_phase6qe_existing_tests_20260810.csv; findings/phase-6di-kft-dpm-backup-passive.md"
R07,HOME resources,default-home resource/overlay/UI,build resource and overlay; runtime user not shown,P6-SETTINGS-OVERLAY;WJ-05,"resource/UI evidence only; runtime selection not measured",not established,No,none,"已排除 as proof of HOME/待驗證 static join",No settings mutation or UI dispatch,"work/luna_worker_phase6vd_test_reconciliation_20260810.csv; findings/phase-6rs-ru-report.md"
R08,SystemUI/navigation,keyguard PendingIntent/SystemUI handoff,verified Binder UID/package; privileged gate, KX-IPC-001;KX-IPC-002,"static capability only; no runtime success",not established,No target permission change,none,"待驗證 host-only caller/transaction join",CONTROL_KEYGUARD gate and private SystemUI boundary; no guessed transaction,"work/luna_worker_phase6x_ipc_20260810.csv; output/tables/phase6x2-control-surface.csv"
R09,SystemUI/navigation,input/uinput/navigation event path,kernel input graph; shipped caller unknown,6XG-001;AC-007,"0/30 direct Accessibility redirect; uinput source capability only",not sustainable,No,visible stop/rollback in redirect harness,"已排除 as formal HOME/待驗證 shipped caller",No input injection or node access,"work/luna_worker_phase6vd_test_reconciliation_20260810.csv; work/luna_worker_phase6xg_driver_20260810.csv"
R10,Accessibility,installed service binding,User 0; user consent/service state,6QE-05;AC-003,"service bound but callback empty; 0/30 direct route; GUI consent run not measured",not established,No,service disable/rollback documented,"已排除 as deterministic route/待驗證 consent",Do not enable Accessibility or install/update APK,"work/luna_worker_phase6qe_existing_tests_20260810.csv; work/luna_worker_phase6ac_accessibility_review_20260810.csv"
