id,surface,exact_method,target_or_sink,caller_identity,publication_or_gate,user_scope,assessment,next_static_check
6SQ-01,KFT package-state,enableKftLauncherComponent UserInfo at fosservices:54310-54324,Amazon package setters for Fire Tahoe Launcher3,tx3 dispatch proven method check absent known callers trusted lifecycle,amazonusermanagerservice published shell find denied,supplied UserInfo.id child/profile scope,EXACT PACKAGE WRITER NOT User-0 HOME,Enumerate tx3 callers UserInfo construction and signature gate
6SQ-02,KFT upgrade loop,AmazonUserManagerService onStart upgrade at fosservices:55053-55119,enableKftLauncher for child users,system-server lifecycle,isUpgrade and child-user gates,child users User-0 rewrite not shown,BOUNDED NEGATIVE for User-0 HOME,Compare loop predicates and user-list source
6SQ-03,PMS preferred HOME,setHomeActivity ComponentName int to replacePreferredActivity at services:966955,preferred HOME record,internal PMS system-server public shell downstream gates,PMS permission cross-user protected-package gates,explicit userId or AsUser Fire target unproven,EXACT PREFERRED SINK no closed User-0 Fire route,Trace callers target validation userId and permission
6SQ-04,PMS cleanup,clearPackageStateForUserLIF and related cleanup at services:934926 949444 957018 966005,preferred-activity cleanup,PMS internal,framework lifecycle and package-removal,framework-selected user,Not a positive Fire selector,Map cleanup callers and per-user argument
6SQ-05,Settings picker,DefaultHomePicker setDefaultKey to PackageManagerWrapper replacePreferredActivity,selected ComponentName preferred record,Settings internal fragment ordinary relay not shown,dashboard omits default_home picker dormant,wrapper has AsUser userId User-0 reachability unproven,EXACT WRAPPER not effective Fire replacement,Trace fragment reachability and PMS gate
6SQ-06,DPM persistent preferred,DevicePolicyManagerService addPersistentPreferredActivity path,DPM persistent preferred HOME policy,active-admin profile-owner PMS downstream UID 1000,DPM owner and admin gates,userHandle and CallingUserId target unproven,TRUSTED GATED no low-privilege closure,Map callers identity transitions component and user
6SQ-07,Profile helper,AmazonProfileService initiateLauncher at fosservices:76246-76256,permission log SUCCESS no setter,PROFILE_INTERACTION processId userId check,amazonprofileservice published permission enforced,no explicit user sink picker separate,NON-WRITER bounded scan,Map profile-picker callers only
6SQ-08,ProductPolicy,EnableDisableComponentAction enableDisableComponent at fosservices:293712-293738,Amazon package and component setters,trusted in-process policy action,policy-file and user-list driven,exact User-0 Fire target absent,UNKNOWN bounded negative no HOME sink,Join policy files target strings and user list
6SQ-09,Vending,LauncherConfigurationReceiver and DseService phase6QB QE,restore install browser-default secure eligibility,no HOME identity clear caller provenance partly UNKNOWN,exported qualification and DSE gates,myUserId only for browser default other scope UNKNOWN,NO CLOSED Fire HOME chain,Recover skipped branches host-only
6SQ-10,HOME callbacks,Vendor callback to AppCompat resolveIntent phase6AL,PM ResolveInfo delegation,no identity rewrite shown,two preserved fosinit registrations,framework resolver user,NOT A WRITER no direct Fire override,Compare unpreserved or native registrations
