family,id_or_route,status,real_home_or_sink,observed_result_or_effect,evidence,evidence_type,next_safe_step
existing-evidence-audit,6KU-IPC-001 ordinary-app prewarm,closed,"Authorization anomaly with process/resource sink only; no evidence of HOME, package mutation, system UID, or root.",No-permission APK reached tx1; target process PID appeared; no HOME/package-state change; parser records no mutation and no device contact.,"findings/phase-6ku-evidence-index.md:5-9; artifacts/phase6k/auth-anomaly-audit-20260805-01/summary.json fields prewarm_permission_result_unconsumed_candidate, prewarm_has_start_process_marker, mutation_performed",existing-evidence-audit,Host-only compare caller/target filters across matching PS7331 artifacts; do not replay Binder.
existing-evidence-audit,6KU-IPC-002 KFT tx3 User 10/User 0,rejected,Downstream PMS gates prevent the static Amazon writer from becoming an ordinary-app HOME/package writer.,User 10 hit cross-user rejection; User 0 hit component-state caller gate; no Fire/Tahoe/HOME mutation.,findings/phase-6ku-evidence-index.md:15-17,existing-evidence-audit,Host-only correlate PMS gate and user-scope checks; no new transaction probes.
existing-evidence-audit,6KU-IPC-003 private Amazon PackageManager,rejected,No alternate privileged relay was observed; private service existence cannot be used as shell reachability proof.,Shell lookup returned not found; private tx1-tx11 are metadata/proxy/query; no private HOME or User-0 package-state setter.,"findings/phase-6ku-evidence-index.md:18-20; findings/phase-6ia-amazon-package-manager-closure.md:7-11,63-74,103-116,133-151",existing-evidence-audit,Host-only contract/source join; do not send guessed Binder parcels.
existing-evidence-audit,6KV-DIS-003 PMS/HOME caller inventory,closed,"Useful sink inventory, but static call sites do not establish low-privilege reachability or mutation.","25 static invoke rows; known KFT, OOBE, Gemini, Espresso, ProductPolicy, shell/DPM/PMS callers; no new Amazon User-0 HOME writer; static-only labels.",findings/phase-6kv-evidence-index.md:1-6; findings/phase-6kv-pms-home-caller-closure.md:7-18,existing-evidence-audit,Keep static-only label; join only against preserved caller metadata.
existing-evidence-audit,6K-IPC-010 private service shell visibility,rejected,Observed shell-to-system-service boundary; service registration is not a usable shell transaction route.,SELinux service_manager find denied shell UID 2000 for amazonactivitymanager and amazonwindowmanager; service check reported not found.,findings/phase-6k-evidence-index.md:51-55; findings/phase-6k-ipc-anomaly-candidates.md:17-23,existing-evidence-audit,Host-only SELinux/service registration comparison; no unknown service call.
existing-evidence-audit,6T-IPC-visibility summary,rejected,Confirms registration-versus-reachability distinction and closes guessed transaction route.,46 interesting services; 31 with shell-find denial; 455 denial records; no Binder transaction sent. HOME remained Fire priority 50 in report.,"artifacts/phase6t/ipc-live-visibility-20260805-01/summary.json fields interesting_service_count, services_with_shell_find_denial, shell_find_denied_record_count, binder_transaction_sent",existing-evidence-audit,Host-only service visibility and SELinux policy review.
existing-evidence-audit,6V-RUNTIME-001 Fire Launcher package/component disable,rejected,Actual protected-package enforcement blocks shell state mutation before write; no HOME replacement path.,Disable request returned Cannot disable a protected package; package/component state unchanged.,"findings/phase-6v-evidence-index.md:16-18; findings/phase-6v-pms-control-surface-review.md:21-46,81-86",existing-evidence-audit,Use existing rejection evidence; no repeat mutation.
existing-evidence-audit,6V-PMS-004 deny-list membership,unknown,Important authorization provenance gap; do not convert strong gate explanation into direct membership proof.,"Static gate reads PackageManagerDenyList/DenyListKeyPackages and is shell-UID aware, but saved shell capture exposed metadata only; exact Fire membership not directly observed.","findings/phase-6v-evidence-index.md:12,21-25; findings/phase-6v-pms-control-surface-review.md:116-134",existing-evidence-audit,Host-only map resource JSON/key provenance or obtain a future authorized read-only artifact.
existing-evidence-audit,6U-OOBE-001 BootAfterSystemOTAReceiver,unknown,Potential HOME/setup-state effect is lifecycle-bound; sender/protected-broadcast membership and natural post-OTA timing remain unresolved.,"System-server phase 550 plus isUpgrade can activate incremental OOBE, enable priority-100 OOBE Home, and write setup state; no broadcast/activation was performed; current component is disabled.","artifacts/phase6u/bootafter-ota-scope-20260805-01/summary.json fields finding, authorization_status, limitations, risk_decision; findings/phase-6u-report.md:18-56,70-84",existing-evidence-audit,Host-only protected-broadcast and version-matched source comparison; observe only after a natural official OTA.
existing-evidence-audit,6KU-OTA-001 native updater dispatch,unknown,"High-privilege capability is present statically, but low-privilege recovery/updater caller provenance is not established; no shell route follows.","24 callback registrations include extraction, write_value, run_program, reboot_now; script/call edges indicate fixed partition targets; all execution_policy device/OTA/native/partition flags are false.","artifacts/phase6ku/boundary-20260810-01/result.json fields execution_policy, findings, phase6kt_report; artifacts/phase6ku/boundary-20260810-01/updater-dispatch.csv:1-25",existing-evidence-audit,Host-only recovery verifier/handoff and canonicalization review; never execute updater/recovery or write partitions.
