test/evidence,source file,hash if present,observed result,security relevance,status (closed/unknown/rejected),next safe step
"6KU-IPC-001 ordinary-app prewarm","findings/phase-6ku-evidence-index.md:5-9; artifacts/phase6k/auth-anomaly-audit-20260805-01/summary.json fields prewarm_permission_result_unconsumed_candidate, prewarm_has_start_process_marker, mutation_performed","e3f940fa236a80865d505a3c852ab5030c3265dafa8126d59f58727d949fd548","No-permission APK reached tx1; target process PID appeared; no HOME/package-state change; parser records no mutation and no device contact.","Authorization anomaly with process/resource sink only; no evidence of HOME, package mutation, system UID, or root.",closed,"Host-only compare caller/target filters across matching PS7331 artifacts; do not replay Binder."
"6KU-IPC-002 KFT tx3 User 10/User 0","findings/phase-6ku-evidence-index.md:15-17","23dd37d17af700752faeae35aeaea542e9e7a3ee39ca9eb55c619b34e07f3c08","User 10 hit cross-user rejection; User 0 hit component-state caller gate; no Fire/Tahoe/HOME mutation.","Downstream PMS gates prevent the static Amazon writer from becoming an ordinary-app HOME/package writer.",rejected,"Host-only correlate PMS gate and user-scope checks; no new transaction probes."
"6KU-IPC-003 private Amazon PackageManager","findings/phase-6ku-evidence-index.md:18-20; findings/phase-6ia-amazon-package-manager-closure.md:7-11,63-74,103-116,133-151","9169af04fe4ebee3e1645d4b097bd07c63cb6d5d3a1329bfc46c6f2421a3f500","Shell lookup returned not found; private tx1-tx11 are metadata/proxy/query; no private HOME or User-0 package-state setter.","No alternate privileged relay was observed; private service existence cannot be used as shell reachability proof.",rejected,"Host-only contract/source join; do not send guessed Binder parcels."
"6KV-DIS-003 PMS/HOME caller inventory","findings/phase-6kv-evidence-index.md:1-6; findings/phase-6kv-pms-home-caller-closure.md:7-18","c7e608c6e6c16502378c6093e8e979cd4d644c3c89d3b3bc3a01ef97295ff206","25 static invoke rows; known KFT, OOBE, Gemini, Espresso, ProductPolicy, shell/DPM/PMS callers; no new Amazon User-0 HOME writer; static-only labels.","Useful sink inventory, but static call sites do not establish low-privilege reachability or mutation.",closed,"Keep static-only label; join only against preserved caller metadata."
"6K-IPC-010 private service shell visibility","findings/phase-6k-evidence-index.md:51-55; findings/phase-6k-ipc-anomaly-candidates.md:17-23","53cbf5d5e873de56b7efee4918ba0b95f5968bf824e665842a5d1f4860ddb5cb","SELinux service_manager find denied shell UID 2000 for amazonactivitymanager and amazonwindowmanager; service check reported not found.","Observed shell-to-system-service boundary; service registration is not a usable shell transaction route.",rejected,"Host-only SELinux/service registration comparison; no unknown service call."
"6T-IPC-visibility summary","artifacts/phase6t/ipc-live-visibility-20260805-01/summary.json fields interesting_service_count, services_with_shell_find_denial, shell_find_denied_record_count, binder_transaction_sent","1bed100e5cb128fed02bd197964792a6ecc1ea461818772747d1d543f334e6ba (service_list); 6fd5d62c1d28a7412ada655c8dfb38edf40ea1c60f6700b9875ed24cfda91bcc (logcat)","46 interesting services; 31 with shell-find denial; 455 denial records; no Binder transaction sent. HOME remained Fire priority 50 in report.","Confirms registration-versus-reachability distinction and closes guessed transaction route.",rejected,"Host-only service visibility and SELinux policy review."
"6V-RUNTIME-001 Fire Launcher package/component disable","findings/phase-6v-evidence-index.md:16-18; findings/phase-6v-pms-control-surface-review.md:21-46,81-86","Capture hash is in adb/phase6v/PHASE6V-RO-20260805-01/sha256sums.txt; static inputs: 373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53, ecbe62fe8eb8bd575df937073ccc2faa020ca592c0515151c","Disable request returned Cannot disable a protected package; package/component state unchanged.","Actual protected-package enforcement blocks shell state mutation before write; no HOME replacement path.",rejected,"Use existing rejection evidence; no repeat mutation."
"6V-PMS-004 deny-list membership","findings/phase-6v-evidence-index.md:12,21-25; findings/phase-6v-pms-control-surface-review.md:116-134","373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53; ecbe62fe8eb8bd575df937073ccc2faa020ca592c0515151c","Static gate reads PackageManagerDenyList/DenyListKeyPackages and is shell-UID aware, but saved shell capture exposed metadata only; exact Fire membership not directly observed.","Important authorization provenance gap; do not convert strong gate explanation into direct membership proof.",unknown,"Host-only map resource JSON/key provenance or obtain a future authorized read-only artifact."
"6U-OOBE-001 BootAfterSystemOTAReceiver","artifacts/phase6u/bootafter-ota-scope-20260805-01/summary.json fields finding, authorization_status, limitations, risk_decision; findings/phase-6u-report.md:18-56,70-84","e9c0aa2d1a35371a96a7564a33696f14b3b9ef7cb0734fbe5267d94cdc70f6d5; source c29b32bf6874b245859357d926773193c15771a6eb254f97edac57541ae5cb90","System-server phase 550 plus isUpgrade can activate incremental OOBE, enable priority-100 OOBE Home, and write setup state; no broadcast/activation was performed; current component is disabled.","Potential HOME/setup-state effect is lifecycle-bound; sender/protected-broadcast membership and natural post-OTA timing remain unresolved.",unknown,"Host-only protected-broadcast and version-matched source comparison; observe only after a natural official OTA."
"6KU-OTA-001 native updater dispatch","artifacts/phase6ku/boundary-20260810-01/result.json fields execution_policy, findings, phase6kt_report; artifacts/phase6ku/boundary-20260810-01/updater-dispatch.csv:1-25","02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b; updater script 4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248","24 callback registrations include extraction, write_value, run_program, reboot_now; script/call edges indicate fixed partition targets; all execution_policy device/OTA/native/partition flags are false.","High-privilege capability is present statically, but low-privilege recovery/updater caller provenance is not established; no shell route follows.",unknown,"Host-only recovery verifier/handoff and canonicalization review; never execute updater/recovery or write partitions."
"6V-OOBE-002 current setup-state observation","findings/phase-6v-evidence-index.md:17-19; findings/phase-6v-pms-control-surface-review.md:105-114","Capture hash is in adb/phase6v/PHASE6V-RO-20260805-01/sha256sums.txt","Saved read-only values are user_setup_complete=1 and isOOBEActive=1; these do not prove BootAfterSystemOTAReceiver ran on this boot.","Prevents overclaiming an OOBE-triggered HOME transition from current settings alone.",unknown,"Retain as baseline only; no manual broadcast or settings mutation."
"6V-PMS-006 installer attribution callback","findings/phase-6v-evidence-index.md:14-15; findings/phase-6v-pms-control-surface-review.md:95-101,136-140","Hashes are recorded in artifacts/phase6v/pms-control-surface-20260805-02/summary.json inputs","Feature/shell/trusted-installer conditions can change installer attribution, but the reviewed path is separate from HOME resolver and protected-package bypass.","Permission/provenance surface is distinct; do not treat it as a launcher or package-state bypass.",closed,"Host-only compare PackageInstaller caller conditions; no install or attribution mutation."
