route,holder_or_service,caller_or_precondition,permission_or_gate,sink_or_effect,device_result,confidence,disposition,evidence
KFT child launcher state,AmazonUserManagerService tx3,trusted child/profile lifecycle; ordinary replay tested,User/cross-user plus PMS protected-component gate,Fire/Tahoe/Launcher3 per-user state setters,User10 cross-user rejected; User0 protected-component rejected,Confirmed bounded,Do not repeat without changed precondition,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54297-54325; existing Phase 6ec/6hp captures
Play Store generic package writers,com.android.vending UID 10180,actual caller/component unknown,CHANGE_COMPONENT_ENABLED_STATE plus PMS protected-package gate,generic application/component setters; no recovered Fire/HOME target,No setter invoked; HOME remained Fire in readonly capture,Strong evidence static only,No package mutation or grant/revoke,adb/phase6pr/PHASE6PR-VENDING-READONLY-20260810-01/vending_package.stdout.txt; work/luna_worker_vending_unclosed_surface_20260810.csv
Play Store launcher receiver,LauncherConfigurationReceiver,external broadcast would need verificationToken creator check,exported receiver plus current HOME/setup checks,Play Store homescreen restore tracker and aofc.y; no formal HOME writer,Not invoked,Strong evidence bounded negative,Do not broadcast or craft PendingIntent,artifacts/phase6mb-vending-static-20260810-01/manifest-print.txt:1470-1479; artifacts/phase6ps-vending-receiver-20260810-01/LauncherConfigurationReceiver.java:43-369
KOR package deletion,com.amazon.kor.demo ServerMessageReceiver,trusted DCP/cloud envelope,INITIATE_HANDLE_DEVICE_MESSAGE plus valid message envelope,DemoPackageManager.deletePackage DELETE_ALL_USERS,Shell broadcast denied in saved test,Confirmed ordinary closure,Do not replay KOR path,findings/phase-6dl-kor-retail-demo-boundary.md:147-180
KOR component state,com.amazon.kor.demo DemoStateService,retail-demo and kiosk state,DemoManager.isDemo and shouldBeInKiosk,enable/disable KOR kiosk component,Ordinary route not proven and not activated,Strong evidence trusted only,No demo activation/reset,findings/phase-6dl-kor-retail-demo-boundary.md:169-180
H2 profile lifecycle,com.amazon.alta.h2clientservice,authorized H2 client only,signature BIND_SERVICE,create child/adult user and profile/settings lifecycle; no HOME/package sink in bounded scan,Ordinary bind not proven and not attempted,Strong evidence ordinary closure,Do not bind/replay transactions,artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/017_com.amazon.h2clientservice.xmltree.txt:102-134; work/luna_worker_high_holder_kor_provisioning_closure_20260810.csv
Managed provisioning,com.android.managedprovisioning,system provisioning/device-owner/profile-owner lifecycle,privapp allowlist and lifecycle gates,Exact package/component/settings sink not retained,No runtime action,Unknown corpus closure,Host-only source acquisition only; no provisioning,artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/permissions/privapp-permissions-platform.xml:88-104; work/luna_worker_high_holder_kor_provisioning_closure_20260810.csv
DPM persistent preferred,DevicePolicyManagerService,active admin/profile owner and system-server path,admin/owner plus PMS UID1000 checks,persistent preferred activity,No ordinary caller accepted in saved tests,Strong evidence trusted only,No Device Owner/provisioning,findings/phase-6ps-privilege-surface-followup.md:KFT/DPM sections; work/luna_worker_parent_profile_dpm_sink_closure_20260810.csv
Amazon activity prewarm,IAmazonActivityManager tx1,ordinary APK UID 10198,APP_PREWARM check result ignored in saved path,clearCallingIdentity then startProcessLocked prewarm,Process/resource effect observed; no package/HOME/root effect,Confirmed bounded deputy,Not a privilege transition,findings/phase-6er-amazon-prewarm-confused-deputy.md
Amazon setup-state settings,IAmazonUserManager tx4,ordinary APK UID 10223,no effective method-local auth in bounded path,clearCallingIdentity then fixed secure setup flags,Write and rollback observed; no package/HOME/root effect,Confirmed bounded deputy,Fixed settings sink only,findings/phase-6gv-amazon-user-manager-tx4-settings-deputy.md
Profile metadata tx41,Amazon profile service,ordinary caller reaches Binder entry,INTERACT_ACROSS_USERS downstream gate,profile metadata path,Downstream cross-user gate blocked saved test,Strong evidence bounded,Do not replay without changed caller,work/luna_worker_parent_profile_dpm_sink_closure_20260810.csv
BootAfterSystemOTA,OOBE/OTA system-server lifecycle,SystemServer upgrade lifecycle only,signature/boot-phase/upgrade gates,OobeHome/setup state and package lifecycle,Manual replay not performed,Strong evidence capability only,Rejected lifecycle trigger,output/tables/phase6ps-privilege-route-closure.csv:PS-BINDER-O1
Driver and kernel candidates,CMDQ/ION/GED/GhostLock,untrusted caller not proven,Unix mode/SELinux/Kconfig/scheduler conditions,potential DMA/memory/race effects,No write/ioctl/race/DoS test,Strong evidence source-only,Rejected unsafe runtime testing,work/luna_worker_kernel_ota_unclosed_closure_20260810.csv
Updater/recovery/native OTA,updater and recovery surfaces,privileged recovery/AVB lifecycle,signature/AVB/partition boundaries,boot/system/vendor/partition writes,No updater/recovery/OTA executed,Strong evidence capability only,Level 3 operations rejected,work/luna_worker_kernel_ota_unclosed_closure_20260810.csv
