id,entry,caller,gate,binder_identity,user_scope,sink,effect,status,evidence,evidence_sha256,missing_edge
10C-001,BootAfterSystemOTAReceiver.onReceive,AmazonPackageManagerService.onBootPhase(550),PMS.isUpgrade plus protected action plus receiver permission filter,system_server sender; receiver delivery UID unresolved,context-derived receiver/provider scope; numeric user UNKNOWN,PackageHelper.enableComponent plus OOBEActivationHelper settings,capability only; no runtime effect,CONFIRMED_STATIC_BOUNDED,findings/phase-6my-ota-receiver-package-helper-closure.md; receiver source lines 27-61,c29b32bf6874b245859357d926773193c15771a6eb254f97edac57541ae5cb90,complete runtime protected-broadcast union and exact delivery user
10C-002,AmazonPackageManager.onBootPhase,system_server boot lifecycle,phase 550 plus isUpgrade gate; not public app or shell entry,system_server; no app or shell Binder identity,system-server context; exact delivery user UNKNOWN,sendBroadcast BOOT_AFTER_SYSTEM_OTA,post-OTA OOBE lifecycle event; not observed,CONFIRMED_STATIC_BOUNDED,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log lines 96087-96126,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,exact runtime sender authorization and delivery sequencing
10C-003,OtaService bind and IOTAControlService.installSideload,OtaServiceConnectionManager.getService to ServiceBinder.bind to transaction 18,exported true but CONTROLLER permission is signature|privileged,service UID 10017; implementation caller identity unresolved,OTA service process scope; user scope UNKNOWN,installSideload to SideloadInstaller to UpdateSystemWrapper.install,privileged install capability behind bind gate; no transaction or install effect,CONFIRMED_STATIC_BOUNDED,artifacts/phase6r/ota-ipc-static-audit-20260805-03/report.md; IOTAControlService lines 278-288,a2e5280c773511f748a8553fe14d7145aa636071ec8bbf3596a4d423ca6583e5,implementation-side caller validation and native handoff
10C-004,SideloadInstaller.installSideload,OTA service implementation internal call,metadata and sanity checks plus device-state check,caller marker unresolved; caller UID UNKNOWN,Sideload File from OTA app or service; user scope UNKNOWN,UpdateSystemWrapper.install at SideloadInstaller line 44,privileged install handoff capability; no OTA effect,CONFIRMED_STATIC_BOUNDED,artifacts/phase6j/.../SideloadInstaller.java lines 65-85,98fe15a329e96ec793fc3f50172d945d9d409b734efce084af38bbef49248e4a,exact implementation caller and recovery/native handoff
10C-005,SideloadMover.maybeMoveSideloadFile,SideloadInstaller.installSideload line 74,OTA data directory support plus sufficient external storage; basename concatenation and no canonicalPath or NOFOLLOW marker,caller inherited from OTA app or service; UID UNKNOWN,external OTA data directory,FileHelper.moveFile renameTo or copy/delete,staging capability only; not executed,CONFIRMED_STATIC_BOUNDED,artifacts/phase6j/.../SideloadMover.java lines 31-44,59131cf032d8544cd44ea839ad63eb37993d2853b4925bf56d10ede721693f63,canonicalization symlink race atomicity SELinux label and caller identity
10C-006,FileHelper.moveFile,SideloadMover.maybeMoveSideloadFile line 41,source exists and destination existence branch; no local Binder gate,caller identity inherited and UNKNOWN,OTA external staging scope,renameTo or FileOutputStream copy then source delete,non-atomic fallback capability; no effect,UNKNOWN,artifacts/phase6j/.../FileHelper.java lines 305-339,55a7f44a70735626be7ebde25e96812346f336fddbec2c87de29ac0fb709b980,filesystem identity labels and no-follow semantics
10C-007,RecoverySystemWrapper.verifyPackage,SideloadVerifier line 42 and OSUpdateValidator lines 73-78,metadata or sanity then android.os.RecoverySystem.verifyPackage; OSUpdateValidator also hash and update-property checks,Java caller unresolved; downstream recovery identity UNKNOWN,package file path from Sideload or PendingUpdate,RecoverySystem.verifyPackage,verification capability; no verification executed,CONFIRMED_STATIC_BOUNDED,artifacts/phase6j/.../SideloadVerifier.java lines 31-59; .../OSUpdateValidator.java lines 42-78,4ba31d323419575c4f9294d430bd6e758b38db68b7ff67405150a697cd549eea,platform verifier certificate AVB rollback inputs
10C-008,UpdateSystemWrapper.install,SideloadInstaller.installOSUpdate line 44,external-to-media path replacement plus screen-state and install flags; controller gate upstream,caller identity unresolved,context mContext and global update scope,UpdateSystem.install(context path flags emptyMap),post-install or recovery handoff capability; no effect,CONFIRMED_STATIC_BOUNDED,artifacts/phase6j/.../UpdateSystemWrapper.java lines 29-44,c99f6884fa298546b18722a5addb46ae35aff4fa9c9f6003d8ad3ccaebe2edfdbd9,authoritative UpdateSystem recovery caller SELinux and slot rollback handoff
10C-009,update-binary indirect dispatch,script parser to RegisterInstallFunctions and RegisterFunction,saved script joins fixed block_image_update and package_extract_file entries; no external Binder caller proof,updater or recovery identity UNKNOWN,fixed archive and by-name targets; user scope UNKNOWN,WriteToPartition to ota_open and ota_write to open and write,native partition-write capability only; not executed,CONFIRMED_STATIC_BOUNDED,artifacts/phase6mk-updater-dispatch-20260810-04/registration-dispatch.csv; updater-script-entrypoints.csv; artifacts/phase6md-native-updater-path-audit-20260810-02/path-write-call-edges.csv,d88e35ec08d9ef0a55a3dbc17dc430b62d3b419810653542b6dd3077095cca24;4d0128ee85eec7b0c88716012858bef699f740907e46e854939c83a6c9e99077;7dc9e3ef08d9ef0a55a3dbc17dc430b62d3b419810653542b6dd3077095cca24,unselected indirect dataflow recovery caller and authentication
10C-010,CacheSizeCheck and MakeFreeSpaceOnCache,PerformBlockImageUpdate at 0x409cb4 and 0x409cdc to CacheSizeCheck to MakeFreeSpaceOnCache,sign-bit return gate; negative is error and nonnegative is success,updater or recovery identity UNKNOWN,cache filesystem scope,readlink_chk plus stat64 plus directory traversal plus unlink plus free-space helper,cache cleanup capability only; no writer effect,CONFIRMED_STATIC_BOUNDED,artifacts/phase6ne-updater-cache-flow-20260810-03/direct-call-edges.csv,d653e4a84898509781a333c56502087a83981781fcf6612d7026bfd79602b477,returned path dataflow and relation to extraction or partition writer
