stage,source,location,evidence,observed,caveat,risk_if_executed
script_target,official updater-script,updater-script:13,SCRIPT-STATIC,package_extract_file targets /dev/block/platform/bootdevice/by-name/boot,"This is a package request, not proof that recovery executed it.",partition write / firmware write
script_target,official updater-script,updater-script:15,SCRIPT-STATIC,package_extract_file targets /dev/block/platform/bootdevice/by-name/preloader,"This is a package request, not proof that recovery executed it.",partition write / firmware write
script_target,official updater-script,updater-script:16,SCRIPT-STATIC,package_extract_file targets /dev/block/platform/bootdevice/by-name/lk,"This is a package request, not proof that recovery executed it.",partition write / firmware write
script_target,official updater-script,updater-script:17,SCRIPT-STATIC,package_extract_file targets /dev/block/platform/bootdevice/by-name/tee1,"This is a package request, not proof that recovery executed it.",partition write / firmware write
script_target,official updater-script,updater-script:18,SCRIPT-STATIC,package_extract_file targets /dev/block/platform/bootdevice/by-name/tee2,"This is a package request, not proof that recovery executed it.",partition write / firmware write
script_target,official updater-script,updater-script:19,SCRIPT-STATIC,package_extract_file targets /dev/block/platform/bootdevice/by-name/spmfw,"This is a package request, not proof that recovery executed it.",partition write / firmware write
script_target,official updater-script,updater-script:20,SCRIPT-STATIC,package_extract_file targets /dev/block/platform/bootdevice/by-name/sspm_1,"This is a package request, not proof that recovery executed it.",partition write / firmware write
script_target,official updater-script,updater-script:21,SCRIPT-STATIC,package_extract_file targets /dev/block/platform/bootdevice/by-name/cam_vpu1,"This is a package request, not proof that recovery executed it.",partition write / firmware write
script_target,official updater-script,updater-script:22,SCRIPT-STATIC,package_extract_file targets /dev/block/platform/bootdevice/by-name/cam_vpu2,"This is a package request, not proof that recovery executed it.",partition write / firmware write
script_target,official updater-script,updater-script:23,SCRIPT-STATIC,package_extract_file targets /dev/block/platform/bootdevice/by-name/cam_vpu3,"This is a package request, not proof that recovery executed it.",partition write / firmware write
startup_dispatch,update-binary main,main:400cac -> 0x406978,REG-INSTALL,registers install-script functions,The evaluator's function lookup is data-driven; the script-to-function call is not a direct BL edge in this report.,depends on later OTA/recovery invocation
startup_dispatch,update-binary main,main:400cb0 -> 0x40d0a8,REG-BLOCK,registers block-image functions,The evaluator's function lookup is data-driven; the script-to-function call is not a direct BL edge in this report.,depends on later OTA/recovery invocation
startup_dispatch,update-binary main,main:400e20 -> 0x41b3c8,EVAL-DIRECT,parses/evaluates updater expressions,The evaluator's function lookup is data-driven; the script-to-function call is not a direct BL edge in this report.,depends on later OTA/recovery invocation
function_registry,RegisterInstallFunctions,0x406978+0x54..+0x390,REG-INSTALL,24 direct calls to RegisterFunction were extracted,Function names/callback pointers are encoded in registers/string data; the saved edge extractor does not decode each registry entry.,none until a registered function is invoked
block_image_wrapper,BlockImageVerifyFn,0x407c48: b 0x408f08,BLOCK-WRAPPER,wrapper branches to PerformBlockImageUpdate with mode value 1,"The wrapper edge is an unconditional branch, not a recovered call edge.",verification/update path is only reached if dispatched
block_image_wrapper,BlockImageUpdateFn,0x40b8b8: b 0x408f08,BLOCK-WRAPPER,wrapper branches to PerformBlockImageUpdate with mode value 0,"The wrapper edge is an unconditional branch, not a recovered call edge.",block-image write path is only reached if dispatched
block_verification,LoadSrcTgtVersion3 -> VerifyBlocks,"40d474, 40db4c",VERIFY-DIRECT,2 direct call edge(s) to VerifyBlocks; VerifyBlocks computes SHA1 and compares the digest/result,"This establishes the validation helper boundary, not a successful validation on the device.",mismatch abort/error path
block_update_io,PerformBlockImageUpdate,0x408f08..0x408f08+10672,UPDATE-IO,"direct edges include _Z8ota_openPKci, _Z9ota_fsynci, _ZN7android4base15WriteStringToFdERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEi",The saved direct-edge list does not recover every indirect callback or internal helper edge.,writes/flushes OTA data when invoked
partition_write_helper,WriteToPartition,0x413c40..0x413c40+1712,WRITE-SYMBOL,"symbol body directly calls ota_open, ota_write, ota_fsync, lseek, read and comparison/error paths",No direct caller edge to this helper was recovered in the bounded call-edge report; data-driven or omitted caller remains unresolved.,raw block-device/file write if reached
raw_io,ota_open,0x426338..0x426338+496,IO-DIRECT,direct edge to libc open is present,Path and flags are runtime inputs; this report does not invoke them.,opens target path
raw_io,ota_write,0x426d58..0x426d58+372,IO-DIRECT,direct edge to libc write is present,This is static binary behavior only; no target path was opened.,writes supplied buffer to open file descriptor
