surface_family,source_csv,source_sha256,Test/Evidence ID,來源檔案,命令或行為,結果,狀態分類,是否可重做,缺口,信心,row_id,status,scope,registration,caller,gate,sink,production_caller,external_reachability,user_scope,evidence,next_safe_verification,evidence_id,area,source,sha256,path,method,observed,capability_vs_caller,notes,id,surface,classification,evidence_strength,source_refs,summary
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,HOME-T01/T02/T14-T19,output/rendered/phase-1-report.phase2-final4.md; findings/phase-6mw-evidence-index.md; adb/launcher-tests,KEYCODE_HOME 或 MAIN+CATEGORY_HOME；解鎖後觀察 resolver/foreground,User 0 一致解析 com.amazon.firelauncher/.Launcher priority 50；Microsoft foreground/preferred record 不改變 resolver,已完成／重複 guard,僅在 build、user 或候選集合改變時；host-only 可重核 saved outputs,未覆蓋其他 image 或候選集合的持久性,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,HOME-DEFAULT/PREF-T01/T17; PHASE6DI-01/02,findings/phase-6di-home-priority-override.md; adb/phase6di; output/tables/phase6di-home-priority-override.csv,cmd package set-home-activity --user 0 Microsoft/.Launcher；preferred record 與 reboot 後 resolver 觀察,Microsoft preferred record 可寫入／保留，但 Fire priority 50 仍勝出；rollback 回 Fire,已排除,host-only 重算 chooseBestActivity 與比對既有 raw；不重送 setter,完整 runtime equal-priority 與 caller provenance 仍有限,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,PACKAGE-T01/T03/T05; PM-SUSPEND-FIRE-T01; PM-HIDE-FIRE-T01; PM-UNINSTALL-FIRE-T01,findings/phase-5-adb-surface-tests.md; adb/mutation-tests,pm disable-user、cmd package disable-user、pm suspend、pm hide、pm uninstall --user 0；比對 before/after/final package與HOME snapshots,Fire disable/suspend/hide/uninstall 路徑被 protected-package 或 shell permission gate 拒絕；Fire enabled/visible、HOME、foreground 未變,已完成／已排除,只讀解析保存 exit code/state/hash；不要重送 setter,privileged/device-policy caller 行為未知；不是普通 shell evidence 的缺口,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,HOME-T20/T21/T22/T23,output/rendered/phase-1-report.phase2-final5.md; work/luna_worker_settings_home_resource_followup_20260810.md; adb/home-settings-tests,開啟 HOME_SETTINGS、讀 Default apps/App info UI、點 App info Home app row,Default apps 頁沒有 Home row；Fire App info 的 Home app row 只回到無 selector 的頁面；未證明 UI selection effect,未完成／static-only,host-only exact-build Settings resource/overlay/UI artifact diff 可重做；不點擊、不 dispatch tx66,缺完整 exact-build picker reachability 與 selection runtime result,中,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,PHASE6AY-KFT-CHILD-T02,findings/phase-6ay-kft-child-user-experiment.md; adb/phase6ay,受限 child-user lifecycle capture；建立後讀 User 0 HOME/package state並 rollback,User 0 仍為 Fire priority 50、Fire enabled-by-default；未觀察到可證明的 User 0 replacement,已完成 child boundary,只讀檢查既有 captures 可重做；不要建立 child 或重播 lifecycle,KFT helper 是否在該 run 真正執行未由缺 log marker 證明,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,PHASE6CC/6CH,findings/phase-6cc-adb-child-home-activation.md; findings/phase-6ch-adb-child12-home-activation.md; output/tables/phase6cb-gui-child-profile-kft-lifecycle.csv,public user switch 後等候 RUNNING_UNLOCKED，讀 child HOME，再回 User 0,child User 11/12 Tahoe priority 975 成為 HOME並可 re-entry；返回 User 0 恢復 Fire priority 50,已完成／child-only,host-only 比對已有 child captures 可重做；不 switch user、不 PIN、不建立/刪 profile,歷史 User 10/11/12 alias與 readiness timing 尚未統一,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,PHASE6CK,work/luna_worker_workaround_audit_followup_20260810.csv; output/tables/phase6ck-child-third-party-home-boundary.csv,child user set-home activity 與 candidate ranking observation,child Tahoe priority 975 仍勝過 Microsoft priority 0；preferred record 不能取代 child Tahoe；不影響 User 0,已排除／child ranking control,host-only 讀表與 ranking source 可重做；不要送 package setter,preferred record persistence與各 child profile lifecycle scope 仍有限,中高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,6AK-UM-001/002/003/004/005/007,findings/phase-6ak-launcher-user-service.md; findings/phase-6ih-child-kft-evidence-closure.md; artifacts/amazon-services,AmazonUserManagerService service visibility、IAmazonUserManager tx3 static dispatch、enableKftLauncherComponent writer與lifecycle call graph,static KFT writer 會按 supplied UserInfo 操作 Tahoe/Fire/Launcher3；shell service-manager/SELinux reachability denied；不是 ordinary User 0 HOME route,已完成 static boundary／已排除 shell route,host-only source、policy、caller、user-scope join 可重做；不得 service call 或猜 transaction,完整 trusted caller/holder provenance與所有 higher-level policy仍缺,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,P6-PMS-HOME-01,findings/phase-6kv-evidence-index.md; findings/phase-6mw-evidence-index.md; work/luna_worker_phase6si_test_catalog_20260810.csv,PMS/Amazon PM/HOME sink static call graph與既有 resolver/package observations,KFT 是已閉合的 launcher-specific Amazon writer但 child-scoped；未找到低權限 User 0 Fire HOME writer,已完成／ broad User 0 claim 已排除,host-only writer-to-caller-to-user join 可重做；不改 PMS/HOME state,Fire restoration writer 的完整 provenance與Amazon caller universe仍缺,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,P6-KFT-SERVICE-01,findings/phase-6ay-kft-device-verification-evidence-index.md; work/luna_worker_phase6sm_test_catalog_20260810.csv,既有 service-manager find/check 與 read-only capture,private KFT service 對 shell 不可呼叫；未發送 private Binder transaction,已排除 shell reachability／拒絕未執行,可重做 host-side path/hash/schema audit；不可重做 device service lookup 或 service call,method handle/transaction behavior與trusted caller仍未知,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
