writer,source/method,target package/component,user scope,caller gate,identity handling,sink,existing runtime result,status,next safe step
PMS protected-package gate,"PackageManagerService.setEnabledSetting -> ProtectedPackages / VendorProtectedPackagesCallback.shouldProtectPackage","com.amazon.firelauncher; com.amazon.tahoe; protected components","requested user; gate evaluated before write","system/privileged app AND deny-list membership AND caller UID 2000 for Amazon callback; normal PMS permission/cross-user checks","framework/system-server callback path; no caller relay","rejects package/component enabled-state mutation before persistence","shell disable attempts rejected; state unchanged","CONFIRMED GATE; not a writer","retain static/runtime boundary; no mutation or Binder replay"
KFT child component writer,"AmazonUserManagerService$BinderService.enableKftLauncherComponent(UserInfo) / tryEnableKftLauncherComponent","com.amazon.tahoe/.launcher.FreeTimeLauncherActivity","supplied KFT child/profile UserInfo.id; not User 0 by static path","trusted child lifecycle or private IAmazonUserManager tx3; KFT existence/device/profile-owner/DPM empowerment","clearCallingIdentity() after authorization, then restore; child id remains explicit","AmazonPackageManager.setComponentEnabledSetting","6KQ shell-induced disable stopped at protected-package gate; tx3 not reached","CONFIRMED STATIC CHILD WRITER; not an exploit","only passive observation of natural trusted child lifecycle"
KFT child package writer,"AmazonUserManagerService$BinderService.enableKftLauncherComponent(UserInfo)","com.amazon.firelauncher","supplied KFT child/profile user only","same trusted KFT tx3 and DPM/profile-owner lifecycle gates","system identity used for downstream package-manager calls after validation","setApplicationEnabledSetting(Fire, disabled, child UserInfo.id)","no User-0 change; User-10/11 child writer is static only in this follow-up","CONFIRMED STATIC CHILD WRITER; no User-0 HOME sink","do not infer ordinary-user or User-0 reachability"
KFT child package writer,"AmazonUserManagerService$BinderService.enableKftLauncherComponent(UserInfo)","com.android.launcher3","supplied KFT child/profile user only","same trusted KFT tx3 and DPM/profile-owner lifecycle gates","system identity used for downstream package-manager calls after validation","setApplicationEnabledSetting(Launcher3, disabled, child UserInfo.id)","no User-0 change; KQ did not execute child lifecycle","CONFIRMED STATIC CHILD WRITER; no User-0 HOME sink","retain as child-state edge only"
PMS public HOME setter,"IPackageManager.setHomeActivity tx89 / PackageManagerShellCommand set-home-activity","preferred HOME record for supplied user; candidate component data","explicit target user; existing record comparator User 0","SET_PREFERRED_APPLICATIONS plus cross-user checks and PMS resolver rules","caller identity remains subject to PMS; no new clearCallingIdentity relay","preferred-activity XML/record; resolver ranking","Microsoft preferred record can exist but Fire remains priority 50","CONFIRMED TRUSTED/API WRITER; not Fire disable writer","read-only compare preferred records and resolver only"
DPM persistent HOME writer,"DevicePolicyManagerService.addPersistentPreferredActivity tx100 -> PMS tx73","admin-supplied persistent preferred component","managed/admin user; User 0 only if legitimate owner scope permits","active admin/Profile Owner/Device Owner and caller ownership; MANAGE_DEVICE_ADMINS policy","clearCallingIdentity() only after owner authorization, restore in finally","persistent preferred activity record and resolver","existing evidence shows no User-0 third-party HOME takeover","CONFIRMED TRUSTED OWNER-GATED WRITER; not vulnerability","no provisioning/owner mutation; inspect existing policy artifacts only"
Backup preferred restore,"PreferredActivityBackupHelper.applyRestoredPayload -> IPackageManager.restorePreferredActivities tx81","serialized preferred activities","userId carried by trusted backup restore","trusted Backup/system lifecycle; PMS requires system UID 1000","trusted system identity; no ordinary caller relay found","preferred-activity XML restore","no restore invocation in this work; current User-0 Fire HOME baseline remains","CONFIRMED STATIC TRUSTED WRITER; lifecycle-bound","passive inspection of naturally restored state only"
Arcus initial deny-list seed,"DenyListArcusHelper.extractListFromResorces -> processJSON","DenyListKeyPackages in /data/system/PackageManagerDenyList; includes com.amazon.firelauncher","device-protected store, consumed by package gate; package membership is global store input","AmazonPackageManagerService.onBootPhase(500); key absent condition","system-server context/device-protected SharedPreferences","putStringSet(...).commit() after Resources.getSystem().openRawResource(0x7e05000a)","resource direct evidence confirms Fire in PS7331 seed; live persisted contents not read","CONFIRMED STATIC RESOURCE SEED; not HOME writer","preserve seed-vs-live distinction; no SharedPreferences write"
Arcus deny-list refresh,"DenyListArcusHelper.initialize -> Arcus receiver worker -> getDenyList -> saveProtectedPackages","DenyListKeyPackages replacement set; potentially Fire membership depends on payload","device-protected store; callback applies to requested package/user mutation gate, not HOME","system-server boot initialization, persist.sys.denylist_arcusid, matching Arcus sync/unmod action, Arcus configuration","system-server receiver/handler; no ordinary caller established","remove old key, putStringSet(new HashSet), commit","no Arcus refresh triggered; live payload/membership unknown","CONFIRMED STATIC REFRESH WRITER; payload unknown","host-only inspect saved artifacts; do not trigger broadcast/property change"
OOBE OTA component writer,"BOOT_AFTER_SYSTEM_OTA -> BootAfterSystemOTAReceiver -> OOBE activation helper","com.amazon.tv.oobe/.OobeHomeActivity","receiver/framework user context; exact runtime user mapping not encoded; potential User 0 OOBE scope","protected broadcast; system-server phase 550 AND PMS.isUpgrade() AND OOBE/demo guards; receiver requests RECEIVE_BOOT_AFTER_SYSTEM_OTA","framework-delivered restricted Context preserves user scope; no ordinary caller substitution shown","setComponentEnabledSetting(OobeHomeActivity, enabled)","baseline OOBE component disabled; Fire remains HOME in read-only captures; event not replayed","CONFIRMED STATIC LIFECYCLE WRITER; no Fire-targeted writer","only compare after a natural official OTA, read-only"
