row_id,surface,source_config_image,selected_trona_dtb_or_object,node_owner_mode_context,merged_te_genfs_policy,shipped_native_opener,init_uid_domain,operation,driver_sink,closure_status,confidence,remaining_gap,evidence
P20C-001,"CMDQ/MDP","CONFIG_MTK_CMDQ=y/TAB=y; saved Image cmdq markers; source cmdq_driver/mdp ioctl handlers","No compiled selected trona DTB/DTBO, vmlinux symbol map, or module manifest in preserved host corpus","/dev/mtk_cmdq crw-r--r-- system:system; mtk_cmdq_device context","vendor_file_contexts mtk_cmdq_device; CIL allows appdomain, hal_graphics_composer_default, mediacodec, mediaserver; proc cmdq genfscon present","No exact shipped ELF containing both /dev/mtk_cmdq string/opener and CMDQ ioctl relocation; HAL names remain candidates","candidate domains are policy-visible, but no concrete process UID/domain invocation edge","async exec/wait/alloc/free/readback and MDP register/DMA operations","display/register/DMA state; no framework package/HOME sink","UNKNOWN","Medium source/config/policy; low native caller","selected DTB/object delivery and exact ELF opener/ioctl callsite","work/luna_worker_phase19_driver_audit_20260810.csv 19C-C03; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/selinux/vendor_sepolicy.cil:4421,4947,5280,5392; work/luna_worker_phase17_driver_policy_20260810.md"
P20C-002,"M4U proc/DMA","CONFIG_MTK_M4U/source retained; active /dev/M4U_device branch is #if 0","Source MT8183 m4u node exists; no selected trona DTB/DTBO or built object/module manifest","/proc/m4u source registration mode 0; init metadata for related path 0440 system:media; M4U_device label candidate","Exact proc/m4u genfscon and TE write/ioctl allow absent; M4U_device type does not prove active node","No shipped ELF /proc/m4u opener/write or M4U ioctl caller","UID/domain UNKNOWN; system:media is node metadata only","power/MVA/port/monitor/TF controls","IOMMU/DMA/port/power/monitor state; no framework sink","UNKNOWN","Medium source; low delivery/caller","compiled object/DTB; final proc context/allow; native writer identity and validation","work/luna_worker_phase19_driver_audit_20260810.csv 19C-C04; work/luna_worker_phase13_driver_join_20260810.csv 13D-003"
P20C-003,"uinput/evdev","CONFIG_INPUT_EVDEV=y/UINPUT=y; uinput/evdev source fops present","No selected input DTB/object or final ueventd/module evidence","/dev/uinput candidate uinput_device; init chown system:net_bt_admin; mode unresolved","plat/vendor label conflict; CIL declares uinput_device but exact writer allow not joined","No shipped ELF with /dev/uinput, UI_DEV_CREATE, event write, or uinput ioctl callsite","UID/domain UNKNOWN","UI_DEV_CREATE/UI_DEV_DESTROY; event write; evdev ioctl","synthetic input graph; no HOME/PMS/AMS sink","UNKNOWN","Medium source/config; low caller","final ueventd mode/label, merged allow, shipped creator and downstream consumer","work/luna_worker_phase19_driver_audit_20260810.csv 19C-C05; work/luna_worker_phase13_driver_join_20260810.csv 13D-004"
P20C-004,"AUXADC/gsensor via meta_tst","CONFIG_MTK_AUXADC_INTF=y; AUXADC Image markers; gsensor compatible in trona DTS variants","No compiled selected trona DTB/DTBO or exact gsensor driver object; source DTS variant is not boot selection","gsensor node mode/owner not preserved; vendor file_contexts/CIL gsensor_device type","vendor_sepolicy.cil:5532 grants meta_tst gsensor_device chr_file ioctl/read/open/getattr/lock/map","Shipped /vendor/bin/meta_tst imports gsensor_open, gsensor_read, gsensor_get_cali, gsensor_set_cali, gsensor_calibration and NVRAM helpers; API callee's exact device path is not present in meta_tst","meta_init.rc service meta_tst uses users radio/system/wifi; file context meta_tst_exec transitions to meta_tst","gsensor calibration/read/NVRAM operations; AUXADC direct writer not identified","sensor calibration/diagnostic state; no package/HOME sink","PARTIAL_STATIC_CALLER","High for shipped meta_tst→gsensor API and policy; medium selected hardware","underlying gsensor library/device opener, selected DTB/object, final node mode and AUXADC caller","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/vendor-bin/bin/meta_tst nm-D/strings; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/init/hw/meta_init.rc:639-641; vendor_file_contexts:15; vendor_sepolicy.cil:5467-5473,5532"
P20C-005,"RPMB service-to-char","CONFIG_RPMB=y; CONFIG_RPMB_INTF_DEV unset; rpmb-mtk ioctl registration source","No selected trona DTB/object manifest; service and source registration are present, final char-device registration correspondence remains bounded","/vendor/bin/rpmb_svc file context tee_exec; /dev/block/mmcblk0rpmb string in shipped ELF; final node mode unresolved","vendor_file_contexts labels rpmb_svc tee_exec and RPMB block/device types; CIL tee domain allows teei_rpmb_device and rpmb_block_device ioctl/read/write/open (8958,8981,9609)","Shipped /vendor/bin/rpmb_svc imports __open_2 and ioctl; strings include /dev/block/mmcblk0rpmb, EmmcRpmbReadCounter/AuthWrite/AuthRead and ioctl error path","rpmb_svc.rc class late_start group system drmrpc; no user line means init default root; tee_exec typetransition gives tee domain","RPMB authenticated read/write/counter via ioctl; direct driver read/write fops remain NULL","authenticated persistent storage state; no package/HOME sink","PARTIAL_STATIC_CALLER","High ELF/service/policy join; medium object/DT delivery","exact native callsite-to-string/control-flow proof, final node mode, selected object/DTB and TEE authentication validation","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/vendor-bin/bin/rpmb_svc strings/nm-D; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/init/rpmb_svc.rc:1-3; vendor_file_contexts:674; vendor_sepolicy.cil:3502-3507,8958,8981,9609; work/luna_worker_phase19_driver_audit_20260810.csv 19C-C07"
P20C-006,"USB devio/URB","USB/XHCI/MTK options enabled in trona_defconfig; drivers/usb/core/devio ioctl/URB source","USB controller/PHY nodes occur in source DTS; no selected trona DTB/controller object manifest","usbfs/device owner/mode unresolved","usb_device policy candidates exist; exact usbfs client allow/domain edge not joined","No shipped ELF with USBDEVFS ioctl plus usbfs opener/URB submit callsite","UID/domain UNKNOWN","USBDEVFS ioctl and URB submit/control transfer","USB peripheral/control-transfer state; no package/HOME sink","UNKNOWN","Medium source/config/DTS; low caller","selected controller object/DTB, usbfs mode/context, exact native client and TE edge","work/luna_worker_phase19_driver_audit_20260810.csv 19C-C08; work/luna_worker_phase17_driver_policy_20260810.md"
P20C-007,"USB sysfs control via meta_tst","USB config/source plus shipped meta_tst Image/vendor binary","No selected DTB proof for the exact sysfs controller instance","sysfs final owner/mode not preserved","vendor_sepolicy.cil:5569-5572 grants meta_tst read/write/open on sysfs_android_usb and sysfs_usb_cmode","Shipped /vendor/bin/meta_tst imports open/__open_2/write and contains /sys/class/android_usb/android0/f_acm/port_index, /sys/class/android_usb/android0/state, and mt_usb/cmode strings with open/write diagnostics","meta_init.rc meta_tst users radio/system/wifi; file context and typetransition establish meta_tst domain","USB mode/cmode and ACM port-index/state writes; no USBDEVFS URB path proven","USB function/control state; no package/HOME sink","PARTIAL_STATIC_CALLER","High shipped ELF→sysfs string/API and TE; medium selected instance","exact callsite/control-flow mapping, final sysfs owner/mode, selected DTB/object","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/vendor-bin/bin/meta_tst strings/nm-D; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/selinux/vendor_sepolicy.cil:5467-5473,5569-5572; meta_init.rc:639-641"
P20C-008,"performance/perfmgr","perf_ioctl source; performance config retained; proc handler source mode 0664","No selected trona DTB/object or final proc registration manifest","source /proc/perfmgr/perf_ioctl mode 0664; final owner/context unresolved","vendor_sepolicy.cil:38 genfscon proc /perfmgr; CIL gives init write and candidate media/camera/system domains read/ioctl, exact native writer allow incomplete","No exact shipped ELF path-specific /proc/perfmgr/perf_ioctl opener/write/ioctl callsite; init rc writes remain trigger metadata","init/vendor domains are candidates; effective UID/domain and trigger sequence UNKNOWN","FPSGO/perf ioctl and proc writes","scheduler/governor/touch-boost/resource state; no package/HOME sink","UNKNOWN","Medium source/genfs; low native caller","compiled object/proc instance, exact writer ELF, owner/mode, trigger/domain edge","work/luna_worker_phase19_driver_audit_20260810.csv 19C-C09; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/selinux/vendor_sepolicy.cil:38,5095,5397-5398,5448-5449"
P20C-009,"Amazon diagnostic/test service","amzn_drv_test absent from trona_defconfig; official Image amzn_drvs marker count zero; separate meta_tst service is shipped","No shipped amzn_drv_test object/proc registration; meta_tst binary/service is a distinct vendor test service, not amzn_drv_test","meta_tst_exec file context and meta_tst process type are present; no /proc/amzn_drvs node metadata","CIL init→meta_tst_exec transition and broad meta_tst device/sysfs/debug permissions; no amzn_drv_test proc TE closure","Shipped /vendor/bin/meta_tst is a concrete diagnostic ELF; no production ELF proc writer for amzn_drv_test test-index dispatcher","meta_init.rc users radio/system/wifi; domain meta_tst; this does not establish amzn_drv_test route","meta_tst factory/USB/sensor diagnostic operations; amzn_drv_test factory-reset/RTC branches remain unshipped-bounded","diagnostic/hardware state; no confirmed package/HOME sink","BOUNDED_NEGATIVE_PLUS_SHIPPED_DIAGNOSTIC","High config/Image negative for amzn_drv_test; high meta_tst existence","map meta_tst API inputs to exact driver sinks; final object/DTB and policy for any amzn_drv_test proc route","artifacts/phase6nd-amzn-drv-test-image-marker-20260810-01/phase6nd-image-marker-audit.md; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/init/hw/meta_init.rc:639-641; vendor_file_contexts:15; vendor_sepolicy.cil:5467-5473; work/luna_worker_phase19_driver_audit_20260810.csv 19C-C10"
P20C-010,"Amazon liquid detection sysfs","CONFIG_AMAZON_LD/SWITCH retained; amzn_ld sysfs stores in source","amzn,ld appears in proto/DVT source DTS only; no selected HVT/EVT DTB/DTBO or built object","source attrs mode 0664; final sysfs owner/mode/label unresolved","no sysfs file_contexts/genfscon or domain-specific write allow joined","No shipped native ELF string/callsite for stop_detection/ctrl_mode/threshold/sleep_interval","UID/domain UNKNOWN; LiquidDetectionService source/service context is not a driver sysfs writer proof","sysfs store operations controlling liquid/USB behavior","liquid-detection/USB/thermal state; no package/HOME sink","UNKNOWN","Medium source/config/DTS; low selected caller","selected DTB/object, sysfs label/mode/TE, concrete native or HAL writer and sink","work/luna_worker_phase19_driver_audit_20260810.csv 19C-C11; work/ps7331-kasan-tree-20260810/platform/kernel/mediatek/mt8183/4.4/arch/arm64/boot/dts/mediatek/trona_proto.dts:1780-1784; artifacts/phase6aq/service-context-audit-20260805-03/service-context-matrix.csv"
