id,layer,control_flow,caller_gate_identity_user,sink_or_effect,evidence_path_method_offset,evidence_sha256,classification,disposition
6RW-001,SystemUI resource,SystemUIApplication reads array then constructs services,SystemUI system context; listed classes; system scope,Amazon SystemUI service lifecycle only,decompiled/jadx/ota-PS7331/systemui/resources/res/values/arrays.xml:3-37,c59d8f5e41cdab1b1c040835ba4580f4c549de7e66375a6b73bd06363b8a6e7e,confirmed,No HOME/package writer
6RW-002,SystemUI per-user resource,Per-user loader reads array then empty list then no branch,SystemUI per-user loader; empty exact array; no user sink,No per-user service/component sink,decompiled/jadx/ota-PS7331/systemui/resources/res/values/arrays.xml:344-349,c59d8f5e41cdab1b1c040835ba4580f4c549de7e66375a6b73bd06363b8a6e7e,confirmed,No Fire/HOME edge
6RW-003,HOME callback,resolveIntent dispatch then AppCompat PM resolve then ResolveInfo,system_server callback dispatcher; PM resolver; in-process user,PM-produced ResolveInfo,decompiled/baksmali/vdexExtractor/services/disassembly.log:796418-796497; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:41093-41147,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53; ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,high-confidence,No Fire component construction
6RW-004,HOME callback,resolveIntent dispatch then Eve null/base then PM resolver,system_server callback; null result falls through; in-process user,Standard PM resolver,decompiled/baksmali/vdexExtractor/services/disassembly.log:796418-796497; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:41093-41147,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53; ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,confirmed,Falls through; not writer
6RW-005,LauncherHijackPreventer,Activity/stack callback then uid/pid then SELinux or signature gate,Callback context; caller-derived package; in-process user,canSeeHomeTask boolean or permission result,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:136857-137040; artifacts/amazon-services/launcherhijackpreventer_fosinit.xml:9-16,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,confirmed,Visibility gate only
6RW-006,AMS activity/profile callback,Resume/start callback then policy/observer then notification or picker,AMS in-process callback; ComponentName and user lifecycle,Activity/profile event or conditional picker start,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:180180-180210; artifacts/amazon-services/amazonactivitymanager_fosinit.xml:12-22,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,confirmed,No PMS HOME/package writer
6RW-007,Profile metadata,Package lifecycle then readMetaDataFromAppInfo then map persistence,System package lifecycle; target checks; user scope incomplete,Launch metadata map persistence,findings/phase-6er-amazon-profile-metadata-tx41-boundary.md:39-58;112-146,,confirmed,Consumer/authenticity closure pending
6RW-008,OOBE component writer,Protected BOOT_AFTER_SYSTEM_OTA then receiver gates then PackageManager,Protected receiver context; OOBE and retail gates; lifecycle user,OobeHomeActivity enabled,BootAfterSystemOTAReceiver.java:27-61; PackageHelper.java:11-22,900f2dd69d349b3b4718b7f988b7d5bd153af2e2cb3c1586600e5b048e760ad8; c29b32bf6874b245859357d926773193c15771a6eb254f97edac57541ae5cb90,confirmed,No replay; not Fire HOME
6RW-009,OOBE settings writer,Protected OTA/OOBE branch then ContentResolver settings write,Receiver context; inherited user unresolved,user_setup_complete=0 and isOOBEActive=1,OOBEActivationHelper.java:53-56; SettingsDBUtils.java:51-64,6ebcb7eef7a03459a76b9c21cd59b61a30947f2b00a5624a4646825b8e3223d2; 6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31,confirmed,No HOME sink; user propagation pending
6RW-010,Settings HOME resource/controller,Build controller then reads bool/key then reports PM default,Settings context; PM wrapper; user from Settings,Controller availability/report only,decompiled/jadx/ota-PS7331/settings/sources/com/android/settings/applications/defaultapps/DefaultHomePreferenceController.java; decompiled/jadx/ota-PS7331/settings/resources/res/values/bools.xml,39f282503e5c27322ac1e000c1edafa9a514ba036757ac45e40a619f030749c4; e17d1f54abc2bf55d8a50c75821f96f9a4122d03e014de8c15f054e0d9a758db,confirmed,Dashboard XML omits HOME row
