"id","status","artifact_class","artifact_or_scope","source_or_location","observed_boundary","privilege_or_gate","sensitivity_or_limit","next_safe_step"
6SA-001,CONFIRMED_OFFICIAL,official_outer_archive,Fire_HD10-7.3.3.1-20250617.tar.bz2,firmware/original/Fire_HD10-7.3.3.1-20250617.tar.bz2,SHA256=02ffafddb97999ebcc4419dda28cab9ea6ddacf7123b1301a073a3809c762aea; size=2563328975,Preserved source artifact only,Outer member enumeration did not reach verified EOF; do not infer completeness,Offline enumerate to verified EOF
6SA-002,CONFIRMED_OFFICIAL,official_signed_ota,update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,SHA256=9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5; 27 ZIP members,Official signed OTA verification boundary; no install,ZIP scope is bounded independently of outer archive,Re-hash if a new exact package is supplied
6SA-003,CONFIRMED_STATIC,ota_metadata,META-INF/com/android/metadata and ota.prop,artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/android-metadata.txt; ota.prop,pre-device=trona; post-build=Amazon/trona/trona:9/PS7331.4463N/0031575863040; incremental=0031575863172; OTA type BLOCK,Metadata gate is input to updater policy,Metadata copy hashes retained in source artifact manifest,Host-only metadata re-audit
6SA-004,CONFIRMED_STATIC,ota_script,META-INF/com/google/android/updater-script,firmware/extracted/PS7331/META-INF/com/google/android/updater-script; SHA256=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,Uses block_image_update and fixed extraction/write operations at script lines 6-24,Recovery/updater execution identity; fixed named targets,No execution or malformed-input test,Offline script/member cross-check
6SA-005,CONFIRMED_STATIC,updater_binary,META-INF/com/google/android/update-binary,firmware/extracted/PS7331/META-INF/com/google/android/update-binary; SHA256=02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,Registers install and block-image functions; 24 handler registrations,Recovery/updater privilege boundary; indirect dispatch remains,Static disassembly is not runtime proof,Expand offline indirect CFG
6SA-006,CONFIRMED_STATIC,extraction_sink,PackageExtractFileFn 0x401fb8-0x402788,Phase 6MD/6QC native audit,ota_open -> ExtractToMemory/ExtractEntryToFile -> fs operations,Recovery/updater identity; package contents pass through OTA parser,No crafted package or execution,Offline call/dataflow review
6SA-007,CONFIRMED_STATIC,partition_write_sink,PerformBlockImageUpdate / WriteToPartition 0x413c40-0x4142f0,Phase 6MD/6QC native audit,block update -> ota_open/ota_write -> open/write; target list fixed by script,Highest-privilege recovery capability; not shell reachability,No partition write or replay,Offline sink-to-input dataflow only
6SA-008,CONFIRMED_STATIC,partition_target_blocklist,target.blocklist,artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/target.blocklist.json; SHA256=f0a3f810d0dab5486a59cc22b9fc9390e9668760ab5a2b1229580a27fb05d83c,13 fixed bootdevice targets recorded,Recovery policy/package boundary,Copy is local extraction of official member,Re-hash exact member
6SA-009,CONFIRMED_STATIC,staging,SideloadMover and FileHelper,artifacts/phase6y/ota-staging-audit-20260805-01/ota-staging-evidence.csv,Basename destination; rename then copy fallback; destination open/truncate and cleanup delete,Privileged OTA controller path; verification precedes handoff,No canonical/NOFOLLOW marker in Java source is static sensitivity only,Offline helper/source review
6SA-010,CONFIRMED_STATIC,verification,SideloadVerifier / SideloadMetadataChecker,artifacts/phase6y/ota-staging-audit-20260805-01/ota-staging-evidence.csv,"Metadata, RecoverySystem verification path, build/signature/product/PVT/device-state checks","Privileged/controller policy gate; native verifier not in saved Java","No verifier execution","Recover exact platform verifier source offline"
