domain,row_id,subject,method_or_test,publication_or_source,caller_or_image_node,gate_or_policy,identity_or_reachability,user_scope_or_impact,sink_or_result,low_privilege_status,classification,evidence,source_or_hash,next_safe_step,notes
amazon-ipc-provenance,QF-01,Amazon PM flags/metadata,amazonpackagemanager_fosinit.xml:9-10 -> AmazonPackageManagerService BinderService; IAmazonPackageManager tx1/2/4/5 Stub/onTransact in boot-fosframework:404668-404714,amazonpackagemanager_fosinit.xml:9-10 -> AmazonPackageManagerService BinderService; IAmazonPackageManager tx1/2/4/5 Stub/onTransact in boot-fosframework:404668-404714,"AmazonPackageManagerImpl.addAmazonFlagsForPackages/addAmazonMetadataForPackage/removeAmazonFlagsForPackages/removeAmazonMetadataForPackage; framework facade callsites boot-fosframework:367221,367289,369119,369164",Facade checks ADD_RM_PKG_METADATA in removeMetadata path; service methods use checkCallingOrSelfPermission; exact production UID/holder UNKNOWN; no clearCallingIdentity observed in bounded mutators,Facade checks ADD_RM_PKG_METADATA in removeMetadata path; service methods use checkCallingOrSelfPermission; exact production UID/holder UNKNOWN; no clearCallingIdentity observed in bounded mutators,Facade passes UserHandle-derived int; service methods accept explicit user int; numeric target and cross-user enforcement UNKNOWN,AmazonApplicationFlags per-user persistence -> writeToFile; first PM/HOME/component consumer not found; no formal HOME setter,STATIC_SINK_CONFIRMED / CALLER CLASS CLOSED / USER AND PERMISSION HOLDER PARTIAL; no low-privilege reachability,STATIC_SINK_CONFIRMED / CALLER CLASS CLOSED / USER AND PERMISSION HOLDER PARTIAL; no low-privilege reachability,"fosservices:95955-96026; boot-fosframework:367221-367289,369119-369164; artifacts/phase6mx-amazon-pm-callers-20260810-01/caller-calls.csv; findings/phase-6mu-amazon-application-flags-closure.md",,Offline enumerate remaining facade aliases and exact permission-holder provenance; do not invoke private Binder,"UNKNOWN is an evidence gap, not a vulnerability claim"
amazon-ipc-provenance,QF-02,Amazon PM flags/metadata consumers,AmazonApplicationFlags init/readFromFile is internal system-server state; no separate exported registration,AmazonApplicationFlags init/readFromFile is internal system-server state; no separate exported registration,readers recovered in fosservices disassembly; no external production writer beyond facade callers in QF-01,"No caller identity in internal read path; permission boundary is at mutator, not reader","No caller identity in internal read path; permission boundary is at mutator, not reader",User-indexed map/file state; exact file/user binding beyond supplied user remains UNKNOWN,setApplicationInfoForUserLocked/setAmazonMetadataForUserLocked and recency/game-mode/compatibility readers; no Fire HOME decision,BOUNDED NEGATIVE / first HOME consumer UNKNOWN,BOUNDED NEGATIVE / first HOME consumer UNKNOWN,findings/phase-6mu-amazon-application-flags-closure.md:56-82; findings/phase-6hp-amazon-pm-tx3-readonly-flags-exposure.md:77-95,,Host-only scan of reflection/generated/native readers; preserve UNKNOWN if outside corpus,"UNKNOWN is an evidence gap, not a vulnerability claim"
amazon-ipc-provenance,QF-03,Amazon User Manager KFT,"amazonusermanager_fosinit.xml:10,22 -> AmazonUserManagerService; IAmazonUserManager tx3 Stub/onTransact boot-fosframework:371752-371789","amazonusermanager_fosinit.xml:10,22 -> AmazonUserManagerService; IAmazonUserManager tx3 Stub/onTransact boot-fosframework:371752-371789",AmazonUserManagerImpl.createChildUser boot-fosframework:369180-369243; system-server child-user boot loop fosservices:55053-55119,Bounded tx3 body shows interface token but no method-local UID/permission check; separate checkManageUsersPermission is UID 0/1000 or MANAGE_USERS; no identity normalization at tx3 entry,Bounded tx3 body shows interface token but no method-local UID/permission check; separate checkManageUsersPermission is UID 0/1000 or MANAGE_USERS; no identity normalization at tx3 entry,Caller supplies UserInfo.id; boot loop iterates child users; User-0 versus child/profile target is not inferred,enableKftLauncherComponent -> AmazonPackageManager.setComponentEnabledSetting for Tahoe/Fire/Launcher3 state; not formal preferred HOME,STATIC WRITER / CHILD-PROFILE SCOPE / METHOD GATE UNKNOWN; ordinary User-0 route not proven,STATIC WRITER / CHILD-PROFILE SCOPE / METHOD GATE UNKNOWN; ordinary User-0 route not proven,"fosservices:54297-54566,54847-54906,55053-55119; boot-fosframework:369180-369243,370398-370777; findings/phase-6ak-evidence-index.md",,Only offline alias/caller search; no tx3 dispatch or component mutation,"UNKNOWN is an evidence gap, not a vulnerability claim"
amazon-ipc-provenance,QF-04,Amazon User Manager setup,amazonusermanager_fosinit.xml -> service publication and IAmazonUserManager tx4,amazonusermanager_fosinit.xml -> service publication and IAmazonUserManager tx4,Saved Phase 6GI ordinary APK caller reached tx4 for User 10; no additional caller recovered,Bounded entry gate not fully shown; clearCallingIdentity occurs before settings writes and restore after,Bounded entry gate not fully shown; clearCallingIdentity occurs before settings writes and restore after,Supplied UserInfo.id observed as User 10 in saved evidence; no User-0 inference,Settings.Secure user_setup_complete and tv_user_setup_complete; no PM/HOME sink,SETTINGS-ONLY DEPUTY / USER10 EVIDENCE / HOME NOT CONSUMER,SETTINGS-ONLY DEPUTY / USER10 EVIDENCE / HOME NOT CONSUMER,fosservices:54524-54566; output/tables/phase6gi-amazon-user-manager-tx4-user10.csv; findings/phase-6ak-evidence-index.md,,No repeat transaction; document only offline caller aliases and exact settings user API,"UNKNOWN is an evidence gap, not a vulnerability claim"
amazon-ipc-provenance,QF-05,Amazon DPM and persistent preferred,amazondevicepolicymanager_fosinit.xml:10 -> AmazonDevicePolicyManagerService; framework IDevicePolicyManager tx100 -> IPackageManager tx73,amazondevicepolicymanager_fosinit.xml:10 -> AmazonDevicePolicyManagerService; framework IDevicePolicyManager tx100 -> IPackageManager tx73,Active Device Owner/Profile Owner policy caller; saved live owner is com.amazon.parentalcontrols; arbitrary caller UNKNOWN,Amazon DPM restriction paths require MANAGE_USERS plus active-admin/owner checks; tx100 ownership gate; downstream PMS tx73 requires UID 1000 after identity clear,Amazon DPM restriction paths require MANAGE_USERS plus active-admin/owner checks; tx100 ownership gate; downstream PMS tx73 requires UID 1000 after identity clear,DPM clears identity before PMS call; explicit policy user is carried; exact User-0 write acceptance remains role-bound,"Persistent preferred activity record via PMS tx73, potentially HOME-class, but only trusted policy path",TRUSTED WRITER / LOW-PRIVILEGE BLOCKED / no arbitrary caller,TRUSTED WRITER / LOW-PRIVILEGE BLOCKED / no arbitrary caller,"fosservices:45935-46108; boot-framework-disassembly.log:873968-874003,878864-878879; decompiled/jadx/.../DevicePolicyManagerService.java:6604-6621,8303-8321; findings/phase-6dt-dpm-tx100-caller-gate.md",,Offline manifest/role-holder and callback alias comparison only; no owner provisioning or tx100 replay,"UNKNOWN is an evidence gap, not a vulnerability claim"
amazon-ipc-provenance,QF-06,Amazon Profile Service,"amazonprofileservice_fosinit.xml:10,13 -> AmazonProfileService; BinderService publication fosservices:80813-80823; tx21/tx41 Stub in boot-fosframework:378462-378525","amazonprofileservice_fosinit.xml:10,13 -> AmazonProfileService; BinderService publication fosservices:80813-80823; tx21/tx41 Stub in boot-fosframework:378462-378525",AmazonProfileManager/framework client expected for tx21; ordinary APK Binder reachability observed for tx41; exact external caller identity UNKNOWN,tx21 enforces PROFILE_INTERACTION; tx41 downstream startActivityAsUser requires INTERACT_ACROSS_USERS; no clearCallingIdentity in bounded tx41,tx21 enforces PROFILE_INTERACTION; tx41 downstream startActivityAsUser requires INTERACT_ACROSS_USERS; no clearCallingIdentity in bounded tx41,Profile/user arguments are explicit or returned by helper; exact target numeric user and caller-to-user mapping UNKNOWN,tx21 internal launcher/profile flow; tx41 configured picker start only; no preferred activity/package writer,PERMISSION-GATED / PARTIAL ORDINARY REACHABILITY / NOT HOME WRITER,PERMISSION-GATED / PARTIAL ORDINARY REACHABILITY / NOT HOME WRITER,"fosservices:76246-76256,77028-77266,78949-79132; boot-fosframework:378462-378525; findings/phase-6mq-profile-launcher-helper-closure.md",,Offline resolve manifest permission/role and returned user/component aliases; no picker start,"UNKNOWN is an evidence gap, not a vulnerability claim"
amazon-ipc-provenance,QF-07,Amazon Activity Manager / WMS,"AmazonActivityManager and AmazonWindowManager registrations/publications in fosservices:39808-40958,56234-56244; generated proxies in boot-fosframework","AmazonActivityManager and AmazonWindowManager registrations/publications in fosservices:39808-40958,56234-56244; generated proxies in boot-fosframework",System-server callback/observer registration and framework/window helpers; no complete production external caller set,Observer registration and setPipVisibility method-local gates incomplete; prewarm checks APP_PREWARM then clears identity before package lookup/startProcessLocked; WMS identity path UNKNOWN,Observer registration and setPipVisibility method-local gates incomplete; prewarm checks APP_PREWARM then clears identity before package lookup/startProcessLocked; WMS identity path UNKNOWN,Prewarm carries explicit user; observer component/user and PIP/window state are not shown to become PM/HOME state,"First consumers are process/resource, activity observer, PIP/overscan/status-bar state; no Fire HOME/package sink recovered",AUTHORIZATION PARTIAL / BOUNDED NON-HOME SINKS / UNKNOWN caller branches,AUTHORIZATION PARTIAL / BOUNDED NON-HOME SINKS / UNKNOWN caller branches,"fosservices:40391-40563,40453-40534,56070-56183; work/luna_worker_amazon_service_permission_followup_20260810.md",,Offline recover missing method markers and native/SELinux boundary only; no Binder invocation,"UNKNOWN is an evidence gap, not a vulnerability claim"
amazon-ipc-provenance,QF-08,Vending LauncherConfigurationReceiver,Vending manifest receiver exported at manifest-print.txt:1470-1479; FIRST_SCREEN_ACTIVE_INSTALLS; no declared receiver permission,Vending manifest receiver exported at manifest-print.txt:1470-1479; FIRST_SCREEN_ACTIVE_INSTALLS; no declared receiver permission,Sender UNKNOWN; accepted path requires verificationToken PendingIntent; current launcher or setup/package qualification,"Creator package is the gate; no recovered Binder identity clear; manifest CHANGE_COMPONENT_ENABLED_STATE is package capability metadata, not sender proof","Creator package is the gate; no recovered Binder identity clear; manifest CHANGE_COMPONENT_ENABLED_STATE is package capability metadata, not sender proof",Receiver Context/current launcher and setup state; exact delivered user UNKNOWN,"Item arrays -> aoba.k/aofc.y restore/install bookkeeping; no setComponentEnabledSetting, preferred HOME, or Fire literal",EXPORTED METADATA / ACCEPTED SENDER UNKNOWN / NO FIRE ENABLED-STATE WRITER,EXPORTED METADATA / ACCEPTED SENDER UNKNOWN / NO FIRE ENABLED-STATE WRITER,artifacts/phase6ps-vending-receiver-20260810-01/LauncherConfigurationReceiver.java:43-369 SHA 71d17a064272f88d02f4619a2f4fa6fedf0ae91a233c29e0ad6d4110643b6b47; artifacts/phase6mb-vending-static-20260810-01/static-search-summary.md,,Offline follow aoba.k/aofc.y consumers only; do not broadcast or create PendingIntent,"UNKNOWN is an evidence gap, not a vulnerability claim"
amazon-ipc-provenance,QF-09,Vending DSE service,Vending manifest service exported with com.google.android.finsky.permission.DSE and IDseService.BIND at manifest-print.txt:1571-1581; mph Stub dispatch partial,Vending manifest service exported with com.google.android.finsky.permission.DSE and IDseService.BIND at manifest-print.txt:1571-1581; mph Stub dispatch partial,External client UNKNOWN; recovered mph methods f/g/h/i/j/t/s; no complete caller-to-mph mapping,mi() requires DeviceSetup; o() maps Binder.getCallingUid() to packages and arjs.z authorization; no privileged identity relay proven,mi() requires DeviceSetup; o() maps Binder.getCallingUid() to packages and arjs.z authorization; no privileged identity relay proven,t() uses UserHandle.myUserId(); secure-settings/install writer user/profile injected and UNKNOWN,"Browser default, search selector activity, secure-settings eligibility, DSE install bookkeeping; no Fire HOME writer",DSE-GATED / PERMISSION NORMAL METADATA NOT BYPASS / BRANCH UNKNOWN,DSE-GATED / PERMISSION NORMAL METADATA NOT BYPASS / BRANCH UNKNOWN,"artifacts/phase6mb-vending-jadx-20260810-01/DseService.java:233-245,272-484,487-603,655-673,699-736; manifest lines above; APK SHA a5f456832018bbf571f915e949ea9dcd707ad514c269899e916b9b25d5297a50",,Offline recover mph/arjs/g() DEX/smali edges; no bind/transact/install/settings mutation,"UNKNOWN is an evidence gap, not a vulnerability claim"
amazon-ipc-provenance,QF-10,BOOT_AFTER_SYSTEM_OTA / OOBE,system-server AmazonPackageManagerService.onBootPhase(550) -> protected BOOT_AFTER_SYSTEM_OTA -> BootAfterSystemOTAReceiver manifest/source,system-server AmazonPackageManagerService.onBootPhase(550) -> protected BOOT_AFTER_SYSTEM_OTA -> BootAfterSystemOTAReceiver manifest/source,Only system-server lifecycle sender; ordinary sender not proven; two Alexa consumers also receive protected action,phase==550 + PMS.isUpgrade; protected broadcast/RECEIVE_BOOT_AFTER_SYSTEM_OTA; receiver action/OOBE/retail-demo predicates; no ordinary Binder identity,phase==550 + PMS.isUpgrade; protected broadcast/RECEIVE_BOOT_AFTER_SYSTEM_OTA; receiver action/OOBE/retail-demo predicates; no ordinary Binder identity,Context-derived receiver user and ContentResolver/PackageManager numeric user UNKNOWN; system Context propagation statically bounded,PackageHelper enables OobeHomeActivity; OOBEActivationHelper writes setup/OOBE Secure flags; no preferred HOME/Fire writer,PROTECTED LIFECYCLE / USER UNKNOWN / NOT ORDINARY CALLER,PROTECTED LIFECYCLE / USER UNKNOWN / NOT ORDINARY CALLER,fosservices:96087-96126 SHA ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c; BootAfterSystemOTAReceiver.java SHA c29b32bf6874b245859357d926773193c15771a6eb254f97edac57541ae5cb90; artifacts/phase6ni-system-context-oobe-scope-20260810-01,,Host-only Context/user data-flow or natural official OTA read-only observation; no replay,"UNKNOWN is an evidence gap, not a vulnerability claim"
