id,surface_or_service,entrypoint,publication,permission_or_gate,caller_or_client,binder_identity_or_domain,user_scope,sink_or_effect,observed_effect,evidence,confidence,missing_edge,next_safe_step,source_kind
PW15-001,AmazonActivityManager prewarm,"AmazonActivityManagerService.BinderService.preWarmApplicationForUser(String,int,int)",IAmazonActivityManager Stub/Proxy or preserved caller,Context.checkCallingPermission(com.amazon.permission.APP_PREWARM) result not observed consumed; null package and v23 != 0 branches,Binder transaction 1 / generated Stub dispatch,Binder.clearCallingIdentity immediately follows check; restoreCallingIdentity at 008d; no local getCallingUid/enforce marker observed,userId is explicit v24 moved to v10; caller supplies foregroundProfileId,"IPackageManager.getApplicationInfo(package,1024,userId) -> PreWarmCacheHelper -> startProcessLocked(...,'prewarm',...)",Return starts at -1 and becomes 0 only when ProcessRecord is non-null; no HOME/package writer in block,"decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:40453-40534; artifacts/phase6x/prewarm-authorization-20260805-05/prewarm-service-method.snippet.txt:0021-0026,002a-005c,008d-0093",Confirmed,Whether startProcessLocked adds independent caller/user constraints is not established by this bounded slice,Host-only inspect exact startProcessLocked implementation and caller inventory,luna_worker_prewarm
PW15-002,IAmazonActivityManager contract,IAmazonActivityManager.Stub.Proxy.preWarmApplicationForUser,IAmazonActivityManager Stub/Proxy or preserved caller,Interface token enforcement plus generated parcel contract; no separate permission marker in bounded Stub dispatch,AmazonActivityManagerImpl and any Binder client,Proxy transacts as caller; server clears identity after check; generated code does not establish caller privilege,packageName String; flags int; userId int,IBinder.transact(1) -> Stub.onTransact(1) -> implementation,No device invocation; static dispatch only,decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log:394721-394751 and :394892-395079; artifacts/phase6bb/prewarm-caller-closure-20260805-04/prewarm-method-map.csv,Confirmed,Complete external caller set and service-manager reachability by domain are not proven,Search only supplied exact-build host artifacts for non-generated clients,luna_worker_prewarm
PW15-003,Framework manager registration,AmazonActivityManagerImpl constructor/manager fetch,IAmazonActivityManager Stub/Proxy or preserved caller,ServiceManager.getService('amazonactivitymanager'); fosinit vendor-manager mapping,ActivityManager vendor manager path,Identity provenance of manager fetch depends on caller context; no device lookup performed,No user argument at registration; user enters only prewarm call,Manager acquisition -> IAmazonActivityManager proxy,Registration is statically wired; no state mutation observed,"decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log:553272-553277,553433-553446; artifacts/amazon-services/amazonactivitymanager_fosinit.xml:8-28",Confirmed,Runtime publication success and all client contexts are not established host-only,Review preserved service publication code and exact-build clients,luna_worker_prewarm
PW15-004,Preserved direct caller,ExplicitIntentAction.prewarmApplicationProcess,IAmazonActivityManager Stub/Proxy or preserved caller,Self-package target rejected; manager and target must be non-null; return != 0 records failure,Alexa ExplicitIntentAction for service/broadcast target,Calls through manager proxy; server-side identity behavior is separate,mBroadcaster.getForegroundProfileId() is passed as userId; flags argument is 0,"prewarm only, followed by startService or sendBroadcast in surrounding caller; no HOME/package-state writer in shown method",Caller records nonzero return as prewarm failure; surrounding service/broadcast action is separate,artifacts/phase6j/ota-alexa-system-ota-jadx-20260805-01/sources/amazon/speech/sim/router/intentrouter/ExplicitIntentAction.java:268-282; artifacts/phase6bb/prewarm-caller-closure-20260805-04/prewarm-source-occurrences.csv,Strong evidence,Supplied Alexa source scope cannot prove every Amazon APK/dynamic caller was enumerated,Expand exact-build offline source/DEX search only,luna_worker_prewarm
PW15-005,Caller permission holder,Alexa package com.amazon.alexa.multimodal.gemini,IAmazonActivityManager Stub/Proxy or preserved caller,Manifest requests com.amazon.permission.APP_PREWARM; saved grant=true; permission definition prot=signature|amazon,Manifest/package dump holder,Privileged package identity is evidence for known caller only; it does not prove arbitrary caller denial at Binder entry,Saved package setting UID 10044; caller user is determined by foregroundProfileId,No additional sink; supports internal contract provenance,"Saved artifacts show manifest request, protected definition, and granted permission; no mutation performed","artifacts/phase6j/ota-alexa-system-ota-jadx-20260805-01/resources/AndroidManifest.xml:76-80; artifacts/phase6x/prewarm-authorization-20260805-05/amazon_speech_permission_SEND_DATA_TO_ALEXA.block.txt:87-89,11891,16599,19650",Strong evidence,Complete holder set and runtime grant semantics beyond saved package evidence are not established,Inventory exact-build manifests and saved permission blocks,luna_worker_prewarm
PW15-006,Service registration and SELinux boundary,amazonactivitymanager service publication,IAmazonActivityManager Stub/Proxy or preserved caller,fosinit declares vendor service; saved AVC denies shell service_manager find under enforcing,system-server fosinit/service context path,Shell UID 2000 / u:r:shell:s0 cannot be treated as universal caller model; no Binder call made,No user scope in service publication,No sink; reachability boundary only,Static registration is present; saved shell find is denied under enforcing policy,artifacts/amazon-services/amazonactivitymanager_fosinit.xml:8-28; findings/phase-6es-selinux-service-reachability.md; findings/phase-6aq-service-context-closure.md,Strong evidence,Exact service_contexts line and other SELinux domains are not fully reproduced in this row,Inspect preserved service_contexts/policy artifacts host-only,luna_worker_prewarm
PW15-007,HOME resolver downstream audit,Reviewed AmazonActivityManager Binder surface and prewarm body,IAmazonActivityManager Stub/Proxy or preserved caller,No identity relay reaches a demonstrated PMS HOME writer in supplied path,None of prewarm implementation or reviewed Activity Manager methods shows HOME selector marker,UNKNOWN,Explicit userId is used for ApplicationInfo lookup; no HOME user resolver argument observed,No setHomeActivity/replacePreferredActivity/preferred-activity/CATEGORY_HOME/ACTION_MAIN edge; process start only,No HOME resolver or preferred-activity mutation is observed in the bounded path,findings/phase-6ax-activity-manager-home-surface.md; findings/phase-6fl-amazon-caller-identity-relay-audit.md; findings/phase-6em-amazon-activity-prewarm-boundary.md,Disproved,Other services outside bounded audit could independently select HOME; this row does not exclude them,Keep HOME analysis on PMS/ATMS resolver writers and separate trusted lifecycle paths,luna_worker_prewarm
PW15-008,Package-state downstream audit,Amazon fosservices writer inventory,IAmazonActivityManager Stub/Proxy or preserved caller,No observed setApplicationEnabledSetting/setComponentEnabledSetting/addPersistentPreferredActivity/restorePreferredActivities edge from prewarm,No prewarm caller shown reaching package/component setter,UNKNOWN,Only explicit userId reaches package lookup/startProcessLocked; no component/package-state argument,No package enabled/disabled or preferred-state writer connected to prewarm,No package enabled/disabled or preferred-state effect is observed in the bounded prewarm path,findings/phase-6ep-amazon-writer-reachability.md; findings/phase-6fl-amazon-caller-identity-relay-audit.md,Disproved,A different caller/service could write package state; absence is bounded to reviewed artifacts,Host-only search new exact-build callsites if artifacts become available,luna_worker_prewarm
PW15-009,Static anomaly classification,checkCallingPermission -> clearCallingIdentity,IAmazonActivityManager Stub/Proxy or preserved caller,"Missing observed move-result/denial branch is an authorization-review concern, not proof of bypass",Any caller capable of obtaining Binder handle,Identity is cleared before package lookup/process start; restored on normal path and handled exception paths,User scope remains explicit in getApplicationInfo; no cross-user authorization conclusion,"Static evidence supports anomaly candidate only; no exploitability, root, HOME, or package mutation claim",No exploitability or bypass was demonstrated; this is a code-review classification only,artifacts/phase6x/prewarm-authorization-20260805-05/summary.json; prewarm-service-method.snippet.txt,Strong evidence,"Caller reachability, independent lower-layer checks, and actual accepted inputs remain unproven",Review lower-layer implementation and legitimate caller provenance offline,luna_worker_prewarm
P15-001,amazonactivitymanager,AmazonActivityManagerService / IAmazonActivityManager,exact fosinit service and saved runtime name,shell service_manager find denied; method markers present,privileged Alexa prewarm path; caller inventory incomplete,system_server; shell UID 2000 denied,explicit userId where present,prewarm selected package; HOME query only,no package or HOME mutation; shell no handle,phase6aq service-context matrix; phase6ax activity inventory; phase6l contract inventory,Strong evidence,production caller list and denial branches,host-only caller/source join,luna_worker_service_boundary
