route,required_authority,changes_user0_home,fire_state_effect,persistence,rollback,runtime_evidence,status,next_safe_step
"TRUE_HOME / User 0 Fire resolver baseline","ordinary resolver; no mutation","no (Fire remains winner)","unchanged; Fire enabled and visible","normal per-user resolver persistence","none required; baseline retained","HOME resolver and saved ADB baseline: com.amazon.firelauncher/.Launcher priority 50","tested-baseline","use only as comparator for future host-side evidence"
"TRUE_HOME / child Tahoe resolver (User 10/11/12 historical variants)","public user switch plus existing child lifecycle","no","User 0 unchanged; child-scoped Fire/Tahoe state only","child-user lifecycle persists while profile exists; not User 0","stop child and return User 0 in saved tests","6CK/6CC/6CO/6DV: child Tahoe priority 975; owner return Fire priority 50","tested-viable-child-only","host-only reconcile user-ID aliases and readiness gates from saved captures"
"TRUE_HOME / preferred activity and set-home-activity","shell package command; protected PMS ranking","no for User 0","preferred record can change without displacing Fire priority 50","preferred record may persist but loses resolver ranking","saved tests restored Fire preferred record","HOME preference tests and 6CK child boundary","tested-disproved","static compare chooseBestActivity ranking and equal-priority branches"
"TRUE_HOME / Settings Default Home UI","Settings UI plus protected preferred-activity writer","not established","no observed Fire package-state change","unknown; selection effect not captured on this build","captured preferred activity only if future test is authorized","Phase 3C Settings matrix and 6FO static/UI boundary","tested-static-only","host-only exact-build resource/overlay diff; do not click or dispatch"
"FOREGROUND_REDIRECT / resident Accessibility service","user consent plus installed APK; Accessibility enablement","no; resolver remains Fire","Fire launch/window event can redirect visible activity; no package mutation","service setting persisted in one reboot run but event timing is not HOME persistence","saved rollback restored Accessibility null/0, Fire foreground, APK absent","6CX/6CY/6HB: explicit Fire redirect; mixed natural-HOME samples","tested-temporary","host-only reconcile timestamps, trigger definitions, and foreground-vs-resolver labels"
"FOREGROUND_REDIRECT / Microsoft Accessibility negative control","user consent plus installed Microsoft service","no","explicit Fire and HOME remained Fire in this service path","temporary enablement only","saved rollback result restored settings and foreground","6DE installed Accessibility boundary","tested-disproved","retain as negative control; no device rerun"
"FOREGROUND_REDIRECT / natural HOME after reboot contradiction","user consent, APK, Accessibility service, reboot","no","timing-sensitive foreground only; Fire resolver and package state unchanged","one saved run showed setting survival; clean sample showed Microsoft 0/3","existing rollback passed","6CY reboot persistence, clean-reboot-home, pause comparison","tested-contradictory","host-only evidence reconciliation; no reboot or Accessibility rerun"
"FOREGROUND_REDIRECT / ADB foreground monitor","ADB shell plus monitor APK; no HOME writer","no","can return Microsoft to foreground after Fire resumes","resident monitor behavior measured across saved cycles; not resolver persistence","saved runs removed APK/restored Fire","6CU/6DI/PROJECT_STATUS: foreground result but formal HOME stays Fire","tested-temporary","host-only compare monitor trigger and Accessibility event path"
"FOREGROUND_REDIRECT / manifest Lock Task","installed test APK and task-lock policy","no","keeps target foreground while locked; does not alter Fire package/HOME","not persistent across reboot","stop lock task and uninstall test APK in saved tests","6CL foreground retention; 6CM/6CN reboot negatives","tested-temporary","retain reboot boundary; no Lock Task install or replay"
"FOREGROUND_REDIRECT / BOOT_COMPLETED Lock Task receiver","installed APK, receiver permission, boot lifecycle","no","receiver registration did not prove target start or Fire mutation","not established; target absent after reboot","saved rollback passed; APK absent","6CN receiver resolver and post-reboot result","tested-disproved","static receiver/exported/permission review only"
"STATIC_ONLY / SystemUI observation and Smart Genie","read-only source/artifact review","no","observes Fire foreground; no direct Fire HOME launch sink found","normal SystemUI lifecycle","none","systemui-launch-search and phase-1 rendered report","tested-static-only","keep observation separate from HOME writer claims"
"STATIC_ONLY / Amazon initiateLauncher helper","source/DEX review; private context not available to shell","no","permission bridge/log/SUCCESS only; no Intent, HOME, preferred, or package sink","none","none","6MQ static closure","tested-disproved","do not replay; host-only sink search if new source version appears"
"STATIC_ONLY / package-state writers and protected Fire state","system UID/private KFT or protected PMS authority","no ordinary shell path","Fire User-0 state remains protected; child writer is scoped to child user","child policy/state only where already observed","User 0 baseline rollback passed","6MH/6CA/6CE/6EG/6FG package-state boundaries and writer inventory","tested-risk-bounded","host-only trace writer to first consumer; no component-disable matrix"
"STATIC_ONLY / Amazon prewarm and profile helper","ordinary app start or privileged lifecycle context","no","process/setup effects only; no HOME/preferred/package sink","process temporary; setup flags can persist until rollback","saved cleanup/rollback where tested","6ER/6PV/6MQ closures","tested-disproved","retain as non-HOME control; no IPC replay"
"RISK_REJECTED / child KFT transaction and package writer","private Amazon Binder/service; trusted child context","no for User 0","could alter child Fire/Tahoe package state only; User-0 replacement unproven","child lifecycle persistence only","requires child stop/delete or state-specific rollback; not authorized","6AY/6CB/6PV and closure-child-kft records","risk-rejected","host-only static trace to consumer; do not invoke tx3 or delete profile"
"RISK_REJECTED / DevicePolicy persistent-preferred path","device/profile owner identity; shell rejected","no","no observed Fire or HOME change; DPM tx100 rejected before downstream PMS","none in rejected call","none required in saved caller-gate test","6DT/6GA/6DP/6ET caller and restriction gates","risk-rejected","host-only compare owner-gate source and saved read-only dumps"
"RISK_REJECTED / Settings Reset App Preferences","Settings system UI and protected PMS tx66; aggregate reset has incomplete rollback","no","saved reset removed preferred record but left Fire state unchanged; broad side effects possible","reset effects persist until individually restored","partial/manual rollback only; no complete aggregate rollback","6DU/6DY GUI reachability and reset result","risk-rejected","host-only inspect tx66 callers and exact-build UI; do not click/reset"
"RISK_REJECTED / OTA/OOBE/BOOT_AFTER_SYSTEM_OTA","protected broadcast/OTA updater/system lifecycle; reboot","no","OOBE/setup lifecycle flags only; no Fire HOME or preferred writer","OTA/OOBE state may persist and is hard to restore","not safely reversible in scope","6GU/6MY/6I/6R static and saved OTA boundary evidence","risk-rejected","host-only trace user scope and first persistence consumer; no OTA, broadcast, updater, or reboot"
"GAP / exact-build Settings overlay and resource comparison","host-only artifact/source review","no","no runtime effect","none","none","Settings path exists but exact-build selection effect is unknown","gap-minimal-safe","diff saved PS7331 resources/overlays against DefaultHome controller and existing matrix"
"GAP / resolver-vs-foreground evidence normalization","host-only report/hash review","no","no runtime effect","none","none","mixed 6CY/6HB samples use different timing and labels","gap-minimal-safe","align timestamps and define resolver, resumed, and post-event sampling columns from saved files"
"GAP / child per-user HOME readiness normalization","host-only evidence review","no","no runtime effect","none","none","6CO transient FallbackHome precedes authoritative Tahoe; user IDs differ across historical notes","gap-minimal-safe","map User 10/11/12 records and require RUNNING_UNLOCKED before comparing HOME"
"GAP / OTA and DevicePolicy user-scope sink trace","host-only source/call-graph review","no","no runtime effect","none","none","static OTA/DPM paths are bounded but first persistence consumer is not uniformly tabulated","gap-minimal-safe","trace only to first consumer and record authority boundary; no replay"
