route,evidence,candidate_caller,sink,low_privilege_effect,status,retest_policy
amazonactivitymanager_tx1_prewarm,findings/phase-6er-amazon-prewarm-confused-deputy.md;adb/phase6er/PHASE6ER-UNTRUSTED-SERVICE-LOOKUP-20260806-134346,ordinary APK UID 10198,system-identity startProcessLocked,process/resource use only,Confirmed bounded deputy,Do not repeat without changed hypothesis
amazonusermanagerservice_tx4_setup,findings/phase-6gv-amazon-user-manager-tx4-settings-deputy.md;adb/phase6gv/PHASE6GV-USERMANAGER-TX4-20260807-02,ordinary APK UID 10223,secure settings putIntForUser,setup-state write only,Confirmed bounded deputy,Do not repeat without changed hypothesis
kft_tx3_enable_launcher,findings/phase-6pr-kft-tx3-authorization-closure.md;adb/phase6fj;adb/phase6fk,ordinary APK reached service,PMS package/component setters for supplied UserInfo.id,User10 cross-user and User0 component gates reject,Strong static; mutation disproved,Do not repeat unless build/caller precondition changes
dpm_persistent_preferred,findings/phase-6mt-amazon-ipc-candidate-closure.md,Device Owner/Profile Owner only,trusted PMS preferred writer,None for ordinary caller,Trusted path,Do not create Device Owner
amazon_package_manager_tx1_tx11,findings/phase-6mt-amazon-ipc-candidate-closure.md,limited ordinary query callers,metadata/proxy/query; no formal HOME setter,No direct package/HOME writer,Disproved in bounded interface,No retest
ota_update_binary,findings/phase-6kt-recovery-verifier-provenance.md;findings/phase-6p-callback-and-ota-audit.md,recovery/verified OTA lifecycle,partition/block-image writer,No low-priv caller proven,Static capability; reachability unknown,Do not execute OTA/recovery
oobe_boot_after_ota,findings/phase-6p-callback-and-ota-audit.md;findings/phase-6mf-residual-candidates.md,system OTA lifecycle,component/setup-state writer,No ordinary replay proof,Static lifecycle candidate; replay risk rejected,Do not replay broadcast
init_policy_loader,work/luna_worker_ota_init_privilege_inventory_20260810.md,bootloader/init only,SELinux policy selection,No shell/property write proof,Static candidate only,Host-only analysis
ghostlock_rtmutex,findings/phase-5cy-ps7331-runtime-observation-boundary.md,kernel scheduler path,unknown memory/credential sink,None observed,Runtime exploitability unproven,No stock-device race
cmdq_secure_metadata,findings/phase-6ha-p5-driver-reaudit-ged-cmdq-boundary.md,driver ioctl caller unknown,possible secure metadata OOB,No runtime effect,Source-only candidate,No nonzero ioctl/async payload
ion_surface,findings/phase-6np-ion-and-control-surface-closure.md,policy/node metadata only,ION alloc/import/custom path,No live ordinary caller/effect,Reachability unknown; HOME route closed,Host provenance only
ged_proc_query,work/luna_worker_kernel_driver_privilege_inventory_20260810.md,ADB shell UID 2000,read-only telemetry,No state/privilege effect,Confirmed telemetry only,No higher-impact ioctl
