id,artifact_or_component,entrypoint_or_operation,caller_or_trigger,permission_or_verification,target_scope,sink_or_effect,observed_runtime,evidence,confidence,missing_edge,next_safe_step
"P17-001","com.amazon.device.software.ota manifest","OtaService / com.amazon.dcp.ota.action.CONTROLLER","external start/bind caller not identified","com.amazon.dcp.ota.permission.CONTROLLER; manifest protectionLevel signature|privileged","system singleUser OTA service","OtaService task scheduling and update controller handoff","no service invocation in this phase","artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/011_com.amazon.device.software.ota__0_DeviceSoftwareOTA.xmltree.txt:114-121; artifacts/phase6r/ota-ipc-static-audit-20260805-04/ota-receiver-query-matrix.csv","High","Exact accepted caller and post-controller native/recovery handoff","Offline caller inventory and exact-build permission-holder join"
"P17-002","com.amazon.device.software.ota manifest","OTABootReceiver / android.intent.action.BOOT_COMPLETED","system boot completion producer","manifest has no component permission in preserved block; boot action is system lifecycle","system singleUser OTA process","queues boot OTA work and immediate check","no broadcast replay or boot trigger","artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/011_com.amazon.device.software.ota__0_DeviceSoftwareOTA.xmltree.txt:124-129; artifacts/phase6r/ota-ipc-static-audit-20260805-04/ota-receiver-query-matrix.csv","Medium","Exact framework delivery and receiver code-to-install caller join","Host-only source/manifest caller mapping"
"P17-003","com.amazon.device.software.ota manifest","OTADeferredOSInstallReceiver / deferred install action","controller or framework producer","com.amazon.dcp.ota.permission.CONTROLLER; exported=true; singleUser","system OTA package","dispatches deferred install scheduling","no receiver invocation","artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/011_com.amazon.device.software.ota__0_DeviceSoftwareOTA.xmltree.txt:148-155; artifacts/phase6r/ota-ipc-static-audit-20260805-04/ota-receiver-query-matrix.csv","High","Exact controller caller and install-path verification/native handoff","Offline caller and verifier provenance only"
"P17-004","com.amazon.device.software.ota manifest","OTACheckForUpdatesReceiver / check action","OTA controller producer","com.amazon.dcp.ota.permission.CONTROLLER; exported=true","system singleUser OTA package","starts check-for-updates path","no receiver invocation","artifacts/phase6r/ota-ipc-static-audit-20260805-04/ota-receiver-query-matrix.csv; artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/011_com.amazon.device.software.ota__0_DeviceSoftwareOTA.xmltree.txt","High","Exact producer identity and downstream UpdateSystem caller","Offline source caller inventory"
"P17-005","com.amazon.kindle.otter.oobe/.BootAfterSystemOTAReceiver","amazon.intent.action.BOOT_AFTER_SYSTEM_OTA","AmazonPackageManagerService.onBootPhase(550) when PMS.isUpgrade()","sender passes com.amazon.permission.RECEIVE_BOOT_AFTER_SYSTEM_OTA; receiver declaration has no android:permission; OOBE-running and retail-demo predicates","OOBE package context-derived user; numeric user unresolved","enable OobeHomeActivity and enter incremental OOBE","live User 0 dump shows receiver registered and OobeHomeActivity disabled; no replay","artifacts/phase6u/bootafter-ota-scope-20260805-01/bootafter-ota-scope.csv:6U-OOBE-001..015; artifacts/phase6r/ota-oobe-authorization-20260805-05/oobe-authorization-matrix.csv","High","Protected-broadcast registration/runtime resolver behavior and numeric delivery user","Offline matching framework-res/protected-broadcast CFG; natural post-OTA observation only"
"P17-006","com.amazon.kindle.otter.oobe OOBEActivationHelper","Settings.Secure/Global writes user_setup_complete=0 and isOOBEActive=1","BootAfterSystemOTAReceiver qualifying branch only","receiver lifecycle guard plus setup completion predicates; no ordinary caller parameter","receiver Context user scope; exact numeric user unresolved","SettingsProvider-backed setup state mutation","no settings mutation in this phase","artifacts/phase6u/bootafter-ota-scope-20260805-01/bootafter-ota-scope.csv:6U-OOBE-006..008; work/luna_worker_phase6z_components_20260810.csv:6Z-002","High","Exact ContentResolver user handoff and runtime write observation","Offline Context/user CFG join; natural event read-only snapshot"
"P17-007","com.android.providers.settings/SettingsProvider","settings authority provider operations","framework/system callers and app content-resolver callers","provider exported=true; sharedUserId android.uid.system; read/write enforcement implementation not fully recovered","all users through singleUser system provider","possible persistence sink for OOBE setup keys; no evidence of ordinary write acceptance","no provider call in this phase","artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/016_com.android.providers.settings__0_SettingsProvider.xmltree.txt:1-20; artifacts/phase6u/bootafter-ota-scope-20260805-01/bootafter-ota-scope.csv:6U-OOBE-007","High","Exact SettingsProvider mutation authorization and per-user routing","Offline provider source/permission CFG review"
"P17-008","AmazonPackageManagerService system-server sender","sendBroadcast(action, receiverPermission)","system_server AmazonPackageManagerService boot phase 550 and PMS.isUpgrade()","com.amazon.permission.RECEIVE_BOOT_AFTER_SYSTEM_OTA supplied as receiverPermission; sender is not an ordinary app or shell","system-server lifecycle context; exact user handoff unresolved","post-OTA broadcast dispatch to OOBE and shared Alexa consumers","no broadcast sent or replayed","artifacts/phase6u/bootafter-ota-scope-20260805-01/bootafter-ota-scope.csv:6U-OOBE-011..012; work/luna_worker_phase6z_components_20260810.csv:6Z-001","High","Exact runtime protected-broadcast classification and caller identity after framework dispatch","Offline disassembly/source join only"
"P17-009","shared BOOT_AFTER_SYSTEM_OTA consumers","Alexa SystemOTAReceiver consumers","system-server post-OTA broadcast with shared action","component-level gates and accepted-caller metadata not evaluated in saved scope","Alexa settings packages","disable communications accessibility setting or copy access-control secure settings into local keys","no delivery replay; not in OOBE live dump","artifacts/phase6r/ota-oobe-authorization-20260805-05/oobe-authorization-matrix.csv; artifacts/phase6u/bootafter-ota-scope-20260805-01/bootafter-ota-scope.csv:6U-OOBE-016..017","Medium","Exact manifest exportedness/permission and per-consumer user/caller join","Offline manifest/source audit"
"P17-010","PS7331 OTA update-binary and updater-script","block_image_update/package_extract_file/write path","recovery/update-binary execution context after verified/staged OTA","package metadata/device/time gates plus recovery/native verification boundary; no shell/app caller established","fixed system/vendor/boot/firmware and cache-recovery targets","partition write capability only; updater_executed=false and partition_written=false","no execution or recovery handoff in this phase","firmware/extracted/PS7331/META-INF/com/google/android/updater-script:1-24; work/luna_worker_phase6sp_ota_native_20260810.md; work/luna_worker_ota_postinstall_followup_20260810.csv:UPD-02","High capability; reachability not established","Exact recovery exec caller verifier and SELinux/native handoff","Offline CFG/dataflow and provenance only"
