id,exact_va_or_source_path,caller,gate,identity,sink,status,next_safe_step,hash
J-01,"OSUpdateValidator.java:73-78; :42-50", "UpdateValidator.validateUpdate -> validateOSUpdate", "pending-update hash; RecoverySystemWrapper.verifyPackage; OSUpdatePropertiesValidator.assertUpdatePropertiesValid", "DeviceSoftwareOTA privileged app process; package userId 10023; signature/privileged permissions include com.amazon.dcp.ota.permission.PROCESS_UPDATES and CONTROLLER", "validated-state DB update only; native recovery verifier handoff is subsequent", "VERIFIER/CERTIFICATE/PRODUCT-PVT STATIC CHAIN CONFIRMED; native verifier implementation outside Java corpus", "Host-only recover platform RecoverySystem/recovery verifier provenance and caller identity; do not execute", "36fca220ec2332bee5e5af3c9c2317056a425b90507951345d5b729c76c6f256; 01e29ec3a2649d85d033ce7ce65034631ebb44ef00633e34a95b0eb063f317f"
J-02,"RecoverySystemWrapper.java:21-23", "OSUpdateValidator.assertRecoverySystemVerifiesPackage; SideloadVerifier.verifySideloadPackage", "RecoverySystem.verifyPackage(file,null,null); GeneralSecurityException/IOException reject", "same privileged OTA Java caller; platform recovery/native identity unresolved in saved Java sources", "platform recovery package signature/certificate verifier; exact native VA not recovered", "CERTIFICATE GATE PRESENT; exact cryptographic implementation and native identity unresolved; no bypass evidence", "Static-only locate platform RecoverySystem/recovery verifier artifact and map otacert certificate to entry", "c99f6884fa298546b18722a5addb46ae35aff4c9f6003d8ad3ccaebe2edfdbd9; 5d52405362dcc9e755a4d972074ac7f886a5450e18fb6a6c2c2dad2b55730fe1"
J-03,"SideloadInstaller.java:65-74,87-95", "controller/lifecycle caller -> installSideload or verifySideloadIntegrity", "buildSideload isFileReadyToBeUsed; integrity path runs metadata/sanity/package/device-state checks; install branch calls verifySideloadWithoutRecoveryCheck", "DeviceSoftwareOTA internal privileged component; ordinary app/shell caller not established", "UpdateSystemWrapper.install; recovery/native handoff", "LEGAL PRODUCTION CALLER MODEL CONFIRMED for privileged controller path; no shell/ordinary-app path proven", "Static-only enumerate all callers of SideloadInstaller and their Binder/permission boundary", "98fe15a329e96ec793fc3f50172d945d9d409b734efce084af38bbef49248e4a"
J-04,"SideloadMover.java:31-44", "SideloadInstaller.installSideload -> maybeMoveSideloadFile", "OTA data-dir support; external-storage-space check; basename-derived destination; FileHelper.moveFile", "privileged OTA app file context; no Java canonicalPath/NOFOLLOW marker in bounded source", "/data OTA staging then UpdateSystem.install", "STAGING EDGE CONFIRMED; canonicalization/readlink behavior delegated/unresolved; not symlink/traversal finding", "Static-only inspect FileHelper.moveFile and framework/native staging implementation; no traversal test", "59131cf032d8544cd44ea839ad63eb37993d2853b4925bf56d10ede721693f63"
J-05,"UpdateSystemWrapper.java:33-44", "SideloadInstaller.installOSUpdate -> UpdateSystemWrapper.install", "external-storage prefix remap; screen-state setting; flags j; Context passed to UpdateSystem.install", "privileged OTA app Context; caller identity at platform UpdateSystem/native boundary unresolved", "UpdateSystem.install(Context,path,flags,emptyMap) -> recovery/native updater handoff", "INSTALL HANDOFF CONFIRMED; no proof ordinary app/shell can invoke this wrapper or obtain equivalent Context/permissions", "Static-only resolve UpdateSystem.install implementation and native/recovery caller plus SELinux domain", "c99f6884fa298546b18722a5addb46ae35aff4c9f6003d8ad3ccaebe2edfdbd9"
N-01,"update-binary main 0x400cb0; RegisterInstallFunctions 0x406978; RegisterFunction 0x41d528", "recovery updater main", "recovery/update-binary execution context; Edify function registry", "native recovery/updater identity; shell/ordinary-app execution path not established", "package_extract_file -> PackageExtractFileFn 0x401fb8-0x402788 -> ota_open 0x426338 -> open/extract/fsync/close", "PRIVILEGED CAPABILITY CONFIRMED; production caller is signed recovery/update flow only in saved corpus", "Static-only map UpdateSystem/recovery handoff to exact update-binary exec and SELinux domain", "02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b; 6dec85cee148a60daba1e8c781f30370389c6d95ff787623cb6ac830f058a834"
N-02,"RegisterBlockImageFunction 0x40d0a8; registrations 0x40d0fc/0x40d144/0x40d190/0x40d1d8/0x40d224; cells 0x5af670-0x5af690", "main -> RegisterBlockImageFunction -> RegisterFunction", "registered names block_image_verify/update/recover/check_first_block/range_sha1; function pointers resolved", "recovery updater native identity", "block_image_update cell 0x5af678 -> BlockImageUpdateFn 0x40b8b8 -> PerformBlockImageUpdate", "REGISTRY DATA-FLOW CLOSED; invocation remains script/recovery-gated", "Static-only follow registry lookup from Edify parser to selected handler call and error returns", "a0186bb7d053d23f002dc663b9ee3f312255410b35ed997a74e864fc8f9229a6"
N-03,"PerformBlockImageUpdate 0x408f00-0x40a4xx; WriteToPartition 0x413c40-0x4142f0", "block_image_update -> BlockImageUpdateFn -> PerformBlockImageUpdate", "block/transfer-list processing; block verification and mismatch/error branches; cache-size check call present", "recovery updater identity; targets fixed by PS7331 updater-script", "WriteToPartition -> ota_open 0x426210; ota_write 0x426d58 -> write 0x4d4a10; named system/vendor and boot-chain targets", "ACTUAL WRITE GUARD/SINK DIRECT EDGES CONFIRMED; no execution or partition write", "Static-only complete CacheSizeCheck return/error data-flow and target argument provenance", "02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b; 6dec85cee148a60daba1e8c781f30370389c6d95ff787623cb6ac830f058a834"
N-04,"MakeFreeSpaceOnCache 0x417778-0x417fc4; call 0x417bf0 -> __readlink_chk 0x4ce4e8", "updater cache/free-space helper; caller set not fully recovered", "cache path bookkeeping; stat/opendir/readdir/strncmp/unlink/readlink-family branches", "recovery updater identity unresolved at helper entry; no untrusted caller established", "cache/free-space state; selected graph has no direct edge to PackageExtractFileFn/PerformBlockImageUpdate/WriteToPartition", "CANONICALIZATION MARKER CONFIRMED; direct canonicalization-to-write edge bounded-negative, indirect data-flow unresolved", "Static-only enumerate all callers, resolve function pointers, track readlink result/error branches into CacheSizeCheck/write", "a0186bb7d053d23f002dc663b9ee3f312255410b35ed997a74e864fc8f9229a6"
N-05,"updater-script lines 6,10,13,15-24; target.blocklist", "signed PS7331 OTA -> recovery update-binary", "OTA certificate/signature gate upstream; fixed Edify operations; no run_program/symlink/dynamic target", "recovery/updater privileged identity; shell/ordinary APK cannot directly select script execution", "system/vendor block_image_update; fixed boot/preloader/lk/tee/spmfw/sspm/cam_vpu partitions; /cache/recovery/last_blocklist", "FIXED PRODUCTION TARGETS CONFIRMED; package-scoped path scan found no archive symlink/traversal; not a low-privilege route", "Static-only correlate recovery acceptance, script parser, and exact write target arguments; no crafted OTA", "4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248; 9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5"
