"record_id","record_type","surface","artifact_or_entry","caller","gate","identity_or_user_scope","sink","runtime_or_result","missing_edge","classification","confidence","evidence","next_safe_step"
"P19A-001","ipc","amazonusermanagerservice","AmazonUserManagerService.BinderService / IAmazonUserManager.Stub :: enableKftLauncher(UserInfo) tx3","AmazonUserManagerImpl.createChildUser(String); exact production APK/native UID and signature not recovered","Stub interface-token dispatch is present; method-local authorization and inherited gate are not fully joined","Binder caller is retained through dispatch; later DPM branch has clearCallingIdentity/restoreCallingIdentity, but exact boundary to package setters is unresolved | caller-supplied UserInfo.id; child/profile semantics are present; User 0 selector is not established","enableKftLauncherComponent -> Tahoe FreeTimeLauncherActivity enabled; Fire Launcher and Launcher3 application state set for UserInfo.id","No tx3 sent; saved shell service-manager find denied; no Fire mutation performed","Exact trusted client package/UID/signature; complete tx3 authorization; PMS cross-user/protected acceptance; proof of supplied user being User 0","STATIC_SINK_CONFIRMED_CALLER_UNKNOWN; UNKNOWN is not a vulnerability","Confirmed","decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log:369180-369217,370637-370750; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54297-54478; artifacts/phase6ak/launcher-user-service-20260805-02/launcher-user-service.csv","Offline join createChildUser callers, manifest/privapp grants, service context and PMS gates; do not dispatch tx3 or forge UserInfo"
"P19A-002","ipc","amazonprofileservice","AmazonProfileService.BinderService / IAmazonProfileService.Stub :: startProfilePicker(int) tx41","Private AmazonProfileManager/framework client; external caller and service binding path unknown","Method-local permission marker is not resolved in the bounded implementation; private service visibility remains a gate","No clearCallingIdentity-to-PMS writer found; server uses ActivityManager.getCurrentUser() for launch user | Current user from ActivityManager; input int is wake-up source, not a proven target user","Configured KEY_PROFILE_PICKER_PACKAGE_NAME/ACTIVITY_NAME -> Context.startActivityAsUser; no preferred HOME or package-state setter in slice","No transaction or picker start; shell lookup denied in saved capture","Caller registration/permission; config provenance; configured component export/permission; current-user mapping and downstream picker behavior","STATIC_UI_LAUNCH_SINK_CALLER_AND_GATE_UNKNOWN; UNKNOWN is not a vulnerability","Hypothesis","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:77222-77280,80115-80444; artifacts/phase6mq-profile-launcher-helper-20260810-01/evidence/start-profile-picker.txt; artifacts/phase6mq-profile-launcher-helper-20260810-01/evidence/service-publication.txt","Trace caller registration, manifest and config offline; no profile transaction or activity replay"
"P19A-003","ipc","amazonwindowmanager","AmazonWindowManagerService.BinderService / IAmazonWindowManager.Stub :: setPipVisibility(boolean) tx5; setOverscan(int,int,int,int,int) tx2","SystemUI/WindowManager clients are suggested by saved references; exact Binder caller set is not recovered","No method-local permission marker in Amazon wrapper; downstream WMS enforcement and service-manager SELinux boundary are separate","No clearCallingIdentity/restoreCallingIdentity in bounded Amazon wrapper; incoming caller identity handling is unresolved | No explicit user/package argument; internal display/window policy state","mPipState write and WindowManagerService.setOverscan; no HOME resolver, preferred activity, package/component setter in bounded slice","Service amazonwindowmanager not found to shell in saved capture; no method invocation","Exact method-local gate, caller/service-context tuple, downstream WMS permission and whether callbacks can alter a HOME-adjacent policy","STATIC_WINDOW_SINK_CALLER_AND_GATE_UNKNOWN; UNKNOWN is not a vulnerability","Hypothesis","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:56070-56179; decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log:400006-400264; artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazonwindowmanager_fosinit.xml; artifacts/phase6bk/ipc-ota-closure-20260810-01/references.csv","Complete Stub/onTransact-to-WMS authorization mapping offline; do not invoke private WMS/Amazon transactions"
"P19A-004","ipc","com.amazon.alta.h2clientservice","H2ClientService / IH2ClientService :: exported bind -> createChildUser/createAdultUser helper","Amazon H2/ALTA account workflow; ordinary caller not established","com.amazon.alta.h2clientservice.permission.BIND_SERVICE is signature-level; account/workflow predicates remain incomplete","No clearCallingIdentity relay recovered in bounded H2 path | User creation helper creates adult/child profile; external user ID and parent/profile mapping unresolved","AmazonUserManager.createChildUser/createAdultUser -> profile lifecycle; downstream KFT writer is child-scoped and no direct Fire/HOME sink was recovered","Read-only artifact pull and offline analysis only; no bind/start/create-user action","Production caller UID/signature; effective service binding; user creation flags/IDs; handoff into KFT/profile state","SIGNATURE_BOUND_TRUSTED_WORKFLOW; LOW_PRIVILEGE_CALLER_UNKNOWN; UNKNOWN is not a vulnerability","Hypothesis","artifacts/phase6mc-alta-static-20260810-01/metadata.md:10-23; artifacts/phase6mc-alta-static-20260810-01 metadata records H2ClientService.java:105-107 and AndroidUserHelper.java:78-81","Join manifest, caller package/signature and create-user user-scope data flow offline; no bind or profile mutation"
"P19A-005","ipc","fosinit/vendor callbacks","AmazonWindowManagerPwmCallback and AmazonVendorWindowManagerServiceCallback :: fosinit registration -> system_server WindowManager/PhoneWindowManager callback dispatch","system_server in-process callback dispatcher; no external Binder caller at registration","fosinit loader and callback base dispatch are present; callback-specific package/window permission checks are not fully joined","In-process system_server identity; no Binder caller and no clearCallingIdentity edge established | Window/LayoutParams package/type/flags and PIP_STATE_CHANGE callback context; no explicit user selector","Window policy adjustment, visibility and PIP event notification; no HOME resolver or package-state writer found in bounded callback review","Saved fosdebug inventory only; no callback trigger or window mutation performed","Complete callback class bodies, registration completeness outside preserved fosinit set, package/type permission checks and any callback-to-HOME consumer","STATIC_CALLBACK_WINDOW_SINK_CALLER_SYSTEMSERVER; DOWNSTREAM_HOME_UNKNOWN; UNKNOWN is not a vulnerability","Hypothesis","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazonwindowmanager_fosinit.xml:10-27; artifacts/phase6h/phase6h-framework-ipc-20260805-01/fosinit-edges.csv; work/luna_worker_phase6rt_systemui_callback_closure_20260810.csv:5-6; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:196540-196700,203374-203390","Hash/cross-check preserved fosinit sources and trace callback consumers offline; do not trigger input/window events"
"P19A-006","ipc","dcpms/child-experience decision","IDeviceChildExperienceModeDecisionManager.Stub and DCPMS owner :: decision retrieval/callback map; client reference not recovered","Production client/UID not found; DCP decision permission holder and exported/binding path unresolved","Manifest/AIDL interface-token evidence only; no incoming UID read or clearCallingIdentity in saved service slice","Single-user/process-global decision state; no explicit user argument or parent/profile mapping | No explicit user argument; process-global decision scope","Read-only child-experience decision and callback map; no Settings/PMS/HOME/package sink recovered","No service lookup, bind, transaction or state change performed","Production client and permission grant; service-manager visibility; external user mapping; any consumer that converts decision into profile/package/HOME state","UNKNOWN_STATIC_DECISION_SURFACE; UNKNOWN is not a vulnerability","Hypothesis","work/luna_worker_cont_ipc_reconciliation_20260810.csv:14; work/luna_worker_phase9c_residual_ipc_20260810.csv; work/luna_worker_phase12_existing_evidence_20260810.csv","Static manifest/AIDL/client inventory and consumer scan only; do not bind or call the service"
"P19B-01","ota","archive integrity and member set","firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin","archive reader/unzip verifier; no runtime caller","ZIP/JAR SignApk marker; unzip -t passed; 27 entries","not closed in saved corpus","package members including metadata, update-binary, updater-script, images, transfer lists, otacert","not replayed; host-only audit","archive container check does not prove block-image semantics or recovery execution","CONFIRMED_STATIC; bounded package inventory","Confirmed","unzip -t output; zipinfo -l output; work/luna_worker_phase18_ota_postinstall_audit_20260810.md","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P19B-02","ota","metadata and OTA certificate","firmware/extracted/PS7331/{ota.prop,META-INF/com/android/metadata,META-INF/com/android/otacert}","privileged OTA validator -> RecoverySystem.verifyPackage; final native verifier caller not observed","product=trona; pre-device=trona; ota-type=BLOCK; post-timestamp=1746234888; release-keys; certificate artifact present","not closed in saved corpus","signature/metadata acceptance gate before UpdateSystem install","not replayed; host-only audit","platform RecoverySystem implementation, native verifier identity, and acceptance result","BOUNDED_UNKNOWN; no signature or verifier bypass claim","Hypothesis","firmware/extracted/PS7331/ota.prop; .../META-INF/com/android/metadata; artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P19B-03","ota","updater-script fixed gates and writers","firmware/extracted/PS7331/META-INF/com/google/android/updater-script:1-24","recovery/updater Edify executor; ordinary caller absent","timestamp less-than and ro.product.device==trona aborts","not closed in saved corpus","system/vendor block_image_update; fixed boot-chain by-name targets; /cache/recovery/last_blocklist","not replayed; host-only audit","actual update-binary executor UID/domain and caller provenance","CONFIRMED_STATIC capability; not reachability","Confirmed","updater-script; artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P19B-04","ota","update-binary indirect dispatch","firmware/extracted/PS7331/META-INF/com/google/android/update-binary; artifacts/phase6mk-updater-dispatch-20260810-04/summary.json","recovery update-binary main -> RegisterInstallFunctions; function-pointer dispatch","24 registration cells resolved; selected extraction/write handlers reach open/write wrappers","not closed in saved corpus","package_extract_file, block-image and registered run_program/reboot handlers","not replayed; host-only audit","indirect dispatch caller identity and unselected handler CFG are not fully tied to package input","BOUNDED_UNKNOWN; privileged capability only","Hypothesis","artifacts/phase6mk-updater-dispatch-20260810-04/summary.json; artifacts/phase6md-native-updater-path-audit-20260810-02/summary.json","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
