domain,subject,source_or_entry,target_or_scope,caller_gate,identity_or_permission,sink_or_effect,runtime_evidence,status,next_safe_step,source_csv
amazon-service-permission,audiosignalprocessor / AmazonAspService,hasCallerGotPermission,com.amazon.permission.ASP_PERMISSION (signature|privileged|amazon),tablet device-family branch returns allow before permission check,no clearCallingIdentity; helper logs caller PID only,n/a authorization helper,service check/dumpsys found alias audiosignalprocessor; no method invocation,STATIC_PERMISSION_ANOMALY_CANDIDATE; low-privilege method reachability unproven,host-only correlate service publication and caller inventory; no Binder replay,work/luna_worker_amazon_service_permission_followup_20260810.csv
amazon-service-permission,audiosignalprocessor / AmazonAspService,command and capture/injection entry points,com.amazon.permission.ASP_PERMISSION,all reviewed entries call hasCallerGotPermission; tablet branch bypasses named permission,none observed in bounded methods,native ASP command/capture/injection path,ASP dump returned AFE header; Phase 6BV saved denial log exists but no payload/effect claim,static anomaly separated from actual low-privilege reachability; no HOME/package/root effect established,keep as static-only; inspect native/SELinux evidence only if already saved,work/luna_worker_amazon_service_permission_followup_20260810.csv
amazon-service-permission,SmartSuspend,setEnabled / setEnabledInternal,com.amazon.permission.SMARTSUSPEND_SETTINGS,permission check before setter and internal write,none observed around bounded setter,global setting key smartsuspend_enabled,service found and dump showed STATE_ACTIVE; setter not called,permission-gated settings sink; no low-privilege write evidence; not HOME/package/root,host-only permission-holder/protection review; do not call setter or mutate settings,work/luna_worker_amazon_service_permission_followup_20260810.csv
amazon-service-permission,SmartSuspend,setPeriod / setScheduleType,com.amazon.permission.SMARTSUSPEND_SETTINGS,permission check in each reviewed setter,none observed in bounded setter,SmartSuspend schedule/period state,service found by read-only capture; no setter invocation,static permission closure; runtime low-privilege reachability untested; no HOME/package/root effect,retain as closed read-only boundary; no mutation,work/luna_worker_amazon_service_permission_followup_20260810.csv
amazon-service-permission,amazonthermalservice,service publication and manager visibility,unknown,method-level authorization not recovered in bounded corpus,unknown,thermal manager/device thermal policy,service check/dumpsys found; no method call,visibility-only residual; anomaly not established and no downstream HOME/package/root edge,host-only map interface/implementation and permission markers,work/luna_worker_amazon_service_permission_followup_20260810.csv
amazon-service-permission,fosdebug,FireOSDebugService BinderService.dump,android.permission.DUMP,checkCallingOrSelfPermission(android.permission.DUMP),clearCallingIdentity/restoreCallingIdentity bracket diagnostic enumeration; dump gate observed,diagnostic vendor/service inventory and native dump string,service found and existing dumpsys capture available; no custom Binder method surface identified,read-only diagnostics surface; low-privilege effect limited to dump visibility; no HOME/package/root sink,host-only verify dump permission protection and inventory provenance,work/luna_worker_amazon_service_permission_followup_20260810.csv
amazon-service-permission,amazonactivitymanager,preWarmApplicationForUser,com.amazon.permission.APP_PREWARM,checkCallingPermission result not consumed in bounded method; shell service-manager find denied,clearCallingIdentity before package lookup/process start; restore observed,system-server process/resource startProcessLocked prewarm path,ordinary APK prewarm reachability was observed in saved Phase 6ER/6KU evidence; shell private service find denied,STATIC_AUTH_ANOMALY with bounded ordinary-app process effect; no HOME/package/root sink,host-only inspect downstream startProcessLocked caller/user checks; no transaction replay,work/luna_worker_amazon_service_permission_followup_20260810.csv
amazon-service-permission,amazonactivitymanager,onActivityResume / observer registration,ACTIVITY_SWITCH_WATCHER,observer permission checks present for registration; no component-selection gate in notification path,clearCallingIdentity observed on bounded read path; no identity-clearing write relay,observer notification and focused-stack query,service-manager find denied for shell UID 2000; existing closure found no HOME/package writer,static surface closed for requested downstream effects; low-privilege reachability does not imply HOME control,host-only maintain method-to-sink map; no replay,work/luna_worker_amazon_service_permission_followup_20260810.csv
amazon-service-permission,amazonwindowmanager,setPipVisibility,not observed in bounded method,method-local permission marker not observed in bounded implementation; shell service-manager find denied,none observed,internal PiP visibility state,service-manager find denied for shell UID 2000; no downstream effect test,authorization anomaly candidate but sink is PiP/window state only; no HOME/package/root effect,host-only inspect caller path and WMS enforcement,work/luna_worker_amazon_service_permission_followup_20260810.csv
amazon-service-permission,amazonwindowmanager,stopAppPinningMode,enforceStatusBar,delegated status-bar enforcement,none relevant to downstream sink,status-bar app-pinning state,service-manager find denied for shell UID 2000; static delegated gate observed,protected control path; no permission anomaly or HOME/package/root sink,host-only retain as control comparison,work/luna_worker_amazon_service_permission_followup_20260810.csv
