repository	branch	commit	commit_date	public_android_boundary	target	classification
KoCleo/mtk-easy-su	master	8c6871ac7c15b8e98a47e25c35ab93b87e260475	2025-11-07T11:42:09Z	Kotlin wrapper plus Git-LFS mtk-su/Magisk assets	legacy MediaTek devices; no KFTRWI/trona/MT8183 entry	pinned wrapper; same mtk-su64 payload already tested
x-spy/CVE-2026-43499-popsicle	main	2765ac6c5d9be686bc6cd07ad8c998d1c2e67012	2026-07-15T22:46:59Z	Android arm64 native preload with target generator	Xiaomi 17 family; Snapdragon; Android 16; 6.12.23	device-specific port
Linuxoid-cn/CVE-2026-43499-Poc-Analysis	secret	d7e805fc1a13b87ecf644a8869e6d313f2d1ecde	2026-07-30T11:28:07Z	Android arm64 profile/target generator	Xiaomi-focused generic framework; exact target required	porting framework; not exact target
BuSung-dev/Root-My-Galaxy	main	b2f2361eda73bba133a931ff5a2499a549d52479	2026-08-03T06:26:26Z	Kotlin selector separated from model/kernel-specific payload feed	Supported Samsung model and kernel combinations	device-specific installer
CakesTwix/Android-CVE-2026-43499	master	13f949ae8e7388f31b3394f707f34c8fca4ed34d	2026-07-20T07:22:42Z	Kotlin app plus ABI-specific native detector	Android 7+ ARM; detector only	detector; not root implementation
soralis0912/CVE-2026-43499-aristotle	main	b270dc68cb0fac959720a838f6450bdffa607874	2026-07-24T04:48:09Z	MediaTek Android arm64 native port with measured target constants	XIG04; Android 12; 5.10.136	closest methodology; not hardware validated
NebuSec/CyberMeowfia	main	2c83bfb0c9230dc063e1bbfc3e06228d45dd938f	2026-08-03T03:11:38Z	Linux/native exploit research tree; Android target varies by port	public generic source family; no exact trona profile	methodology/source reference only
polygraphene/DirtyPipe-Android	master	ecddccb91ba1a1c62951a6f0faddde5369a679c7	2022-06-16T13:56:34Z	Android native runner for Dirty Pipe	Pixel 6; 2022-02-05 through 2022-04-05 patches	version/device-specific; not exact target
tiann/DirtyPipeRoot	main	c635bd4746d54a2e7f65e578a5141df77068bba3	2022-11-30T01:44:19Z	Android temporary-root wrapper	device support varies by port	warning-only reference; not exact target
R0rt1z2/fenrir	main	39688713455ea81667003c240dd53ce7310681b8	2026-07-21T15:01:49Z	MediaTek preloader/secure-boot-chain tool	listed MediaTek devices; no trona/KFTRWI profile	boot-chain; not Android userspace
Shocked-Cat/oppo-mtk-fastboot-unlock	main	ecf8e2c6f967706e6ab55c4774141abb5d78d12f	2026-07-24T15:01:09Z	OPlus factory-preloader modification path	Oppo/Realme/OnePlus devices	boot-chain; not Amazon target
