phase,row_id,provenance_or_domain,surface_or_subject,source_or_location,user_entry_or_entry,gate_or_access,client_or_caller,sink_or_impact,status,next_safe_host_only_step,source_sha256
6RY,6RY-001,permission/IPC,amazon.permission.ADD_RM_PKG_METADATA,fosservices 95866-96037; boot-fosframework interface proxy stub; phase6mx inventory,IAmazonPackageManager tx1-5 to BinderService,Declaration UNKNOWN in bounded XML; checkCallingOrSelfPermission; no clear identity; explicit userId,AmazonPackageManagerImpl exact facade; upstream caller UNKNOWN,AmazonApplicationFlags to amazon_package_flags.xml; no HOME/PMS edge,STATIC; HOLDER/CALLER UNKNOWN,Search exact-build definitions and facade callers offline,
6RY,6RY-002,permission/IPC,amazon.permission.ADD_RM_PKG_METADATA,boot-fosframework 367184-367221; fosservices 698fe-69938; 6RV 001 004 015,tx4 setAmazonFlagsForUser; generated dispatch is not caller,Declaration UNKNOWN; Service permission check; UserHandle user,addAmazonFlagsForPackages to setAmazonFlagsForUser; caller UNKNOWN,Flags map and XML; no HOME/package sink,STATIC METADATA ONLY; UNKNOWN,Recover callers above facade offline; do not dispatch,
6RY,6RY-003,permission/IPC,amazon.permission.ADD_RM_PKG_METADATA,boot-fosframework 367184-367289; fosservices 6993a-69976; 6RV 002 015,tx5 setAmazonMetadataForUser; generated dispatch is not caller,Declaration UNKNOWN; No clear identity; explicit userId; caller lists,addAmazonMetadataForPackage to setAmazonMetadataForUser; caller UNKNOWN,Metadata XML; recency game-mode compatibility reads; no HOME sink,STATIC METADATA ONLY; UNKNOWN,Search facade callers and first consumer offline,
6RY,6RY-004,permission/IPC,amazon.permission.ADD_RM_PKG_METADATA,boot-fosframework 369119-369164; fosservices 69886-698fc; 6RV 003 004 015,tx1 tx2 removal mutators; generated dispatch only,Declaration UNKNOWN; Permission check before removal; explicit userId; no identity normalization,removeAmazonFlagsForPackages and removeAmazonMetadataForPackage; caller UNKNOWN,Same XML writer; no HOME/PMS edge,STATIC REMOVAL; UNKNOWN,Search callers and permission definition offline,
6RY,6RY-005,permission/IPC,amazon.permission.ADD_RM_PKG_METADATA,fosservices 95331-95455 and 96087-96100; 6RV 005,AmazonPackageManagerService onBootPhase to flags init,No declaration or privapp grant established; System-server lifecycle; stored user IDs from XML,onBootPhase init is local lifecycle; not remote caller,Read reload of amazon_package_flags.xml; no package/HOME write,STATIC LIFECYCLE; no caller claim,Inspect Context and user mapping offline; no replay,
6RY,6RY-006,permission/IPC,amazon.permission.ADD_RM_PKG_METADATA,fosservices 17489-17538; 6RV 006,Local callback read path; no mutating Binder entry,Declaration UNKNOWN; Callback userId to read and broadcast; trigger UNKNOWN,PackageRecencyCallback trigger caller UNKNOWN,Package-recency broadcast; no HOME/PMS writer,STATIC CONSUMER; UNKNOWN TRIGGER,Map saved callback registration only; do not broadcast,
6RY,6RY-007,permission/IPC,android.permission.CHANGE_COMPONENT_ENABLED_STATE,phase6mc summary holders; phase6lz table; fosservices 54297-54325,PMS component-state setter,Declared by android package; Caller package gates; child UserInfo id; KFT clears identity downstream,KFT enableKftLauncherComponent exact static caller; ordinary join UNKNOWN,Fire Tahoe Launcher3 child state; no formal HOME setter,HOLDER plus CHILD CALLER; User-0 join UNKNOWN,Join holder to caller UID and child user offline,
6RY,6RY-008,permission/IPC,android.permission.MANAGE_USERS,phase6mc summary; phase6mh writer calls; 6RV 011,AmazonUserManager child profile Binder path,Declared by android package; Child profile gates; tx3 local authorization incomplete,createChildUser to AmazonUserManagerService; ordinary join UNKNOWN,Child KFT package writes only; no User-0 HOME,HOLDERS plus CHILD LIFECYCLE; ordinary caller UNKNOWN,Join caller holder user offline; no create-user mutation,
6RY,6RY-009,permission/IPC,android.permission.WRITE_SECURE_SETTINGS,phase6mc summary; 6RV 012; phase6rs settings closure,ContentProvider insert update delete Binder entry,Declared by android package; Caller identity retained; cross-user via ActivityManager,SettingsProvider writer family; exact caller UNKNOWN,SettingsState XML; no HOME/PMS sink proven,HOLDER plus WRITER FAMILY; caller UNKNOWN,Search provider callers and user mapping offline,
6RY,6RY-010,permission/IPC,android.permission.INSTALL_PACKAGES|android.permission.DELETE_PACKAGES,phase6mc summary; phase6mh writer calls; 6RV 014,PMS install delete Binder API entries,Declared by android package; Caller gates vary; user lifecycle scope unresolved,Installer Vending OTA OOBE policy families; caller and target UNKNOWN,Package install delete state; no ADD_RM to HOME bridge,WRITER FAMILIES; caller target UNKNOWN,Join writer bodies to package user inputs offline,
