edge,source_presence,registration,handle_visibility,method_gate,effect_or_sink,missing_edge,confidence,input_refs
amazonactivitymanager/IAmazonActivityManager,yes,class+contract+fosinit,listed_private_shell_find_denied,permission/shell/exception markers,no formal package/HOME writer,method-to-sink closure for all callbacks,high,service-surface.csv;contract-methods.csv;fosinit-edges.csv;service-list.txt
amazonwindowmanager/IAmazonWindowManager,yes,class+contract+fosinit,listed_private_shell_find_denied,permission markers,window/lock/PIP only; no HOME writer shown,method-to-sink closure for all callbacks,high,service-surface.csv;contract-methods.csv;fosinit-edges.csv;service-list.txt
amazonpackagemanager/IAmazonPackageManager,yes,class+contract+fosinit,listed_private_shell_find_denied,Amazon permission; OTA phase 550+PMS.isUpgrade,no ordinary shell package writer,complete callback sender/effect join,high,service-surface.csv;contract-methods.csv;fosinit-edges.csv;service-list.txt
amazonusermanagerservice/IAmazonUserManager,yes,class+contract+fosinit,listed_private_shell_find_denied,interface+trusted KFT lifecycle,child-user launcher state only in known path; no User-0 shell route,auxiliary user-service closure,high,service-surface.csv;contract-methods.csv;fosinit-edges.csv;service-list.txt
amazonprofileservice,yes,class+fosinit,listed_private_shell_find_denied,PROFILE_INTERACTION on initiateLauncher,profile lifecycle; no resolver writer,consumer and all method gate join,high,service-surface.csv;fosinit-edges.csv;service-list.txt
amazon_input+amazon_keyevent,yes,classes+fosinit,listed_private_shell_find_denied,system/signature/Amazon input permissions,input filtering/observation; no sink shown,callback consumer closure,high,service-surface.csv;fosinit-edges.csv;service-list.txt
fosdebug,yes,class+core_fosinit,listed_handle_saved,DUMP,diagnostic/read-only,none for inspected surface,high,service-surface.csv;service-list.txt
AppCompatActivityStackSupervisorCallback,yes,class+fosinit+callback table,local callback,framework callback context,resolveIntent then uninstalled filter; no direct HOME override,none for observed callback,high,vendor-home-callbacks.csv;fosinit-edges.csv
EveActivityStackSupervisorCallback,yes,class+fosinit+callback table,local callback,no concrete override,inherited null; no sink,none for observed callback,high,vendor-home-callbacks.csv;fosinit-edges.csv
amazonservicespolicy_fosinit,partial,registered XML,not a public handle,callback-local gates unjoined,policy/package/component effects unknown,join every callback to source and sink,medium,extraction-manifest.tsv;fosinit-edges.csv
core_fosinit,partial,registered XML,system-server callback/boot path,boot-phase/caller gates unjoined,possible package/component/OTA fan-out unknown,split callback closure by sink,medium,extraction-manifest.tsv;fosinit-edges.csv
tabletkeypolicymanager+launcherhijackpreventer,yes,registered XMLs,local callback,canSeeHomeTask/signature or SELinux markers,HOME-adjacent observation/routing; persistent HOME write not shown,prove or exclude resolver/PMS writer,medium,service-surface.csv;fosinit-edges.csv;vendor-home-callbacks.csv
amazonappsettings+packagewhitelister+factoryresetwhitelist+packagerecency,partial,registered XMLs,unknown/publicness not unified,method-local gates incomplete,package/settings sink not proven,source-to-PMS/settings join,medium,extraction-manifest.tsv;fosinit-edges.csv
amazonusermanager+kindlefreetime+toddlermode,partial,registered XMLs,unknown per auxiliary entry,known IAmazonUserManager path gated; auxiliaries unjoined,alternate component/user writer not proven,class/consumer/gate join,medium,extraction-manifest.tsv;fosinit-edges.csv
fireossystemota+crlsetmanager+amazoncertpininstall,partial,registered XMLs,unknown per callback,phase/signature/upgrade gates incomplete,OTA sink not proven,callback sender/phase/effect join,medium,extraction-manifest.tsv;fosinit-edges.csv
receiverfilter+tabletbroadcastrelay,partial,registered XMLs,receiver visibility not unified,exportedness/permission/caller union incomplete,broadcast-to-settings/HOME/package sink not proven,union receiver manifest and callback review,medium,extraction-manifest.tsv;fosinit-edges.csv
corpus completeness,yes,244 complete fosinit XML entries,186 saved runtime services,31 reviewed private Binder methods,none,registration/runtime/source reconciliation is not a reachability proof,negative claim limited by callback gaps,high,extraction-manifest.tsv;runtime-summary.csv;contract-methods.csv;service-list.txt
INPUT_HASH:artifacts/phase6jd-fosinit-20260810-01/extraction-manifest.tsv,sha256=0797a670880672e424326aa206ab422ca849e2996d2f0985aa2d4b2ca61ea993,,,,,,,,complete fosinit manifest
INPUT_HASH:artifacts/phase6jd-fosinit-20260810-01/manifest.sha256,sha256=37012a90b7822304a080c736f12684fdf5d58a2bc6ca92e80536d37c3a882f58,,,,,,,,manifest of extracted XML hashes
INPUT_HASH:artifacts/phase6h/phase6h-framework-ipc-20260804-01/fosinit-edges.csv,sha256=977463568dd26a42bbec58e88a3f33adc20c7337da2a20367d8fe5ebeb247c54,,,,,,,,fosinit-to-framework edge table
INPUT_HASH:artifacts/phase6k/service-surface-audit-20260805-01/service-surface.csv,sha256=4671100ea095e8625f87e125a31f76551effd2608c93a624de44158e8a6572dd,,,,,,,,service surface and gate table
INPUT_HASH:artifacts/phase6l/binder-contract-audit-20260805-02/contract-methods.csv,sha256=062b74661247122a670d8f16c5d2547a7f192be02de3d6e66ff8dc76d41b3957,,,,,,,,Binder contract mapping
INPUT_HASH:artifacts/phase6mv-runtime-report-20260810-02/runtime-summary.csv,sha256=5b974ced88721359d6905c5711481c5bc1fb8bcbf6a2fff0eb7a301e42485564,,,,,,,,saved runtime summary
INPUT_HASH:artifacts/phase6kw-vendor-home-callbacks/vendor-home-callbacks.csv,sha256=638c1a8ae1bae66cb24ebede74a8afcb48e26fd09f0028d87a8d2fef6ac3bc3d,,,,,,,,HOME callback reconciliation
INPUT_HASH:artifacts/phase6k/amazon-service-readonly-20260805-01/service-list.txt,sha256=4b7f5bea6c0ce60945df5f86dba8126652c5d67e9bf584a21710230681212d6d,,,,,,,,saved service inventory
