route,existing test,evidence,real HOME?,persistence,rollback,risk,status,next safe step
standard HOME resolver,HOME-T01/T02/T14-T19,output/rendered/phase-1-report.phase2-final4.md; adb/launcher-tests; resolver consistently com.amazon.firelauncher/.Launcher priority 50,yes (Fire only),normal system persistence,none required; baseline retained,none,disproved,keep as baseline comparator
preferred activity / set-home-activity,HOME-DEFAULT-T01; HOME-PREF-T01/T17; phase6ck User 12,preferred record exists or command reports Success but unlocked User 0 HOME still resolves Fire priority 50; output/rendered/phase-1-report.phase2-final4.md; output/tables/phase6ck-child-third-party-home-boundary.csv,no for User 0; child candidate remains Tahoe,preferred record is persistent until changed but not winner,restore Fire preferred record / per-user uninstall in saved tests,low reversible state change; keyguard can confound snapshots,disproved,host-only compare chooseBestActivity ranking and equal-priority branch
Settings default-home UI,Phase 3C settings matrix; Settings static review,DefaultHomePreferenceController/DefaultHomePicker and replacePreferredActivity exist; phase-3c-settings-matrix.csv; output/rendered/phase-1-report.phase2-final4.md,unknown; UI path exists but manual selection effect not established on this build,unknown until UI selection is made,restore captured preferred activity only if an authorized UI test is later approved,medium; GUI and overlay/build variance,unknown,static diff of exact-build resources and existing saved UI artifacts only
SystemUI direct Fire launch,SystemUI launch search; HOME-T01/T02,SGObserver references Fire only to inspect foreground before Smart Genie popup; focused search found no direct Fire Home launch; findings/systemui-launch-search.md; output/rendered/phase-1-report.phase2-final4.md,no,normal SystemUI lifecycle persistence,none,low; copied framework classes create bounded-negative limitation,disproved,keep SystemUI observation separate from HOME resolver path
foreground redirect via resident Accessibility,Phase 6CX; Phase 6CY 3/3 retry; Phase 6CY-R reboot,explicit Fire start redirected to Microsoft and one run recorded HOME-key Microsoft 3/3; resolver remained Fire priority 50; findings/phase-6cx-adb-accessibility-foreground-redirect.md; findings/phase-6cy-ms-targeted-accessibility-retry.md,not by resolver; visible foreground only,service setting survived reboot in 6CY-R but mechanism is delayed/event-driven,user-consented setting and APK uninstall; saved rollback restored null/0 and Fire,requires Accessibility enablement and installed APK; not executed in this audit,temporary,only host-audit existing evidence; do not describe as HOME replacement
"Accessibility natural HOME contradiction","Phase 6CY clean reboot / pause comparison","postboot HOME Microsoft 0/3 with Settings snapshots; clean reboot table says 3/3 foreground but delayed retry and resolver Fire; output/tables/phase6cy-clean-reboot-home.csv; output/tables/phase6cy-accessibility-adb-pause.csv; findings/phase-6cy-accessibility-reboot-persistence.md","no; Fire remains resolver and result is timing-sensitive","setting persisted across reboot in tested run","existing rollback passed","medium/high; depends on timing, host ADB/service lifecycle and user consent","temporary","host-only reconcile timestamps and foreground sampling definitions; no device rerun"
installed Microsoft Accessibility service,Phase 6DE,service bound but explicit Fire and KEYCODE_HOME stayed Fire; resolver Fire priority 50; findings/phase-6de-microsoft-installed-accessibility-boundary.md,no,temporary enablement only,rollback-result.json restored settings and foreground,low/medium; empty onAccessibilityEvent path,disproved,retain as negative control for Accessibility route
manifest Lock Task foreground retention,Phase 6CL,manifest lockTaskMode=always auto-entered LOCKED; HOME left target resumed/focused while resolver still Fire; findings/phase-6cl-manifest-locktask-boundary.md; output/tables/phase6cl-manifest-locktask-boundary.csv,no; foreground kiosk only,not persistent across reboot,stop lock task; uninstall test APK; explicit Fire start,medium; app install and lock state are mutating and require consent,temporary,host-only preserve result; do not count as real HOME
Lock Task reboot,Phase 6CM,after reboot lock state 0 and target not resumed; resolver returned Fire priority 50; output/tables/phase6cm-manifest-locktask-reboot-boundary.csv,no,disproven persistence across reboot,rollback passed; lock NONE and APK absent,medium; transient boot FallbackHome must not be mistaken for persistence,disproved,no repeat; retain as reboot boundary
BOOT_COMPLETED Lock Task receiver,Phase 6CN,receiver resolver entry and permission present but target did not start after reboot; Fire resolver priority 50; output/tables/phase6cn-boot-completed-locktask-boundary.csv,no,not persistent/insufficient trigger,rollback passed; APK absent,medium; receiver registration is not proof of broadcast delivery or HOME writer,disproved,static receiver/exported/permission review only
