id,surface,classification,evidence_strength,source_refs,summary
KNR-01,/dev/ion core,POSITIVE_LIBRARY_ONLY,Strong static,ion.c lines 1478-1617 1657-1658 1920-1924; kernel.config lines 3532-3534; platform.tar sha256 69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd; phase5bl observations.csv line 6; vendor CIL lines 3066 4170 4325 4417,libion.so path and ION ioctl callsites are established; top-level process UID/domain runtime invocation and downstream privileged effect are not established; no launcher package HOME or OTA edge
KNR-02,/dev/ion MTK custom,POSITIVE_LIBRARY_ONLY,Strong static,ion_drv.c lines 428-492 703-736; kernel.config lines 3532-3534; platform.tar sha256 69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,libion_mtk.so mt_ion_open ion_custom_ioctl and ioctl callsites are established; library to process provenance and runtime invocation remain open; no launcher package HOME or OTA edge
KNR-03,/dev/mtk_cmdq and MDP async,UNKNOWN_RESIDUAL,Medium static,cmdq_driver.c sha256 b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899 lines 660-743 864-865; mdp_ioctl_ex.c sha256 665aacbd47eb99f3a5e38f0447c75881c04827f24cf60c9baa7606e6dd1d52c1 lines 332-405 602-729; kernel.config lines 1247-1248; phase6rg node metadata; vendor CIL,source reaches async MDP readback and hardware register state but no exact shipped ELF open plus ioctl caller; final TE ueventd and credential join missing; no launcher package HOME or OTA edge
KNR-04,/proc/m4u,UNKNOWN_RESIDUAL,Medium static,m4u.c sha256 6351de00903a282ba682427095a155794efd8221f253ff11a0f74ed7c5cb86c6 lines 1577-2043 2268; phase6rg absent /dev/m4u and /dev/M4U_device,source supports DMA IOMMU and port power controls but active proc exposure and production caller are unresolved; no launcher package HOME or OTA edge
KNR-05,/proc/perfmgr/perf_ioctl,UNKNOWN_RESIDUAL,Medium static,perf_ioctl.c sha256 df846d7463d14af07fa98bb0a26d389c1a5e41a46b58763327c9d47a2aa3ff09 lines 69-203 231-232; phase6rg proc metadata; vendor CIL,source supports FPSGO fbc and touch_boost controls but exact shipped ELF proc write ioctl caller and effective authorization are missing; no launcher package HOME or OTA edge
KNR-06,RPMB service driver,UNKNOWN_RESIDUAL,Medium static,rpmb core.c and rpmb-mtk.c; kernel.config lines 2235-2237; process_list lines 166 294; rpmb_svc.rc; vendor CIL,process and service metadata exist but no exact Android native open ioctl or service to driver callsite; node owner credential and SELinux join missing; no launcher package HOME or OTA edge
KNR-07,/proc/idme/*,CLOSED_NEGATIVE_FOR_WRITE,Strong static,amzn_idme.c sha256 ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e lines 316-347; kernel.config lines 3583-3584; phase6n proc metadata; IDME init and vendor CIL,source masks write bits and forces owner 0400; read caller and confidentiality policy remain bounded; no launcher package HOME or OTA edge
KNR-08,Amazon diagnostics /proc/amzn_drvs/*,CONDITIONAL_NOT_SHIPPED_ESTABLISHED,High source Low-Medium production,amzn_drv_test.c sha256 6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e lines 747-812; trona_defconfig lines 524-530; phase6rg says proc absent,source has lifecycle factory reset and RTC special mode write but CONFIG_AMZN_DRV_TEST is absent and no shipped node or native caller is established; no proven launcher package writer or OTA caller
KNR-09,GED Vcodec camera sensor thermal USB Type-C PMIC,UNKNOWN_RESIDUAL,Medium static,phase6sw and phase6tc source markers; platform.tar sha256 69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd; file-context and config markers,library and HAL presence does not establish path specific ELF callsite or SELinux credential; hardware effects remain source capability only; no launcher package HOME or OTA edge
KNR-10,GhostLock PS7331 rtmutex,NOT_A_SHIPPED_NATIVE_CALLER,Strong boundary negative,futex sha256 ca9140bac21e62154462315abc9f047f5f69dff4a12d8a03d88986ba54ca7a96; rtmutex sha256 6cb5442a765b69fa74c8c87b3fa8f44ce1cbb67eec45db3290e512f38eb75dde; PS7331 boot sha256 cf12e5619d635ecf7927784a4ed15a254a96c1642d1db9e4ca6734b192d6fa1b; reference GhostLock BOOT_ANALYSIS,reference is Qualcomm SM6125 Linux 4.14 while PS7331 is MT8183 Linux 4.4; no shipped native node ioctl caller or privilege effect; no launcher package HOME or OTA edge
KNR-11,Official OTA updater native writer,OUT_OF_SCOPE_ADJACENT,Strong static,update-binary sha256 02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b; updater-script sha256 4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,static partition writer exists but no execution and no driver node ioctl caller join; guarded OTA lifecycle has no saved launcher package writer; retain as separate boundary

