family,route,status,direct_evidence,caller_or_gate,sink_or_effect,evidence,next_safe_step
deny-list-provenance,packages_deny_list -> com.amazon.firelauncher,direct observation,Direct static observation: JSON explicitly contains com.amazon.firelauncher; not live persisted-set proof.,host extracted resource artifact; parsed by DenyListArcusHelper.processJSON(),artifacts/phase6ap/denylist-resource-closure-20260805-01/res/raw/package_manager_deny_list.json,16086fecbfce20a0c0b37535e25d690635d398b30d582fa6d231736dc9bdf710,Preserve static seed evidence; do not mutate resource or system image.
deny-list-provenance,0x7e05000a -> amazon.fireos:raw/package_manager_deny_list,static mapping,Static mapping reaches the JSON that contains Fire Launcher; membership is host-resource observation only.,Resources.getSystem().openRawResource(0x7e05000a) in DenyListArcusHelper.processJSON(),artifacts/phase6ap/denylist-resource-closure-20260805-01/resource-table-targets.json,ee0aa73a5dfcb11893145fa5a3ac4a263bcd94a815954ed240dcc3aaf9ec896d,Use version-matched resource table only; no runtime resource replacement.
deny-list-provenance,DenyListKeyPackages / PackageManagerDenyList,static mapping,Static producer mapping; initial seed includes Fire only through the separately observed raw JSON.,DenyListArcusHelper constructor; extractListFromResorces(); processJSON(); putStringSet().commit(),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,Keep seed-versus-persisted distinction; no SharedPreferences write.
deny-list-provenance,PackageManagerDenyList:DenyListKeyPackages,static mapping,Static consumer requires set.contains(packageName); exact live set contents were not read.,ControlProtectedPackagesCallback.getSharedPrefPackages() / shouldDisableAmazonApp(),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,Use existing code path; do not infer literal membership from callback alone.
deny-list-provenance,ControlProtectedPackagesCallback.shouldProtectPackage(),static mapping plus inference,Shell rejection is consistent with all callback predicates but does not expose which predicate input was literal-read at runtime.,isSystemApp + deny-list contains(package) + Binder caller UID 2000,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,Retain as gate provenance; no Binder replay or package mutation.
deny-list-provenance,VendorProtectedPackagesCallback registration,static mapping,Registration proves callback wiring; no package membership is encoded in XML.,Amazon callback registered as SYSTEMSERVER implementation,artifacts/amazon-services/amazonpackagemanager_fosinit.xml,eb53e50cf72174eddcde25fd3538e4736d2cd4cb7866bab4e5bc2b70fc514286,Keep registration edge; no service invocation.
deny-list-provenance,persist.sys.denylist_arcusid / packages_deny_list,static mapping,Static replacement path; Arcus payload membership is unknown and no payload was captured here.,DenyListArcusHelper.initialize(); registerArcusBroadcastReceivers(); getDenyList(); saveProtectedPackages(),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,Inspect existing host artifacts only; do not trigger Arcus or change property.
deny-list-provenance,/data/system/PackageManagerDenyList metadata,unknown membership,Direct runtime observation: system:system mode 0660 size 2645; literal package membership unavailable.,prior read-only shell ls/stat observation; no content reader,artifacts/phase6k/readonly-device-20260805-01/deny_list_ls.stdout.txt,9f7ad63a2514d38b0b488ff69de9136f3de064c2c08ee1bc26d5fcbd89c4e76c,No read/pull/chmod/replace; await authorized artifact only.
deny-list-provenance,Fire Launcher membership boundary,inference boundary,Explicitly classified pending/unknown for live persisted membership; rejection is strong explanatory evidence only.,existing findings consolidate resource seed + callback + ACL evidence,findings/phase-6v-evidence-index.md + findings/phase-6ai-denylist-flow-closure.md,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53;ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,Do not upgrade wording; preserve direct/static/inference/unknown labels.
deny-list-provenance,protected-package rejection for com.amazon.firelauncher,direct observation plus inference,Direct runtime observation: Cannot disable a protected package and state unchanged; not literal file membership observation.,PMS setEnabledSetting -> ProtectedPackages -> vendor callback; existing shell package/component attempts,findings/phase-6v-evidence-index.md + existing component protection captures,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,Reuse existing rejection; do not repeat mutation.
