evidence_id,question,result,status,confidence,source,sha256_or_note
6SH-001,recovery verifier caller,"SideloadVerifier.verifySideloadPackage -> RecoverySystemWrapper.verifyPackage -> android.os.RecoverySystem.verifyPackage",CONFIRMED,high,"artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadVerifier.java:37-48; com/amazon/android/os/RecoverySystemWrapper.java:21-22",platform verifier implementation/native recovery caller UNKNOWN
6SH-002,UpdateSystem.install handoff,"SideloadInstaller.installSideload -> verifySideloadWithoutRecoveryCheck -> SideloadMover.maybeMoveSideloadFile -> UpdateSystemWrapper.install -> UpdateSystem.install",CONFIRMED,high,"SideloadInstaller.java:65-84; SideloadMover.java:31-44; UpdateSystemWrapper.java:33-44",no execution
6SH-003,staging destination,"destination is OTA external-data directory + input basename",OBSERVED,high,"SideloadMover.java:39-42",no canonicalPath/NOFOLLOW marker observed in bounded Java corpus; semantics UNKNOWN
6SH-004,staging canonicalization/NOFOLLOW,"not observed in bounded Java source; framework/native/recovery staging not recovered",UNKNOWN,bounded,"SideloadMover.java; Phase 6KT/6SD reports",absence is not vulnerability evidence
6SH-005,rename/copy semantics,"renameTo first; fallback buffered FileInputStream/FileOutputStream copy; source delete; existing destination MD5 comparison",CONFIRMED,high,"FileHelper.java:56-149,305-343",race/atomicity/symlink semantics UNKNOWN
6SH-006,protected lifecycle caller,"AmazonPackageManagerService.onBootPhase(550) + PMS.isUpgrade -> protected BOOT_AFTER_SYSTEM_OTA -> BootAfterSystemOTAReceiver",CONFIRMED,medium,"work/luna_worker_phase6sd_ota_20260810.md; Phase 6SD CSV",exact delivery user/native post-install caller partly UNKNOWN
6SH-007,DeviceSoftwareOTA protection,"com.amazon.dcp.ota.permission.CONTROLLER protectionLevel 0x3; controller receivers declare permission",CONFIRMED,high,"artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/035_DeviceSoftwareOTA.xmltree.txt:12-18,182-189",signature|privileged
6SH-008,native updater capability,"fixed by-name targets; extraction/block-image/write/rename/chown/readlink-family markers and selected edges",CONFIRMED,high,"artifacts/phase6md-native-updater-path-audit-20260810-01/updater-script-operations.csv; artifacts/phase6mm-updater-blockimage-20260810-01/summary.json; Phase 6KT",capability only; no runtime
6SH-009,shell or ordinary-app route,"no bounded evidence of shell/ordinary-app -> verifier/install -> recovery/update-binary -> writer",NOT_ESTABLISHED,strong-negative,"Phase 6KT/6SD; DeviceSoftwareOTA manifest; Phase 6KU",not universal proof; no malformed OTA/payload test
6SH-010,device mutation,"no updater/recovery/sideload/reboot/partition write/device contact in this phase",CONFIRMED,high,"scope control",host-only
HASH-001,official update-binary SHA-256,02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,INPUT_HASH,high,"Phase 6KT/6S/6BI audit.json and summary.json",preserved artifact
HASH-002,official updater-script SHA-256,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,INPUT_HASH,high,"Phase 6KT audit.md/audit.json",preserved artifact
HASH-003,RecoverySystemWrapper.java SHA-256,5cea16a23aadebf9c043791fffb80c4e3a78ca629e8f7c64c82a366983790287,INPUT_HASH,high,"Phase 6KT audit.md",preserved JADX input
HASH-004,generated report SHA-256,fba0e4a1c7788043e9e7839ec6b9d60aebdde6c65048691f897fff51e0bb08a1,OUTPUT_HASH,high,"work/luna_worker_phase6sh_recovery_20260810.md",hash computed before final CSV update
HASH-005,generated CSV SHA-256,SELF_HASH_REPORTED_IN_HANDOFF,OUTPUT_HASH,high,"work/luna_worker_phase6sh_recovery_20260810.csv",self hash intentionally reported in final handoff to avoid self-referential mutation
