domain,row_id,subject,method_or_route,registration_or_api,caller_or_permission,gate_or_policy,identity_or_formal_home,user_scope_or_persistence,sink_or_result,reachability_or_mutation,classification,evidence,source_or_hash,next_safe_step,notes
settings-pm-writer,SRS-01,SettingsProvider/global,call PUT_global or ContentProvider insert/update/delete,call PUT_global or ContentProvider insert/update/delete,caller identity from ContentProvider; production caller not enumerated,WRITE_SECURE_SETTINGS via enforceWritePermission; setting-specific restrictions,No clearCallingIdentity in bounded global mutation; Binder calling UID/package retained,requestingUserId then resolveCallingUserIdEnforcingPermissionsLocked; cross-user handled by ActivityManager,SettingsRegistry global SettingsState then persisted settings XML; no HOME/package-state sink shown,API implementation reachable only through provider/API authorization; arbitrary caller not proven,CONFIRMED_STATIC_WRITER; caller inventory UNKNOWN,decompiled/jadx/settings-provider/sources/com/android/providers/settings/SettingsProvider.java:238-264;344-418;658-704;1229-1302,,Host-only compare new SettingsProvider/API artifacts; do not write settings,UNKNOWN/NOT_FOUND retained as evidence gaps
settings-pm-writer,SRS-02,SettingsProvider/secure,call PUT_secure or ContentProvider insert/update/delete,call PUT_secure or ContentProvider insert/update/delete,caller identity from ContentProvider; production caller not enumerated,WRITE_SECURE_SETTINGS; restricted-setting and owning-user checks,No clearCallingIdentity in bounded secure mutation; Binder calling UID/package retained,requestingUserId then resolveCallingUserIdEnforcingPermissionsLocked; owning user must equal resolved calling user,SettingsRegistry secure SettingsState then persisted secure settings XML; no HOME/package-state sink shown,API implementation reachable only through provider/API authorization; arbitrary caller not proven,CONFIRMED_STATIC_WRITER; caller inventory UNKNOWN,decompiled/jadx/settings-provider/sources/com/android/providers/settings/SettingsProvider.java:238-264;344-418;881-920;1229-1302,,Host-only enumerate key-specific consumers; do not mutate Settings,UNKNOWN/NOT_FOUND retained as evidence gaps
settings-pm-writer,SRS-03,SettingsProvider/system,ContentProvider insert/update/delete,ContentProvider insert/update/delete,caller identity from ContentProvider; production caller not enumerated,WRITE_SECURE_SETTINGS or Settings.checkAndNoteWriteSettingsOperation; restricted-system-setting gate,No clearCallingIdentity in bounded system mutation; Binder calling UID/package retained,runAsUserId then resolveCallingUserIdEnforcingPermissionsLocked; owning user must equal resolved calling user,SettingsRegistry system SettingsState and ringtone cache side effects; no HOME/package-state sink shown,API implementation reachable only through provider/API authorization; arbitrary caller not proven,CONFIRMED_STATIC_WRITER; caller inventory UNKNOWN,decompiled/jadx/settings-provider/sources/com/android/providers/settings/SettingsProvider.java:344-418;965-1015;1229-1302,,Host-only compare future system-setting consumers; do not mutate Settings,UNKNOWN/NOT_FOUND retained as evidence gaps
settings-pm-writer,SRS-04,PMS/HOME,Settings DefaultHomePicker setDefaultKey; shell runSetHomeActivity is a separate public command caller,Settings DefaultHomePicker setDefaultKey; shell runSetHomeActivity is a separate public command caller,SET_PREFERRED_APPLICATIONS plus mPermissionManager.enforceCrossUserPermission; candidate must be a resolved HOME activity,No clearCallingIdentity in replacePreferredActivity/setHomeActivity bounded slice; Binder calling UID used for gates,explicit userId; PMS validates candidate against that user's HOME activities,Settings.mPreferredActivities per-user preferred resolver then preferred-activity XML; later resolver ranking may still select Fire,Static caller route confirmed for picker source; normal dashboard route omitted and shell writer effectiveness is runtime-bounded,CONFIRMED_STATIC_WRITER_AND_SINK,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java:13120-13143;13817-13838; work/luna_worker_settings_home_resource_followup_20260810.md,,,Retain source-only mapping; no picker launch or shell command,UNKNOWN/NOT_FOUND retained as evidence gaps
settings-pm-writer,SRS-05,PMS/package-state,framework internal callers including AmazonUserManagerService; policy and shell callsites in existing writer inventory,framework internal callers including AmazonUserManagerService; policy and shell callsites in existing writer inventory,downstream PMS setEnabledSetting gates; exact caller-specific permission provenance not complete,No clearCallingIdentity established for these bounded setter callsites; PMS uses caller/package arguments and internal server context varies by caller,explicit userId at API; writer inventory records UserInfo.id/user-list and --user paths,PackageManager package/component enabled state in PackageSetting/package restrictions; no automatic HOME preferred sink,Static setter callsites confirmed; ordinary reachability and target-specific path UNKNOWN,CONFIRMED_STATIC_WRITER; reachability UNKNOWN,artifacts/phase6mh-package-state-writers-20260810-01/writer-calls.csv; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54310-54324;293679-293738;500744-500765;954239,,,Host-only review of caller-specific gates and consumers; do not invoke setters,UNKNOWN/NOT_FOUND retained as evidence gaps
settings-pm-writer,SRS-06,Amazon PM flags,IAmazonPackageManager tx1/tx2 set/removeAmazonFlagsForUser; production caller not found in bounded corpus,IAmazonPackageManager tx1/tx2 set/removeAmazonFlagsForUser; production caller not found in bounded corpus,amazon.permission.ADD_RM_PKG_METADATA via checkCallingOrSelfPermission; permission holder/caller identity UNKNOWN,No clearCallingIdentity shown; Binder caller remains effective at permission check and downstream call,explicit user argument passed to AmazonApplicationFlags; list/package arguments are caller supplied,AmazonApplicationFlags.set/removeAmazonFlagsForUser; persistence/consumer may be Amazon flags only; first PMS/HOME sink NOT_FOUND,service contract and implementation statically present; production caller/token provenance UNKNOWN,CONFIRMED_STATIC_SINK; UNKNOWN caller,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:402917-403398;95866-96037; artifacts/phase6mu-amazon-application-flags-20260810-01/evidence/package-mutators.txt; work/luna_worker_phase6ms_inventory_20260810.md,,,Trace only offline AmazonApplicationFlags consumers and persistence; do not send private Binder transactions,UNKNOWN/NOT_FOUND retained as evidence gaps
settings-pm-writer,SRS-07,Amazon PM metadata,IAmazonPackageManager tx4/tx5 set/removeAmazonMetadataForUser; production caller not found in bounded corpus,IAmazonPackageManager tx4/tx5 set/removeAmazonMetadataForUser; production caller not found in bounded corpus,amazon.permission.ADD_RM_PKG_METADATA via checkCallingOrSelfPermission; permission holder/caller identity UNKNOWN,No clearCallingIdentity shown; Binder caller remains effective at permission check and downstream call,explicit user argument passed to AmazonApplicationFlags; package and metadata lists are caller supplied,AmazonApplicationFlags.set/removeAmazonMetadataForUser then internal metadata structures; no proven PMS package-state/HOME sink,service contract and implementation statically present; production caller/token provenance UNKNOWN,CONFIRMED_STATIC_SINK; UNKNOWN caller,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:402917-403398;95866-96037;95962-96025; artifacts/phase6mu-amazon-application-flags-20260810-01/evidence/consumer-call-sites.txt; work/luna_worker_ipc_unclosed_sink_inventory_20260810.md,,,Host-only enumerate metadata consumers and any exact-build PMS bridge; do not mutate metadata,UNKNOWN/NOT_FOUND retained as evidence gaps
settings-pm-writer,SRS-08,Amazon PM permission,permission declaration/holder boundary for metadata mutators,permission declaration/holder boundary for metadata mutators,authorized package(s) holding amazon.permission.ADD_RM_PKG_METADATA not established by bounded static caller search,signature|amazon permission; runtime grant evidence does not identify a legitimate tx1-tx5 production caller,No identity clear in mutator slices,permission is evaluated against incoming Binder identity,permission itself does not establish a user; user remains method argument,Permission registry/grant state only; not a HOME or package-state sink,Service-side gate confirmed; holder/caller reachability UNKNOWN,"CONFIRMED_GATE; UNKNOWN holder,artifacts/phase6k/readonly-device-20260805-01/preferred_activities.stdout.txt:11998-12001;19760;29245; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:95962-96025",,Host-only correlate manifest/permission holders in newly supplied artifacts; do not infer holder from grant alone,UNKNOWN/NOT_FOUND retained as evidence gaps
settings-pm-writer,SRS-09,HOME/package-state join,AmazonApplicationFlags to PMS preferred/enabled state,AmazonApplicationFlags to PMS preferred/enabled state,No exact production caller→consumer edge found,No additional permission/gate beyond tx1-tx5 confirmed,No clearCallingIdentity shown in Amazon PM mutators,explicit user is preserved into AmazonApplicationFlags; downstream user propagation beyond that is UNKNOWN,First PMS/HOME/package-state sink NOT_FOUND; existing evidence says metadata/flags sink only,Not reachable as a proven HOME/package-state path in bounded corpus,NOT_FOUND/UNKNOWN; not a vulnerability claim,work/luna_worker_phase6ms_inventory_20260810.md; work/luna_worker_ipc_unclosed_sink_inventory_20260810.md; artifacts/phase6mu-amazon-application-flags-20260810-01/evidence/consumer-call-sites.txt,,Only inspect offline consumers or a newly supplied exact-build bridge; preserve UNKNOWN,UNKNOWN/NOT_FOUND retained as evidence gaps
settings-pm-writer,SRS-10,PMS preferred-state persistence,PackageManagerService internal preferred writer,PackageManagerService internal preferred writer,caller depends on upstream Settings/shell/system caller; no additional production caller inferred,SET_PREFERRED_APPLICATIONS and cross-user enforcement at replacePreferredActivity; HOME candidate validation in setHomeActivity,No clearCallingIdentity in bounded preferred writer; Binder calling UID remains for permission/cross-user checks,per-user userId passed through resolver and mPreferredActivities,preferred-activities/persistent-preferred-activities XML sections via com.android.server.pm.Settings; resolver ranking is separate from persistence,Static persistence topology confirmed; arbitrary caller and effective HOME winner are separate questions,CONFIRMED_STATIC_SINK,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java:13120-13143;13817-13838; decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/Settings.java; work/luna_worker_settings_home_resource_followup_20260810.md,,Use only host-side source comparison for new builds; no preferred-activity mutation,UNKNOWN/NOT_FOUND retained as evidence gaps
