id,status,category,capability_or_observation,path,sha256,line_or_offset,evidence,claim_boundary
6TP-001,LOCAL_ONLY,input_validation,"updater-script reads ro.build.date.utc and ro.product.device and aborts on mismatch",firmware/extracted/PS7331/META-INF/com/google/android/updater-script,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,"1-2","getprop/less_than_int and abort expressions are literal script evidence","Confirms two script-level predicates only; does not establish package signature, AVB, recovery authentication, or bypass resistance."
6TP-002,LOCAL_ONLY,privileged_partition_write,"script declares block_image_update targets for system and vendor",firmware/extracted/PS7331/META-INF/com/google/android/updater-script,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,"6,10","block_image_update with /dev/block/platform/bootdevice/by-name/system and vendor", "Confirms declared privileged write capability of this OTA script; not evidence that it ran or that an untrusted caller can reach it."
6TP-003,LOCAL_ONLY,boot_firmware_write,"script declares package extraction to boot, preloader, lk, tee1/tee2, spmfw, sspm_1 and cam_vpu1/2/3",firmware/extracted/PS7331/META-INF/com/google/android/updater-script,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,"13,15-23","literal package_extract_file destination arguments", "Confirms high-impact target capability in the saved script only; no flash, recovery, reboot, or partition mutation occurred."
6TP-004,LOCAL_ONLY,temp_cache_write,"script declares extraction to /cache/recovery/last_blocklist",firmware/extracted/PS7331/META-INF/com/google/android/updater-script,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,"24","literal package_extract_file destination", "Confirms a cache/recovery-side file target; does not establish arbitrary path control, symlink behavior, or execution."
6TP-005,DERIVED_OUTPUT,indirect_dispatch,"24 registered updater function-pointer cells resolve to symbols, including package_extract_file, write_value and run_program",artifacts/phase6mk-updater-dispatch-20260810-04/registration-dispatch.csv,d88e35ec08d9ef0a55a3dbc17dc430b62d3b419810653542b6dd3077095cca24,"1,8,17,20","registration table rows 2-25; summary reports 24/24 resolution", "Confirms a static registry mapping and an indirect-dispatch boundary; does not prove any command was evaluated or caller-controlled."
6TP-006,DERIVED_OUTPUT,privileged_file_write,"WriteToPartition opens a target derived from a string object and calls ota_write in its write loop",artifacts/phase6s/ota-cfg-focus-20260805-01/focus-disassembly.txt,0e780e51ced6f7b000bf0a821ffe6cfe81bc0108e6073174b7fa0cb0b94abdcd,"0x413dcc-0x413e3c; 0x413e30-0x413e3c","saved disassembly shows helper call at 0x413dcc and ota_write call at 0x413e3c", "Confirms binary-side I/O capability in selected function body; does not prove path provenance, authorization, runtime reachability, or privilege escalation."
6TP-007,DERIVED_OUTPUT,native_io_helpers,"ota_open and ota_write contain libc open/write wrapper calls and error branches",artifacts/phase6s/ota-cfg-focus-20260805-01/focus-disassembly.txt,0e780e51ced6f7b000bf0a821ffe6cfe81bc0108e6073174b7fa0cb0b94abdcd,"0x426350-0x42648c; 0x426d80-0x426e44","saved ota_open/ota_write disassembly and phase6ah closure", "Confirms helper-level native I/O capability only; no claim is made about an attacker-supplied filename or successful write."
6TP-008,DERIVED_OUTPUT,cache_path_and_cleanup,"MakeFreeSpaceOnCache traverses cache directories and has stat64, __readlink_chk and unlink direct edges",artifacts/phase6ne-updater-cache-flow-20260810-02/direct-call-edges.csv,d653e4a84898509781a333c56502087a83981781fcf6612d7026bfd79602b477,"rows 6-45; offsets 0x417824, 0x4179f4, 0x417bf0, 0x417ea8","saved direct-call edge table", "Confirms selected cache-management capability; does not establish symlink traversal, TOCTOU, arbitrary deletion, or attacker control of cache entries."
6TP-009,UNKNOWN,symlink_toctou,"canonicalization proof is unresolved: selected graph has zero direct edges for readlink/readlinkat/realpath markers, while a cache helper separately calls __readlink_chk",artifacts/phase6mk-updater-dispatch-20260810-04/canonicalization-context.csv,44f61840637e65d7a263b4912d340d834aba1b41b7a84dc7d20382e45fd1a726,"rows 2-6; related cache edge 0x417bf0","bounded-negative table and phase6mk summary", "UNKNOWN is intentional: absence from selected graph is not binary-wide absence, and no runtime symlink/TOCTOU test was performed."
6TP-010,UNKNOWN,property_write,"write_value is registered, but the preserved updater-script contains getprop reads and no write_value invocation",artifacts/phase6mk-updater-dispatch-20260810-04/registration-dispatch.csv,d88e35ec08d9ef0a55a3dbc17dc430b62d3b419810653542b6dd3077095cca24,"row 17; script lines 1-2,25","registry row plus literal script inventory", "Confirms handler presence only; cannot claim a property write occurs in this script or that any caller can invoke the handler."
6TP-011,UNKNOWN,caller_authentication,"native registration is reached from main in the static model, but the registry call remains indirect and recovery/external caller authentication is not closed",artifacts/phase6mk-updater-dispatch-20260810-04/summary.json,4cf463ec498b74e6460fb598f7ce5e5756418aaa5c2ac5767009c22e9c29b9fe,"4-7,23-30,60-66","summary bounded_interpretation, observations, and rejected runtime operations", "No claim of shell/ADB reachability, recovery acceptance, signature bypass, or exploitable privilege boundary is supported."
6TP-012,LOCAL_ONLY,execution_boundary,"analysis records host_only=true, updater_executed=false, recovery_executed=false, partition_written=false and device_contacted=false",artifacts/phase6mk-updater-dispatch-20260810-04/summary.json,4cf463ec498b74e6460fb598f7ce5e5756418aaa5c2ac5767009c22e9c29b9fe,"7,11,14,32,60-66","saved phase6mk execution-safety fields", "This is a host-side evidence boundary, not evidence that the OTA path is safe or unreachable on a device."
