row_id,permission,declaration_or_gate,granted_package_or_holder,caller,identity,user_scope,sink,reachability,evidence_class,evidence
6RV-001,amazon.permission.ADD_RM_PKG_METADATA,"android.amazon.perm manifest permission; protectionLevel signature|amazon","UNKNOWN: no exact package grant row in PS7331 host corpus","AmazonPackageManagerImpl.addAmazonFlagsForPackages -> IAmazonPackageManager.setAmazonFlagsForUser; external instantiator UNKNOWN","checkCallingOrSelfPermission; no clearCallingIdentity in service mutator","explicit user argument; cross-user acceptance UNKNOWN","AmazonApplicationFlags.setAmazonFlagsForUser -> /data/system/amazon_package_flags.xml","static Binder contract/facade; production caller UID UNKNOWN","STATIC_ONLY + UNKNOWN HOLDER","artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:1822-1824; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:95991-96008; decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log:367221"
6RV-002,amazon.permission.ADD_RM_PKG_METADATA,"same declaration and Binder gate","UNKNOWN: no exact package grant row in PS7331 host corpus","AmazonPackageManagerImpl.addAmazonMetadataForPackage -> setAmazonMetadataForUser; external instantiator UNKNOWN","checkCallingOrSelfPermission; no clearCallingIdentity in service mutator","explicit user argument; package/key/value lists caller-supplied","AmazonApplicationFlags.setAmazonMetadataForUser -> atomic XML writer","static Binder contract/facade; production caller UID UNKNOWN","STATIC_ONLY + UNKNOWN HOLDER","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:96009-96026; decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log:367289"
6RV-003,amazon.permission.ADD_RM_PKG_METADATA,"same declaration and Binder gate","UNKNOWN: no exact package grant row in PS7331 host corpus","AmazonPackageManagerImpl.removeAmazonFlagsForPackage / removeAmazonMetadataForPackage; external instantiator UNKNOWN","facade performs checkCallingOrSelfPermission; service retains incoming Binder identity; no service clear identity shown","explicit UserHandle-derived user argument","AmazonApplicationFlags remove mutators -> atomic XML writer","static-only; no observed production invocation","STATIC_ONLY + UNKNOWN HOLDER","decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log:3673xx-3674xx; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:95955-95990"
6RV-004,amazon.permission.ADD_RM_PKG_METADATA,"BinderService four mutators","UNKNOWN: declaration found, grant/holder enumeration absent","IAmazonPackageManager generated Proxy/Stub and external clients; generated Stub is not a production caller","permission check is in service Binder entry; no clearCallingIdentity in bounded block","explicit int userId","AmazonApplicationFlags flags/metadata maps and /data/system/amazon_package_flags.xml","service implementation confirmed; production caller UNKNOWN","STATIC_ONLY + UNKNOWN HOLDER","decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log:58337-58349,402917-403398; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:95866-96037"
6RV-005,amazon.permission.ADD_RM_PKG_METADATA,"AmazonApplicationFlags persistence","N/A","AmazonPackageManagerService.onBootPhase -> AmazonApplicationFlags.init; mutators call writeToFile","system-server lifecycle; no external Binder caller at init","restores stored userid from XML","/data/system/amazon_package_flags.xml read/reload","static lifecycle path; no runtime file contents used","STATIC_ONLY","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:95331-95455,96087-96100"
6RV-006,amazon.permission.ADD_RM_PKG_METADATA,"flags reader consumer","N/A","PackageRecencyCallback.sendBroadcastWithDelay -> getAmazonFlagsForUser","caller identity not relevant to local callback; external trigger UNKNOWN","callback userId propagated to read and broadcast","PACKAGE_RECENCY_NOTIFICATION broadcast; no HOME/PMS setter in bounded method","static consumer confirmed; trigger/caller UNKNOWN","STATIC_ONLY + UNKNOWN CALLER","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:17489-17538"
6RV-007,amazon.permission.ADD_RM_PKG_METADATA,"flags reader consumer","N/A","GameModeHelper.isGamingApp -> getAmazonFlagsForUser","local helper; upstream caller UNKNOWN","explicit package/user arguments","boolean game-mode classification; no package/HOME writer","static consumer confirmed; upstream caller UNKNOWN","STATIC_ONLY + UNKNOWN CALLER","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:134699-134754"
6RV-008,amazon.permission.ADD_RM_PKG_METADATA,"flags reader consumer","N/A","AppCompatActivityManagerServiceCallback.isIncompatiblePackage -> getAmazonFlagsForUser","system callback context; originating caller UNKNOWN","explicit userId/package","incompatibility boolean; no package/HOME writer","static consumer confirmed; upstream callback caller UNKNOWN","STATIC_ONLY + UNKNOWN CALLER","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:181521-181615"
6RV-009,android.permission.CHANGE_COMPONENT_ENABLED_STATE,"PMS component setter gate","observed holder inventory: 12 packages; exact rows in phase6lz/phase6mc audits","AmazonUserManagerService.enableKftLauncherComponent; AmazonUserManagerImpl.createChildUser is the preserved caller","service-side lifecycle; clearCallingIdentity before downstream package/component writes","child/profile UserInfo.id; User-0 acceptance not established","setComponentEnabledSetting / setApplicationEnabledSetting for Fire/Tahoe/Launcher3","static caller and sink; no observed target mutation in this phase","OBSERVED HOLDER + STATIC-ONLY CALLER","artifacts/phase6mc-permission-holder-audit-20260810-05/summary.json; artifacts/phase6lz-component-state-permissions/component-state-permission-holders.csv; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54297-54325"
6RV-010,android.permission.CHANGE_COMPONENT_ENABLED_STATE,"PMS component setter gate","com.amazon.firelauncher; com.amazon.tahoe; other observed holders in phase6lz table","PMS API caller is framework/system service; package-holder identity is not caller identity","PMS enforces caller/package and protected-package gates; downstream service context varies","explicit userId","component/package enabled state; no automatic preferred-HOME sink","holder observed; exact caller-to-holder join UNKNOWN","OBSERVED HOLDER + UNKNOWN CALLER","output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv; artifacts/phase6mc-permission-holder-audit-20260810-05/permission-holders.csv"
