edge,source,permission/gate,caller context,sink,user scope,evidence hash,status,next safe step
protected membership,"android.amazon.perm manifest aapt tree; phase6ac protected-broadcasts.csv","protected-broadcast marker for amazon.intent.action.BOOT_AFTER_SYSTEM_OTA; permission registry separately signature|amazon",system package source android.amazon.perm UID 1000,"AMS protected-broadcast membership gate; no ordinary caller proof","action membership only; no sink; user scope not applicable","89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed; c1bc14011cb69c1c4c160deb2f5c4dda6c95fec60e7030ead4138c8d80297fdd","CONFIRMED_STATIC; runtime mProtectedBroadcasts completeness not proven",host-only inventory of exact-build protected-broadcast sources; do not send action
system-server sender,AmazonPackageManagerService.onBootPhase in fosservices disassembly.log:96087-96126,phase == 550 AND PMS.isUpgrade() == true; sendBroadcast permission argument is receiver filter not standalone sender authentication,system_server SystemContext stored as mContext; no ordinary app/shell caller,Context.sendBroadcast -> ActivityManager broadcastIntent; protected action delivery,context-derived user; exact numeric user not encoded at callsite,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,CONFIRMED_STATIC; natural OTA runtime event absent,host-only trace SystemServer context construction and framework user propagation; no lifecycle fabrication
framework delivery,"ContextImpl.sendBroadcast and ActivityThread.handleReceiver in boot-framework disassembly","AMS protected-broadcast check plus framework delivery; no caller substitution shown",system receiver context constructed from ReceiverData and receiver-restricted Context,receiver onReceive callback,"context/process user scoped; exact delivered user remains unobserved","a35623b7bde07e4f401dc2d6eb2e2d260615a5c4c157848e6db43e463922484b; df647a4932d64dec5a405b528a4c4daacb25e9cac5a2ab75a3e45e866b66996a",CONFIRMED_STATIC; User-0 delivery not claimed,use saved Phase 6MO/6NI context trace; only natural post-OTA read-only capture can close exact runtime user
OOBE receiver manifest/source,"phase6j OOBE manifest and BootAfterSystemOTAReceiver.java:22,27-80","APK requests RECEIVE_BOOT_AFTER_SYSTEM_OTA; receiver block has no android:permission; action/OOBE-running/demo gates",framework-delivered restricted Context in OOBE process,onReceive -> enableIncrementalFlow,not explicit; context-derived per-user operation; not User-0 proven,c29b32bf6874b245859357d926773193c15771a6eb254f97edac57541ae5cb90,CONFIRMED_STATIC; receiver permission declaration does not authenticate arbitrary sender,retain as lifecycle-only receiver; do not replay
OOBE component sink,"PackageHelper.java:11-22 called from BootAfterSystemOTAReceiver.java:56-61","phase 550+isUpgrade plus action && !OOBEAlreadyRunning && !retail_demo_mode",receiver Context PackageManager,"setComponentEnabledSetting(OobeHomeActivity,state=1)","context-derived user; OobeHomeActivity is not Fire Launcher",900f2dd69d349b3b4718b7f988b7d5bd153af2e2cb3c1586600e5b048e760ad8,CONFIRMED_STATIC; exact runtime component mutation absent,after a natural official OTA only collect package/component state read-only
OOBE setup sink,"OOBEActivationHelper.java:53-56 -> SettingsDBUtils.java:51-64","incremental OOBE branch; no ordinary caller route",receiver Context ContentResolver,"Settings.Secure.putInt user_setup_complete=0 and isOOBEActive=1","context-derived user; no preferred HOME API","6ebcb7eef7a03459a76b9c21cd59b61a30947f2b00a5624a4646825b8e3223d2; 6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31","CONFIRMED_STATIC; runtime settings transition absent","do not mutate settings; compare only naturally occurring OTA post-state"
OOBE HOME resolver sink,"OOBE manifest/package dump; priority-100 MAIN SETUP_WIZARD HOME DEFAULT","component enablement gate plus OOBE activation",Activity resolver may see OobeHomeActivity only when enabled,"baseline User 0 component disabled; Fire Launcher remains normal HOME in saved PV/PW read-only captures","User 0 baseline only; post-OTA scope unknown","324359ebfc3b9e9b49fa5f90fe4eb72d4442afe47b3b613bd7db75aa76f923e; d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6","CONFIRMED_STATIC + CURRENT_READONLY_BASELINE; no post-OTA resolver timeline",retain Fire User-0 baseline; never enable OOBE component manually
Alexa consumer 1,com.amazon.gemini.settings.receivers.SystemOTAReceiver.java,shared protected action delivery; receiver-specific authorization not established in saved matrix,receiver process Context implied by framework delivery,disableCommsAccessibilitySettingValue(),user scope not proven from saved consumer slice,e03d421b8d07f769f91642fdff3ce5a7db3072c2f4dd29f3748a8c56ee7f52c6,CONFIRMED_STATIC; runtime delivery absent,host-only manifest/source join; no action replay
Alexa consumer 2,com.amazon.alexa.multimodal.gemini.receiver.SystemOTAReceiver.java,shared protected action delivery; receiver-specific authorization not established in saved matrix,receiver process Context implied by framework delivery,copy access-control secure settings into local keys,user scope not proven from saved consumer slice,fd96fa72fe4f3b999e503b69ba27f3e50898e36dc73ac8eae28dbd8a979b075d,CONFIRMED_STATIC; runtime delivery absent,host-only consumer manifest and exact-user sink review; no settings mutation
context/user propagation,"Phase 6MO normalized table plus Phase 6NI evidence.csv","SystemServer system context -> ContextImpl user -> broadcast userId; exact user mapping remains unencoded","system-server Context initialized through ActivityThread.systemMain/getSystemContext; receiver restricted Context preserves mUser","PackageManager and Settings operations retain context user scope; no explicit User-0 claim","context-derived; exact numeric user unconfirmed","a35623b7bde07e4f401dc2d6eb2e2d260615a5c4c157848e6db43e463922484b; df647a4932d64dec5a405b528a4c4daacb25e9cac5a2ab75a3e45e866b66996a","STRONG_STATIC_CONTEXT; exact runtime user absent",only natural official OTA followed by read-only package/settings/resolver capture
broad-route dedupe Phase 6PV,output/tables/phase6pv-broad-route-closure.csv,"PV normalized broad route closure; OOBE row remains trusted lifecycle and no ordinary caller route","existing saved worker/runtime context only; no new caller","does not add a BOOT_AFTER_SYSTEM_OTA sink beyond OOBE component/setup","not a new user-scope proof",25ab02e4086da1a9d88dc6b0e3065e6397a036b2915c70fc33d515459a20ba49,DEDUPLICATED; no new OTA provenance,retain this report's OOBE rows only as cross-reference; no Binder/OTA action
broad-route dedupe Phase 6PW,output/tables/phase6pw-route-classification.csv,"PW current read-only baseline confirms Fire HOME; OOBE remains system lifecycle and risk-rejected","read-only shell baseline UID 2000; no broadcast or transaction","Fire Launcher User 0 priority 50 remains sink comparator; OOBE not observed live","User 0 comparator only; no OTA delivery scope",d79ec8ebfb3d9e21f28dc4c3162f7ba7da5282fb5c7f40d1a5c91df9d39968b3,CURRENT_READONLY_BASELINE; no runtime OTA event,compare future natural OTA only; do not claim ordinary caller trigger
