target,source_config,shipped_owner_mode,file_context_selinux,exact_native_open_ioctl_caller,effect,status,confidence,evidence
"/dev/mtk_cmdq","cmdq_driver.c + mdp_ioctl_ex.c; CONFIG_MTK_CMDQ=y; CONFIG_MTK_CMDQ_TAB=y","init.mt8183.rc:302-303; system:system 0644","vendor_file_contexts:326 mtk_cmdq_device; vendor_sepolicy.cil allows appdomain/graphics/media/surfaceflinger/mediaserver","No exact native binary/function open+CMDQ ioctl callsite in bounded inventory","CMDQ/MDP hardware/display/DMA candidate; no framework sink shown","UNKNOWN","HIGH source/policy; LOW client","Phase6SC/6QE/6RZ; phase6ft cmdq dataflow"
"/dev/ion","ion.c + ion/mtk/ion_drv.c; CONFIG_ION=y","Prior metadata system:graphics 0666; no exact shipped init/ueventd rule preserved","vendor_file_contexts:198 ion_device; plat/vendor CIL allows multiple media/graphics/app domains","No exact native open+ION ioctl caller; symbols alone insufficient","Buffer/DMA management candidate; no package/HOME sink","UNKNOWN","HIGH source/policy; LOW mode/client","Phase6SC; phase6NP; Phase6RZ bounded 307 APK/JAR scan"
"/dev/gsensor","accel_factory.c; sensor driver path present","init.sensor_1_0.rc:8,31; radio:system 0660","vendor_file_contexts:304 gsensor_device; CIL allows radio/meta_tst/nvram domains","Sensors HAL/service presence, but exact gsensor open+GSENSOR_IOCTL callsite not found","Calibration/device state only; no package sink","UNKNOWN","HIGH owner/mode/label; LOW client","Phase6SC/6QE/6QF; init.sensor_1_0.rc"
"/proc/perfmgr/perf_ioctl","performance/perf_ioctl/perf_ioctl.c; trona touch-boost config; merged config perf events","Source proc mode 0664; no exact init owner/group rule for this child (adjacent children only)","vendor_sepolicy.cil:38 proc_perfmgr genfscon; allows listed for appdomain/system/media/power/graphics","No exact native proc open/write/ioctl caller","FPSGO/fbc/touch-boost scheduling/resource candidate","UNKNOWN","MEDIUM source/policy; LOW client","Phase6SC/6QE/6RZ; init power/perfmgr adjacent rules"
"/proc/m4u","m4u.c active proc registration mode 0; /dev/M4U_device branch inactive","init.mt8183.rc:295-296; system:media 0440","M4U_device_device type and mediacodec allow; exact proc label join not closed","No exact native proc/m4u caller","DMA/IOMMU mapping and power candidate","UNKNOWN","MEDIUM source/owner; LOW label/client","Phase6SC/6QE/6RZ; init.mt8183.rc"
"RPMB (/dev/rpmb0,/dev/emmcrpmb0/block RPMB)","rpmb-mtk.c; CONFIG_RPMB=y; CONFIG_RPMB_INTF_DEV is not set","No exact shipped owner/mode preserved; rpmb_svc.rc only starts service","vendor_file_contexts:430,627,650; CIL teei_rpmb_device/rpmb_block_device allows TEE","rpmb_svc binary/service exists; no exact service-to-node open/ioctl callsite","Authenticated persistent-storage candidate; no observed mutation","UNKNOWN","MEDIUM source/label; LOW owner/client","Phase6SC/6QE/6RZ; rpmb_svc.rc"
"IDME (/proc/idme; boot1 block)","amzn_idme.c; source strips write bits/restricts ownership; IDME config/path evidence","Proc source restricted; boot1 block owner/mode not preserved; HAL init system:system","vendor_file_contexts:687 idme_block_device; CIL allows amzn_hal_idme_default/idme","HAL binary/context exists; exact proc read or HAL-to-block native callsite not closed","Read/confidentiality metadata; direct userspace write source-bounded negative","UNKNOWN","HIGH source; MEDIUM policy; LOW client","Phase6SC/6QE/6RZ; fireos.hardware.idme@1.1-service.rc"
"/proc/amzn_drvs/{sign_of_life,idme,logger}","amzn_drv_test.c owner-write dispatcher; trona config has CONFIG_AMZN_DRV_TEST unset","No shipped node/owner/mode proof","No exact file-context/genfscon/allow join","No client; driver-test feature not config-selected","Conditional lifecycle/RTC/factory diagnostic candidate","UNKNOWN","HIGH negative config; LOW shipped/client","Phase6SC/6QE/6RZ; phase6MZ"
"/dev/metrics,/dev/vitals","amzn_logger.c read/poll surface","Exact shipped owner/mode not preserved","Exact labels/allow not preserved","No exact native reader","Read-only telemetry candidate","UNKNOWN","HIGH source; LOW policy/client","Phase6SC/6RZ"
"/proc/life_cycle_reason","amzn_sign_of_life.c read-only proc; source mode 0444","Source mode only; no exact init rule preserved","Exact proc genfscon/allow not separately preserved","No userspace write caller; kernel setters are not proc clients","Read-only lifecycle telemetry","UNKNOWN","HIGH source negative; LOW client","Phase6SC/6RZ"
"Diagnostic Trouble Code HAL","vendor diagnostictroublecode service/init and policy domain present","init rc service; node mode not applicable","vendor_file_contexts:174; vendor CIL diagnostic domain/HW service rules","No exact target-node open/ioctl caller; HIDL service is outside node join","Diagnostic service only; no driver/package sink shown","UNKNOWN","HIGH service/policy; N/A node","Phase6SC/6RZ; saved policy extraction"
