id,class_or_service,method_or_entrypoint,caller_or_client,permission_or_gate,binder_identity,user_scope,sink_or_effect,observed_runtime,evidence,confidence,missing_edge,next_safe_step
KFT-01,amazon.os.IAmazonUserManager,Stub.onTransact tx3,IAmazonUserManager.Proxy.enableKftLauncher,interface descriptor only; no tx3-local caller permission visible,unchanged caller identity through dispatch,supplied optional UserInfo,dispatches BinderService.enableKftLauncher; returns boolean,no tx3 dispatch observed; saved runtime service unavailable/not found,boot-fosframework/disassembly.log:370637-370740; findings/phase-6cz-kft-child-gating.md:97-102,high,actual authorized Binder client set; current-user equality,host-side caller/reference comparison only
KFT-02,amazon.os.IAmazonUserManager$Stub$Proxy,enableKftLauncher(UserInfo),AmazonUserManagerImpl.createChildUser,caller creates UserInfo with child flag 0x8000; no Proxy permission gate,caller identity transmitted to service,supplied UserInfo parcel including id,IBinder.transact code 3,not runtime-dispatched in saved shell captures,boot-fosframework/disassembly.log:370398-370421; boot-fosframework/disassembly.log:369180-369217,high,complete caller inventory beyond known implementation,host-side rg for exact interface calls
KFT-03,AmazonUserManagerService,onBootPhase(500),AmazonUserManagerService internal upgrade loop,AmazonPackageManager.isUpgrade plus isChildUser(UserInfo),local/in-process; clear identity occurs inside downstream BinderService method,enumerated UserInfo.id,invokes enableKftLauncher then setUserSetupComplete for child users,no device mutation in this review; runtime artifacts are read-only captures,fosservices/disassembly.log:55053-55104; phase-6cz report,high,current-user relation not checked in this loop,host-side inspect same-build user lifecycle references
KFT-04,AmazonUserManagerHelper,isChildUser(UserInfo),onBootPhase upgrade caller,AmazonUserInfo.isChild,none; caller is local,flags-derived child/profile scope,permits KFT writer only for flags 0x8000 or 0x8,static only,boot-fosframework/disassembly.log:079db8-079dea; fosservices/disassembly.log:54166-54174,high,meaning of flag 0x8 beyond existing decompilation,host-side inspect UserInfo flag definitions
KFT-05,AmazonUserManagerService$BinderService,enableKftLauncher(UserInfo),Stub tx3 or internal onBootPhase caller,Amazon Package Manager available and isMMDevice false/true branch; no caller UID/permission check visible,clearCallingIdentity before DPM; restoreCallingIdentity normal and exception paths,supplied UserInfo.id,delegates to tryEnableKftLauncherComponent then DPM empowerKftUser,not runtime-dispatched in saved captures,fosservices/disassembly.log:54415-54492; phase-6cz report,high,method-local caller authorization and current-user validation,host-side static comparison only
KFT-06,AmazonUserManagerService$BinderService,enableKftLauncherComponent(UserInfo),enableKftLauncher,existsKftLauncher gate; no Binder permission gate in private sink,identity already cleared by wrapper,supplied UserInfo.id,sets Tahoe FreeTimeLauncherActivity component state 1; Fire and Launcher3 application state 2,writer-calls artifact records same three sinks, fosservices/disassembly.log:54297-54325; artifacts/phase6mh-package-state-writers-20260810-01/writer-calls.csv,high,downstream setter enforcement details outside this exact writer,host-side inspect setter signatures only
KFT-07,AmazonUserManagerService$BinderService,empowerKftUser(UserInfo),enableKftLauncher after component sink,none visible locally; downstream DPM is called after identity clear,clearCallingIdentity token restored by caller,supplied UserInfo.id,sets KFT active admin/profile owner using Free Time component,static only,fosservices/disassembly.log:54280-54295; 54426-54492; phase-6ay evidence index,medium,DPM-side caller/user policy and exact component preconditions,host-side inspect existing DPM decompilation
KFT-08,AmazonUserManagerService,checkManageUsersPermission,other AmazonUserManagerService methods; not tx3,system UID 1000 or UID 0 bypass; otherwise MANAGE_USERS component permission check,reads Binder caller UID; no identity clear in helper,not a KFT user sink,throws SecurityException for unauthorized other methods,static only,fosservices/disassembly.log:54847-54879,high,whether any indirect tx3 call reaches helper,host-side call-reference audit limited to tx3
KFT-09,AmazonUserManagerService,onStart/getSystemServiceName,ServiceManager publication,none visible in registration path,service published as system Binder service,service scope global; methods consume supplied user ID,publishes amazonusermanagerservice,existing runtime shell lookup not found and SELinux find denied,fosservices/disassembly.log:54894-54899; 55106-55119; findings/phase-6cz-kft-child-gating.md:168-179,high,non-shell trusted service-manager clients,host-side inventory of existing publication references
KFT-10,AmazonUserManagerService$BinderService,enableKftLauncher(UserInfo),unknown external Binder caller,descriptor enforcement only observed; missing caller UID/permission/current-user checks preserved as unknown,clear/restore identity pair observed,supplied UserInfo.id could affect per-user package state if reachable,no evidence of reachable external client or tx3 execution; shell boundary is blocked,findings/phase-6cz-kft-child-gating.md:97-109; saved runtime SELinux artifacts,medium,actual handle exposure and authorization policy,do not invoke; compare existing same-build artifacts or caller references
