phase,record_id,surface,source_path,source_sha256,entry_or_node,caller_or_identity,gate_or_policy,sink_or_effect,low_privilege_reachability,classification,confidence,unknowns,safety_disposition
6SJ,SJ-01,permission:amazon.permission.ADD_RM_PKG_METADATA declaration,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,amazon.permission.ADD_RM_PKG_METADATA declaration,owner declaration only; holder/grant UNKNOWN,raw protectionLevel 0x80000002 (signature|privileged),raw protectionLevel 0x80000002 (signature|privileged),owner declaration only; holder/grant UNKNOWN,CONFIRMED,high,worker_locator=1936-1938; verified_locator=1822-1824,HOST_ONLY; no adb/Binder/device mutation
6SJ,SJ-02,binder:AmazonPackageManagerService BinderService publication,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AmazonPackageManagerService BinderService publication,service publication does not identify caller or holder,publishes named BinderService; no service-level permission argument is visible in the publication call,publishes named BinderService; no service-level permission argument is visible in the publication call,service publication does not identify caller or holder,CONFIRMED,high,96132-96136,HOST_ONLY; no adb/Binder/device mutation
6SJ,SJ-03,binder:remove/set Amazon flags and metadata tx1/2/4/5,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,remove/set Amazon flags and metadata tx1/2/4/5,production caller UID/signing identity UNKNOWN,"each method calls checkCallingOrSelfPermission(ADD_RM_PKG_METADATA), then delegates to AmazonApplicationFlags; explicit userId is part of the call path","each method calls checkCallingOrSelfPermission(ADD_RM_PKG_METADATA), then delegates to AmazonApplicationFlags; explicit userId is part of the call path",production caller UID/signing identity UNKNOWN,CONFIRMED_METHOD_GATE,high,95955-96026,HOST_ONLY; no adb/Binder/device mutation
6SJ,SJ-04,persistence:AmazonApplicationFlags metadata sink,artifacts/phase6mu-amazon-application-flags-20260810-01/mutator-map.csv,dd0bd339be5b69d7aa20a983c0b074dc94159faafa932c6cdbf3080fe306372a,AmazonApplicationFlags metadata sink,caller/holder UNKNOWN,"mutator map records permission→AmazonApplicationFlags→writeToFile; this is metadata persistence, not a HOME selector or enabled-state writer","mutator map records permission→AmazonApplicationFlags→writeToFile; this is metadata persistence, not a HOME selector or enabled-state writer",caller/holder UNKNOWN,CONFIRMED,high,2-5,HOST_ONLY; no adb/Binder/device mutation
6SJ,SJ-05,permission:ADD_RM_PKG_METADATA holder/grant census,artifacts/phase6mc-permission-holder-audit-20260810-05/permission-holders.csv,1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18,ADD_RM_PKG_METADATA holder/grant census,bounded corpus has no exact holder/grant row,privapp/platform-privapp/sysconfig and Phase 6MC holder census do not close an exact custom-permission holder; absence is not proof of nonexistence,privapp/platform-privapp/sysconfig and Phase 6MC holder census do not close an exact custom-permission holder; absence is not proof of nonexistence,bounded corpus has no exact holder/grant row,UNKNOWN,medium,1-200,HOST_ONLY; no adb/Binder/device mutation
6SJ,SJ-06,caller:Amazon PM production caller provenance,artifacts/phase6mc-caller-provenance-20260810-01/caller-provenance.csv,fbb4f21dad1c3948bb3748fe7bcf652b6b136a6fb07e62cb4e7d7e6d51e1b11d,Amazon PM production caller provenance,caller/UID/signing identity UNKNOWN,facade/proxy and service method evidence establish API reachability only; caller inventory does not close a production caller for the metadata mutators,facade/proxy and service method evidence establish API reachability only; caller inventory does not close a production caller for the metadata mutators,caller/UID/signing identity UNKNOWN,UNKNOWN,medium,1-7,HOST_ONLY; no adb/Binder/device mutation
6SJ,SJ-07,identity:AmazonProfileService permission and publication,artifacts/phase6mq-profile-launcher-helper-20260810-01/evidence/profile-permission-check.txt,ef83a57cabaa142b0ab16b745500ee3e03c60d7ea7d387f1d158e9fc3be86a5d,AmazonProfileService permission and publication,caller identity is checked by processId/userId plus PROFILE_INTERACTION; holder remains UNKNOWN,service checks com.amazon.device.permission.PROFILE_INTERACTION with Context.checkPermission and publishes amazonprofileservice without a visible service permission argument,service checks com.amazon.device.permission.PROFILE_INTERACTION with Context.checkPermission and publishes amazonprofileservice without a visible service permission argument,caller identity is checked by processId/userId plus PROFILE_INTERACTION; holder remains UNKNOWN,CONFIRMED_METHOD_GATE,high,1-18,HOST_ONLY; no adb/Binder/device mutation
6SJ,SJ-08,package-state:KFT child/profile enabled-state writer,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,KFT child/profile enabled-state writer,upstream caller/UID UNKNOWN; user scope closes to supplied UserInfo.id,enableKftLauncherComponent sets Tahoe component enabled and Fire/Launcher3 application state using UserInfo.id; this is not a User-0 preferred-HOME setter,enableKftLauncherComponent sets Tahoe component enabled and Fire/Launcher3 application state using UserInfo.id; this is not a User-0 preferred-HOME setter,upstream caller/UID UNKNOWN; user scope closes to supplied UserInfo.id,CONFIRMED_CHILD_SCOPED,high,54310-54324,HOST_ONLY; no adb/Binder/device mutation
6SJ,SJ-09,home:preferred HOME / HOME selector bridge from ADD_RM_PKG_METADATA,artifacts/phase6mw-home-state-sinks-20260810-01/sink-calls.csv,51b924ec70b32c21d121f99b64ab997dace4bee805c52c86439808eaaf6a15e6,preferred HOME / HOME selector bridge from ADD_RM_PKG_METADATA,caller/holder UNKNOWN,no ADD_RM_PKG_METADATA edge to add/replace/set preferred HOME was found; HOME sinks are separate PMS methods with user scope and their own gates,no ADD_RM_PKG_METADATA edge to add/replace/set preferred HOME was found; HOME sinks are separate PMS methods with user scope and their own gates,caller/holder UNKNOWN,BOUNDED_NOT_FOUND,medium,126-130,HOST_ONLY; no adb/Binder/device mutation
6SJ,SJ-10,identity:onTransact/caller-identity closure for candidate services,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,onTransact/caller-identity closure for candidate services,not closed for the candidate methods,"disassembly contains generic Stub onTransact and unrelated getCallingUid/checks, but no bounded evidence maps those identity checks to the ADD_RM_PKG_METADATA methods; retain UNKNOWN","disassembly contains generic Stub onTransact and unrelated getCallingUid/checks, but no bounded evidence maps those identity checks to the ADD_RM_PKG_METADATA methods; retain UNKNOWN",not closed for the candidate methods,UNKNOWN,medium,292493-292502;163786-163798,HOST_ONLY; no adb/Binder/device mutation
6SK,6SK-001,Java OTA,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/validate/OSUpdateValidator.java,NOT_RECORDED_IN_CSV,caller-to-verifier,OSUpdateValidator hash -> RecoverySystemWrapper.verifyPackage -> android.os.RecoverySystem.verifyPackage,CONFIRMED,OSUpdateValidator hash -> RecoverySystemWrapper.verifyPackage -> android.os.RecoverySystem.verifyPackage,not established in bounded corpus,CONFIRMED,high,42-48;72-77; version=PS7331 adjacent source,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-002,Java OTA,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadVerifier.java,NOT_RECORDED_IN_CSV,verifier caller,SideloadVerifier.verifySideloadPackage invokes RecoverySystemWrapper.verifyPackage after metadata/sanity checks,CONFIRMED,SideloadVerifier.verifySideloadPackage invokes RecoverySystemWrapper.verifyPackage after metadata/sanity checks,not established in bounded corpus,CONFIRMED,high,37-48;55-58; version=PS7331 adjacent source,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-003,Java OTA,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadInstaller.java,NOT_RECORDED_IN_CSV,caller-to-install,SideloadInstaller -> SideloadMover -> UpdateSystemWrapper.install -> UpdateSystem.install,CONFIRMED,SideloadInstaller -> SideloadMover -> UpdateSystemWrapper.install -> UpdateSystem.install,not established in bounded corpus,CONFIRMED,high,65-84; version=PS7331 adjacent source,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-004,Java OTA,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadVerifier.java,NOT_RECORDED_IN_CSV,install validation,verifySideloadWithoutRecoveryCheck is paired with metadata/integrity validation; no verifier bypass established,CONFIRMED,verifySideloadWithoutRecoveryCheck is paired with metadata/integrity validation; no verifier bypass established,not established in bounded corpus,CONFIRMED,medium,55-66; version=PS7331 adjacent source,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-005,Java staging,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadMover.java,NOT_RECORDED_IN_CSV,path construction,destination is external OTA data directory plus input basename,OBSERVED-CAPABILITY,destination is external OTA data directory plus input basename,not established in bounded corpus,OBSERVED-CAPABILITY,high,39-42; version=PS7331 adjacent source,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-006,Java staging,artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json,NOT_RECORDED_IN_CSV,canonicalization/NOFOLLOW,bounded Java scan found no canonicalPath or NOFOLLOW marker,UNKNOWN,bounded Java scan found no canonicalPath or NOFOLLOW marker,not established in bounded corpus,UNKNOWN,bounded,findings; staging; version=PS7331 adjacent source,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-007,Java staging,work/luna_worker_phase6sh_recovery_20260810.md,NOT_RECORDED_IN_CSV,rename/copy hardening,renameTo then buffered copy fallback/source delete; existing destination uses MD5 comparison,OBSERVED-CAPABILITY,renameTo then buffered copy fallback/source delete; existing destination uses MD5 comparison,not established in bounded corpus,OBSERVED-CAPABILITY,high,Reconciled findings; FileHelper 56-149;305-343; version=Phase 6SH bounded corpus,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-008,Archive boundary,artifacts/phase6bp/ota-path-audit-20260805-02/ota-path-audit.json,NOT_RECORDED_IN_CSV,symlink/traversal,"path audit reports no symlink entries, duplicate paths, or non-fixed bootdevice targets",CONFIRMED,"path audit reports no symlink entries, duplicate paths, or non-fixed bootdevice targets",not established in bounded corpus,CONFIRMED,high,assessment; symlink_entries; blocklist; version=PS7331 adjacent OTA,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-009,Recovery native,artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json,NOT_RECORDED_IN_CSV,update-binary capability,"registration/evaluation, block-image verify/update, ota_open/ota_write, and WriteToPartition symbols/edges are preserved",OBSERVED-CAPABILITY,"registration/evaluation, block-image verify/update, ota_open/ota_write, and WriteToPartition symbols/edges are preserved",not established in bounded corpus,OBSERVED-CAPABILITY,high,binary_markers; findings; version=PS7331 adjacent OTA,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-010,Recovery script,firmware/extracted/PS7331/META-INF/com/google/android/updater-script,NOT_RECORDED_IN_CSV,partition-writer targets,updater-script names fixed by-name system/vendor and boot/firmware targets,OBSERVED-CAPABILITY,updater-script names fixed by-name system/vendor and boot/firmware targets,not established in bounded corpus,OBSERVED-CAPABILITY,high,6;10;13;15-23; version=PS7331 adjacent OTA,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-011,Recovery reachability,artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json,NOT_RECORDED_IN_CSV,low-privilege caller,no shell or ordinary-app -> verifier/install -> recovery/update-binary -> writer chain in bounded reports,NEGATIVE-BOUNDARY,no shell or ordinary-app -> verifier/install -> recovery/update-binary -> writer chain in bounded reports,not established in bounded corpus,NEGATIVE-BOUNDARY,strong,findings; execution_policy; version=PS7331 adjacent OTA,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-012,OTA controller,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/035_DeviceSoftwareOTA.xmltree.txt,NOT_RECORDED_IN_CSV,permission gate,DeviceSoftwareOTA controller permission is protectionLevel 0x3 (signature|privileged),CONFIRMED,DeviceSoftwareOTA controller permission is protectionLevel 0x3 (signature|privileged),not established in bounded corpus,CONFIRMED,high,12-18;182-189; version=PS7331 adjacent manifest/source,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-013,Post-install/OOBE,work/luna_worker_phase6sd_ota_20260810.md,NOT_RECORDED_IN_CSV,receiver provenance,system-server onBootPhase(550) + PMS.isUpgrade -> protected BOOT_AFTER_SYSTEM_OTA; OOBE predicates observed,CONFIRMED,system-server onBootPhase(550) + PMS.isUpgrade -> protected BOOT_AFTER_SYSTEM_OTA; OOBE predicates observed,not established in bounded corpus,CONFIRMED,medium,Phase 6SD lifecycle chain; version=Phase 6SH/SD bounded corpus,HOST_ONLY; no OTA/recovery/reboot/partition write
6SK,6SK-014,Version scope,firmware/manifests/OTA-20260803-01/README.md,NOT_RECORDED_IN_CSV,7.3.3.0 vs 7.3.3.1,recorded device baseline is PS7330/7.3.3.0; extracted OTA is PS7331/7.3.3.1,VERSION-BOUNDARY,recorded device baseline is PS7330/7.3.3.0; extracted OTA is PS7331/7.3.3.1,not established in bounded corpus,VERSION-BOUNDARY,high,Device build and Downloaded OTA tables; version=PS7331 must not be treated as exact PS7330,HOST_ONLY; no OTA/recovery/reboot/partition write
6SL,6SL-001,/dev/mtk_cmdq,source+config present,NOT_RECORDED_IN_CSV,/dev/mtk_cmdq,no exact shipped native open+ioctl caller,SELinux policy present,UNKNOWN,exact native caller not closed,UNKNOWN,UNKNOWN,native caller join missing; shipped_node=node metadata present,HOST_ONLY; no node open/ioctl/proc write/adb
6SL,6SL-002,/dev/ion,source+config present,NOT_RECORDED_IN_CSV,/dev/ion,no exact shipped native open+ION ioctl caller,policy references present,UNKNOWN,exact native caller not closed,UNKNOWN,UNKNOWN,node and caller joins missing; shipped_node=shipped node not established,HOST_ONLY; no node open/ioctl/proc write/adb
