"row_id","sink_class","caller","gate","identity","sink","status","impact_assessment","minimum_safe_next_step","source_file_line","evidence_id","evidence_hash","source_sha256"
"S01","sensitive","authorized UpdateSystem/install lifecycle; ordinary app/shell caller not proven","signature/product/PVT/recovery checks and controller permission boundary; exact indirect dispatch unresolved","privileged Java -> recovery/native handoff; native caller/identity unresolved","verified staging -> extraction/block-image/write capability; potential partition/root control","Unknown","Privileged capability and sensitive downstream are confirmed, but no low-privilege route or bypass is evidenced.","Host-only recover verifier/certificate/AVB-to-recovery caller and indirect registry/data-flow; no updater/recovery execution.","output/tables/phase6qb-residual-inventory.csv:18; findings/phase-6kt-recovery-verifier-provenance.md; artifacts/phase6md-native-updater-path-audit-20260810-02/summary.json","RWI-06","not separately supplied in source row","9c3ba480da85b6a79952d10d597f07a9caf558425c56f0308bfd0ae6b9182f37"
"S02","sensitive","updater registered handlers; no untrusted caller route established","recovery/update-only execution; dynamic function-pointer and unselected CFG edges unresolved","updater native identity; caller provenance unresolved","canonicalization/readlink-family markers versus extraction/block-image/write guard; possible partition sink edge","Unknown","Markers exist, but the direct canonicalization-to-write edge is explicitly unresolved; no traversal or exploit evidence.","Offline symbol-guided CFG/data-flow and return/error-path closure; no symlink/traversal test or updater execution.","output/tables/phase6qb-residual-inventory.csv:19; update-binary VA 0x1263ac,0x1263d9,0x126405,0x1312ea,0x1312f5; MakeFreeSpaceOnCache VA 0x417778-0x417fc4","RWI-07","not separately supplied in source row","9c3ba480da85b6a79952d10d597f07a9caf558425c56f0308bfd0ae6b9182f37"
"S03","sensitive","signed PS7331 OTA -> recovery update-binary","OTA certificate/signature gate upstream; fixed Edify operations; no run_program/symlink/dynamic target","recovery/updater privileged identity; shell/ordinary APK cannot directly select script execution in saved corpus","WriteToPartition -> ota_open/ota_write/write; named system/vendor and boot-chain targets","Confirmed","Sensitive partition write sink and fixed production targets are confirmed statically; reachability remains recovery/OTA-gated and is not a low-privilege finding.","Static-only complete CacheSizeCheck/error data-flow and correlate recovery acceptance to updater exec/SELinux domain; no partition write.","output/tables/phase6qc-privilege-closure.csv:24; output/tables/phase6qc-privilege-closure.csv:26","N-03/N-05","02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b; 6dec85cee148a60daba1e8c781f30370389c6d95ff787623cb6ac830f058a834","c22a7cd25e43204351967c77fa4d2f7ffcc410540efb92b00d81aa2de137151c"
"S04","sensitive","updater cache/free-space helper; caller set not fully recovered","updater helper path; no untrusted caller established","recovery updater identity unresolved at helper entry","cache/free-space state with readlink-family branches; no direct edge to extraction/block-image/WriteToPartition in selected graph","Unknown","Potentially relevant primitive is bounded negative for a direct write edge, but caller/data-flow completeness is open.","Enumerate all callers and complete return/data-flow closure offline; no symlink/traversal test.","output/tables/phase6qc-privilege-closure.csv:25; MakeFreeSpaceOnCache 0x417778-0x417fc4; __readlink_chk call 0x417bf0","N-04","02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b; 6dec85cee148a60daba1e8c781f30370389c6d95ff787623cb6ac830f058a834","c22a7cd25e43204351967c77fa4d2f7ffcc410540efb92b00d81aa2de137151c"
"S05","sensitive","boot/init/recovery lifecycle","ro.boot.selinux=enforcing; recovery_id/expect.recovery_id markers; exact updater SELinux allow rule not recovered","boot/recovery/init domains and verified-boot chain; exact SELinux identity unresolved","policy/identity gate before native updater","Unknown","SELinux/AVB boundary markers are confirmed, but exact policy and handoff identity are not closed; no shell-to-updater transition is evidenced.","Host-only recover exact init/service/domain/AVB verifier provenance; no recovery or reboot.","output/tables/phase6qc-privilege-closure.csv:27; device/fireos-config/CONFIG-20260803-02/device_properties.txt:215,278,306; init paths fireossystemota_fosinit.xml","P-01","source row states individual property snapshot SHA-256 unavailable","c22a7cd25e43204351967c77fa4d2f7ffcc410540efb92b00d81aa2de137151c"
"S06","sensitive","system_server AmazonPackageManagerService.onBootPhase -> BootAfterSystemOTAReceiver","phase==550 and PMS.isUpgrade(); BOOT_AFTER_SYSTEM_OTA protected/signature action","system-server Context -> receiver Context; numeric user unresolved","PackageHelper.setComponentEnabledSetting(OobeHomeActivity,state=1); package state writer","Risk-rejected","Static package-state sink is confirmed, but the only evidenced trigger is protected OTA lifecycle; no ordinary caller path is shown.","After a naturally authorized OTA, collect read-only component/HOME state; do not replay the action or mutate state.","output/tables/phase6qb-residual-inventory.csv:14; BootAfterSystemOTAReceiver.java:27-61; PackageHelper.java:11-22","RWI-02","not separately supplied in source row","9c3ba480da85b6a79952d10d597f07a9caf558425c56f0308bfd0ae6b9182f37"
"S07","sensitive","BootAfterSystemOTAReceiver -> OOBEActivationHelper","incremental-OOBE branch plus protected OTA lifecycle gate","receiver Context/ContentResolver; inherited user handle not numerically proven","SettingsDBUtils.putInt user_setup_complete=0 and isOOBEActive=1; secure/OOBE state","Risk-rejected","Sensitive state writer is confirmed, but no untrusted trigger or cross-user path is evidenced; exact user remains unknown.","Host-only trace Context/ContentResolver user mapping and compare naturally occurring post-OTA read-only state.","output/tables/phase6qb-residual-inventory.csv:15; OOBEActivationHelper.java:53-56; SettingsDBUtils.java:51-64","RWI-03","not separately supplied in source row","9c3ba480da85b6a79952d10d597f07a9caf558425c56f0308bfd0ae6b9182f37"
"N01","non-sensitive","Alexa ExplicitIntentAction.prewarmApplicationProcess -> AmazonActivityManagerImpl -> IAmazonActivityManager.Stub.Proxy","APP_PREWARM check result has no observed denial branch before clearCallingIdentity; exact Stub/onTransact closure absent","incoming Binder identity cleared for body then restored; post-clear caller UID/package unknown","IPackageManager.getApplicationInfo -> PreWarmCacheHelper -> startProcessLocked(reason=prewarm)","Hypothesis","Static authorization anomaly candidate, but sink is process prewarm rather than PMS/HOME/package-state/DPM/credential/SELinux/partition/root control; no exploit evidence.","Expand retained Amazon APK/DEX and complete Stub/onTransact/callsite mapping; no Binder invocation.","output/tables/phase6qc-privilege-closure.csv:2-4; FOS:40453-40534; PS7331 OTA:3642543-3642624; ExplicitIntentAction.java:274","P-01-prewarm","ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c; 04d68d0bb562a14e9cbff3bdce63b66eb911ee4bb7e728ca77cd435a5b03c146","c22a7cd25e43204351967c77fa4d2f7ffcc410540efb92b00d81aa2de137151c"
"N02","non-sensitive","unknown production caller -> tx6 registerProxyReceiver","no Binder-local permission; creator package must be system; new action also requires receiver query; existing ordinary self-created probe was negative","creator package used directly; no clearCallingIdentity; production caller and system-token provenance unknown","mOnTheFlyRegisteredIntents -> Context.registerReceiver -> PendingIntent.send; no first PMS/HOME/package-state/root sink found","Unknown","External addressability and callback send are confirmed statically, but trusted token provenance and sensitive sink are absent; do not infer escalation.","Inspect only newly supplied exact-build offline artifacts for legitimate system-created PendingIntent provenance and production callsite; no transaction replay.","output/tables/phase6qb-residual-inventory.csv:2; fosservices/disassembly.log:97887-97986; boot-fosframework/disassembly.log:403505-403530","TX6","not separately supplied in source row","9c3ba480da85b6a79952d10d597f07a9caf558425c56f0308bfd0ae6b9182f37"
"N03","non-sensitive","unknown production caller -> tx7 deregisterProxyReceiver","stored PendingIntent creator UID must equal Binder.getCallingUid; missing map/entry returns false","Binder.getCallingUid used directly; no clearCallingIdentity; production caller unknown","on-the-fly receiver/action-list cleanup; no package/HOME/system sink found","Disproved","Existing evidence confirms ownership gate and negative ordinary probe; no sensitive sink or escalation path is established.","Inspect only legitimate registration provenance if new offline artifacts appear; do not guess parcel fields or replay.","output/tables/phase6qb-residual-inventory.csv:3; fosservices/disassembly.log:97828-97878; boot-fosframework/disassembly.log:403487-403510","TX7","not separately supplied in source row","9c3ba480da85b6a79952d10d597f07a9caf558425c56f0308bfd0ae6b9182f37"
