group,registered_entrypoint,caller_or_trigger,gate,identity_user_scope,sink_or_effect,verdict,evidence
keypolicy,KeyPolicyManagerSettingsProvider; TabletKeyPolicyManager; KeyInterceptorCallback,SettingsProvider callback plus PhoneWindowManager callback,provider/framework dispatch visible; caller permission not resolved,SettingsProvider scope; key event user scope not explicit in recovered block,key-interception/brightness calculation; no external write observed,PARTIAL,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/keypolicymanager_fosinit.xml:8-10; artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/tabletkeypolicymanager_fosinit.xml:8-17; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:141384-141415
launcherhijack,LauncherHijackPreventerActivityStackCallback; LauncherHijackPreventerActivityManagerServiceCallback; PM/permission callbacks,Activity stack/home visibility and permission-manager lifecycle callbacks,checkPermission returns ENABLE_KEYGUARD_FLAGS; canSeeHomeTask uses getCallingUserId plus SELinux.checkSELinuxAccess and PackageManager.checkSignatures,calling user id for home decision; shutdown permission revocation carries explicit package user id,home visibility gate; revokeRuntimePermission(READ_LOGS) per package/UserHandle,STATICALLY_CLOSED_GATE_NOT_FULL_CALLER,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/launcherhijackpreventer_fosinit.xml:8-16; artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/tabletlauncherhijackpreventer_fosinit.xml:8-17; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:136857-137052
appsettings,AmazonAppSettingsCallback; AmazonTVAppSettingsCallback; provider callbacks,Settings framework/provider callback dispatch,caller authorization and mutation preconditions not recovered,provider-selected settings user scope unknown,settings read/write sink not fully recovered,UNKNOWN,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazonappsettings_fosinit.xml:8-17
packagewhitelister,PackageWhitelisterCallback,PackageManager lifecycle callback,package-manager parent callback is visible but authorization gate is outside recovered class scope,package object scope; user dimension not visible in selected block,whitelist/package deletion state effect implied by callback; exact sink path unresolved,PARTIAL,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/packagewhitelister_fosinit.xml:8-11; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:194799-194844
factoryresetwhitelist,FactoryResetWhitelistCallback,RecoverySystem callback,callback registration only; caller and permission gate not present in available evidence,recovery/factory-reset global scope implied; per-user scope unknown,whitelist input to factory-reset/recovery path; sink not recovered,UNKNOWN,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/factoryresetwhitelist_fosinit.xml:8-11
packagerecency,PackageRecencyFilterConfigService; PackageRecencyCallback,ActivityManager callback receives recent-task/activity events,FilterConfig and shouldSendBroadcast gate,explicit userId is carried into sendBroadcastWithDelay; ActivityInfo/package/component supplied,delayed package-recency broadcast,PARTIAL,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/packagerecency_fosinit.xml:8-16; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:16955-17004; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:17209-17483
user,AmazonUserManagerService; user manager cached API; ChildProtectionPolicyCallback; MultipleProfileSettingsProviderCallback,profile/user lifecycle callback and service dispatch,caller authz for binder/API not resolved,explicit UserInfo/profile lifecycle scope; normal-user vs child/profile branch not complete,package/component enablement is evidenced by existing phase6mh writer output,PARTIAL,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazonusermanager_fosinit.xml:8-20; artifacts/phase6mh-package-state-writers-20260810-01/writer-calls.csv:4-6
toddler,toddlermode service; ToddlerModePWMCallback; ActivityManagerServiceCallback; settings callbacks,policy/AM/settings callback dispatch,system pinning plus toddler-selection gate; caller authz not resolved,Settings.Secure keys are read/written for user -2 (all users/current semantics unresolved),startToddlerInternal/stopToddlerInternal and window-policy effects,PARTIAL,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/toddlermode_fosinit.xml:8-20; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:169500-169655; decompiled/jadx/ota-PS7331/systemui/sources/com/amazon/systemui/utils/ToddlerModeManager.java:59-105
freetime,KindleFreeTimeActivityManagerCallback; KindleFreeTimeActivityStackCallback,AM/stack callback dispatch,KFT blacklist/child-mode gate visible; outer caller authorization not resolved,child/profile activity scope implied; exact user identity propagation incomplete,KFT activity-start filtering/blacklist effect,PARTIAL,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/kindlefreetime_fosinit.xml:8-15; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:188473-188550; artifacts/phase6k/readonly-device-20260805-01/preferred_activities.stdout.txt:1757-1758
fireossystemota,FireOSSystemOTACallback,RecoverySystem callback,callback registration only; OTA caller/authz and path validation are outside recovered fosinit XML,system/recovery global scope; user scope not applicable/unknown,OTA/recovery decision sink not recovered,UNKNOWN,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/fireossystemota_fosinit.xml:8-11; artifacts/phase6ab/ota-input-validation-20260805-03/summary.json:1-20
