id,provider_or_key,caller,permission,user_scope,identity,home_relevance,sink,effect,status,evidence,evidence_sha256,missing_edge
8C-SP-001,"settings authority=content://settings/global","external ContentProvider caller unknown","android.permission.WRITE_SECURE_SETTINGS","global user 0; requested user resolved","UserHandle.getCallingUserId and Binder.getCallingUid; no clearCallingIdentity before gate","none to HOME; generic global settings only","SettingsRegistry insert/update/delete type=0 user=0","global settings persistence","static provider writer","SettingsProvider.java:344-418; :658-704","4efc2aba8f7798fb4e026f13479f5b4929ef545deba5618b35d799555d78678b","exact production caller and holder/UID"
8C-SP-002,"settings authority=content://settings/secure","external ContentProvider caller unknown","android.permission.WRITE_SECURE_SETTINGS","calling user; cross-user via ActivityManager.handleIncomingUser","UserHandle.getCallingUserId and Binder.getCallingUid; identity retained through gate","none to HOME; secure key mutation is not PMS mutation","SettingsRegistry insert/update/delete type=2 owningUserId","per-user secure settings persistence","static provider writer","SettingsProvider.java:344-418; :718-777; :900-1015","4efc2aba8f7798fb4e026f13479f5b4929ef545deba5618b35d799555d78678b","production caller and downstream consumer"
8C-SP-003,"settings authority=content://settings/system","external ContentProvider caller unknown","WRITE_SETTINGS operation gate plus secure-settings fallback","calling user; requested other user uses ActivityManager.handleIncomingUser","calling identity retained through authorization","none to HOME; no preferred/component setter","SettingsRegistry insert/update/delete type=1 userId","per-user system settings persistence","bounded negative","SettingsProvider.java:344-418; system mutation around :1015-1120","4efc2aba8f7798fb4e026f13479f5b4929ef545deba5618b35d799555d78678b","exact operation-gate branch"
8C-SP-004,"settings call global/secure/system","framework/system caller unknown","WRITE_SECURE_SETTINGS for global/secure; system operation gate","requesting user from args _user or calling user; cross-user enforced","Binder caller retained for permission and user checks","none to HOME; call wraps provider mutation","SettingsProvider.call to insert/update helpers","authorized settings mutation only; no PMS sink","static provider writer","SettingsProvider.java:238-277; :658-676; getRequestingUserId","4efc2aba8f7798fb4e026f13479f5b4929ef545deba5618b35d799555d78678b","caller provenance and supported method/key inventory"
8C-SP-005,"home_auto_cycle; home_cards","com.amazon.firelauncher mapping; exact downstream writer not fully joined","WRITE_SECURE_SETTINGS in Fire Launcher manifest","Global URI; effective user depends on ContentResolver path","Fire Launcher package identity at writer; provider sees Binder caller","HOME-adjacent card/rotation UI only; not HOME resolver","Settings.Global.CONTENT_URI","changes home-card/rotation settings only","static provider writer","phase6h ipc-findings.csv:14-15; FireOsSettingsStoreMapping.java","64c869e40c1919c8fdb27acac4e17c1f8e7291c3805188698f501fffe8ba6e00;0b464cd30a8d7f627261f809e1994e522c28c01a04399a8707a0426574ebf637","consumer and exact write callsite/value"
8C-SP-006,"LauncherPersonalPhotoId; LauncherCanUsePersonalPhoto","com.amazon.firelauncher mapping","WRITE_SECURE_SETTINGS","per-user secure settings","Fire Launcher package identity; provider Binder identity","HOME UI personalization only; not preferred HOME","Settings.Secure.CONTENT_URI","launcher personalization settings only","bounded negative","FireOsSettingsStoreMapping.java:38-39; Fire Launcher manifest:111-112","64c869e40c1919c8fdb27acac4e17c1f8e7291c3805188698f501fffe8ba6e00;ba88dc674466a2c4561e7258586ca31f739e8527153d81dc6cd2a262a3f2fdab","exact writer callsite/value and consumer-to-PMS edge"
8C-SP-007,"default_home","Settings DefaultHomeShortcutPreferenceController / DefaultHomePicker","WRITE_SECURE_SETTINGS not established for provider route; picker uses PackageManager preferred API","selected user via Settings/PMS APIs","system Settings identity for PackageManager call","HOME relevant but not a SettingsProvider key writer","PackageManager.replacePreferredActivity to PMS preferred XML","preferred HOME record can persist; separate from SettingsProvider and may lose to Fire priority","bounded negative","settings resource followup; DefaultHomeShortcutPreferenceController.java:9","6d5e43ac80febad594ef8b8ee2bab7faceca2b17925a7cfe7032725d44601383","picker reachability and privileged/internal caller"
8C-SP-008,"settings provider manifest authority=settings","AMS/content-provider transport caller unknown","provider exported=true; mutation authorization in provider","singleUser=true; requested user checked in provider","AMS supplies Binder caller identity","not HOME by itself; generic settings authority","SettingsProvider ContentProvider transport","read/write/query/call surface subject to checks","caller unknown","settings-provider AndroidManifest.xml:25-32; SettingsProvider.java:238-418","e4f2d9d47e7fa10be2aa2d26f6549b41184762d7ff5c77c19ffa7fc7560aac70;4efc2aba8f7798fb4e026f13479f5b4929ef545deba5618b35d799555d78678b","production caller identity and caller-to-key mapping"
8C-SP-009,"PMS setHomeActivity/replacePreferredActivity","framework callers enumerated separately; no SettingsProvider caller","SET_PREFERRED_APPLICATIONS and cross-user permission in PMS","explicit userId","PMS checks Binder.getCallingUid and cross-user permission","direct preferred HOME sink; separate from SettingsProvider","PackageManagerService.setHomeActivity to replacePreferredActivity to preferred XML","stored preferred HOME only; no provider bridge","bounded negative","phase6kv-pms-home-callers.csv:25; PMS.java:13120-13143; :13817-13838","dc1a86ea85904e3775704944fa86364a9a89033f6146eed0dac8b324b7028382","SettingsProvider-to-PMS bridge and additional production caller"
8C-SP-010,"all searched HOME/default/preferred settings keys","unknown production caller set","WRITE_SECURE_SETTINGS/WRITE_SETTINGS where applicable","Global or per-user according to key","provider authorization preserves caller identity","card/personalization/setup state found; no resolver key","SettingsState persistence only; PMS preferred state is separate XML","no SettingsProvider HOME selection effect found","bounded negative","phase6rs closure; settings home resource followup; phase6h ipc-findings.csv","6d5e43ac80febad594ef8b8ee2bab7faceca2b17925a7cfe7032725d44601383;0b464cd30a8d7f627261f809e1994e522c28c01a04399a8707a0426574ebf637","complete consumer closure for every key and caller"
