id,registration,implementation,entry,caller,gate,identity,user_scope,sink,runtime,missing_edge,classification,evidence,next_safe_step
P21A-001,"amazonappsettings_fosinit.xml: VendorSettingsCallback and VendorSettingsProviderCallback","AmazonAppSettings$AmazonAppSettingsCallback; AmazonTVAppSettingsCallback; AmazonTvSettingsProviderCallback; AmazonAppSettingsProviderCallback","settings-provider callback dispatch","UNKNOWN: framework/provider callback caller is not recovered","UNKNOWN: mutation preconditions and permission gate are not present in the saved implementation slice","UNKNOWN: no clearCallingIdentity ordering recovered","provider-selected settings scope UNKNOWN","Settings read/write is a plausible sink; exact key and writer are not joined","host-only registration and class evidence; no runtime invocation","join each callback method to SettingsProvider permission and concrete key/write call","UNKNOWN_NOT_A_VULNERABILITY","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazonappsettings_fosinit.xml:8-17; work/luna_worker_phase6va_fosinit_residual_closure_20260810.csv:appsettings","read-only source join of callback methods, permission checks, identity handling, and settings keys"
P21A-002,"packagewhitelister_fosinit.xml: VendorPackageManagerCallback","PackageWhitelisterCallback","PackageManager lifecycle callback","PackageManager internal callback; external sender not applicable/recovered","package-manager parent callback visible; authorization gate outside recovered class scope","system_server callback identity; no clearCallingIdentity edge recovered","Package object scope; user dimension UNKNOWN","whitelist/package deletion state may feed PMS policy; exact setter path unresolved","host-only class/disassembly evidence","resolve PackageWhitelisterCallback methods into PMS writer and package/user inputs","BOUNDED_PARTIAL","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/packagewhitelister_fosinit.xml:8-11; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:194799-195192; output/tables/phase6jd-fosinit-registration-audit.csv","continue static callsite join; do not infer ordinary caller reachability from registration"
P21A-003,"packagerecency_fosinit.xml: ActivityManager callback","PackageRecencyFilterConfigService; PackageRecencyCallback","recent-task/activity callback","ActivityManager callback dispatch; originating app caller not recovered","FilterConfig and shouldSendBroadcast gate visible before sendBroadcastWithDelay","identity remains system_server callback context; clearCallingIdentity not shown","explicit userId is carried into delayed dispatch","package/component metadata becomes delayed package-recency broadcast; no direct HOME/PMS writer shown","host-only method and data-flow evidence","join receiver manifest/permission and determine whether any downstream package/settings/HOME mutation exists","BOUNDED_PARTIAL","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/packagerecency_fosinit.xml:8-16; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:16955-17004,17209-17483; work/luna_worker_phase6va_fosinit_residual_closure_20260810.csv:packagerecency","static receiver/permission and downstream consumer mapping only; no broadcast replay"
P21A-004,"factoryresetwhitelist_fosinit.xml: RecoverySystem callback","FactoryResetWhitelistCallback","recovery/factory-reset callback","RecoverySystem/framework trigger; caller not recovered","registration contains no method-local caller or permission gate","UNKNOWN: identity-clear ordering absent","global recovery scope implied; per-user scope UNKNOWN","factory-reset whitelist input; concrete recovery/PMS/package sink not recovered","host-only XML/class inventory","recover callback methods and factory-reset input validation, then join package/component effects","UNKNOWN_NOT_A_VULNERABILITY","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/factoryresetwhitelist_fosinit.xml:8-11; artifacts/phase6ab/ota-input-validation-20260805-03/summary.json","inspect only saved source and manifest; do not invoke recovery or reset paths"
P21A-005,"amazonusermanager_fosinit.xml: user-manager and profile/settings callbacks","ChildProtectionPolicyCallback; MultipleProfileSettingsProviderCallback; AmazonUserManagerService","user/profile lifecycle registration","callback dispatch plus private service callers; exact per-entry caller universe UNKNOWN","known Amazon user-manager transaction gate is prior closed evidence; auxiliary callback gates unresolved","UNKNOWN per auxiliary callback; no new clearCallingIdentity relay established","explicit UserInfo/profile lifecycle scope; normal-vs-child branch incomplete","package/component enablement is present in prior writer evidence; alternate auxiliary writer not joined","host-only residual join; P19/P20 KFT transaction closure excluded","join auxiliary callbacks to concrete package/component setters and per-user checks without reopening closed tx3","BOUNDED_PARTIAL_NO_REPEAT","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazonusermanager_fosinit.xml:8-20; artifacts/phase6mh-package-state-writers-20260810-01/writer-calls.csv:4-6; work/luna_worker_phase20_ipc_closure_20260810.csv:P20A-001,P20A-004","static setter and user-branch mapping only; no user creation/switch or Binder transaction"
P21A-006,"toddlermode_fosinit.xml: ActivityManager, PWM, settings callbacks","ToddlerMode service; ToddlerModePWMCallback; ActivityManagerServiceCallback; settings callbacks","mode/policy callback dispatch","system-server policy/settings callbacks; external caller not recovered","isScreenPinningActive plus TODDLER_MODE_USER_SELECTION gate; outer authorization unresolved","settings observer/user -2 semantics visible; no clearCallingIdentity ordering joined","Settings.Secure user -2/all-users/current semantics unresolved; child/toddler scope implied","startToddlerInternal/stopToddlerInternal and window-policy effects; no HOME setter established","host-only JADX/smali evidence","join callback entry to exact settings write, user resolution, and package/component sink","BOUNDED_PARTIAL","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/toddlermode_fosinit.xml:8-20; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:169500-169655; decompiled/jadx/ota-PS7331/systemui/sources/com/amazon/systemui/utils/ToddlerModeManager.java:59-105","resolve Settings.Secure user semantics and any downstream component writer statically"
P21A-007,"kindlefreetime_fosinit.xml: AMS and ActivityStack callbacks","KindleFreeTimeActivityManagerCallback; KindleFreeTimeActivityStackCallback","activity-start and stack callback dispatch","AM/stack callback dispatcher; parent caller authorization not recovered","KFT blacklist/child-mode gate visible","child/profile identity implied; exact user propagation incomplete","child/profile activity scope implied; exact user propagation UNKNOWN","activity-start filtering/blacklist effect; no new package/HOME setter joined","host-only callback method evidence","join blacklist inputs, UserHandle propagation, and any component/package write","BOUNDED_PARTIAL_NO_REPEAT","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/kindlefreetime_fosinit.xml:8-15; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:188473-188550; work/luna_worker_phase20_ipc_closure_20260810.csv:P20A-001,P20A-004","static callback and sink join only; do not replay KFT/profile route"
P21A-008,"fireossystemota_fosinit.xml: VendorRecoverySystemCallback","FireOSSystemOTACallback","recovery/OTA callback registration","RecoverySystem/OTA trigger caller and sender UNKNOWN","OTA caller/authz and path-validation gate are outside recovered fosinit XML","UNKNOWN: no identity-clear ordering recovered","system/recovery global scope; user scope not applicable or UNKNOWN","OTA/recovery decision sink not recovered; no package/HOME sink proven","host-only registration plus saved OTA validation summary","join callback methods to phase/upgrade checks, path validation, and package/component side effects","UNKNOWN_NOT_A_VULNERABILITY","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/fireossystemota_fosinit.xml:8-11; artifacts/phase6ab/ota-input-validation-20260805-03/summary.json:1-20; work/luna_worker_phase20_ota_closure_20260810.csv","static OTA callback/source join only; no OTA, reboot, recovery, or broadcast operation"
P21A-009,"crlsetmanager_fosinit.xml: vendor service","CRLSetManagerService; BinderService; CRLSetInstallReceiver","onStart publication; boot-phase receiver registration","Binder caller for checkTrusted UNKNOWN; receiver sender/provenance UNKNOWN","dump checks android.permission.DUMP; checkTrusted local permission gate not visible","checkTrusted identity is not constrained in recovered block; clearCallingIdentity UNKNOWN","global trust-manager scope; no user argument","CRL trust decision plus receiver-driven certificate-update files; no PMS/HOME/package sink joined","host-only disassembly and registration evidence","recover full Binder Stub/onTransact or equivalent service gate and receiver permission, then join update writer","UNRESOLVED_AUTHZ_BOUNDED","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/crlsetmanager_fosinit.xml:8-11; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:15501-15540,15652-15691; work/luna_worker_phase6va_fosinit_residual_closure_20260810.csv:crlsetmanager","static authz/source closure only; do not call service or send update intent"
P21A-010,"amazoncertpininstall_fosinit.xml: registered receiver instance","AmazonCertPinInstallReceiver.install","certificate-pin update receiver","intent sender/caller UNKNOWN","receiver registration alone does not expose install permission or validation gate","identity and clearCallingIdentity ordering UNKNOWN","system update-file/global scope; user scope not applicable","writeUpdate to updateDir/updateContent/updateVersion files; package/HOME sink not joined","host-only class and registration evidence","join receiver manifest/exportedness, caller permission, input validation, and file writer","BOUNDED_PARTIAL","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazoncertpininstall_fosinit.xml:8-12; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:132805-132849; work/luna_worker_phase6va_fosinit_residual_closure_20260810.csv:amazoncertpininstall","static manifest/source join; no receiver trigger or file mutation"
