row_id,scope,test_id,precondition,command_or_path,observed_result,classification,evidence_hash,repeat_status,next_safe_step
"RI-001","package/component gate","6BK/6BL/6FA; QF-C-01","Exact PS7331 build; prior package/component and protected-package captures","adb/phase6bk/; adb/phase6bl/; adb/phase6fa/PHASE6FA-FIRE-FORCESTOP-PROTECTED-20260806-184100/command-output.txt; adb/phase6qe/.../home_resolve.stdout.txt","Tahoe package enable did not expose HOME; shell component enable and Fire force-stop were rejected before state change; User-0 resolver remained com.amazon.firelauncher/.Launcher priority 50.","DISPROVED ordinary package/component/force-stop route; User-0 restoration writer provenance remains unknown","06ba554adbc33bed568224f73b2c311dce63df2af5893946cf464849392cc9b9; d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6","existing evidence only; not repeated","Host-only correlate protected-package checks with saved PMS caller/source data; do not invoke setters or force-stop."
"RI-002","KFT child/profile","6BK/6CB/6CZ/6DI; QF-C-02","Existing managed child/profile lifecycle and rollback capture","adb/phase6bk/PHASE6BK-KFT-RUNTIME-20260810-01/; adb/phase6cb/; adb/phase6di/PHASE6DI-KFT-DPM-BACKUP-PASSIVE-20260806-01/","Tahoe can be HOME in child scope; Fire state changes are per-user; switch-back restores User-0 Fire. KFT tx3 writer uses supplied child/profile UserInfo.id, not a formal User-0 HOME setter.","CONFIRMED child-only route; shell-visible private KFT transaction route excluded; User-0 relay unknown","ee497e02dd5faae4d2bfcde4174d470e449077cab8d4329aea1973ed38a609ab; d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6","existing lifecycle only; not repeated","Read existing users/package/HOME captures or host-side tx3 caller map; no user lifecycle, switch, or Binder transaction."
"RI-003","DPM/Profile Owner","6DI; QF-C-03","Saved device-policy/profile and passive backup observations","adb/phase6di/PHASE6DI-DPM-CALLBACK-READONLY-20260806-01/; adb/phase6di/PHASE6DI-KFT-DPM-BACKUP-PASSIVE-20260806-01/; findings/phase-6cq-dpm-persistent-preferred-boundary.md","DPM tx100 to PMS tx73 is owner/admin/UID gated; passive backup evidence has no active restore writer; no accepted ordinary-caller relay to User-0 HOME was observed.","EXCLUDED as ordinary route; legitimate Profile Owner/native callback remains unverified","c3e861f58b37d57293448319a8131936fb4b57e7573df1b8a11630475c149782","existing evidence only; not repeated","Compare saved dumpsys device_policy, owner metadata, and static caller graph; do not provision/remove owner or send tx100/tx73."
"RI-004","Accessibility/foreground fallback","6DE/6IQ/6CX/6HB; QF-C-04","Prior user-consented Accessibility setup and saved foreground/HOME captures","adb/phase6de/PHASE6DE-MS-INSTALLED-ACCESSIBILITY-20260806-03/; adb/phase6iq/PHASE6IQ-ADB-MONITOR-20260807-05/; findings/phase-6hb-ms-accessibility-reboot-persistence.md","Accessibility service could bind with empty callback; bounded resident monitor made third-party activity visible in foreground, including after reboot/unlock evidence, while formal HOME resolver stayed Fire priority 50.","CONFIRMED practical foreground fallback; DISPROVED formal HOME replacement or Fire package-state writer","64e1e679ff081e52b9f5d5310a512abd2a86987fe5537f3880d90ccd4f58c5cb; d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6","existing captures only; not repeated","Only inspect saved accessibility/HOME/activity outputs; do not enable services, change secure settings, install APKs, or reconnect monitor."
"RI-005","OOBE/OTA","6Q/6DI/6AG/6BP/6U; QF-C-06","Read-only baseline plus host-static receiver/updater audits","artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/; artifacts/phase6i/phase6i-ota-postinstall-20260804-01/; artifacts/phase6u/bootafter-ota-scope-20260805-01/; artifacts/phase6mm-updater-blockimage-20260810-01/","BootAfterSystemOTA is protected system-server/upgrade lifecycle; OOBE has setup/demo/shared-pref gates; updater audit is fixed block-image/partition path. No manual replay or natural post-OTA runtime handoff evidence exists.","EXCLUDED ordinary broadcast/OTA route; post-official-OTA native/fosinit handoff UNKNOWN","d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6","existing static/read-only evidence only; not repeated","Host-only complete source-to-registration map; otherwise wait for legitimate official OTA and read post-state, with no replay."
"RI-006","service visibility","6Q/6BD; QF-C-05","Shell UID read-only service inventory and SELinux denial capture","adb/phase6q/PHASE6Q-RO-20260805-01/service_list.stdout.txt; adb/phase6bd/PHASE6BD-SERVICE-RO-20260805-01/service_check_amazonpackagemanager.stdout.txt; findings/phase-6q-evidence-index.md","Private Amazon names can appear in service list, but shell service check/find returned denied/not found; visibility did not yield a callable handle.","EXCLUDED shell-to-private-Binder route; method-level behavior of unobtainable services UNKNOWN","1bed100e5cb128fed02bd197964792a6ecc1ea461818772747d1d543f334e6ba; 4190d998850436712ba8f31635f4a633185ec4faad9b0f6e30c9004b302545f5","existing captures only; not repeated","Host-only class-to-registration mapping or read-only list/check comparison; no handle guessing or transaction."
"RI-007","driver metadata","6QE/6NB/6ME; QF-C-07","Exact-device metadata-only snapshot; no node open","adb/phase6qe/PHASE6QE-DEVICE-READONLY-20260810-02/metadata.json; .../node_metadata.stdout.txt; .../selinux.stdout.txt; artifacts/phase6nb-amzn-drv-test-source-closure-20260810-02/; findings/phase-6me-driver-control-closure.md","Node metadata, labels and SELinux context were read; nodes were not opened and driver data/ioctl was not used. Selected source scan found no direct driver-to-PMS/AMS/ATMS/HOME/Fire literal edge.","CONFIRMED metadata/source negative boundary; unopened-node/native-client/handoff behavior UNKNOWN","5afaf05e9d2bec715d9142250f053441b31383ffe9624cb3d80f03cff6e16a0d; fd8a1b871b5e65e948b44a9d121a0e4368e0c702c07accc756c6bbff9eb28e82; 4fefafd0dcddf54b31a0fef448083e7b77576d86a9ec97c14bfd92479c404290","existing metadata/static evidence only; not repeated","If needed, host-only source/policy diff; never open node, ioctl, load module, or infer HOME from driver markers."
"RI-008","settings/Home picker","6FO/6PZ/6DI","Saved exact-build Settings resources and read-only Home UI/resolver evidence","findings/phase-6fo-gui-default-apps-home-boundary.md; work/luna_worker_settings_home_resource_followup_20260810.md; adb/phase6fo/PHASE6FO-GUI-DEFAULT-APPS-RO-20260807-01/; findings/phase-6di-home-priority-override.md","HOME_SETTINGS exposes assistant/browser/link controls but no Home selector; default_home/config_show_default_home are dormant or omitted from dashboard; preferred record can persist while Fire priority 50 still wins.","EXCLUDED normal GUI/intent Home-picker route; stored preferred state is not effective resolver control","885faf9ac815ad552c2b2b68a84d5079556a36ce3b12b6de219afcce6bc669eb; fabb7782657c65eee2f8abecde0582fe603341703eb9a2b9a95372e6fe0caf58","existing UI/static evidence only; not repeated","Host-only diff of new Settings resources/framework-res/overlay inventory; do not open dormant picker or invoke replacePreferredActivity."
"RI-009","settings/appops/role","6PZ/6QF/6QE","Saved settings/global/secure snapshots and role-holder/appops availability checks","findings/overlay-and-config-analysis.md; device/baseline/BASELINE-20260803-05/settings_secure.txt; device/baseline/BASELINE-20260803-05/settings_global.txt; device/baseline/BASELINE-20260803-05/settings_system.txt; work/luna_worker_component_permission_matrix_20260810.csv","Settings stores were captured read-only; role-holder query was unavailable/exit 20 and device_config exited 127, which is an availability limit, not proof of emptiness. No saved AppOps/role result establishes a HOME writer; permission holders are not route proof.","NO ROUTE ESTABLISHED; availability gap, not disproven globally; no ordinary caller-to-HOME sink","a88adb21ae42d5cc01e6c6bcae34b2407a2047918bec1af955485b2cc34aea42; 2825742ee065928ad1f7b96484b199f3e05644a5da59fdc20e44869fcd5a7c0d","existing read-only captures only; not repeated","Host-only inspect saved manifests/permission holders and source; do not grant/revoke AppOps, change role holder, or mutate settings."
"RI-010","overlay/config/metadata","3C/6PZ/6MU","Saved overlay list, Settings resources, and Amazon flags/metadata static closure","findings/overlay-and-config-analysis.md; work/luna_worker_settings_home_resource_followup_20260810.md; findings/phase-6mu-amazon-application-flags-closure.md; adb/phase3c/PHASE3C-BASELINE-20260803-02/overlay/list.stdout.txt","Enabled overlays contain internal cutout/theme entries, not a mutable HOME overlay. Amazon flags/metadata mutators require ADD_RM_PKG_METADATA and persist per-user XML; bounded consumers are recency/game-mode/compatibility, with no HOME/preferred/enabled-state writer.","EXCLUDED overlay/metadata shortcut to User-0 HOME; static consumer corpus bounded","a88adb21ae42d5cc01e6c6bcae34b2407a2047918bec1af955485b2cc34aea42; e101fe8549ba1aa39b0bc6384d5a1613701f81924002020e1fd5eec4fb0280c6","existing inventory/static evidence only; not repeated","Host-only enumerate registered callbacks and bounded consumers; do not switch overlays or call metadata mutators."
