row_id,route,api_or_tool,required_permission,formal_home,device_state_mutation,persistence,latency_or_flicker,rollback,classification,evidence,next_safe_step
RU-001,"Accessibility direct-start observer","AccessibilityService.onKeyEvent + startActivity","User enables Accessibility; BIND_ACCESSIBILITY_SERVICE; no root","No; Fire priority 50 remains","No package/HOME write","Only user-enabled service state; not HOME preference","Legacy direct-start measured 0/30; Fire remained resumed","Disable service; restore captured secure values; remove known self-built APK","Excluded as reliable fallback on this build","findings/phase-4b-existing-workaround-analysis.md; adb/phase4/PHASE4-ACCESSIBILITY-T03/; https://developer.android.com/reference/android/accessibilityservice/AccessibilityService.html","No rerun; historical boundary only"
RU-002,"Accessibility resident retry","AccessibilityService window/key observation + Handler retries","Explicit user consent; BIND_ACCESSIBILITY_SERVICE; normal app UID","No; formal HOME remains Fire priority 50","No PMS/package mutation; enabled service is a secure-setting mutation only when authorized","Service rebound after reboot in saved run; not persistent HOME","350/1000/1800 ms retries; delayed handoff can show Fire first","Disable service; restore secure values; remove same known APK; resume Fire","Confirmed practical foreground fallback; not formal HOME","findings/phase-6hb-ms-accessibility-reboot-persistence.md; findings/phase-6cy-ms-targeted-accessibility-retry.md; tools/phase4-accessibility/src/org/fireosresearch/phase4/redirect/LauncherRedirectService.java","Do not enable or device-test in Phase 6RU"
RU-003,"UsageStats observer","UsageStatsManager / UsageEvents polling then explicit launcher start","Usage Access via Settings; PACKAGE_USAGE_STATS/AppOps; background-start rules","No; observation has no HOME sink","No if read-only; explicit launch only changes foreground","Access grant may persist; no HOME persistence","Unmeasured; polling and background-start limits imply delay or missed redirect","Revoke Usage Access; stop observer; remove only known self-built app","Unmeasured/deprioritized candidate","findings/phase-4b-existing-workaround-analysis.md; findings/phase-4b-final-workaround-verdict.md; findings/phase-6ax-activity-manager-home-surface.md","Host-only source review; no new measurement"
RU-004,"Explicit PendingIntent foreground dispatch","PendingIntent.getActivity(...).send() to explicit launcher","Normal activity-start rules; self-created PendingIntent has no HOME writer authority","No; starts selected Activity only","No HOME/package write","PendingIntent lifetime is not HOME persistence","Delayed handoff; target appears only after resolver selected Fire","Stop sender; return HOME; remove own APK only if installed","Confirmed foreground redirect primitive; not HOME resolver","findings/phase-5ab-evidence-index.md; findings/phase-6cy-ms-targeted-accessibility-retry.md; https://developer.android.com/reference/android/app/PendingIntent.html","Source-only; no Accessibility enablement or device test"
RU-005,"ADB-connected foreground monitor","Host polls dumpsys activity then runs am start -n","Live authorized ADB shell UID 2000 and host process; no root/private Binder","No; resolver remains Fire priority 50","No settings/package/HOME mutation","Only while ADB and monitor run; lost on stop/disconnect/reboot","5/5 saved result; Settings -> Fire -> Microsoft; bounded wait and possible flicker","Stop monitor; press HOME for stock Fire; no package rollback","Confirmed temporary host-only fallback; user-closed operational route","findings/phase-6iq-adb-foreground-fallback.md; findings/phase-6bw-adb-foreground-monitor-closure.md; tools/scripts/run_adb_home_monitor.py","Do not rerun per Phase 6IQ closure"
RU-006,"Settings/Home picker","android.settings.HOME_SETTINGS and Fire Default apps UI","Ordinary Settings access; no special writer exposed","No; no Home selector and Fire remains resolver","No state mutation in read-only inspection","None","No redirect latency; no selection occurred","Return HOME; remove temporary UI dump only","Excluded; unavailable GUI control surface","findings/phase-6fo-gui-default-apps-home-boundary.md; adb/phase6fo/PHASE6FO-GUI-DEFAULT-APPS-RO-20260807-01/","No tapping disable/select"
RU-007,"Ordinary preferred HOME","set-home-activity / preferred activity record","Shell can write record under tested conditions; no privileged priority","No effective replacement; Fire priority 50 wins","Preferred record write is state mutation but ineffective","Record may survive reboot while ineffective","No redirect credited; Home key remains Fire","If future authorized test writes it, restore Fire record and verify resolver","Excluded; record did not change effective resolver","findings/phase-6k-launcher-fallback-assessment.md; findings/phase-6di-framework-reopen.md; findings/phase-3c-report.md","No new write or persistence test"
RU-008,"Fire Launcher package/component mutation","pm disable-user or disable Fire component","Protected-package gate rejects ordinary shell/app caller","Not a clean replacement; request rejected","No mutation observed; Fire stays enabled/default","Not applicable; protected operation rejected","No redirect measured","Verify unchanged package state; no mutation rollback needed","Excluded safety boundary","README.md:179; findings/phase-6k-launcher-fallback-assessment.md; findings/phase-6eu-settings-fire-disable-gate.md","Do not retry protected mutation"
RU-009,"LauncherHijack public historical method","Accessibility/event observer -> explicit Activity -> PendingIntent","User-enabled Accessibility; broader legacy manifest capabilities; no formal HOME permission","No; source does not call HOME resolver or preferred writer","No formal HOME write","Not persistent HOME; corrupt-default option is state-affecting","Debounce/retry implementation-dependent; exact Fire latency unknown","Disable service and restore user/package state; corrupt-default route unsafe","Source-confirmed redirect prior art; formal HOME excluded","findings/phase-5ab-evidence-index.md; findings/phase-5ag-launcherhijack-and-mtk-bulletin-followup.md; https://github.com/BaronKiko/LauncherHijack/tree/f79aee3ddd10c053d6d7c55d6f2fc29436001537","No APK download/install; source review only"
RU-010,"Fire Toolbox-era launcher workaround","Historical package-state/default-launcher procedures","Often ADB plus consent; variants may disable/corrupt default launcher","No safe formal HOME conclusion on current build","Historically often mutates package/default state; not performed","Version-dependent; may require new user/recovery","Version-dependent; possible unusable launcher","Rollback not reliably reversible for corrupt-default procedures","Excluded for unsafe mutation and build mismatch","findings/phase-4b-existing-workaround-analysis.md; findings/phase-5ag-launcherhijack-and-mtk-bulletin-followup.md; https://github.com/BaronKiko/LauncherHijack/blob/f79aee3ddd10c053d6d7c55d6f2fc29436001537/HELP.md","Do not download, execute, or reproduce historical binaries"
