id,surface,entrypoint_or_source,caller_or_input,gate_or_policy,binder_identity,user_scope_or_target,sink_or_effect,evidence,confidence,missing_edge
P13-KFT-001,KFT/IAmazonUserManager,IAmazonUserManager.Stub.onTransact,generated Stub dispatch,enforceInterface amazon.os.IAmazonUserManager; nullable UserInfo decode; no bounded local permission/UID/cross-user check,incoming Binder identity preserved into implementation; no clear in dispatch slice,parcelled UserInfo; id data-flow preserved,dispatch to BinderService.enableKftLauncher(UserInfo),boot-fosframework/disassembly.log:370674-370777 (tx3 at 370737-370745),Confirmed,inherited/superclass authorization; full cross-user gate
P13-KFT-002,KFT/IAmazonUserManager,IAmazonUserManager.Stub.Proxy.enableKftLauncher,AmazonUserManagerImpl.createChildUser semantic caller,proxy-side child lifecycle is upstream; proxy has no caller authorization,incoming caller identity crosses transact(3); external UID/package/signature UNKNOWN,same nullable UserInfo parcel supplied by caller,"IBinder.transact(3,data,reply,0) to service",boot-fosframework/disassembly.log:370398-370443,Confirmed,exact external APK/native caller and package/UID/signature join
P13-KFT-003,KFT/IAmazonUserManager,AmazonUserManagerService.BinderService.enableKftLauncher,external Binder semantic caller via Proxy,Package Manager non-null; MM-device true branch; otherwise tryEnableKftLauncherComponent; tx3-local UID/permission check not observed,identity remains relevant before writers; later DPM clearCallingIdentity/restore is separate,supplied UserInfo passed through,tryEnableKftLauncherComponent then DPM empowerKftUser,fosservices/disassembly.log:54415-54478,Unknown,tx3 to checkManageUsersPermission edge; inherited authorization; PMS downstream gates
P13-KFT-004,KFT/IAmazonUserManager,AmazonUserManagerImpl.createChildUser(String),framework AmazonUserManagerImpl,"createUser(name,0x8000) child lifecycle; service-null cleanup; no APK caller join",framework caller reaches Proxy; exact external UID/package/signature UNKNOWN,same returned child UserInfo.id is parcelled to tx3,BinderService.enableKftLauncher -> three package/component setters,boot-fosframework/disassembly.log:369180-369243,Strong evidence,upstream APK/native/runtime caller; caller authorization
P13-KFT-005,KFT/IAmazonUserManager,BinderService.enableKftLauncherComponent,tx3 BinderService path,tryEnable KFT/TV/existence helper; exact PMS cross-user/admin authorization UNKNOWN,no hard-coded identity substitution before these setters; no clear before writer,UserInfo.id at all setters; data-flow can carry 0,setComponentEnabledSetting Tahoe FreeTimeLauncherActivity userId,fosservices/disassembly.log:54297-54310,Unknown,exact PMS permission/protected-component result
P13-KFT-006,KFT/IAmazonUserManager,BinderService.enableKftLauncherComponent,tx3 BinderService path,same unresolved tx3/PMS downstream gate,no hard-coded identity substitution before setter,UserInfo.id; data-flow can carry 0,setApplicationEnabledSetting com.amazon.firelauncher userId,fosservices/disassembly.log:54311-54318,Unknown,exact PMS cross-user/admin gate; actual User-0 success
P13-KFT-007,KFT/IAmazonUserManager,BinderService.enableKftLauncherComponent,tx3 BinderService path,same unresolved tx3/PMS downstream gate,no hard-coded identity substitution before setter,UserInfo.id; data-flow can carry 0,setApplicationEnabledSetting com.android.launcher3 userId,fosservices/disassembly.log:54319-54325,Unknown,exact PMS cross-user/admin gate; actual User-0 success
P13-KFT-008,KFT/IAmazonUserManager,AmazonUserManagerService.onBootPhase,system-server local lifecycle,phase 500 AND isUpgrade AND isChildUser(UserInfo),"N/A; local call, no Binder caller UID",each child UserInfo from UserManager.getUsers(); no hard-coded User 0,mBinderService.enableKftLauncher(UserInfo) then setUserSetupComplete,fosservices/disassembly.log:55053-55105,Unknown,exact admin/cross-user gate; no tx3 transaction
P13-KFT-009,KFT/IAmazonUserManager,AmazonUserManagerService.checkManageUsersPermission,separate service helper,UID 0/1000 OR android.permission.MANAGE_USERS; otherwise SecurityException,helper reads calling UID via AmazonUserManagerHelper.getCallingUid,no UserInfo argument; gate applicability to tx3 UNKNOWN,SecurityException gate only,fosservices/disassembly.log:54847-54875,Unknown,tx3 -> helper call edge; inherited alias path
P13-KFT-010,KFT/IAmazonUserManager,ServiceManager.getService/publishBinderService,AmazonUserManagerImpl client and system_server publication,service name amazonusermanagerservice; declaration/publication is not permission proof,client identity not implied by handle publication,handle only; no user scope,IAmazonUserManager Binder service publication,boot-fosframework/disassembly.log:369080-369095; fosservices/disassembly.log:55106-55119; amazonusermanager_fosinit.xml,Unknown,exact declaration permission; per-domain service_manager allow tuple
