id,subject,owner_or_source,protection_or_identity,grant_or_eligibility,status,evidence,notes
6UC-01,owner package,android.amazon.perm,sharedUserId=android.uid.system; coreApp=true; /system/framework,source package for custom records,CONFIRMED,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:manifest,owner identity is not arbitrary caller authority
6UC-02,GLOBAL_SYNC,android.amazon.perm,0x80000002=signature base plus Amazon flag,requester grant state UNKNOWN,CONFIRMED_RECORD,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:180,do not infer eligibility from name or UID
6UC-03,ParentalControl,android.amazon.perm,0x80000002=signature base plus Amazon flag,requester grant state UNKNOWN,CONFIRMED_RECORD,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:205,signature match not an exploit path
6UC-04,APP_VERIFICATION,android.amazon.perm,0x2=signature base without observed Amazon flag,requester grant state UNKNOWN,CONFIRMED_RECORD,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:230,not equivalent to signature|amazon
6UC-05,CONTENT_PROVIDER_ACCESS,android.amazon.perm,0x80000012,exact FireOS symbolic decode UNKNOWN,CONFIRMED_RECORD_DECODE_UNKNOWN,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:25,retain encoded value; do not normalize
6UC-06,HOME permissions,android.amazon.perm,0x80000002,ordinary-app and shell grant UNKNOWN,CONFIRMED_RECORD,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:510-513,manifest declaration is not a HOME sink or caller path
6UC-07,OTA permission,android.amazon.perm,0x80000002,ordinary-app and shell grant UNKNOWN,CONFIRMED_RECORD,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:553,source declaration only
6UC-08,parser ownership check,AOSP PMS,signature capability check on permission redefinition,ordinary requester eligibility not determined,CONFIRMED_COMPARISON,aosp/android-9/android-9.0.0_r61/platform/frameworks/base/services/core/java/com/android/server/pm/PackageManagerService.java:17350-17440,FireOS parser implementation not available
6UC-09,base-vs-flag handling,AOSP PMS/AMS,PROTECTION_MASK_BASE used for base classification,Amazon flag downstream policy UNKNOWN,CONFIRMED_COMPARISON,aosp/android-9/android-9.0.0_r61/platform/frameworks/base/services/core/java/com/android/server/pm/PackageManagerService.java:17431-17440; ActivityManagerService.java:9110-9120,vendor flag is not proven to bypass signature checks
6UC-10,privapp allowlist,system/etc/permissions,policy XML is separate from custom manifest declarations,no link to signature|amazon grant shown,UNKNOWN,artifacts/phase6c/phase6c-image-policy-extract-20260804-05/system/etc/permissions/privapp_permissions.xml,no grant inference
6UC-11,shell UID 2000,shell,UID identity only,no custom permission grant record,UNKNOWN,host-only bounded evidence,no service call or Binder test
6UC-12,ordinary APK,ordinary application,non-owner package,signature/grant/certificate state UNKNOWN,UNKNOWN,host-only bounded evidence,manifest request alone is insufficient evidence
6UC-13,system UID 1000,android.uid.system,owner shared UID context,does not prove arbitrary caller eligibility,CONFIRMED_BOUNDARY,artifacts/phase6ac/android-amazon-perm-device-20260805-01/capture-metadata.md,do not infer exploit route
6UC-14,protected broadcasts,android.amazon.perm,158 declarations including amazon.intent.action.BOOT_AFTER_SYSTEM_OTA, sender reachability UNKNOWN,CONFIRMED_SOURCE_MEMBERSHIP,artifacts/phase6ac/protected-broadcast-source-audit-20260805-02/summary.json,not global runtime proof
