domain,row_id,subject,method_or_test,publication_or_source,caller_or_image_node,gate_or_policy,identity_or_reachability,user_scope_or_impact,sink_or_result,low_privilege_status,classification,evidence,source_or_hash,next_safe_step,notes
amazon-ipc,QE-01,amazonpackagemanager,IAmazonPackageManager tx1/2 setAmazonFlagsForUser/setAmazonMetadataForUser,fosinit amazonpackagemanager_fosinit.xml:9-10; BinderService publication in fosservices/disassembly.log:96056-96098,production external caller not found; generated Proxy/Stub only,ADD_RM_PKG_METADATA via checkCallingOrSelfPermission; exact caller UID unresolved,explicit user argument; cross-user effect not closed,AmazonApplicationFlags flags/metadata persistence; first PM/HOME/component consumer not found,UNKNOWN; no low-privilege reachability proof,STATIC_SINK_CONFIRMED_CALLER_UNKNOWN,fosservices/disassembly.log:95866-96037; VDEX SHA ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,Trace persistence and first consumers host-only; do not invoke private Binder,,,"UNKNOWN is retained as an evidence gap, not a vulnerability"
amazon-ipc,QE-02,amazonpackagemanager,IAmazonPackageManager tx6 registerProxyReceiver,amazonpackagemanager_fosinit.xml:9-10; BinderService fosservices/disassembly.log:95943-95954,no production caller found; Phase6IP ProxyReceiverGateProbeActivity is test-only,PendingIntent creator package must resolve and have ApplicationInfo.FLAG_SYSTEM; new action requires broadcast receiver query,no clearCallingIdentity; creator package/UID used directly,mOnTheFlyRegisteredIntents -> Context.registerReceiver -> PendingIntent.send; no package/HOME writer found,Blocked for ordinary self-created PendingIntent in saved Phase6IP evidence; production caller UNKNOWN,STATIC_IMPLEMENTATION_CONFIRMED,boot-fosframework/disassembly.log:403505-403530; fosservices/disassembly.log:97887-97986; hash ecbe62fe...151c,Inspect only offline system-created PendingIntent provenance; no payload synthesis/replay,,,"UNKNOWN is retained as an evidence gap, not a vulnerability"
amazon-ipc,QE-03,amazonpackagemanager,IAmazonPackageManager tx7 deregisterProxyReceiver,amazonpackagemanager_fosinit.xml:9-10; BinderService fosservices/disassembly.log:95877-95888,no production caller found; test-only caller excluded,stored PendingIntent creator UID must equal Binder.getCallingUid; no separate permission marker,no clearCallingIdentity; direct Binder.getCallingUid ownership check,map/action removal; empty map -> Context.unregisterReceiver; no package/HOME sink,Ordinary cross-UID removal not established; production caller UNKNOWN,STATIC_OWNERSHIP_GATE_CONFIRMED,boot-fosframework/disassembly.log:403487-403510; fosservices/disassembly.log:97828-97878; hash ecbe62fe...151c,Inspect legitimate registration ownership offline; do not replay tx7,,,"UNKNOWN is retained as an evidence gap, not a vulnerability"
amazon-ipc,QE-04,amazonusermanagerservice,IAmazonUserManager tx3 enableKftLauncher(UserInfo),AmazonUserManagerService.onStart publishBinderService at fosservices/disassembly.log:55106-55118; name amazonusermanagerservice,AmazonUserManagerImpl.createChildUser is only preserved static caller,bounded tx3 body shows no local UID/permission; separate checkManageUsersPermission allows UID 0/1000 or MANAGE_USERS but call edge is not proven,no caller identity normalization in bounded tx3 entry; later DPM path has identity transition,UserInfo.id -> Tahoe FreeTime launcher enabled; Fire Launcher and Launcher3 application state disabled,Ordinary User-0/User-10 attempts rejected downstream in saved evidence; tx3 method-local gate UNKNOWN,CHILD_PROFILE_STATE_WRITER; NOT A FORMAL HOME SETTER,"boot-fosframework/disassembly.log:369180-369243,370378-370750; fosservices/disassembly.log:54297-54325,54851-54875; VDEX hashes fc101d...ad71/ecbe62...151c",Complete offline alias/caller universe only; no tx3 dispatch or child mutation,,,"UNKNOWN is retained as an evidence gap, not a vulnerability"
amazon-ipc,QE-05,amazonusermanagerservice,IAmazonUserManager tx4 setUserSetupComplete(UserInfo),AmazonUserManagerService publication at fosservices/disassembly.log:55106-55118,ordinary APK caller reached service in existing Phase 6GI evidence,bounded entry gate not shown; transaction contract enforces interface token,clearCallingIdentity before settings writes and restore after,Settings.Secure user_setup_complete and tv_user_setup_complete for supplied UserInfo.id,Confirmed existing cross-user settings deputy; no PM/HOME edge,SETTINGS_ONLY_CONFIRMED; NOT HOME/PACKAGE WRITER,fosservices/disassembly.log:54524-54566; output/tables/phase6gi-amazon-user-manager-tx4-user10.csv; hash ecbe62fe...151c,Document existing boundary; do not repeat tx4 or mutate settings,,,"UNKNOWN is retained as an evidence gap, not a vulnerability"
amazon-ipc,QE-06,amazondevicepolicymanager,IAmazonDevicePolicyManager tx1/2 restriction methods,AmazonDevicePolicyManagerService.BinderService publication fosservices/disassembly.log:46146-46156,framework DPM/policy caller expected; ordinary caller not identified,MANAGE_USERS/Amazon policy branch plus active-admin/owner checks in bounded path,clearCallingIdentity around UserManager.setUserRestriction; restore path bounded,UserManager.setUserRestriction for explicit user; no PM/HOME sink,Ordinary tx1 rejected at active-admin gate in saved evidence,POLICY_SINK_CONFIRMED_LOW_PRIV_BLOCKED,fosservices/disassembly.log:45935-46108; findings/phase-6et-amazon-dpm-restriction-gate.md,Map remaining policy branches host-only; do not provision owner or mutate restriction,,,"UNKNOWN is retained as an evidence gap, not a vulnerability"
amazon-ipc,QE-07,device_policy,IDevicePolicyManager tx100 addPersistentPreferredActivity -> IPackageManager tx73,"framework DevicePolicyManagerService publication; PMS transaction closure in boot-framework-disassembly.log:873968-874003,878864-878879",active Profile Owner/Device Owner caller only; live User-0 owner is com.amazon.parentalcontrols,active admin/profile-owner ownership; vendor callback may require LOCK_SCREEN_SERVICE; PMS tx73 requires calling UID 1000,DPM clearCallingIdentity -> PMS tx73; downstream system UID check,"persistent preferred activity record, potentially HOME-class record",Fake/live-owner malformed paths rejected; no preferred write observed,TRUSTED_PREFERRED_WRITER; LOW_PRIVILEGE_BLOCKED,"decompiled/jadx/.../DevicePolicyManagerService.java:6604-6621,8303-8321; findings/phase-6dt-dpm-tx100-caller-gate.md; source hash 83a43bca...",Compare another saved artifact only; no owner provisioning or tx100 replay,,,"UNKNOWN is retained as an evidence gap, not a vulnerability"
amazon-ipc,QE-08,amazonprofileservice,IAmazonProfileService tx21 initiateLauncher,AmazonProfileService.BinderService publication fosservices/disassembly.log:80813-80823,AmazonProfileManager/framework client; external caller unknown,PROFILE_INTERACTION enforced by enforceProfileInteractionPermissions,no relevant clearCallingIdentity-to-PM writer in bounded method,internal profile/launcher flow; no preferred activity or package setter found,Ordinary caller not established; permission-gated reachability UNKNOWN,PROFILE_FLOW_PERMISSION_GATED,"fosservices/disassembly.log:76246-76256,78949-78966; findings/phase-6mq-profile-launcher-helper-closure.md",Trace registration and returned component/user arguments offline,,,"UNKNOWN is retained as an evidence gap, not a vulnerability"
amazon-ipc,QE-09,amazonprofileservice,IAmazonProfileService tx41 startProfilePicker,AmazonProfileService.BinderService publication fosservices/disassembly.log:80813-80823,ordinary APK Binder reachability observed; activity start stopped by downstream check,method-local marker unresolved; startActivityAsUser requires INTERACT_ACROSS_USERS in bounded path,no clearCallingIdentity shown,configured picker activity start only; no HOME/PMS writer,Partial ordinary reachability; downstream SecurityException blocked activity start,PROFILE_PICKER_PARTIAL_INTEGRITY; NOT HOME WRITER,fosservices/disassembly.log:77222-77280; findings/phase-6er-amazon-profile-metadata-tx41-boundary.md,Resolve manifest and user-argument provenance host-only; no picker start,,,"UNKNOWN is retained as an evidence gap, not a vulnerability"
amazon-ipc,QE-10,amazonactivitymanager,IAmazonActivityManager onActivityResume/observer dispatch,AmazonActivityManagerService publication fosservices/disassembly.log:39808-40958,system-server callback/observer registration caller unknown,observer registration permission/caller gate not closed in bounded slice,no clearCallingIdentity-to-PM/HOME writer shown,IAmazonActivitySwitchObserver callback with ComponentName; consumer and HOME sink unresolved,UNKNOWN; no low-privilege route or HOME writer proven,CALLBACK_SURFACE_BOUNDED_UNKNOWN,"fosservices/disassembly.log:40391-40563,180282; publication at 40958",Trace observer registrations/consumers offline; do not trigger activity transitions,,,"UNKNOWN is retained as an evidence gap, not a vulnerability"
