row_id,area,subject,status,caller_or_holder,edge_or_finding,source_path,source_sha256,line_range,confidence
SJ-01,permission,amazon.permission.ADD_RM_PKG_METADATA declaration,CONFIRMED,owner declaration only; holder/grant UNKNOWN,raw protectionLevel 0x80000002 (signature|privileged),artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,1936-1938,high
SJ-02,binder,AmazonPackageManagerService BinderService publication,CONFIRMED,service publication does not identify caller or holder,"publishes named BinderService; no service-level permission argument is visible in the publication call",decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,96132-96136,high
SJ-03,binder,remove/set Amazon flags and metadata tx1/2/4/5,CONFIRMED_METHOD_GATE,production caller UID/signing identity UNKNOWN,"each method calls checkCallingOrSelfPermission(ADD_RM_PKG_METADATA), then delegates to AmazonApplicationFlags; explicit userId is part of the call path",decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,95955-96026,high
SJ-04,persistence,AmazonApplicationFlags metadata sink,CONFIRMED,caller/holder UNKNOWN,"mutator map records permission→AmazonApplicationFlags→writeToFile; this is metadata persistence, not a HOME selector or enabled-state writer",artifacts/phase6mu-amazon-application-flags-20260810-01/mutator-map.csv,dd0bd339be5b69d7aa20a983c0b074dc94159faafa932c6cdbf3080fe306372a,2-5,high
SJ-05,permission,ADD_RM_PKG_METADATA holder/grant census,UNKNOWN,bounded corpus has no exact holder/grant row,"privapp/platform-privapp/sysconfig and Phase 6MC holder census do not close an exact custom-permission holder; absence is not proof of nonexistence",artifacts/phase6mc-permission-holder-audit-20260810-05/permission-holders.csv,1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18,1-200,medium
SJ-06,caller,Amazon PM production caller provenance,UNKNOWN,caller/UID/signing identity UNKNOWN,"facade/proxy and service method evidence establish API reachability only; caller inventory does not close a production caller for the metadata mutators",artifacts/phase6mc-caller-provenance-20260810-01/caller-provenance.csv,fbb4f21dad1c3948bb3748fe7bcf652b6b136a6fb07e62cb4e7d7e6d51e1b11d,1-7,medium
SJ-07,identity,AmazonProfileService permission and publication,CONFIRMED_METHOD_GATE,caller identity is checked by processId/userId plus PROFILE_INTERACTION; holder remains UNKNOWN,"service checks com.amazon.device.permission.PROFILE_INTERACTION with Context.checkPermission and publishes amazonprofileservice without a visible service permission argument",artifacts/phase6mq-profile-launcher-helper-20260810-01/evidence/profile-permission-check.txt,ef83a57cabaa142b0ab16b745500ee3e03c60d7ea7d387f1d158e9fc3be86a5d,1-18,high
SJ-08,package-state,KFT child/profile enabled-state writer,CONFIRMED_CHILD_SCOPED,upstream caller/UID UNKNOWN; user scope closes to supplied UserInfo.id,"enableKftLauncherComponent sets Tahoe component enabled and Fire/Launcher3 application state using UserInfo.id; this is not a User-0 preferred-HOME setter",decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,54310-54324,high
SJ-09,home,preferred HOME / HOME selector bridge from ADD_RM_PKG_METADATA,BOUNDED_NOT_FOUND,caller/holder UNKNOWN,"no ADD_RM_PKG_METADATA edge to add/replace/set preferred HOME was found; HOME sinks are separate PMS methods with user scope and their own gates",artifacts/phase6mw-home-state-sinks-20260810-01/sink-calls.csv,51b924ec70b32c21d121f99b64ab997dace4bee805c52c86439808eaaf6a15e6,126-130,medium
SJ-10,identity,onTransact/caller-identity closure for candidate services,UNKNOWN,not closed for the candidate methods,"disassembly contains generic Stub onTransact and unrelated getCallingUid/checks, but no bounded evidence maps those identity checks to the ADD_RM_PKG_METADATA methods; retain UNKNOWN",decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,292493-292502;163786-163798,medium
