id,area,classification,evidence_or_issue,public_commit_check,citation_fix,next_minimal_host_action
QA-01,TE-TH input manifest,CONSISTENT,"10 input files listed by output/tables/phase6te-th-input-manifest.sha256","All 10 SHA-256 recompute equal at 56ac917a","Keep manifest as canonical input anchor","No action beyond reuse"
QA-02,TI redacted snapshot,BOUNDED,"findings/phase-6ti-readonly-snapshot.md and output/tables/phase6ti-readonly-state.csv","Both files present and hashes match; raw adb/phase6ti directory absent from commit","Cite redacted summary/table; label raw path local-only","Add public/local provenance label in citation map"
QA-03,TG-01 OTA provenance,CITATION_MISSING,"firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin","Path absent from 56ac917a tree","Mark local-only or replace with committed OTA manifest/source-map","Host-only path existence and manifest join"
QA-04,TG-02 OTA member listing,CLASSIFICATION_BOUNDED,"members.json exists; path field says firmware/extracted/PS7331/","members.json/hash present; extracted directory is not a committed raw tree","Describe extracted path as derived/local output","No runtime action; update citation map"
QA-05,TG-03 updater-script,CITATION_MISSING,"firmware/extracted/PS7331/META-INF/com/google/android/updater-script","Path absent from 56ac917a tree","Use committed PS7331 OTA metadata/updater-script.txt if equivalent; otherwise local-only","Host-only exact member-to-manifest mapping"
QA-06,TG-04 update-binary,CITATION_MISSING,"META-INF/com/google/android/update-binary","Unqualified path and binary absent from commit tree","Retain capability claim only with committed hash manifest or mark local-only","Host-only locate canonical committed artifact reference"
QA-07,TG-05 dispatch,CITATION_PATH_HASH_MISMATCH,"CSV/report use phase6mk-updater-dispatch-20260810-01 and hash 443c...","Public artifact is phase6mk-updater-dispatch-20260810-04; registration-dispatch hash is d88e35...","Change path to -04 and hash to d88e35...","Edit only future citation map/report source"
QA-08,TG-06 cache flow,CITATION_HASH_MISMATCH,"selected-functions source is paired with summary hash 1cb21f...","1cb21f... hashes summary.json; selected-functions.csv hashes 113caf...","Record source and summary hashes separately","Host-only recompute all three artifact hashes"
QA-09,TG-07 verifier provenance,CONSISTENT,"findings/phase-6kt-recovery-verifier-provenance.md","Path and 484273... hash are present and match","Keep as privileged handoff with native endpoint incomplete","No action"
QA-10,TG-10 OOBE,CLASSIFICATION_OK,"guarded system-server caller plus OOBE capability","Report separates guarded privileged caller from ordinary caller","Keep wording; do not call action string authentication","No action"
QA-11,TH native residual,CLASSIFICATION_OK,"ION library-only positive and other residuals","Rows preserve library capability vs process caller and shipped-node gaps","Keep POSITIVE_LIBRARY_ONLY/UNKNOWN_RESIDUAL labels","No device-node or ioctl validation"
QA-12,TG-14 Amazon diagnostic source,CONSISTENT,"phase6nb-amzn-drv-test-source.csv","Path is present; source capability is not promoted to shipped caller","Keep capability-only wording and config/node/SELinux gaps","Host-only manifest join if needed"
QA-13,TF H2 chain,SAFE_UNINTEGRATED_HIGH_VALUE,"H2ClientService add/remove/profile/order static chain","Exact source lines present; external bind gate/client remains UNKNOWN","Cite as internal production edge, not external caller/reachability","Recover exact manifest/client references only"
QA-14,TF caller column,SEMANTIC_LABEL_RISK,"production_caller=YES with external_reachability=UNKNOWN","Internal edge is positive; external caller explicitly unknown","Rename future field to internal_production_edge","Host-only schema/citation-map normalization"
QA-15,safety boundary,CONSISTENT,"No device, OTA/recovery/sideload/flash/reboot/Binder/driver/root/exploit","TE-TI and TG/TH preserve non-execution boundary","Keep as procedure boundary, not negative reachability result","No action"
