artifact,resource_or_class,reader_or_writer,namespace_or_key,home_effect,caller_authority,existing_runtime,status,next_safe_step
decompiled/jadx/settings/sources/com/android/settings/applications/defaultapps/DefaultHomePreferenceController.java,DefaultHomePreferenceController,isAvailable/getDefaultAppInfo/getSettingIntent/hasHomePreference/isHomeDefault,default_home; config_show_default_home; MAIN+HOME+DEFAULT,Enumerates HOME candidates and reports current PackageManager default; no direct state write,Settings app context; PackageManagerWrapper,Phase 6FO/6DI already records controller and missing GUI route; no new runtime mutation,confirmed-static-no-new-key,Keep as source comparator only
decompiled/jadx/ota-PS7331/settings/sources/com/android/settings/applications/defaultapps/DefaultHomePreferenceController.java,OTA PS7331 DefaultHomePreferenceController,same as retail JADX,default_home; config_show_default_home; MAIN+HOME+DEFAULT,Exact OTA copy of controller surface; no added HOME key or writer,Settings app context; PackageManagerWrapper,No runtime invocation; compared against non-OTA PS7331 tree,newly-recorded-static-equivalence,Hash/compare only if another exact-build Settings APK appears
decompiled/jadx/settings/sources/com/android/settings/applications/defaultapps/DefaultHomePicker.java,DefaultHomePicker,getDefaultKey/setDefaultKey,flattened ComponentName; HOME_FILTER; replacePreferredActivity,Would persist preferred HOME and start implicit HOME,Internal Settings fragment; requires user selection and SET_PREFERRED_APPLICATIONS through PMS,Phase 6DI records preferred record persists but loses to Fire priority 50; Phase 6FO records picker not exposed,confirmed-static-route-closed,Do not click or dispatch; retain source-only mapping
decompiled/jadx/settings/resources/res/xml/app_default_settings.xml,Default-app dashboard XML,preference parser/fragment routing,No default_home item; browser/phone/sms/payment/emergency/domain keys,No dashboard HOME row despite controller being constructed,Exported AdvancedAppsActivity loads this dashboard; SubSettings non-exported,Phase 6FO follow-up already identified omitted default_home row; no runtime HOME selection,confirmed-static-omission,No UI mutation; compare only against future exact-build XML
decompiled/jadx/settings/resources/res/xml/default_home_settings.xml,Home picker XML,DefaultHomePicker.getPreferenceScreenResId,XML resource default_home_settings with title home_app,Provides picker screen only when internal fragment is reached,Internal Settings fragment only; no external caller established,Phase 6FO records fragment whitelist/route boundary; no runtime picker display,confirmed-static-unreachable,Do not launch fragment; preserve as dormant route evidence
decompiled/jadx/settings/resources/res/values/bools.xml,Settings bool resource,Resources.getBoolean via DefaultHomePreferenceController,config_show_default_home=true,Enables controller availability but cannot create a dashboard row by itself,Settings resource context; framework resource resolution,Phase 6DI/6FO records bool and absent visible row; no overlay override found,newly-recorded-resource-gate-equivalence,Host-only diff future framework resource overlays; no overlay switch
decompiled/jadx/settings/sources/com/android/settings/applications/DefaultAppSettings.java,DefaultAppSettings.buildPreferenceControllers,constructs DefaultHomePreferenceController,default_home controller plus other default-app keys,Potentially adds HOME controller programmatically; XML still omits row,Settings AdvancedAppsActivity path; fragment/controller construction is trusted app code,Phase 6FO records controller-vs-XML mismatch; no new key or writer,confirmed-static-controller-only,No activity dispatch; retain call graph
decompiled/jadx/settings/resources/AndroidManifest.xml,Settings AdvancedAppsActivity,manifest intent filter,android.settings.HOME_SETTINGS; android.settings.MANAGE_DEFAULT_APPS_SETTINGS,Routes to DefaultAppSettings dashboard,Exported Settings activity; downstream fragment is dashboard only,Phase 6FO runtime observation: no Home selector visible,confirmed-static-intent-boundary,No intent dispatch; compare manifest only
decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/Settings.java,PMS Settings persistence,read/write XML preferred state,preferred-activities; persistent-preferred-activities; package-restrictions.xml,Persists preferred HOME records per user; this is the stored state behind set-home-activity,system_server UID 1000; PMS internal writer,Phase 6DI observed preferred Microsoft record survives reboot while resolver remains Fire; exact persistence sink not separately tabulated, newly-recorded-persistence-sink,Host-only correlate saved dumps with source; no file/device access
decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,PMS HOME resolver/writers,getDefaultHomeActivity/setHomeActivity/replacePreferredActivity/resolveIntent,HOME filter; preferred activity component; IPackageManager tx89/tx42,Reads preferred record but ranking returns Fire priority 50 over third-party priority 0; writer changes preferred record only,system_server/PMS; permission and cross-user/protected-package gates,Phase 6DI/6FW already closes ranking and caller authority; no new writer,confirmed-static-resolver-boundary,No Binder calls; retain source evidence
