id,service_or_class,entrypoint,caller_or_client,permission_or_gate,binder_identity,user_scope,sink_or_effect,observed_runtime,evidence,confidence,missing_edge,next_safe_step
"P17-001","AmazonPackageManagerService$BinderService / AmazonApplicationFlags","setAmazonFlagsForUser; setAmazonMetadataForUser; removeAmazonFlagsForUser; removeAmazonMetadataForUser","Amazon framework facade callers; production requester not found","checkCallingOrSelfPermission(amazon.permission.ADD_RM_PKG_METADATA); signature|amazon grant provenance incomplete","caller identity retained; no clearCallingIdentity observed","explicit user int plus package/list arguments","AmazonApplicationFlags mutation -> writeToFile -> /data/system/amazon_package_flags.xml","No invocation; shell lookup denied; no mutation","work/luna_worker_phase6qf_ipc_provenance_20260810.csv:2; findings/phase-6mu-amazon-application-flags-closure.md:31-47","Strong evidence","production UID/signature holder and cross-user validation not joined","Host-only manifest/callsite join; do not invoke private Binder"
"P17-002","PackageRecencyCallback","sendBroadcastWithDelay","system-server package/activity recency callback","internal callback registration; no external Binder entry","system-server/in-process callback","RecentTask userId carried into delayed callback","flag read filters recency broadcast/listener delivery; no HOME/package-state writer","No runtime mutation or callback trigger","findings/phase-6mu-amazon-application-flags-closure.md:56-82; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:17357-17528","Strong evidence","registered listener/receiver set and downstream provenance bounded","Host-only trace registrations and first consumers"
"P17-003","GameModeHelper","isGamingApp(String,int)","system-server game-mode policy caller","internal helper path; no Binder caller gate","system-server helper; package/user args explicit","userId passed to flags getter","AmazonApplicationFlags bit 2 controls game-mode decision; no HOME/package-state writer","No invocation; static only","findings/phase-6mu-amazon-application-flags-closure.md:56-82; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:135033;135607","Strong evidence","flag bit semantics and caller data-flow not fully recovered","Host-only inspect helper body and callers"
"P17-004","AppCompatActivityManagerServiceCallback","isIncompatiblePackage","system-server AppCompat callback","internal ActivityManager callback; no external Binder entry","system-server callback","package argument; user context inherited","AmazonApplicationFlags bit 1 feeds compatibility decision; no HOME/package-state writer","No invocation; static only","findings/phase-6mu-amazon-application-flags-closure.md:56-82; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:181521-181692","Strong evidence","callback registration and downstream component-state effect not joined","Host-only trace callback and decision"
"P17-005","BootAfterSystemOTAReceiver -> PackageHelper","enableIncrementalFlow / enableComponent","AmazonPackageManagerService.onBootPhase(550)","phase==550; PMS.isUpgrade(); protected action; OOBE/demo/shared-pref predicates","trusted system lifecycle; no ordinary Binder identity","Context-derived user; numeric user unresolved","setComponentEnabledSetting(OobeHomeActivity, ENABLED) plus incremental OOBE state","Baseline disabled; no replay or mutation","artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/BootAfterSystemOTAReceiver.java:27-80;56-61; work/luna_worker_kernel_ota_unclosed_closure_20260810.md:41-45","Strong evidence","Context user and PMS caller/tx authorization unresolved","Host-only Context/user trace; natural official OTA only"
"P17-006","OOBEActivationHelper / SettingsDBUtils","activateOOBEIF; activateOOBE; secure/global put helpers","BootAfterSystemOTAReceiver and trusted OOBE lifecycle","protected lifecycle plus OOBE/demo guards; no ordinary path","FG synchronous; async executor without Binder identity","ContentResolver determines user; no numeric user argument","Secure user_setup_complete=0 and isOOBEActive=1; non-FG also device_provisioned=0","No settings mutation performed","artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/commons/OOBEActivationHelper.java:53-75; artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java:21-72","Strong evidence","Context-to-user mapping and async ordering not established","Host-only Context trace; do not edit settings"
"P17-007","AmazonPackageManagerService.onBootPhase / BOOT_AFTER_SYSTEM_OTA","sendBroadcast at phase 550","system_server only in recovered sender path; Alexa receivers separate","isUpgrade() and phase 550; protected membership not sender authentication","system_server lifecycle identity; no ordinary Binder caller","receiver delivery user/context unresolved","protected receiver path reaches component/settings lifecycle sinks","No injection or delivery capture","work/luna_worker_phase6sa_20260810.csv:14-15; work/luna_worker_phase6qf_ipc_provenance_20260810.csv:11","Strong evidence","receiver permission and delivered user/context need join","Host-only manifest plus Context/user review"
"P17-008","AmazonProfileService$BinderService","initiateLauncher()","AmazonProfileManager/framework client; external caller unknown","enforceProfileInteractionPermissions; signature/calling-UID markers","no laundering shown","current profile/user internal; returned user/component unrecovered","internal launcher/profile flow; no preferred/HOME/package/component setter","No invocation; shell lookup denied","work/luna_worker_phase6su_ipc_residual_20260810.csv:SU-05; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:76246-76256;78949-78966","Strong evidence","production caller registration and returned component/user not joined","Host-only trace caller and consumers"
"P17-009","AmazonProfileService$BinderService","startProfilePicker(int)","AmazonProfileManager/framework client; external caller unknown","method-local permission unresolved; private service and shell denial remain","identity handling not shown to launder into PMS","picker user int reaches startActivityAsUser","profile picker launch; no explicit HOME/preferred/package mutation","No picker start or Binder call","work/luna_worker_phase6su_ipc_residual_20260810.csv:SU-05; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:77222-77280;80115-80444","Probable","permission and picker component/user provenance unresolved","Host-only recover manifest/binding/user flow"
"P17-010","InputFilterMonitorInputManagerServiceCallback","notifyCameraCoverSwitchChanged(Context,boolean)","system_server input-monitor callback","local callback only; no external Binder entry","system_server callback; no clearCallingIdentity","non-user-overload Secure write implies system/default scope","Secure camera_shutter_state write; no HOME/package writer","No input event or callback trigger","work/luna_worker_phase6wg_ipc_residual_20260810.csv:WG-002; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:27412-27435;28453-28456","Strong evidence","registration, user scope, and SELinux boundary unresolved","Host-only join callback registration and settings helper"
