id,artifact_or_component,operation_or_sink,trigger_or_caller,verification_or_gate,target_scope,observed_runtime,evidence,confidence,missing_edge,next_safe_step
C-001,original PS7331 OTA bin,full/block OTA package with release metadata,official OTA/recovery path only,release/product/version metadata plus package verification upstream,full device update,no execution or device contact,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin SHA256 9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5,high,exact runtime admission and caller identity,hash/re-audit exact signed package only
C-002,updater-script:1-2,abort checks for timestamp and ro.product.device,updater/recovery interpreter,build/device gate before update,package admission,no execution,firmware/extracted/PS7331/META-INF/com/google/android/updater-script:1-2 SHA256 4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,high,full recovery parser and signature gate,host-side script provenance review
C-003,updater-script:6-10,block_image_update system/vendor,updater-script invoked by recovery updater,script plus prior package/product gates,system/vendor partitions,no partition write,updater-script:6-10; phase6md updater-script-operations.csv,high,recovery caller and block-image semantic verification,offline CFG/dataflow only
C-004,updater-script:13-23,package_extract_file to fixed boot-chain by-name targets,recovery/updater handler dispatch,fixed member names and recovery context,boot/preloader/lk/tee/spmfw/sspm/cam-vpu targets,no partition write,updater-script:13-23; target.blocklist SHA256 f0a3f810d0dab5486a59cc22b9fc9390e9668760ab5a2b1229580a27fb05d83c,high,complete extraction and boot-control handoff,retain capability classification
C-005,updater-script:24,write target.blocklist to /cache/recovery/last_blocklist,recovery updater,script execution and recovery filesystem context,recovery cache,no file write,updater-script:24; phase6vb-008,high,post-install cleanup/consumer and SELinux label,offline provenance only
C-006,update-binary,registered install/block-image handlers including run_program mount reboot_now and write_value,recovery/updater process main,registry dispatch and recovery invocation,updater process and recovery filesystem,no execution,update-binary SHA256 02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b; phase6mk registration-dispatch.csv,high,indirect function-pointer closure and caller authentication,resolve selected indirect edges offline
C-007,update-binary WriteToPartition,ota_open then ota_write then open/write,registered updater handler,recovery/updater execution only,partition/file sink,no write,phase6md path-write-call-edges.csv; phase6vb-009,high,low-privilege caller and complete indirect dataflow,do not execute; expand host CFG
C-008,update-binary PerformBlockImageUpdate,open/chown/rename and block-image update,block_image_update handler,block-image verification and cache checks,system/vendor temporary and partition paths,no effect,phase6md native path audit; phase6ne return branches,high,return/error dataflow to writer,host-only CacheSizeCheck/MakeFreeSpaceOnCache trace
C-009,update-binary MakeFreeSpaceOnCache,readlink/readlink_chk/stat/unlink cache cleanup,PerformBlockImageUpdate cache path,cache-size return gate; no direct canonicalization-to-write edge selected,cache staging filesystem,no effect,phase6mm canonicalization-call-sites.csv; phase6ne summary,medium,complete path canonicalization/no-follow/race semantics,offline dataflow and symbol provenance
C-010,SideloadMover and FileHelper,basename staging then renameTo or copy/delete fallback,SideloadInstaller.installSideload,metadata/sanity/device checks upstream; no canonicalPath or NOFOLLOW marker,OTA external staging,no staging execution,phase6j SideloadMover SHA256 59131cf032d8544cd44ea839ad63eb37993d2853b4925bf56d10ede721693f63; FileHelper SHA256 55a7f44a70735626be7ebde25e96812346f336fddbec2c87de29ac0fb709b980,medium,caller UID SELinux label atomicity and symlink behavior,source-only review; no symlink test
C-011,OSUpdateValidator and RecoverySystemWrapper,hash metadata product/version/PVT then RecoverySystem.verifyPackage,SideloadVerifier/OSUpdateValidator,validation branch before UpdateSystem.install,package verifier,no verification execution,phase6j sources; SideloadVerifier SHA256 4ba31d323419575c4f9294d430bd6e758b38db68b7ff67405150a697cd549eea,high,platform recovery verifier certificate AVB rollback implementation,obtain source/provenance offline
C-012,UpdateSystemWrapper.install,remap path and call UpdateSystem.install,validated SideloadInstaller path,OTA controller permission signature|privileged plus Java validation,framework to recovery handoff,no install/reboot,UpdateSystemWrapper SHA256 c99f6884fa298546b18722a5addb46ae35aff4c9f6003d8ad3ccaebe2edfdbd9; phase10c-008,high,authoritative native/recovery caller UID SELinux slot and rollback handoff,host-side API/source join
C-013,AVB/rollback/slot handoff,verified boot and rollback enforcement sink,UpdateSystem to recovery/boot-control boundary,not closed by Java wrapper or updater capability,boot metadata and slot state,no effect,phase10c-011; phase6vb-011; local vbmeta.img and avb metadata paths missing,unknown,exact AVB descriptor rollback index and post-install executor,locate/read source or preserved metadata only
C-014,fireossystemota_fosinit.xml,VendorRecoverySystemCallback registration,init/system-server service wiring,derived image extraction only; no caller proof,system OTA callback,no runtime change,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/fireossystemota_fosinit.xml:9-12 SHA256 37012a90b7822304a080c736f12684fdf5d58a2bc6ca92e80536d37c3a882f58,medium,exact package provenance SELinux domain and callback caller,offline init/policy join
C-015,AmazonPackageManagerService and BootAfterSystemOTAReceiver,enable OobeHomeActivity and write OOBE setup settings,system-server onBootPhase 550 when PMS.isUpgrade,protected BOOT_AFTER_SYSTEM_OTA plus receiver gate,post-OTA OOBE state,no broadcast or settings mutation,decompiled fosservices disassembly:96087-96126; BootAfterSystemOTAReceiver SHA256 c29b32bf6874b245859357d926773193c15771a6eb254f97edac57541ae5cb90; phase6my call-edges.csv,high,exact delivered numeric user and runtime sequencing; no Fire Launcher preferred-HOME writer,observe only after natural authorized OTA
C-016,OtaService IOTAControlService.installSideload,bind and installSideload to SideloadInstaller,OTA service binder caller,exported service protected by com.amazon.dcp.ota.permission.CONTROLLER signature|privileged,OTA service and update handoff,no Binder call or install effect,phase10c-003; phase6r OTA IPC static audit; permission evidence a2e5280c773511f748a8553fe14d7145aa636071ec8bbf3596a4d423ca6583e5,high,implementation getCallingUid and SELinux domain plus native handoff,offline manifest/caller join only
C-017,ordinary app or UID 2000 boundary,attempted route to OTA controller/update-binary/partition sink,ordinary app or shell caller,controller signature|privileged and protected lifecycle/recovery boundary,no privileged sink reachable in bounded corpus,no runtime attempt,phase10c-012; phase6ku low-privilege boundary; no complete caller chain,medium,exact-version native caller and SELinux closure,retain bounded negative; do not replay or mutate
C-018,post-install sink boundary,package state/OOBE/HOME resolver after OTA,system-server lifecycle and receiver consumers,upgrade predicate plus protected action; current baseline only,component/settings/HOME scope,no post-OTA runtime effect,phase6my/6ni/bootafter provenance; Fire Launcher remains comparator only,medium,complete post-install executor and exact user scope,natural OTA read-only capture only
