source,key/resource,reader/writer,package membership evidence,hash,status,next safe step
artifacts/phase6ap/denylist-resource-closure-20260805-01/res/raw/package_manager_deny_list.json,packages_deny_list -> com.amazon.firelauncher,host extracted resource artifact; parsed by DenyListArcusHelper.processJSON(),"Direct static observation: JSON explicitly contains com.amazon.firelauncher; not live persisted-set proof.",16086fecbfce20a0c0b37535e25d690635d398b30d582fa6d231736dc9bdf710,direct observation,Preserve static seed evidence; do not mutate resource or system image.
artifacts/phase6ap/denylist-resource-closure-20260805-01/resource-table-targets.json,0x7e05000a -> amazon.fireos:raw/package_manager_deny_list,Resources.getSystem().openRawResource(0x7e05000a) in DenyListArcusHelper.processJSON(),"Static mapping reaches the JSON that contains Fire Launcher; membership is host-resource observation only.",ee0aa73a5dfcb11893145fa5a3ac4a263bcd94a815954ed240dcc3aaf9ec896d,static mapping,Use version-matched resource table only; no runtime resource replacement.
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,DenyListKeyPackages / PackageManagerDenyList,DenyListArcusHelper constructor; extractListFromResorces(); processJSON(); putStringSet().commit(),"Static producer mapping; initial seed includes Fire only through the separately observed raw JSON.",ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static mapping,Keep seed-versus-persisted distinction; no SharedPreferences write.
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,PackageManagerDenyList:DenyListKeyPackages,ControlProtectedPackagesCallback.getSharedPrefPackages() / shouldDisableAmazonApp(),"Static consumer requires set.contains(packageName); exact live set contents were not read.",ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static mapping,Use existing code path; do not infer literal membership from callback alone.
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ControlProtectedPackagesCallback.shouldProtectPackage(),isSystemApp + deny-list contains(package) + Binder caller UID 2000,Shell rejection is consistent with all callback predicates but does not expose which predicate input was literal-read at runtime.,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static mapping plus inference,Retain as gate provenance; no Binder replay or package mutation.
artifacts/amazon-services/amazonpackagemanager_fosinit.xml,VendorProtectedPackagesCallback registration,Amazon callback registered as SYSTEMSERVER implementation,"Registration proves callback wiring; no package membership is encoded in XML.",eb53e50cf72174eddcde25fd3538e4736d2cd4cb7866bab4e5bc2b70fc514286,static mapping,Keep registration edge; no service invocation.
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,persist.sys.denylist_arcusid / packages_deny_list,DenyListArcusHelper.initialize(); registerArcusBroadcastReceivers(); getDenyList(); saveProtectedPackages(),"Static replacement path; Arcus payload membership is unknown and no payload was captured here.",ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static mapping,Inspect existing host artifacts only; do not trigger Arcus or change property.
artifacts/phase6k/readonly-device-20260805-01/deny_list_ls.stdout.txt,/data/system/PackageManagerDenyList metadata,prior read-only shell ls/stat observation; no content reader,"Direct runtime observation: system:system mode 0660 size 2645; literal package membership unavailable.",9f7ad63a2514d38b0b488ff69de9136f3de064c2c08ee1bc26d5fcbd89c4e76c,unknown membership,No read/pull/chmod/replace; await authorized artifact only.
findings/phase-6v-evidence-index.md + findings/phase-6ai-denylist-flow-closure.md,Fire Launcher membership boundary,existing findings consolidate resource seed + callback + ACL evidence,"Explicitly classified pending/unknown for live persisted membership; rejection is strong explanatory evidence only.",373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53;ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,inference boundary,Do not upgrade wording; preserve direct/static/inference/unknown labels.
findings/phase-6v-evidence-index.md + existing component protection captures,protected-package rejection for com.amazon.firelauncher,PMS setEnabledSetting -> ProtectedPackages -> vendor callback; existing shell package/component attempts,"Direct runtime observation: Cannot disable a protected package and state unchanged; not literal file membership observation.",373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,direct observation plus inference,Reuse existing rejection; do not repeat mutation.
findings/phase-6pw-live-readonly.md + adb/phase6pw/PHASE6PW-READONLY-20260810-01/home_resolve.stdout.txt,User 0 HOME com.amazon.firelauncher/.Launcher priority 50,read-only HOME resolver capture; no deny-list reader,"Direct runtime observation of current HOME only; it neither proves nor disproves live deny-list membership.",3c1adbbe8bdbfcd2e322647203157a68d5d45ab854ac4a40001fc8b0cf5c3f16;d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6,direct observation,Use as current comparator; no package/settings/Binder action.
findings/phase-6pw-broad-privilege-followup.md,deny-list literal membership / restoration writer,host-only Phase 6PW follow-up inventory; no accepted live membership reader or HOME writer,"Unknown: 6PW retains literal membership pending and finds no new User-0 restoration/HOME provenance.",a86d013611fcb3c2c5279cbe9c2f74b4069dca2d,unknown,Continue only with new authorized host artifact; do not broaden to device or privileged mutation.
