scope,stage,caller_or_component,evidence_path_and_location,operation_or_gate,status,reachability,notes
PS7331,package identity,official OTA ZIP,firmware/manifests/OTA-20260803-01/README.md; firmware/manifests/OTA-20260803-01/sha256sums.txt,PS7331.4463N trona release OTA; SHA-256 9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5,CONFIRMED,host artifact only,Historical README separately marks installed PS7330 mismatch
PS7331,package shape,ZIP member inventory,artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/members.tsv,META-INF metadata otacert update-binary updater-script; .new.dat.br; transfer lists; boot/images,CONFIRMED,not a caller,Traditional signed BLOCK OTA
PS7331,package shape,ZIP member inventory,artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/members.tsv,No payload.bin and no A/B postinstall executable member,NEGATIVE,not applicable,Postinstall executable route is negative for package-shape scope
PS7331,metadata gate,updater-script assertions,artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/updater-script.txt,Build date and ro.product.device trona assertions,CONFIRMED,requires updater context,Static script gate only
PS7331,metadata gate,SideloadMetadataChecker.check,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadMetadataChecker.java:24-29,Version signature-transition product and PVT checks,CONFIRMED,privileged OTA path,Transition/downgrade controls are OTASettings gated
PS7331,signature gate,SideloadVerifier.verifySideloadWithRecoveryCheck,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadVerifier.java:31-58,Sanity metadata RecoverySystemWrapper.verifyPackage device state,CONFIRMED,privileged OTA path,Platform verifier implementation not present in preserved Java
PS7331,normal validation,OSUpdateValidator.validateOSUpdate,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/validate/OSUpdateValidator.java:73-78,Hash then RecoverySystem.verifyPackage then OSUpdatePropertiesValidator,CONFIRMED,privileged OTA path,Call order is exact in source
PS7331,staging,SideloadMover.maybeMoveSideloadFile,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadMover.java:31-44,Basename destination and FileHelper.moveFile,CONFIRMED,privileged OTA path,No Java canonicalPath realpath lstat or O_NOFOLLOW marker
PS7331,handoff,SideloadInstaller.installSideload,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadInstaller.java:65-90,Metadata/device checks then mover then installOSUpdate,CONFIRMED,privileged OTA path,WithoutRecoveryCheck branch is not proof of bypass because normal integrity path is separate
PS7331,handoff,UpdateSystemWrapper.install,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/framework/UpdateSystemWrapper.java:33-43,Path prefix remap settings write then UpdateSystem.install,CONFIRMED,privileged framework path,Recovery/native exec caller remains separate boundary
PS7331,permission,OTA controller holders,artifacts/phase6j/ota-controller-holders-manifest-audit-20260805-02/com-amazon-dcp.manifest.txt; com-amazon-otter-forced-ota.manifest.txt,com.amazon.dcp.ota.permission.CONTROLLER and PROCESS_UPDATES protected surface,CONFIRMED,ordinary app cannot self-grant,Holder evidence is privileged/controller capability
PS7331,native registry,main to block-image registry,findings/phase-6mm-updater-blockimage-closure.md; artifacts/phase6mm-updater-blockimage-20260810-01/block-image-registration.csv,RegisterBlockImageFunction to RegisterFunction; block_image_update to BlockImageUpdateFn 0x40b8b8,CONFIRMED,recovery/update-binary context only,Static registration not execution
PS7331,extract sink,PackageExtractFileFn,findings/phase-6kt-recovery-verifier-provenance.md,PackageExtractFileFn to ota_open to open and extraction fsync close,CONFIRMED,recovery/update-binary context only,Capability not reachability
PS7331,partition sink,BlockImageUpdateFn to WriteToPartition,findings/phase-6kt-recovery-verifier-provenance.md; findings/phase-6mm-updater-blockimage-closure.md,PerformBlockImageUpdate to WriteToPartition to ota_write to write,CONFIRMED,recovery/update-binary context only,No execution or partition write
PS7331,partition targets,updater-script,artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/updater-script.txt,system vendor boot preloader lk tee1 tee2 spmfw sspm_1 cam_vpu1 cam_vpu2 cam_vpu3 and cache blocklist,CONFIRMED,named targets only,No arbitrary target conclusion
